week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_hr_4_t-7_encoded,audio_amp_std_hr_4_t-7_encoded,audio_convo_duration_hr_4_t-7_encoded,audio_convo_num_hr_4_t-7_encoded,audio_voice_hr_4_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_hr_4_t-6_encoded,audio_amp_std_hr_4_t-6_encoded,audio_convo_duration_hr_4_t-6_encoded,audio_convo_num_hr_4_t-6_encoded,audio_voice_hr_4_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_hr_4_t-5_encoded,audio_amp_std_hr_4_t-5_encoded,audio_convo_duration_hr_4_t-5_encoded,audio_convo_num_hr_4_t-5_encoded,audio_voice_hr_4_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_hr_4_t-4_encoded,audio_amp_std_hr_4_t-4_encoded,audio_convo_duration_hr_4_t-4_encoded,audio_convo_num_hr_4_t-4_encoded,audio_voice_hr_4_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_hr_4_t-3_encoded,audio_amp_std_hr_4_t-3_encoded,audio_convo_duration_hr_4_t-3_encoded,audio_convo_num_hr_4_t-3_encoded,audio_voice_hr_4_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_hr_4_t-2_encoded,audio_amp_std_hr_4_t-2_encoded,audio_convo_duration_hr_4_t-2_encoded,audio_convo_num_hr_4_t-2_encoded,audio_voice_hr_4_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_hr_4_t-1_encoded,audio_amp_std_hr_4_t-1_encoded,audio_convo_duration_hr_4_t-1_encoded,audio_convo_num_hr_4_t-1_encoded,audio_voice_hr_4_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_hr_4_t-0_encoded,audio_amp_std_hr_4_t-0_encoded,audio_convo_duration_hr_4_t-0_encoded,audio_convo_num_hr_4_t-0_encoded,audio_voice_hr_4_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_hr_4_mean_encoded,audio_amp_std_hr_4_mean_encoded,audio_convo_duration_hr_4_mean_encoded,audio_convo_num_hr_4_mean_encoded,audio_voice_hr_4_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_hr_4_std_encoded,audio_amp_std_hr_4_std_encoded,audio_convo_duration_hr_4_std_encoded,audio_convo_num_hr_4_std_encoded,audio_voice_hr_4_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_hr_4_skew_encoded,audio_amp_std_hr_4_skew_encoded,audio_convo_duration_hr_4_skew_encoded,audio_convo_num_hr_4_skew_encoded,audio_voice_hr_4_skew_encoded,anomaly_encoded
1.0,0.0,0.0,3.0,61.64204545,23.17025043,0.0,0.0,0.0,2.0,0.0,0.0,3.0,58.83988764,37.49703635,0.0,0.0,0.0,3.0,0.0,0.0,3.0,78.05849582,8.175950123,0.0,0.0,0.0,4.0,0.0,0.0,3.0,79.46327684,10.08075061,0.0,0.0,0.0,5.0,0.0,0.0,3.0,106.1589958,113.7266112,0.0,0.0,0.00167364,6.0,1.0,0.0,3.0,27.39312657,4.790377303,0.0,0.0,0.0,7.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,76.69340974,26.37226309,0.0,0.0,0.0,3.625,0.25,0.0,3.0,69.74989112285714,31.97331987228571,0.0,0.0,0.000209205,2.2638462845343543,0.4629100498862757,0.0,0.0,24.207708720977475,37.87587120656472,0.0,0.0,0.0005917210966325,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.4561738099203528,2.1542681016182947,0.0,0.0,2.82842712474619,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,79.46327684,10.08075061,0.0,0.0,0.0,5.0,0.0,0.0,3.0,106.1589958,113.7266112,0.0,0.0,0.00167364,6.0,1.0,0.0,3.0,27.39312657,4.790377303,0.0,0.0,0.0,7.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,76.69340974,26.37226309,0.0,0.0,0.0,2.0,0.0,0.0,3.0,53.42577031,8.794460141,0.0,0.0,0.0,3.0,0.0,0.0,3.0,80.95238095,25.15131744,0.0,0.0,0.0,4.0,0.0,0.0,3.0,24.96037099,26.24452304,0.0,0.0,0.00084317,4.0,0.25,0.0,3.0,64.14961874285714,30.737186117714284,0.0,0.0,0.00031460125,2.0,0.4629100498862757,0.0,0.0,30.113156529204417,37.72508364864058,0.0,0.0,0.0006233796053412,0.0,1.4401645996461911,0.0,0.0,-0.2275764887586139,2.3223663103157373,0.0,0.0,1.942904629510996,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,24.96037099,26.24452304,0.0,0.0,0.00084317,5.0,0.0,0.0,3.0,68.11365564,30.5824262,0.0,0.0,0.0,6.0,1.0,0.0,3.0,86.63483146,19.87393754,0.0,0.0,0.0,7.0,1.0,0.0,3.0,58.00842697,100.9747851,0.0,0.0,0.0,1.0,0.0,0.0,3.0,72.45480226,32.59353237,0.0,0.0,0.0,2.0,0.0,0.0,3.0,101.6798867,38.86334113,0.0,0.0,0.0,3.0,0.0,0.0,3.0,34.89415749,116.0129185,0.0,0.0,0.0,4.0,0.0,0.0,3.0,38.81833616,15.21914407,0.0,0.0,0.0,4.0,0.25,0.0,3.0,60.69555845875,47.545575993750006,0.0,0.0,0.00010539625,2.0,0.4629100498862757,0.0,0.0,26.657667008389595,38.53310871342227,0.0,0.0,0.0002981056123465,0.0,1.4401645996461911,0.0,0.0,0.1511139284683398,1.3315754027621332,0.0,0.0,2.8284271247461903,-4.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,32.04919423,62.54871653,0.0,0.0,0.002544529,2.0,0.0,0.0,3.0,265.0305615,481.7276328,696.0,6.0,0.143567875,3.0,0.0,0.0,3.0,17.10785953,1.292209135,0.0,0.0,0.0,4.0,0.0,0.0,3.0,29.60320135,18.89732172,0.0,0.0,0.0,5.0,0.0,0.0,3.0,27.51353638,18.44090767,0.0,0.0,0.0,6.0,1.0,0.0,3.0,26.0221843,55.9637363,0.0,0.0,0.0,7.0,1.0,0.0,3.0,18.37464789,7.07727405,0.0,0.0,0.0,1.0,0.0,0.0,3.0,24.74719101,5.813401601,0.0,0.0,0.0,3.625,0.25,0.0,3.0,55.05604702375,81.47014997575,87.0,0.75,0.0182640505,2.2638462845343543,0.4629100498862757,0.0,0.0,84.9976732155963,163.3530096452871,246.0731598529185,2.1213203435596424,0.0506382196630668,0.2262499558606612,1.4401645996461911,0.0,0.0,2.807708372285512,2.719955517754359,2.8284271247461903,2.8284271247461903,2.8266930968655184,-9.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1
4.0,0.0,0.0,3.0,29.60320135,18.89732172,0.0,0.0,0.0,5.0,0.0,0.0,3.0,27.51353638,18.44090767,0.0,0.0,0.0,6.0,1.0,0.0,3.0,26.0221843,55.9637363,0.0,0.0,0.0,7.0,1.0,0.0,3.0,18.37464789,7.07727405,0.0,0.0,0.0,1.0,0.0,0.0,3.0,24.74719101,5.813401601,0.0,0.0,0.0,2.0,0.0,0.0,3.0,18.97183099,2.356721469,0.0,0.0,0.0,3.0,0.0,0.0,3.0,21.40168539,16.78713049,0.0,0.0,0.0,4.0,0.0,0.0,3.0,83.58263305,19.94255141,0.0,0.0,0.0,4.0,0.25,0.0,3.0,31.277113795,18.15988058875,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,21.509153252464003,16.732415971152918,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,2.6347027856012346,1.9045130163645796,0.0,0.0,0.0,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,3.0,21.04952215,12.69224632,0.0,0.0,0.0,6.0,1.0,1.0,3.0,1015.519846,513.0561327,2424.14,4.0,0.631882202,7.0,1.0,1.0,3.0,22.51694915,8.263389803,0.0,0.0,0.0,1.0,0.0,1.0,3.0,18.55027933,3.88400062,0.0,0.0,0.0,2.0,0.0,1.0,3.0,24.28451178,20.88048875,0.0,0.0,0.0,3.0,0.0,1.0,3.0,21.00590717,13.85003949,0.0,0.0,0.0,4.0,0.0,1.0,3.0,22.98309859,16.99361094,0.0,0.0,0.0,5.0,0.0,1.0,4.0,1373.726257,946.6961946,332.0,2.0,0.148975791,4.125,0.25,1.0,3.125,314.95454639625,192.039512902875,344.5175,0.75,0.097607249125,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,551.3213832161997,351.6467276460053,848.2873735735348,1.48804761828569,0.2220847659451698,-0.2238027108715141,1.4401645996461911,0.0,2.8284271247461903,1.5679242633739836,1.875679065866117,2.729941353858239,1.9510301759000723,2.557364941983048,4.0,-1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,0
5.0,0.0,1.0,4.0,1373.726257,946.6961946,332.0,2.0,0.148975791,6.0,1.0,1.0,4.0,50.56864407,34.70514346,0.0,0.0,0.0,7.0,1.0,1.0,4.0,105.3203685,187.5439074,0.0,0.0,0.0,1.0,0.0,1.0,4.0,154.0320135,542.6206191,0.0,0.0,0.0,2.0,0.0,1.0,4.0,22.70454545,8.058957595,0.0,0.0,0.0,3.0,0.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,22.0252809,6.057025931,0.0,0.0,0.0,5.0,0.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,4.125,0.25,1.0,4.0,288.06285157,287.6136413476667,41.5,0.25,0.018621973875,2.03100960115899,0.4629100498862757,0.0,0.0,534.3442015766849,382.3140017192906,117.37972567696688,0.7071067811865476,0.0526708960243649,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.3993505295158646,1.29670409791609,2.8284271247461903,2.8284271247461903,2.8284271247461894,5.0,-1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,0
1.0,0.0,1.0,4.0,154.0320135,542.6206191,0.0,0.0,0.0,2.0,0.0,1.0,4.0,22.70454545,8.058957595,0.0,0.0,0.0,3.0,0.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,22.0252809,6.057025931,0.0,0.0,0.0,5.0,0.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,6.0,1.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,7.0,1.0,1.0,4.0,30.91736931,14.88029533,0.0,0.0,0.00084317,1.0,0.0,1.0,4.0,19.71691792,9.261070982,0.0,0.0,0.0,3.625,0.25,1.0,4.0,49.879225416,116.1755937876,0.0,0.0,0.00010539625,2.2638462845343543,0.4629100498862757,0.0,0.0,58.37684794182847,238.4125197522398,0.0,0.0,0.0002981056123465,0.2262499558606612,1.4401645996461911,0.0,0.0,2.207309713283892,2.235015986512868,0.0,0.0,2.8284271247461903,4.0,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,4.0,22.0252809,6.057025931,0.0,0.0,0.0,5.0,0.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,6.0,1.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,7.0,1.0,1.0,4.0,30.91736931,14.88029533,0.0,0.0,0.00084317,1.0,0.0,1.0,4.0,19.71691792,9.261070982,0.0,0.0,0.0,2.0,0.0,1.0,4.0,21.3700254,4.221763188,0.0,0.0,0.0,3.0,0.0,1.0,4.0,365.669634,287.9465614,128.01,2.0,0.052423343,4.0,0.0,1.0,4.0,22.67217631,3.135150833,0.0,0.0,0.0,4.0,0.25,1.0,4.0,80.39523397333333,54.25031127733334,16.00125,0.25,0.0066583141249999,2.0,0.4629100498862757,0.0,0.0,139.8101416179807,114.5654181881167,45.25836952984497,0.7071067811865476,0.0184942178263027,0.0,1.4401645996461911,0.0,0.0,2.44521280264711,2.4420374992885514,2.8284271247461903,2.8284271247461903,2.8269985355792144,0.0,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1
7.0,1.0,1.0,4.0,30.91736931,14.88029533,0.0,0.0,0.00084317,1.0,0.0,1.0,4.0,19.71691792,9.261070982,0.0,0.0,0.0,2.0,0.0,1.0,4.0,21.3700254,4.221763188,0.0,0.0,0.0,3.0,0.0,1.0,4.0,365.669634,287.9465614,128.01,2.0,0.052423343,4.0,0.0,1.0,4.0,22.67217631,3.135150833,0.0,0.0,0.0,5.0,0.0,1.0,4.0,171.5793872,91.41355853,0.0,0.0,0.002785515,6.0,1.0,0.0,4.0,49.3079096,13.40834527,0.0,0.0,0.0,7.0,1.0,0.0,4.0,112.7083333,28.55065552,0.0,0.0,0.0,4.375,0.375,0.75,4.0,99.24271913,56.602175131625,16.00125,0.25,0.0070065035,2.2638462845343543,0.5175491695067657,0.4629100498862757,0.0,120.60005533345206,97.81102611059802,45.25836952984497,0.7071067811865476,0.0183768028868527,-0.2262499558606612,0.6440611887195306,-1.4401645996461911,0.0,1.8922404537735604,2.411254639951253,2.8284271247461903,2.8284271247461903,2.8130109718205247,-10.0,-1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,1,1,0,1,1,1,2,2,1,0
