week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_sum_10_17_t-7_encoded,audio_amp_std_sum_10_17_t-7_encoded,audio_convo_duration_sum_10_17_t-7_encoded,audio_convo_num_sum_10_17_t-7_encoded,audio_voice_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_sum_10_17_t-6_encoded,audio_amp_std_sum_10_17_t-6_encoded,audio_convo_duration_sum_10_17_t-6_encoded,audio_convo_num_sum_10_17_t-6_encoded,audio_voice_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_sum_10_17_t-5_encoded,audio_amp_std_sum_10_17_t-5_encoded,audio_convo_duration_sum_10_17_t-5_encoded,audio_convo_num_sum_10_17_t-5_encoded,audio_voice_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_sum_10_17_t-4_encoded,audio_amp_std_sum_10_17_t-4_encoded,audio_convo_duration_sum_10_17_t-4_encoded,audio_convo_num_sum_10_17_t-4_encoded,audio_voice_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_sum_10_17_t-3_encoded,audio_amp_std_sum_10_17_t-3_encoded,audio_convo_duration_sum_10_17_t-3_encoded,audio_convo_num_sum_10_17_t-3_encoded,audio_voice_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_sum_10_17_t-2_encoded,audio_amp_std_sum_10_17_t-2_encoded,audio_convo_duration_sum_10_17_t-2_encoded,audio_convo_num_sum_10_17_t-2_encoded,audio_voice_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_sum_10_17_t-1_encoded,audio_amp_std_sum_10_17_t-1_encoded,audio_convo_duration_sum_10_17_t-1_encoded,audio_convo_num_sum_10_17_t-1_encoded,audio_voice_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_sum_10_17_t-0_encoded,audio_amp_std_sum_10_17_t-0_encoded,audio_convo_duration_sum_10_17_t-0_encoded,audio_convo_num_sum_10_17_t-0_encoded,audio_voice_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_sum_10_17_mean_encoded,audio_amp_std_sum_10_17_mean_encoded,audio_convo_duration_sum_10_17_mean_encoded,audio_convo_num_sum_10_17_mean_encoded,audio_voice_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_sum_10_17_std_encoded,audio_amp_std_sum_10_17_std_encoded,audio_convo_duration_sum_10_17_std_encoded,audio_convo_num_sum_10_17_std_encoded,audio_voice_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_sum_10_17_skew_encoded,audio_amp_std_sum_10_17_skew_encoded,audio_convo_duration_sum_10_17_skew_encoded,audio_convo_num_sum_10_17_skew_encoded,audio_voice_sum_10_17_skew_encoded,anomaly_encoded
5.0,0.0,1.0,2.0,7298.0471366,5428.5510896,13728.0,17.0,2.776549746,6.0,1.0,1.0,2.0,571.9711538,1217.634598,700.0,1.0,0.115384615,7.0,1.0,1.0,2.0,13671.9860061,8791.9556285,14571.0,17.0,3.380637678,1.0,0.0,1.0,2.0,6025.6210326,6064.86463939,10202.0,19.0,1.96750773,2.0,0.0,1.0,2.0,3237.9303222,3089.0095281,5817.0,12.0,0.980050735,3.0,0.0,1.0,2.0,5073.9901881000005,4402.10578864,9355.0,19.0,1.725905768,4.0,0.0,1.0,2.0,4851.5243348,4047.1951992,5249.0,12.0,1.069862691,5.0,0.0,1.0,2.0,5829.72364,5020.1759424,8743.0,17.0,1.357754467,4.125,0.25,1.0,2.0,5820.099226775001,4757.68655172875,8545.625,14.25,1.67170667875,2.03100960115899,0.4629100498862757,0.0,0.0,3771.77579250626,2218.4514525234813,4574.256221741723,6.017830648521585,1.0414870998540933,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.1509611434535834,0.3279605318954756,-0.3503672071942122,-1.8111856116624605,0.339929305707814,-1.0,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
5.0,0.0,1.0,2.0,5829.72364,5020.1759424,8743.0,17.0,1.357754467,6.0,1.0,0.0,2.0,12184.2364978,8574.0274331,9231.347,14.0,2.592172744,7.0,1.0,0.0,2.0,6957.7745726,5594.5130164,3778.0,6.0,1.355724302,1.0,0.0,0.0,2.0,6449.0062952,4069.6714677,6485.0,10.0,1.159004576,2.0,0.0,0.0,2.0,6904.8790502,5246.6790241,8688.0,16.0,1.752973692,3.0,0.0,0.0,2.0,6628.004945199999,4678.1237189,10859.0,20.0,1.926998168,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,4368.49168327,3973.112802090001,6165.0,11.0,1.126466051,4.125,0.25,0.125,2.25,6165.264585533751,4644.53792558625,6743.668375,11.75,1.40888675,2.03100960115899,0.4629100498862757,0.3535533905932738,0.4629100498862757,3360.468303099124,2366.4669860849085,3496.45269663428,6.475227519444505,0.7482938872039678,-0.2238027108715141,1.4401645996461911,2.8284271247461903,1.4401645996461911,-0.1059241019587075,-0.5588106441813532,-1.0362386935334054,-0.7182398758831147,-0.4538593956890547,-3.0,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,0,1,1,1
4.0,0.0,0.0,3.0,5705.1823002,6011.816088799999,8597.0,16.0,1.142985361,5.0,0.0,0.0,3.0,11468.1824276,8342.84929721,13207.161,19.0,2.342965403,6.0,1.0,0.0,3.0,15333.295374,12000.148977,24856.776,27.0,5.240616391,7.0,1.0,0.0,3.0,6148.863926309999,6289.12495562,7595.243,13.0,1.578662628,1.0,0.0,0.0,3.0,5221.283168800001,5505.64817992,9398.0,18.0,1.4789188430000002,2.0,0.0,0.0,3.0,2751.8046466,3111.1834823900003,2380.0,7.0,0.441133836,3.0,0.0,0.0,3.0,904.04838325,1798.079245,821.0,3.0,0.195172359,4.0,0.0,0.0,3.0,5382.8089056,5249.8775981,7473.164,16.0,1.437345432,4.0,0.25,0.0,3.0,6614.433641545,6038.590978005001,9291.043,14.875,1.732225031625,2.0,0.4629100498862757,0.0,0.0,4653.832378188419,3125.2660588556537,7404.686980663474,7.395703385846986,1.5690381007084997,0.0,1.4401645996461911,0.0,0.0,0.99757478926109,0.7621671266574691,1.3523759363328545,-0.1334478758971879,1.8431488069071211,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
7.0,1.0,0.0,3.0,58.94318182,103.6263894,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10924.1391468,7757.1995519,17163.895000000004,23.0,3.5175796000000004,2.0,0.0,0.0,3.0,7933.2938867,7179.1234787,12405.0,20.0,2.4898154320000003,3.0,0.0,0.0,3.0,8460.653323999999,9378.0710832,9592.0,20.0,2.18701267,4.0,0.0,0.0,3.0,2306.4460304,2485.6491833,4931.000000000001,8.0,0.8520673089999999,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5367.4942837,6563.8768465,8537.359,15.0,1.735054992,2.0,0.0,0.0,3.0,6715.5952301,6488.2565437,10283.0,13.0,2.189145717,3.375,0.25,0.0,3.0,5220.82063544,4994.4753845875,7864.03175,12.375,1.621334465,2.445841952609133,0.4629100498862757,0.0,0.0,4053.803497435607,3614.9499826192464,5960.431028827189,8.959233066666876,1.2452516361831345,0.8262576084412339,1.4401645996461911,0.0,0.0,-0.1766208498116561,-0.5420032148030334,-0.0722536760872977,-0.4686908009995972,-0.1124825478453994,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,6101.115194600001,7093.2289963,5322.0,10.0,1.299524538,2.0,0.0,0.0,3.0,10733.539776,6178.80185152,10432.3,13.0,2.136124885,3.0,0.0,0.0,3.0,5724.6200149,4784.118254720001,5915.0,14.0,1.088193869,4.0,0.0,0.0,3.0,7455.6192906,7342.462102559999,7565.0,15.0,1.802048431,5.0,0.0,0.0,3.0,16012.0729158,8188.8106458,14679.835,20.0,3.238709864,6.0,1.0,0.0,3.0,7225.6269278,8281.2624664,1531.0,3.0,0.490025357,7.0,1.0,0.0,3.0,7035.8031083000005,9275.01990885,4500.116,9.0,1.488800961,1.0,0.0,0.0,3.0,8087.9018139,5958.5853503,13449.681,19.0,2.706815756,3.625,0.25,0.0,3.0,8547.0373802375,7137.78619705625,7924.3665,12.875,1.781280457625,2.2638462845343543,0.4629100498862757,0.0,0.0,3378.251384526616,1457.676932383741,4566.881110183623,5.540435774506241,0.8922206418116496,0.2262499558606612,1.4401645996461911,0.0,0.0,1.8881510361773917,-0.1926921004477175,0.3309390056987676,-0.495484617060637,0.3514519404692351,-10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,7455.6192906,7342.462102559999,7565.0,15.0,1.802048431,5.0,0.0,0.0,3.0,16012.0729158,8188.8106458,14679.835,20.0,3.238709864,6.0,1.0,0.0,3.0,7225.6269278,8281.2624664,1531.0,3.0,0.490025357,7.0,1.0,0.0,3.0,7035.8031083000005,9275.01990885,4500.116,9.0,1.488800961,1.0,0.0,0.0,3.0,8087.9018139,5958.5853503,13449.681,19.0,2.706815756,2.0,0.0,0.0,3.0,4795.5309951,4295.1280789,5149.0,10.0,1.130231482,3.0,0.0,0.0,3.0,6480.0160036,5514.701885779999,9740.0,14.0,2.106621413,4.0,0.0,0.0,3.0,3793.4010351,3378.72162136,5353.0,12.0,0.929165975,4.0,0.25,0.0,3.0,7610.746511275,6529.33650749375,7745.954,12.75,1.7365524048749998,2.0,0.4629100498862757,0.0,0.0,3685.667614867082,2080.396642029628,4570.896874817488,5.548487567410986,0.9237993884297592,0.0,1.4401645996461911,0.0,0.0,1.953427445618107,-0.2638677193486998,0.4415476316313305,-0.4039477923873482,0.3992907846766501,12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,7225.6269278,8281.2624664,1531.0,3.0,0.490025357,7.0,1.0,0.0,3.0,7035.8031083000005,9275.01990885,4500.116,9.0,1.488800961,1.0,0.0,0.0,3.0,8087.9018139,5958.5853503,13449.681,19.0,2.706815756,2.0,0.0,0.0,3.0,4795.5309951,4295.1280789,5149.0,10.0,1.130231482,3.0,0.0,0.0,3.0,6480.0160036,5514.701885779999,9740.0,14.0,2.106621413,4.0,0.0,0.0,3.0,3793.4010351,3378.72162136,5353.0,12.0,0.929165975,5.0,0.0,0.0,3.0,8758.7544128,10743.9620903,5542.0,15.0,1.070779067,6.0,1.0,0.0,3.0,7240.9973111,6088.42672142,9491.274,13.0,2.06097096,4.25,0.375,0.0,3.0,6677.2539509625,6691.976015413749,6844.508875,11.875,1.497926371375,2.1213203435596424,0.5175491695067657,0.0,0.0,1646.0359435721564,2524.937935150282,3770.997712592837,4.733995594179856,0.7373730277548423,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.7875112555827751,0.4187541396491561,0.5600921309561429,-0.5855754401615824,0.3967905754394012,-3.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,4795.5309951,4295.1280789,5149.0,10.0,1.130231482,3.0,0.0,0.0,3.0,6480.0160036,5514.701885779999,9740.0,14.0,2.106621413,4.0,0.0,0.0,3.0,3793.4010351,3378.72162136,5353.0,12.0,0.929165975,5.0,0.0,0.0,3.0,8758.7544128,10743.9620903,5542.0,15.0,1.070779067,6.0,1.0,0.0,3.0,7240.9973111,6088.42672142,9491.274,13.0,2.06097096,7.0,1.0,0.0,3.0,13516.632439599998,7182.006045550001,7997.424,11.0,1.906409886,1.0,0.0,0.0,3.0,4182.7648248000005,4265.38752,6562.0,11.0,1.020226954,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.75,0.25,0.0,3.0,6096.0121277625,5183.54174541375,6229.3372500000005,10.75,1.2780507171250002,2.1213203435596424,0.4629100498862757,0.0,0.0,3989.797711669225,3107.5802382525208,3103.3150520267723,4.652188425123938,0.715217060434631,0.3142696805273544,1.4401645996461911,0.0,0.0,0.5431648615822746,0.216093275785368,-1.0225669902469008,-2.1154741078987263,-0.4490341346447641,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
6.0,1.0,0.0,3.0,3953.1237838,3939.0621863,8698.0,16.0,1.5999709830000002,7.0,1.0,0.0,3.0,6628.99354307,5681.86359052,6889.366,10.0,1.671816994,1.0,0.0,1.0,3.0,5964.10335286,3638.392138299,8536.583,5.0,1.977479619,2.0,0.0,1.0,3.0,9359.8443979,9695.2809371,7955.907999999999,14.0,2.353498009,3.0,0.0,1.0,3.0,7219.34735369,4943.700241724,9228.074,8.0,2.669421614,4.0,0.0,1.0,3.0,5779.966978009999,3870.142291051001,2822.0,4.0,0.3397897529999999,5.0,0.0,1.0,3.0,6628.923212109999,5887.685189010001,7975.0,14.0,1.4753408019999998,6.0,1.0,1.0,3.0,813.27922574,871.2819810799999,1413.0,2.0,0.214054911,4.25,0.375,0.75,3.0,5793.4477308975,4815.9260693855,6689.7413750000005,9.125,1.537671585625,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,2517.5585295128867,2516.606159445036,2927.3439872223976,5.221863378417434,0.8744390286996169,-0.3142696805273544,0.6440611887195306,-1.4401645996461911,0.0,-0.9587836854724284,0.6395822619162401,-1.2898425803822071,-0.014171437357697,-0.5576973062132261,-1.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
7.0,1.0,1.0,3.0,3527.7159205000003,3943.8557758,1492.0,2.0,0.674624105,1.0,0.0,1.0,3.0,2116.55401557,1712.0648336,3150.178,4.0,0.721007934,2.0,0.0,1.0,3.0,7779.352489999999,9725.4011783,6998.925,16.0,2.022441018,3.0,0.0,1.0,3.0,5627.5870796,5645.388268572001,7466.596,14.0,1.3011575359999998,4.0,0.0,1.0,4.0,9858.83061485,6907.7240766,14928.187,26.0,2.77104398,5.0,0.0,1.0,4.0,7002.627101600001,4680.468539,8640.0,8.0,2.134890541,6.0,1.0,1.0,4.0,10401.2602973,6676.7513705,13971.597,18.0,2.8893193420000003,7.0,1.0,1.0,4.0,5158.62134142,7402.8820923,3846.0,11.0,0.982798594,4.375,0.375,1.0,3.5,6434.068607605,5836.817016834,7561.685375,12.375,1.68716038125,2.2638462845343543,0.5175491695067657,0.0,0.5345224838248488,2902.3549200234224,2431.831991715721,4883.640512217322,7.854707414756362,0.8893552407549855,-0.2262499558606612,0.6440611887195306,0.0,0.0,-0.0187446344267666,-0.186111752481919,0.4961909827706668,0.3807574111752249,0.214249363437906,4.0,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
