week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_sum_10_17_t-7_encoded,audio_amp_std_sum_10_17_t-7_encoded,audio_convo_duration_sum_10_17_t-7_encoded,audio_convo_num_sum_10_17_t-7_encoded,audio_voice_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_sum_10_17_t-6_encoded,audio_amp_std_sum_10_17_t-6_encoded,audio_convo_duration_sum_10_17_t-6_encoded,audio_convo_num_sum_10_17_t-6_encoded,audio_voice_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_sum_10_17_t-5_encoded,audio_amp_std_sum_10_17_t-5_encoded,audio_convo_duration_sum_10_17_t-5_encoded,audio_convo_num_sum_10_17_t-5_encoded,audio_voice_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_sum_10_17_t-4_encoded,audio_amp_std_sum_10_17_t-4_encoded,audio_convo_duration_sum_10_17_t-4_encoded,audio_convo_num_sum_10_17_t-4_encoded,audio_voice_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_sum_10_17_t-3_encoded,audio_amp_std_sum_10_17_t-3_encoded,audio_convo_duration_sum_10_17_t-3_encoded,audio_convo_num_sum_10_17_t-3_encoded,audio_voice_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_sum_10_17_t-2_encoded,audio_amp_std_sum_10_17_t-2_encoded,audio_convo_duration_sum_10_17_t-2_encoded,audio_convo_num_sum_10_17_t-2_encoded,audio_voice_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_sum_10_17_t-1_encoded,audio_amp_std_sum_10_17_t-1_encoded,audio_convo_duration_sum_10_17_t-1_encoded,audio_convo_num_sum_10_17_t-1_encoded,audio_voice_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_sum_10_17_t-0_encoded,audio_amp_std_sum_10_17_t-0_encoded,audio_convo_duration_sum_10_17_t-0_encoded,audio_convo_num_sum_10_17_t-0_encoded,audio_voice_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_sum_10_17_mean_encoded,audio_amp_std_sum_10_17_mean_encoded,audio_convo_duration_sum_10_17_mean_encoded,audio_convo_num_sum_10_17_mean_encoded,audio_voice_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_sum_10_17_std_encoded,audio_amp_std_sum_10_17_std_encoded,audio_convo_duration_sum_10_17_std_encoded,audio_convo_num_sum_10_17_std_encoded,audio_voice_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_sum_10_17_skew_encoded,audio_amp_std_sum_10_17_skew_encoded,audio_convo_duration_sum_10_17_skew_encoded,audio_convo_num_sum_10_17_skew_encoded,audio_voice_sum_10_17_skew_encoded,anomaly_encoded
4.0,0.0,0.0,3.0,9731.2813469,5910.9716843,17293.675,22.0,3.751722904,5.0,0.0,0.0,3.0,6516.27413888,6013.47391574,6852.98,11.0,1.58490834,6.0,1.0,0.0,3.0,21555.5477719,11832.232056599998,15484.0,13.0,4.024196577,7.0,1.0,0.0,3.0,1945.76035973,1598.69095283,712.905,2.0,0.313837156,1.0,0.0,0.0,3.0,8246.9836543,3857.1972507,13807.481,25.0,2.62038385,2.0,0.0,0.0,3.0,7462.736353820001,6692.331505599999,7722.711,15.0,1.935434294,3.0,0.0,0.0,3.0,6244.2618289,5303.7107802,10725.0,18.0,2.288232621,4.0,0.0,0.0,3.0,7751.524479199999,7553.48206628,9373.0,21.0,1.899247577,4.0,0.25,0.0,3.0,8681.796241703749,6095.26127653125,10246.469,15.875,2.302245414875,2.0,0.4629100498862757,0.0,0.0,5674.261580536165,2959.03009533291,5339.095087000685,7.3375258578274,1.1912062767992635,0.0,1.4401645996461911,0.0,0.0,1.878522755049876,0.6580117438933161,-0.4798171028613481,-0.8088998251028984,-0.0182914111006361,10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,1945.76035973,1598.69095283,712.905,2.0,0.313837156,1.0,0.0,0.0,3.0,8246.9836543,3857.1972507,13807.481,25.0,2.62038385,2.0,0.0,0.0,3.0,7462.736353820001,6692.331505599999,7722.711,15.0,1.935434294,3.0,0.0,0.0,3.0,6244.2618289,5303.7107802,10725.0,18.0,2.288232621,4.0,0.0,0.0,3.0,7751.524479199999,7553.48206628,9373.0,21.0,1.899247577,5.0,0.0,0.0,3.0,14094.0459576,9983.9461731,10424.258,16.0,2.24486679,6.0,1.0,0.0,3.0,8446.1748185,7064.971531300001,8170.618999999999,13.0,1.9097965180000005,7.0,1.0,0.0,3.0,4659.24315021,4741.06496878,3591.0,3.0,0.7603516330000001,4.375,0.375,0.0,3.0,7356.341325282499,5849.42440359875,8065.87175,14.125,1.7465188048750002,2.2638462845343543,0.5175491695067657,0.0,0.0,3491.4299137381586,2556.507044393511,4166.652275389295,8.078852464481397,0.7942851088806462,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.5752967790198149,-0.0936697485377867,-0.6945276760892266,-0.5361991896809463,-1.1156483776224515,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,6244.2618289,5303.7107802,10725.0,18.0,2.288232621,4.0,0.0,0.0,3.0,7751.524479199999,7553.48206628,9373.0,21.0,1.899247577,5.0,0.0,0.0,3.0,14094.0459576,9983.9461731,10424.258,16.0,2.24486679,6.0,1.0,0.0,3.0,8446.1748185,7064.971531300001,8170.618999999999,13.0,1.9097965180000005,7.0,1.0,0.0,3.0,4659.24315021,4741.06496878,3591.0,3.0,0.7603516330000001,1.0,0.0,0.0,3.0,5617.1137828,7881.04146777,5003.000000000001,9.0,1.2310793250000005,2.0,0.0,0.0,3.0,7378.972472040001,7928.029841349999,6601.0,11.0,1.491182941,3.0,0.0,0.0,3.0,2371.3701621499995,2850.02939295,101.0,2.0,0.121584881,3.875,0.25,0.0,3.0,7070.338331425,6663.28452771625,6748.609625,11.625,1.4932927857500002,2.03100960115899,0.4629100498862757,0.0,0.0,3432.4628863526286,2240.771361880196,3692.884291417441,6.802048010919736,0.7580626752113557,0.2238027108715141,1.4401645996461911,0.0,0.0,1.0740866534085425,-0.4037444037811728,-0.7454107030502596,-0.2313308776243846,-0.8424460341493746,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,4659.24315021,4741.06496878,3591.0,3.0,0.7603516330000001,1.0,0.0,0.0,3.0,5617.1137828,7881.04146777,5003.000000000001,9.0,1.2310793250000005,2.0,0.0,0.0,3.0,7378.972472040001,7928.029841349999,6601.0,11.0,1.491182941,3.0,0.0,0.0,3.0,2371.3701621499995,2850.02939295,101.0,2.0,0.121584881,4.0,0.0,0.0,3.0,2483.95349724,3360.89500571,0.0,0.0,0.051610856,5.0,0.0,0.0,3.0,3007.41650356,3349.24460395,2156.109,6.0,0.5583460950000001,6.0,1.0,0.0,3.0,881.2101927900001,2036.21632527,0.0,0.0,0.011243911,7.0,1.0,0.0,3.0,20224.12201289,9302.3034693,11850.763,20.0,3.282397446,4.375,0.375,0.0,3.0,5827.92522171,5181.103134384999,3662.859,6.375,0.938474636,2.2638462845343543,0.5175491695067657,0.0,0.0,6171.613214092015,2777.6218055479244,4127.707652836621,6.823017765517794,1.0938070265325244,-0.2262499558606612,0.6440611887195306,0.0,0.0,2.239314108400237,0.4832667666950217,1.164091774373675,1.2029161438880682,1.5968401782470063,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,2371.3701621499995,2850.02939295,101.0,2.0,0.121584881,4.0,0.0,0.0,3.0,2483.95349724,3360.89500571,0.0,0.0,0.051610856,5.0,0.0,0.0,3.0,3007.41650356,3349.24460395,2156.109,6.0,0.5583460950000001,6.0,1.0,0.0,3.0,881.2101927900001,2036.21632527,0.0,0.0,0.011243911,7.0,1.0,0.0,3.0,20224.12201289,9302.3034693,11850.763,20.0,3.282397446,1.0,0.0,0.0,3.0,591.42253224,1612.02472656,0.0,0.0,0.068042942,2.0,0.0,0.0,3.0,18687.80532717,15318.8840105,14516.553,18.0,3.909513554,3.0,0.0,0.0,3.0,19134.1256508,14170.6825863,9023.0,13.0,2.296335661,3.875,0.25,0.0,3.0,8422.678234855,6500.0350150675,4705.928124999999,7.375,1.28738441825,2.03100960115899,0.4629100498862757,0.0,0.0,9093.138400854445,5623.7529841411,6095.412262660347,8.4335638967165,1.6215808318961642,0.2238027108715141,1.4401645996461911,0.0,0.0,0.6220059414307747,0.9023944440146876,0.8095895562911155,0.6441330735882507,0.859725811481213,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,2483.95349724,3360.89500571,0.0,0.0,0.051610856,5.0,0.0,0.0,3.0,3007.41650356,3349.24460395,2156.109,6.0,0.5583460950000001,6.0,1.0,0.0,3.0,881.2101927900001,2036.21632527,0.0,0.0,0.011243911,7.0,1.0,0.0,3.0,20224.12201289,9302.3034693,11850.763,20.0,3.282397446,1.0,0.0,0.0,3.0,591.42253224,1612.02472656,0.0,0.0,0.068042942,2.0,0.0,0.0,3.0,18687.80532717,15318.8840105,14516.553,18.0,3.909513554,3.0,0.0,0.0,3.0,19134.1256508,14170.6825863,9023.0,13.0,2.296335661,4.0,0.0,0.0,3.0,4454.60083704,4212.242133330001,8506.0,12.0,1.694609398,4.0,0.25,0.0,3.0,8683.08206921625,6670.311607615,5756.553125,8.625,1.484012482875,2.0,0.4629100498862757,0.0,0.0,8923.332092476294,5517.060367247012,5909.834837627878,8.262436513696013,1.5539862849783674,0.0,1.4401645996461911,0.0,0.0,0.5840814316412077,0.8738419186580142,0.3093638526471276,0.1604125973239652,0.5515006828224737,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,4454.60083704,4212.242133330001,8506.0,12.0,1.694609398,5.0,0.0,0.0,3.0,2248.77241533,4127.25114327,121.0,1.0,0.1230574539999999,6.0,1.0,0.0,3.0,6040.40246572,8373.789661570001,2912.0,5.0,0.7685379210000001,7.0,1.0,0.0,3.0,11471.73334111,8162.56317413,17281.448,24.0,2.95037012,1.0,0.0,0.0,3.0,18588.44571827,13897.34312287,9512.0,17.0,2.171022708,2.0,0.0,0.0,3.0,12106.3307701,12890.7298106,3470.026,10.0,0.720788435,3.0,0.0,0.0,3.0,22645.203518,17509.8491556,11567.0,19.0,2.611787886,4.0,0.0,0.0,3.0,17333.8020894,10354.5694425,5116.0,8.0,1.358161791,4.0,0.25,0.0,3.0,11861.161394371253,9941.04220548375,7310.68425,12.0,1.549791964125,2.0,0.4629100498862757,0.0,0.0,7298.237291941526,4691.168028840768,5534.491869717651,7.634508123364221,0.9904005287845764,0.0,1.4401645996461911,0.0,0.0,0.1130728303713864,0.2347896380303199,0.6255707474180879,0.192623835292494,0.0451179640165185,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,11471.73334111,8162.56317413,17281.448,24.0,2.95037012,1.0,0.0,0.0,3.0,18588.44571827,13897.34312287,9512.0,17.0,2.171022708,2.0,0.0,0.0,3.0,12106.3307701,12890.7298106,3470.026,10.0,0.720788435,3.0,0.0,0.0,3.0,22645.203518,17509.8491556,11567.0,19.0,2.611787886,4.0,0.0,0.0,3.0,17333.8020894,10354.5694425,5116.0,8.0,1.358161791,5.0,0.0,0.0,3.0,11993.76550096,11347.08061079,3732.0,7.0,0.786416556,6.0,1.0,0.0,3.0,9457.01258743,6922.18894345,15840.999999999998,18.0,3.091730167,7.0,1.0,0.0,3.0,14105.1225696,9368.4670987,7818.303,14.0,1.7702251750000002,4.375,0.375,0.0,3.0,14712.677011858748,11306.59891983,9292.222125,14.625,1.93256285475,2.2638462845343543,0.5175491695067657,0.0,0.0,4431.981560428606,3411.6210045867474,5296.419883205108,5.950690236074659,0.9286048612589032,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.78360818293919,0.65507927514764,0.4580263472356032,0.1141504263515687,-0.1284435134592168,15.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,22645.203518,17509.8491556,11567.0,19.0,2.611787886,4.0,0.0,0.0,3.0,17333.8020894,10354.5694425,5116.0,8.0,1.358161791,5.0,0.0,0.0,3.0,11993.76550096,11347.08061079,3732.0,7.0,0.786416556,6.0,1.0,0.0,3.0,9457.01258743,6922.18894345,15840.999999999998,18.0,3.091730167,7.0,1.0,0.0,3.0,14105.1225696,9368.4670987,7818.303,14.0,1.7702251750000002,1.0,0.0,0.0,3.0,22784.0989052,15738.58469043,8311.184000000001,14.0,1.354310035,2.0,0.0,0.0,3.0,18774.387832,15638.4804786,8555.162,12.0,2.173886649,3.0,0.0,0.0,3.0,22601.681512,16393.6101145,10193.372,15.0,2.7374433970000003,3.875,0.25,0.0,3.0,17461.88431432375,12909.10381682125,8891.752625000001,13.375,1.985495207,2.03100960115899,0.4629100498862757,0.0,0.0,5190.588956728127,3893.381219148152,3772.555081577204,4.274091382136927,0.8011588442912352,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.3898198098313333,-0.3123536621624918,0.5827908715319948,-0.3300250412628037,-0.0744777437225244,-4.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,26941.50566468,18169.32855234,11330.609,17.0,3.269888368,1.0,0.0,0.0,3.0,21325.2380918,15465.4902744,6363.835,14.0,1.25007142,2.0,0.0,1.0,3.0,19322.69166454,16340.9713628,1703.0,7.0,0.534600012,3.0,0.0,1.0,3.0,13810.56080319,12256.5056256,6293.189,10.0,1.710279882,4.0,0.0,1.0,3.0,16140.96487307,11174.4467562,6421.204,9.0,1.186264005,5.0,0.0,1.0,3.0,12571.8786878,11349.0375935,2942.0,3.0,0.732075827,6.0,1.0,1.0,3.0,9005.6859955,6690.8980463,13026.999999999998,19.0,2.744184745,7.0,1.0,1.0,3.0,10998.1536812,8681.5420887,11996.056,22.0,2.560913678,4.375,0.375,0.75,3.0,16264.584932722502,12516.02753748,7509.611625,12.625,1.748534742125,2.2638462845343543,0.5175491695067657,0.4629100498862757,0.0,5964.889786585226,3912.503883314677,4204.193693816719,6.479362843454815,1.002760409600583,-0.2262499558606612,0.6440611887195306,-1.4401645996461911,0.0,0.701532021416069,0.0134735767858775,0.0471145201502191,0.0238298711919015,0.3596006678224061,-4.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
