week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_hr_4_t-7_encoded,audio_amp_std_hr_4_t-7_encoded,audio_convo_duration_hr_4_t-7_encoded,audio_convo_num_hr_4_t-7_encoded,audio_voice_hr_4_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_hr_4_t-6_encoded,audio_amp_std_hr_4_t-6_encoded,audio_convo_duration_hr_4_t-6_encoded,audio_convo_num_hr_4_t-6_encoded,audio_voice_hr_4_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_hr_4_t-5_encoded,audio_amp_std_hr_4_t-5_encoded,audio_convo_duration_hr_4_t-5_encoded,audio_convo_num_hr_4_t-5_encoded,audio_voice_hr_4_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_hr_4_t-4_encoded,audio_amp_std_hr_4_t-4_encoded,audio_convo_duration_hr_4_t-4_encoded,audio_convo_num_hr_4_t-4_encoded,audio_voice_hr_4_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_hr_4_t-3_encoded,audio_amp_std_hr_4_t-3_encoded,audio_convo_duration_hr_4_t-3_encoded,audio_convo_num_hr_4_t-3_encoded,audio_voice_hr_4_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_hr_4_t-2_encoded,audio_amp_std_hr_4_t-2_encoded,audio_convo_duration_hr_4_t-2_encoded,audio_convo_num_hr_4_t-2_encoded,audio_voice_hr_4_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_hr_4_t-1_encoded,audio_amp_std_hr_4_t-1_encoded,audio_convo_duration_hr_4_t-1_encoded,audio_convo_num_hr_4_t-1_encoded,audio_voice_hr_4_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_hr_4_t-0_encoded,audio_amp_std_hr_4_t-0_encoded,audio_convo_duration_hr_4_t-0_encoded,audio_convo_num_hr_4_t-0_encoded,audio_voice_hr_4_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_hr_4_mean_encoded,audio_amp_std_hr_4_mean_encoded,audio_convo_duration_hr_4_mean_encoded,audio_convo_num_hr_4_mean_encoded,audio_voice_hr_4_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_hr_4_std_encoded,audio_amp_std_hr_4_std_encoded,audio_convo_duration_hr_4_std_encoded,audio_convo_num_hr_4_std_encoded,audio_voice_hr_4_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_hr_4_skew_encoded,audio_amp_std_hr_4_skew_encoded,audio_convo_duration_hr_4_skew_encoded,audio_convo_num_hr_4_skew_encoded,audio_voice_hr_4_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,19.89285714,8.726206717,0.0,0.0,0.0,7.0,1.0,0.0,3.0,2283.889385,407.1088115,3418.064,1.0,0.718435754,1.0,0.0,0.0,3.0,29.3706531,15.7102427,0.0,0.0,0.0,2.0,0.0,0.0,3.0,14.78746825,5.028088296,0.0,0.0,0.0,3.0,0.0,0.0,3.0,14.5250212,2.403350057,0.0,0.0,0.0,4.0,0.0,0.0,3.0,17.92134831,1.95439418,0.0,0.0,0.0,5.0,0.0,0.0,3.0,14.67146486,5.512861443,0.0,0.0,0.0,6.0,1.0,0.0,3.0,13.85328836,6.363793571,0.0,0.0,0.0,4.25,0.375,0.0,3.0,301.1139357775,56.600968558000005,427.258,0.125,0.08980446925,2.1213203435596424,0.5175491695067657,0.0,0.0,801.1786184876037,141.69229871530845,1208.4681164648075,0.3535533905932738,0.2540053967501351,-0.3142696805273544,0.6440611887195306,0.0,0.0,2.828196720509033,2.823221623622495,2.8284271247461903,2.8284271247461903,2.82842712474619,-8.0,-1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,0
7.0,1.0,0.0,3.0,13.23922232,7.227103354,0.0,0.0,0.0,1.0,0.0,0.0,3.0,43.40118745,16.79354349,0.0,0.0,0.0,2.0,0.0,0.0,3.0,40.53496209,15.15895278,0.0,0.0,0.0,3.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,16.28994083,11.95128002,0.0,0.0,0.0,5.0,0.0,0.0,3.0,16.58028169,1.265425355,0.0,0.0,0.0,6.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,4.375,0.375,0.0,3.0,26.009118876,10.4792609998,0.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,14.662194762221938,6.312840390071469,0.0,0.0,0.0,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.5931323958262227,-0.7604947909187995,0.0,0.0,0.0,-5.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,16.28994083,11.95128002,0.0,0.0,0.0,5.0,0.0,0.0,3.0,16.58028169,1.265425355,0.0,0.0,0.0,6.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,15.34008439,5.457155407,0.0,0.0,0.0,3.0,0.0,0.0,3.0,41.73715249,11.83735579,0.0,0.0,0.0,3.875,0.25,0.0,3.0,22.48686485,7.627804143,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,12.844449347244945,5.215500886934769,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,1.9897275249615485,-0.528020491829149,0.0,0.0,0.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,39.52033898,3.65950259,0.0,0.0,0.0,5.0,0.0,0.0,3.0,36.84771574,25.72095127,0.0,0.0,0.0,6.0,1.0,0.0,3.0,15.63659148,5.402350837,0.0,0.0,0.0,7.0,1.0,0.0,3.0,17.68927973,6.33313868,0.0,0.0,0.0,1.0,0.0,0.0,3.0,51.23599321,17.07489728,0.0,0.0,0.0,2.0,0.0,1.0,3.0,53.63611111,7.303220476,0.0,0.0,0.0,3.0,0.0,1.0,3.0,22.16104553,35.90509131,0.0,0.0,0.0,4.0,0.0,1.0,3.0,15.05147679,1.762205158,0.0,0.0,0.0,4.0,0.25,0.375,3.0,31.47231907125,12.895169700125,0.0,0.0,0.0,2.0,0.4629100498862757,0.5175491695067657,0.0,15.913104773874224,12.254096785669212,0.0,0.0,0.0,0.0,1.4401645996461911,0.6440611887195306,0.0,0.3525957495591383,1.1717623093043483,0.0,0.0,0.0,-12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,36.84771574,25.72095127,0.0,0.0,0.0,6.0,1.0,0.0,3.0,15.63659148,5.402350837,0.0,0.0,0.0,7.0,1.0,0.0,3.0,17.68927973,6.33313868,0.0,0.0,0.0,1.0,0.0,0.0,3.0,51.23599321,17.07489728,0.0,0.0,0.0,2.0,0.0,1.0,3.0,53.63611111,7.303220476,0.0,0.0,0.0,3.0,0.0,1.0,3.0,22.16104553,35.90509131,0.0,0.0,0.0,4.0,0.0,1.0,3.0,15.05147679,1.762205158,0.0,0.0,0.0,5.0,0.0,1.0,3.0,16.07516892,10.98787377,0.0,0.0,0.0,4.125,0.25,0.5,3.0,28.54167281375,13.811216097625,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,16.371492790151166,11.727667646606855,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.8674978989026394,1.1157871685682252,0.0,0.0,0.0,-11.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,44.08164983,5.384311289,0.0,0.0,0.0,2.0,0.0,1.0,4.0,13.51426175,4.241034518,0.0,0.0,0.0,3.0,0.0,1.0,4.0,30.78246206,18.48316027,0.0,0.0,0.0,4.0,0.0,1.0,4.0,24.6011236,12.84035068,0.0,0.0,0.0,5.0,0.0,1.0,4.0,44.43305085,19.82712812,0.0,0.0,0.0,6.0,1.0,1.0,4.0,61.30187075,24.1833247,0.0,0.0,0.0,7.0,1.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,3.625,0.25,1.0,4.0,36.45240314,14.1598849295,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,16.959667287078297,8.104482176228666,0.0,0.0,0.0,0.2262499558606612,1.4401645996461911,0.0,0.0,0.1464225258759737,-0.2164607684649582,0.0,0.0,0.0,8.0,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,26.01136364,15.66462744,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1383.557491,886.2083717,1542.0,3.0,0.487108014,4.0,0.0,1.0,4.0,20.44435146,16.76345521,0.0,0.0,0.0,5.0,0.0,1.0,4.0,21.48774303,25.36691978,0.0,0.0,0.0,6.0,1.0,0.0,4.0,-1.0,-1.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,30.79067797,6.206973761,0.0,0.0,0.0,3.0,0.0,0.0,4.0,-1.0,-1.0,0.0,0.0,0.0,3.875,0.25,0.625,4.0,296.45832542,190.0420695782,192.75,0.375,0.06088850175,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,607.7207394937806,389.22799814156,545.1793282948281,1.0606601717798212,0.1722186899348558,0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,2.235813751727174,2.234366850580868,2.8284271247461903,2.8284271247461903,2.82842712474619,1.0,-1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,0,1,1,1,2,2,2,0
4.0,0.0,0.0,4.0,21.64750634,10.54884425,0.0,0.0,0.0,5.0,0.0,0.0,4.0,28.03477523,3.806780948,0.0,0.0,0.0,6.0,1.0,0.0,4.0,35.04456825,19.96998353,0.0,0.0,0.0,7.0,1.0,0.0,4.0,18.44030483,8.741999681,0.0,0.0,0.0,1.0,0.0,0.0,4.0,25.88709677,11.92563203,0.0,0.0,0.0,2.0,0.0,0.0,4.0,28.42375737,11.73434715,0.0,0.0,0.0,3.0,0.0,0.0,4.0,20.07744108,7.294252812,0.0,0.0,0.0,4.0,0.0,0.0,4.0,24.11252115,4.24144752,0.0,0.0,0.0,4.0,0.25,0.0,4.0,25.2084963775,9.782910990125,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,5.365931164190142,5.161136651998005,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,0.6363278236620221,0.9348715961051384,0.0,0.0,0.0,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,4.0,18.44030483,8.741999681,0.0,0.0,0.0,1.0,0.0,0.0,4.0,25.88709677,11.92563203,0.0,0.0,0.0,2.0,0.0,0.0,4.0,28.42375737,11.73434715,0.0,0.0,0.0,3.0,0.0,0.0,4.0,20.07744108,7.294252812,0.0,0.0,0.0,4.0,0.0,0.0,4.0,24.11252115,4.24144752,0.0,0.0,0.0,5.0,0.0,0.0,4.0,18.99234043,5.969634585,0.0,0.0,0.0,6.0,1.0,0.0,4.0,-1.0,-1.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,24.50627615,13.86614742,0.0,0.0,0.0,4.375,0.375,0.0,4.0,22.91996254,9.110494456857143,0.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,3.799291751221813,3.5221437254696397,0.0,0.0,0.0,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.1067047375608483,-0.0241926600565099,0.0,0.0,0.0,1.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,20.07744108,7.294252812,0.0,0.0,0.0,4.0,0.0,0.0,4.0,24.11252115,4.24144752,0.0,0.0,0.0,5.0,0.0,0.0,4.0,18.99234043,5.969634585,0.0,0.0,0.0,6.0,1.0,0.0,4.0,-1.0,-1.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,24.50627615,13.86614742,0.0,0.0,0.0,1.0,0.0,0.0,4.0,22.82693947,3.464331552,0.0,0.0,0.0,2.0,0.0,0.0,4.0,34.64971751,11.70983518,0.0,0.0,0.0,3.0,0.0,0.0,4.0,39.72777778,25.19575153,0.0,0.0,0.0,3.875,0.25,0.0,4.0,26.413287652857143,10.248771514142858,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,7.768740205443193,7.613464912733974,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,1.0902680323863343,1.45746994212611,0.0,0.0,0.0,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
