week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_sum_10_17_t-7_encoded,audio_amp_std_sum_10_17_t-7_encoded,audio_convo_duration_sum_10_17_t-7_encoded,audio_convo_num_sum_10_17_t-7_encoded,audio_voice_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_sum_10_17_t-6_encoded,audio_amp_std_sum_10_17_t-6_encoded,audio_convo_duration_sum_10_17_t-6_encoded,audio_convo_num_sum_10_17_t-6_encoded,audio_voice_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_sum_10_17_t-5_encoded,audio_amp_std_sum_10_17_t-5_encoded,audio_convo_duration_sum_10_17_t-5_encoded,audio_convo_num_sum_10_17_t-5_encoded,audio_voice_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_sum_10_17_t-4_encoded,audio_amp_std_sum_10_17_t-4_encoded,audio_convo_duration_sum_10_17_t-4_encoded,audio_convo_num_sum_10_17_t-4_encoded,audio_voice_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_sum_10_17_t-3_encoded,audio_amp_std_sum_10_17_t-3_encoded,audio_convo_duration_sum_10_17_t-3_encoded,audio_convo_num_sum_10_17_t-3_encoded,audio_voice_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_sum_10_17_t-2_encoded,audio_amp_std_sum_10_17_t-2_encoded,audio_convo_duration_sum_10_17_t-2_encoded,audio_convo_num_sum_10_17_t-2_encoded,audio_voice_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_sum_10_17_t-1_encoded,audio_amp_std_sum_10_17_t-1_encoded,audio_convo_duration_sum_10_17_t-1_encoded,audio_convo_num_sum_10_17_t-1_encoded,audio_voice_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_sum_10_17_t-0_encoded,audio_amp_std_sum_10_17_t-0_encoded,audio_convo_duration_sum_10_17_t-0_encoded,audio_convo_num_sum_10_17_t-0_encoded,audio_voice_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_sum_10_17_mean_encoded,audio_amp_std_sum_10_17_mean_encoded,audio_convo_duration_sum_10_17_mean_encoded,audio_convo_num_sum_10_17_mean_encoded,audio_voice_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_sum_10_17_std_encoded,audio_amp_std_sum_10_17_std_encoded,audio_convo_duration_sum_10_17_std_encoded,audio_convo_num_sum_10_17_std_encoded,audio_voice_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_sum_10_17_skew_encoded,audio_amp_std_sum_10_17_skew_encoded,audio_convo_duration_sum_10_17_skew_encoded,audio_convo_num_sum_10_17_skew_encoded,audio_voice_sum_10_17_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,10131.84084391,7714.81670504,1218.0,7.0,0.398534994,7.0,1.0,0.0,3.0,11829.07901389,9875.57663278,20299.633,24.0,2.979486102,1.0,0.0,0.0,3.0,1766.2173049500002,2526.80670671,4466.0,13.0,0.7231486359999999,2.0,0.0,0.0,3.0,14556.993150310002,13593.21733026,8890.0,19.0,1.8110682780000005,3.0,0.0,0.0,3.0,5715.608287520001,6318.577756163,5192.0,12.0,0.991097833,4.0,0.0,0.0,3.0,2539.2052920700003,2797.175289856,2506.0,8.0,0.482603854,5.0,0.0,0.0,3.0,4984.99229895,4234.7187468560005,5618.674999999999,4.0,1.28666045,6.0,1.0,0.0,3.0,5636.32473633,5211.983422995,4092.256,22.0,0.842157606,4.25,0.375,0.0,3.0,7145.03261599125,6534.1090738325,6535.3205,13.625,1.1893447191250002,2.1213203435596424,0.5175491695067657,0.0,0.0,4550.180530902398,3770.0946854823446,6004.825863516397,7.347254103210454,0.8537864307146208,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.539536584427415,0.9231246180731956,2.092297738817536,0.2374976171863511,1.5239522492627269,-8.0,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
7.0,1.0,0.0,3.0,6586.003064120001,5951.776662861,3491.0,3.0,1.116780572,1.0,0.0,0.0,3.0,2584.67208622,2493.69982702,1419.0,7.0,0.68274792,2.0,0.0,0.0,3.0,4295.55401194,3525.37532255,2632.375,8.0,0.837114391,3.0,0.0,0.0,3.0,3548.5011918,2461.93283984,6023.735,17.0,1.053383984,4.0,0.0,0.0,3.0,7381.1965516,5399.098936910001,7187.076,20.0,1.6374748449999998,5.0,0.0,0.0,3.0,8713.7309701,6964.612644699999,8186.866,28.0,2.4603561380000003,6.0,1.0,0.0,3.0,2717.31680241,3395.6456910300003,1061.073,3.0,0.399044016,7.0,1.0,0.0,3.0,4791.6554681,5994.4960186,2070.423,11.0,0.7201992790000001,4.375,0.375,0.0,3.0,5077.32876828625,4523.329742938875,4008.9435,12.125,1.113387643125,2.2638462845343543,0.5175491695067657,0.0,0.0,2255.7993338982124,1755.3169772770584,2749.902939671612,8.854982455415385,0.6567522756173557,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.5150873195977252,0.0624004378994051,0.551273037765963,0.7898467142939509,1.386054968579048,-5.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,3548.5011918,2461.93283984,6023.735,17.0,1.053383984,4.0,0.0,0.0,3.0,7381.1965516,5399.098936910001,7187.076,20.0,1.6374748449999998,5.0,0.0,0.0,3.0,8713.7309701,6964.612644699999,8186.866,28.0,2.4603561380000003,6.0,1.0,0.0,3.0,2717.31680241,3395.6456910300003,1061.073,3.0,0.399044016,7.0,1.0,0.0,3.0,4791.6554681,5994.4960186,2070.423,11.0,0.7201992790000001,1.0,0.0,0.0,3.0,3339.59958982,2626.7018615199995,1538.0,6.0,0.7202183600000001,2.0,0.0,0.0,3.0,7625.1239517,6647.16870174,6185.967000000001,12.0,1.5578869000000002,3.0,0.0,0.0,3.0,8646.1040449,6151.457025220001,6791.57,12.0,1.927170931,3.875,0.25,0.0,3.0,5845.40357130375,4955.139214944999,4880.58875,13.625,1.309466806625,2.03100960115899,0.4629100498862757,0.0,0.0,2508.4832057166104,1839.2236305070712,2842.8514208999864,7.945124291035352,0.7034917478518946,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.0579656874837156,-0.4908756598833703,-0.4655138156472045,0.6070993119954908,0.3447207063896046,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,3726.28487694,3295.2265171,3029.0,8.0,0.922509446,5.0,0.0,0.0,3.0,4293.69950477,2951.6279042200003,3996.0,5.0,1.241612118,6.0,1.0,0.0,3.0,4797.64012626,3614.36719973,1760.0,6.0,0.338627419,7.0,1.0,0.0,3.0,4158.95614801,4202.403823597,5548.0,21.0,0.925493396,1.0,0.0,0.0,3.0,3363.83959381,3045.68288178,4303.0,12.0,0.962858792,2.0,0.0,1.0,3.0,2939.7413456000004,1709.3633916599997,2583.994,4.0,0.689200603,3.0,0.0,1.0,3.0,6832.6862821,4539.97516912,6545.888,14.0,1.6699348399999998,4.0,0.0,1.0,3.0,6987.711256799999,5446.64703164,6957.6810000000005,15.0,1.901490216,4.0,0.25,0.375,3.0,4637.56989178625,3600.661739855875,4340.445375,10.625,1.08146585375,2.0,0.4629100498862757,0.5175491695067657,0.0,1514.222660728523,1137.1517903927788,1880.5713862497776,5.902481318419036,0.5090222669478321,0.0,1.4401645996461911,0.6440611887195306,0.0,0.8609938347195464,0.012840154438795,0.158040403183503,0.6074294279691248,0.4037518126971277,-12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,4293.69950477,2951.6279042200003,3996.0,5.0,1.241612118,6.0,1.0,0.0,3.0,4797.64012626,3614.36719973,1760.0,6.0,0.338627419,7.0,1.0,0.0,3.0,4158.95614801,4202.403823597,5548.0,21.0,0.925493396,1.0,0.0,0.0,3.0,3363.83959381,3045.68288178,4303.0,12.0,0.962858792,2.0,0.0,1.0,3.0,2939.7413456000004,1709.3633916599997,2583.994,4.0,0.689200603,3.0,0.0,1.0,3.0,6832.6862821,4539.97516912,6545.888,14.0,1.6699348399999998,4.0,0.0,1.0,3.0,6987.711256799999,5446.64703164,6957.6810000000005,15.0,1.901490216,5.0,0.0,1.0,3.0,5924.700915109999,4975.83229288,4772.544,11.0,1.438848057,4.125,0.25,0.5,3.0,4912.371896557501,3810.737461828375,4558.388375,11.0,1.146008180125,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,1524.6652382996406,1224.5435454930675,1806.443554596232,5.80640040940045,0.5186321132452772,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.268821901375431,-0.410906246534431,-0.2314723702775156,0.3969903181376923,-0.0511954399140559,-11.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,9351.6220485,7763.5795707,11560.339,14.0,2.395449826,2.0,0.0,1.0,4.0,25270.8220891,11224.0800115,19381.0,25.0,4.321938261,3.0,0.0,1.0,4.0,3236.69573647,3989.624542665,7779.0,20.0,1.319888344,4.0,0.0,1.0,4.0,12865.3971619,7965.802591399999,18191.049,21.0,3.945586197,5.0,0.0,1.0,4.0,5057.4775154,4964.21066001,13515.172,31.0,1.9424139570000003,6.0,1.0,1.0,4.0,18584.8391369,6816.625847296,14294.0,8.0,3.408308049,7.0,1.0,1.0,4.0,9667.13973208,9191.25628536,4763.794,18.0,1.321900709,1.0,0.0,1.0,4.0,3443.6873611,3926.5626042,6973.0,21.0,1.2693934540000005,3.625,0.25,1.0,4.0,10934.710097681247,6980.217764141376,12057.16925,19.75,2.490609849625,2.2638462845343543,0.4629100498862757,0.0,0.0,7762.600317842425,2586.878866784339,5291.284388962901,6.881652625434014,1.2450073698984352,0.2262499558606612,1.4401645996461911,0.0,0.0,0.9430086728463506,0.2779489253290897,0.0515731250067318,-0.1433413444498448,0.4744630136619896,8.0,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,3443.6873611,3926.5626042,6973.0,21.0,1.2693934540000005,2.0,0.0,1.0,4.0,4829.052679099999,5523.553426800001,3170.0,9.0,0.737987521,3.0,0.0,1.0,4.0,11762.43533527,7068.47685623,11852.0,26.0,2.680446792,4.0,0.0,1.0,4.0,7519.45810699,5406.782956393001,9654.0,12.0,1.926667331,5.0,0.0,1.0,4.0,8764.526050299999,8635.92763903,4823.0,16.0,1.241083323,6.0,1.0,0.0,4.0,6162.7328252,5309.966159445,9015.0,19.0,1.6414129729999998,7.0,1.0,0.0,4.0,3861.93509922,4050.20677486,1126.5,9.0,0.4524816379999999,3.0,0.0,0.0,4.0,57.67977528,45.79551197,0.0,0.0,0.0,3.875,0.25,0.625,4.0,5800.1884040575,4995.908991116001,5826.6875,14.0,1.243684129,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,3598.6593913657143,2525.091486799726,4251.714065589984,8.211490207542807,0.855076406341412,0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,0.1327323087007341,-0.7806466426585241,-0.0314481277032478,-0.2745223133877605,0.2434682261199736,1.0,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,2895.87249067,2959.5012631,10111.0,17.0,1.125747299,5.0,0.0,0.0,4.0,1257.42410076,1692.95864888,473.0,4.0,0.162122607,6.0,1.0,0.0,4.0,231.18859217,216.895917066,0.0,0.0,0.0,7.0,1.0,0.0,4.0,6677.15270912,5304.383459410001,4942.000000000001,8.0,1.119411625,1.0,0.0,0.0,4.0,946.31774493,848.5194425300001,634.0,6.0,0.13300905,2.0,0.0,0.0,4.0,5519.327875499999,4345.1171008,9357.0,25.0,1.751138832,3.0,0.0,0.0,4.0,1246.16161497,1905.075669548,372.0,3.0,0.115519932,4.0,0.0,0.0,4.0,2080.17385595,1873.11110505,6071.0,22.0,0.723070339,4.0,0.25,0.0,4.0,2606.7023730087503,2393.1953257980003,3995.0,10.625,0.6412524605,2.0,0.4629100498862757,0.0,0.0,2314.067869701601,1720.7597939623167,4211.379889232099,9.41029071966278,0.6411362178044389,0.0,1.4401645996461911,0.0,0.0,1.0617173428130031,0.6615863702955901,0.5094185640339974,0.6059062951212666,0.6797770463548387,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,4.0,6677.15270912,5304.383459410001,4942.000000000001,8.0,1.119411625,1.0,0.0,0.0,4.0,946.31774493,848.5194425300001,634.0,6.0,0.13300905,2.0,0.0,0.0,4.0,5519.327875499999,4345.1171008,9357.0,25.0,1.751138832,3.0,0.0,0.0,4.0,1246.16161497,1905.075669548,372.0,3.0,0.115519932,4.0,0.0,0.0,4.0,2080.17385595,1873.11110505,6071.0,22.0,0.723070339,5.0,0.0,0.0,4.0,3220.10159847,3447.02707681,3817.0,7.0,0.798980432,6.0,1.0,0.0,4.0,2878.7661784599995,2018.6586580020005,4923.0,4.0,1.389739192,7.0,1.0,0.0,4.0,3974.96847467,3475.34044544,3976.843,5.0,1.191717245,4.375,0.375,0.0,4.0,3317.87125650875,2902.15411969875,4261.605375,10.0,0.902823330875,2.2638462845343543,0.5175491695067657,0.0,0.0,2007.609588019358,1489.455876134792,2895.9244580917475,8.518886580500327,0.578501954890943,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.5802562664525016,0.3335018269615211,0.2519590612042205,1.330993501324374,-0.1878592094887398,1.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,1246.16161497,1905.075669548,372.0,3.0,0.115519932,4.0,0.0,0.0,4.0,2080.17385595,1873.11110505,6071.0,22.0,0.723070339,5.0,0.0,0.0,4.0,3220.10159847,3447.02707681,3817.0,7.0,0.798980432,6.0,1.0,0.0,4.0,2878.7661784599995,2018.6586580020005,4923.0,4.0,1.389739192,7.0,1.0,0.0,4.0,3974.96847467,3475.34044544,3976.843,5.0,1.191717245,1.0,0.0,0.0,4.0,1215.45279468,1657.15800602,1641.0,2.0,0.40986187,2.0,0.0,0.0,4.0,2881.55209539,2754.1653599,8405.487000000001,19.0,1.123750658,3.0,0.0,0.0,4.0,2699.17483355,1760.98508497,4178.631,7.0,0.7180987289999999,3.875,0.25,0.0,4.0,2524.5439307675,2361.4401757175,4173.120125,8.625,0.808842299625,2.03100960115899,0.4629100498862757,0.0,0.0,957.4073413240686,755.3900131907943,2481.437382029643,7.576985831167581,0.4206748774268128,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.2034333788888844,0.8415755032566435,0.1478921127839944,1.26350525711857,-0.2937115829931023,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
