week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_hr_4_t-7_encoded,audio_amp_std_hr_4_t-7_encoded,audio_convo_duration_hr_4_t-7_encoded,audio_convo_num_hr_4_t-7_encoded,audio_voice_hr_4_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_hr_4_t-6_encoded,audio_amp_std_hr_4_t-6_encoded,audio_convo_duration_hr_4_t-6_encoded,audio_convo_num_hr_4_t-6_encoded,audio_voice_hr_4_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_hr_4_t-5_encoded,audio_amp_std_hr_4_t-5_encoded,audio_convo_duration_hr_4_t-5_encoded,audio_convo_num_hr_4_t-5_encoded,audio_voice_hr_4_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_hr_4_t-4_encoded,audio_amp_std_hr_4_t-4_encoded,audio_convo_duration_hr_4_t-4_encoded,audio_convo_num_hr_4_t-4_encoded,audio_voice_hr_4_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_hr_4_t-3_encoded,audio_amp_std_hr_4_t-3_encoded,audio_convo_duration_hr_4_t-3_encoded,audio_convo_num_hr_4_t-3_encoded,audio_voice_hr_4_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_hr_4_t-2_encoded,audio_amp_std_hr_4_t-2_encoded,audio_convo_duration_hr_4_t-2_encoded,audio_convo_num_hr_4_t-2_encoded,audio_voice_hr_4_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_hr_4_t-1_encoded,audio_amp_std_hr_4_t-1_encoded,audio_convo_duration_hr_4_t-1_encoded,audio_convo_num_hr_4_t-1_encoded,audio_voice_hr_4_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_hr_4_t-0_encoded,audio_amp_std_hr_4_t-0_encoded,audio_convo_duration_hr_4_t-0_encoded,audio_convo_num_hr_4_t-0_encoded,audio_voice_hr_4_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_hr_4_mean_encoded,audio_amp_std_hr_4_mean_encoded,audio_convo_duration_hr_4_mean_encoded,audio_convo_num_hr_4_mean_encoded,audio_voice_hr_4_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_hr_4_std_encoded,audio_amp_std_hr_4_std_encoded,audio_convo_duration_hr_4_std_encoded,audio_convo_num_hr_4_std_encoded,audio_voice_hr_4_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_hr_4_skew_encoded,audio_amp_std_hr_4_skew_encoded,audio_convo_duration_hr_4_skew_encoded,audio_convo_num_hr_4_skew_encoded,audio_voice_hr_4_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,1.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,625.6525424,529.3159221,0.0,0.0,0.0,4.0,0.0,0.0,3.0,533.9553073,999.8687781,0.0,0.0,0.0,5.0,0.0,0.0,3.0,365.5887324,974.8002756,0.0,0.0,0.0,6.0,1.0,0.0,3.0,298.2206704,696.7362372,0.0,0.0,0.0,4.25,0.375,0.0,3.0,455.854313125,800.18030325,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,150.47418863759023,226.88896661007493,0.0,0.0,0.0,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.1407867972201074,-0.4390641798504419,0.0,0.0,0.0,4.0,-1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4.0,0.0,0.0,3.0,533.9553073,999.8687781,0.0,0.0,0.0,5.0,0.0,0.0,3.0,365.5887324,974.8002756,0.0,0.0,0.0,6.0,1.0,0.0,3.0,298.2206704,696.7362372,0.0,0.0,0.0,7.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,306.4,673.2418296,0.0,0.0,0.0,2.0,0.0,0.0,3.0,306.1573034,668.9168319,0.0,0.0,0.0,3.0,0.0,0.0,3.0,294.1256983,605.6596324,0.0,0.0,0.0,4.0,0.0,0.0,3.0,421.2941176,1250.702976,0.0,0.0,0.0,4.0,0.25,0.0,3.0,360.8202613428571,838.5609372571429,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,89.41667171804193,239.760029375916,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,1.4832706919723475,0.8777398993114733,0.0,0.0,0.0,-2.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,312.3230337,637.3095482,0.0,0.0,0.0,6.0,1.0,0.0,3.0,422.8151261,411.8190017,0.0,0.0,0.0,7.0,1.0,0.0,3.0,511.8181818,767.2396765,0.0,0.0,0.0,1.0,0.0,0.0,3.0,388.3820225,881.2085101,0.0,0.0,0.0,2.0,0.0,0.0,3.0,356.75,555.7537213,0.0,0.0,0.0,3.0,0.0,0.0,3.0,393.5614525,1101.670279,0.0,0.0,0.0,4.0,0.0,0.0,3.0,296.2696629,447.6973299,0.0,0.0,0.0,5.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,4.125,0.25,0.0,3.0,383.13135421428575,686.0997238142858,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,72.48701646393961,247.92007929324407,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7143951264382508,0.6617298165933982,0.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,356.75,555.7537213,0.0,0.0,0.0,3.0,0.0,0.0,3.0,393.5614525,1101.670279,0.0,0.0,0.0,4.0,0.0,0.0,3.0,296.2696629,447.6973299,0.0,0.0,0.0,5.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,318.6016713,799.3590678,0.0,0.0,0.0,7.0,1.0,0.0,3.0,308.9746479,494.7855896,0.0,0.0,0.0,1.0,0.0,0.0,3.0,244.6333333,169.0192264,0.0,0.0,0.0,2.0,0.0,0.0,3.0,376.7636364,378.0088365,0.0,0.0,0.0,3.75,0.25,0.0,3.0,327.9363434714286,563.7562929285715,0.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,51.494074801243706,303.718695278271,0.0,0.0,0.0,0.3142696805273544,1.4401645996461911,0.0,0.0,-0.3323754189350499,0.8238194270119716,0.0,0.0,0.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,318.6016713,799.3590678,0.0,0.0,0.0,7.0,1.0,0.0,3.0,308.9746479,494.7855896,0.0,0.0,0.0,1.0,0.0,0.0,3.0,244.6333333,169.0192264,0.0,0.0,0.0,2.0,0.0,0.0,3.0,376.7636364,378.0088365,0.0,0.0,0.0,3.0,0.0,0.0,3.0,296.5014085,535.6090774,0.0,0.0,0.0,4.0,0.0,0.0,3.0,280.6201117,520.176475,0.0,0.0,0.0,5.0,0.0,0.0,3.0,354.9664804,672.615315,0.0,0.0,0.0,4.125,0.25,0.0,3.0,311.5801842142857,509.9390839571428,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,44.450571144461314,202.0118824041245,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0685487865992734,-0.3780759210035262,0.0,0.0,0.0,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,244.6333333,169.0192264,0.0,0.0,0.0,2.0,0.0,0.0,3.0,376.7636364,378.0088365,0.0,0.0,0.0,3.0,0.0,0.0,3.0,296.5014085,535.6090774,0.0,0.0,0.0,4.0,0.0,0.0,3.0,280.6201117,520.176475,0.0,0.0,0.0,5.0,0.0,0.0,3.0,354.9664804,672.615315,0.0,0.0,0.0,6.0,1.0,0.0,3.0,400.9090909,359.5568473,0.0,0.0,0.0,7.0,1.0,0.0,3.0,458.952514,590.7967544,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1016.221429,1074.319572,0.0,0.0,0.0,3.625,0.25,0.0,3.0,428.696000525,537.512763,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,247.35389774812475,267.9165385507722,0.0,0.0,0.0,0.2262499558606612,1.4401645996461911,0.0,0.0,2.3973404816541084,0.9663908881384056,0.0,0.0,0.0,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,278.3430962,127.3733659,0.0,0.0,0.0,4.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,317.9916201,596.4166811,0.0,0.0,0.0,7.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,527.7909091,1303.488362,0.0,0.0,0.0,3.875,0.25,0.0,3.0,374.7085418,675.7594696666666,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,134.04722953306907,592.0583413701532,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,1.5631409533059926,0.592222660144327,0.0,0.0,0.0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,205.95,57.34149893,0.0,0.0,0.0,1.0,0.0,0.0,3.0,287.5013123,604.8409766,0.0,0.0,0.0,2.0,0.0,0.0,3.0,248.7054264,423.8126031,0.0,0.0,0.0,3.0,0.0,0.0,3.0,278.1685393,559.6138162,0.0,0.0,0.0,4.0,0.0,0.0,3.0,262.6885246,455.19605,0.0,0.0,0.0,5.0,0.0,0.0,3.0,252.3707865,417.2759409,0.0,0.0,0.0,6.0,1.0,0.0,3.0,338.5412844,572.9258807,0.0,0.0,0.0,7.0,1.0,0.0,3.0,234.0625,300.3166701,0.0,0.0,0.0,4.375,0.375,0.0,3.0,263.49854668750004,423.91542956625,0.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,39.54091838035221,178.8965745950939,0.0,0.0,0.0,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.6743511263209552,-1.3103484456881445,0.0,0.0,0.0,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,782.2352941,1287.631755,0.0,0.0,0.0,3.0,0.0,0.0,3.0,260.1340782,475.2409432,0.0,0.0,0.0,4.0,0.0,0.0,3.0,264.9747191,535.3525216,0.0,0.0,0.0,5.0,0.0,0.0,3.0,250.3758389,406.0248526,0.0,0.0,0.0,6.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,317.3314763,710.7729826,0.0,0.0,0.0,1.0,0.0,0.0,3.0,326.9581006,516.0949481,0.0,0.0,0.0,2.0,0.0,0.0,3.0,294.047619,421.1257495,0.0,0.0,0.0,3.75,0.25,0.0,3.0,356.5795894571429,621.7491075142858,0.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,189.94880834932624,310.43073574391184,0.0,0.0,0.0,0.3142696805273544,1.4401645996461911,0.0,0.0,2.5169178947024617,2.128362321327192,0.0,0.0,0.0,0.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
1.0,0.0,0.0,3.0,1411.150838,4232.719294,0.0,0.0,0.0,2.0,0.0,0.0,3.0,267.8968254,527.1201834,0.0,0.0,0.0,3.0,0.0,0.0,3.0,261.9050279,494.1624107,0.0,0.0,0.0,4.0,0.0,0.0,3.0,257.5826331,448.538051,0.0,0.0,0.0,5.0,0.0,0.0,3.0,250.3463687,430.3563648,0.0,0.0,0.0,6.0,1.0,0.0,3.0,266.162465,429.4940629,0.0,0.0,0.0,7.0,1.0,0.0,3.0,258.022409,503.6858204,0.0,0.0,0.0,1.0,0.0,0.0,3.0,296.9441341,667.7445128,0.0,0.0,0.0,3.625,0.25,0.0,3.0,408.75133765,966.7275875,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,405.2696367560966,1321.8983775648142,0.0,0.0,0.0,0.2262499558606612,1.4401645996461911,0.0,0.0,2.8218331351303982,2.8096267094523544,0.0,0.0,0.0,0.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1
