week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_sum_10_17_t-7_encoded,audio_amp_std_sum_10_17_t-7_encoded,audio_convo_duration_sum_10_17_t-7_encoded,audio_convo_num_sum_10_17_t-7_encoded,audio_voice_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_sum_10_17_t-6_encoded,audio_amp_std_sum_10_17_t-6_encoded,audio_convo_duration_sum_10_17_t-6_encoded,audio_convo_num_sum_10_17_t-6_encoded,audio_voice_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_sum_10_17_t-5_encoded,audio_amp_std_sum_10_17_t-5_encoded,audio_convo_duration_sum_10_17_t-5_encoded,audio_convo_num_sum_10_17_t-5_encoded,audio_voice_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_sum_10_17_t-4_encoded,audio_amp_std_sum_10_17_t-4_encoded,audio_convo_duration_sum_10_17_t-4_encoded,audio_convo_num_sum_10_17_t-4_encoded,audio_voice_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_sum_10_17_t-3_encoded,audio_amp_std_sum_10_17_t-3_encoded,audio_convo_duration_sum_10_17_t-3_encoded,audio_convo_num_sum_10_17_t-3_encoded,audio_voice_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_sum_10_17_t-2_encoded,audio_amp_std_sum_10_17_t-2_encoded,audio_convo_duration_sum_10_17_t-2_encoded,audio_convo_num_sum_10_17_t-2_encoded,audio_voice_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_sum_10_17_t-1_encoded,audio_amp_std_sum_10_17_t-1_encoded,audio_convo_duration_sum_10_17_t-1_encoded,audio_convo_num_sum_10_17_t-1_encoded,audio_voice_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_sum_10_17_t-0_encoded,audio_amp_std_sum_10_17_t-0_encoded,audio_convo_duration_sum_10_17_t-0_encoded,audio_convo_num_sum_10_17_t-0_encoded,audio_voice_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_sum_10_17_mean_encoded,audio_amp_std_sum_10_17_mean_encoded,audio_convo_duration_sum_10_17_mean_encoded,audio_convo_num_sum_10_17_mean_encoded,audio_voice_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_sum_10_17_std_encoded,audio_amp_std_sum_10_17_std_encoded,audio_convo_duration_sum_10_17_std_encoded,audio_convo_num_sum_10_17_std_encoded,audio_voice_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_sum_10_17_skew_encoded,audio_amp_std_sum_10_17_skew_encoded,audio_convo_duration_sum_10_17_skew_encoded,audio_convo_num_sum_10_17_skew_encoded,audio_voice_sum_10_17_skew_encoded,anomaly_encoded
1.0,0.0,0.0,3.0,9563.3200894,9180.0617408,13780.0,18.0,2.750168819,2.0,0.0,0.0,3.0,5394.8957095000005,4904.6309817,7015.0,16.0,1.560585561,3.0,0.0,0.0,3.0,16617.0336392,16377.665899799998,8890.0,15.0,1.660219702,4.0,0.0,0.0,3.0,14833.708870900002,11903.6657421,10260.682,19.0,2.085386915,5.0,0.0,0.0,3.0,15275.5611899,11909.3316096,11313.0,16.0,2.139575539,6.0,1.0,0.0,3.0,9269.2896183,9106.40632846,3090.0,8.0,0.632937651,7.0,1.0,0.0,3.0,8178.100808900001,7247.0589721,5161.0,8.0,1.499669941,1.0,0.0,0.0,3.0,10325.9284479,11298.3295397,11457.0,19.0,2.853670032,3.625,0.25,0.0,3.0,11182.22979675,10240.8938517825,8870.83525,14.875,1.89777677,2.2638462845343543,0.4629100498862757,0.0,0.0,3948.9101879781088,3467.7660929530125,3571.902551142008,4.4860896112315904,0.7233263105725053,0.2262499558606612,1.4401645996461911,0.0,0.0,0.1391346083950918,0.2744829028655364,-0.4086734440336528,-1.0045842206460398,-0.3144984228547154,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,10325.9284479,11298.3295397,11457.0,19.0,2.853670032,2.0,0.0,0.0,3.0,4866.4421239,4344.5419625,7022.455,9.0,2.016747732,3.0,0.0,0.0,3.0,14900.1912215,14299.5785551,8474.0,13.0,1.767570154,4.0,0.0,0.0,3.0,8584.6662485,6931.61514306,2356.0,10.0,0.6029446479999999,5.0,0.0,0.0,3.0,11034.0353341,10748.2048189,5522.000000000001,16.0,1.2842580300000002,6.0,1.0,0.0,3.0,9334.4973527,10444.24953,10088.007,22.0,1.245531508,7.0,1.0,0.0,3.0,22847.6101578,20329.089108,4350.198,19.0,0.889672485,1.0,0.0,0.0,3.0,3606.8481442,3875.2115576800006,9620.0,9.0,1.1829899069999998,3.625,0.25,0.0,3.0,10687.527378825,10283.8525268675,7361.2075,14.625,1.4804230619999998,2.2638462845343543,0.4629100498862757,0.0,0.0,6049.070041237781,5423.321753493284,3120.6025112795123,5.097268175909804,0.7128394629512098,0.2262499558606612,1.4401645996461911,0.0,0.0,1.1262986351691089,0.6796268877014129,-0.357667948199314,0.1611266689490601,0.9670515657749876,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,9312.110696,8881.863469199998,11409.605,14.0,1.840200087,6.0,1.0,0.0,3.0,33762.761035,17603.4247914,17022.0,21.0,4.044701829,7.0,1.0,0.0,3.0,11698.958392373,12989.192379480002,1854.0,6.0,0.4915229779999999,1.0,0.0,0.0,3.0,473.18654178,1024.211767118,0.0,0.0,0.030837822,2.0,0.0,0.0,3.0,21853.989699810005,16684.818098199998,2342.0,10.0,0.498702589,3.0,0.0,0.0,3.0,21400.4761768,15049.2442731,15894.505000000005,29.0,2.26330342,4.0,0.0,0.0,3.0,20266.31825477,10396.3064441,18162.0,18.0,4.309555111,5.0,0.0,0.0,3.0,14734.3137924,12627.69234939,7421.999999999999,15.0,0.917693743,4.125,0.25,0.0,3.0,16687.764323616626,11907.0941964985,9263.26375,14.125,1.799564697375,2.03100960115899,0.4629100498862757,0.0,0.0,9994.841892953817,5301.074874355431,7367.54490058098,8.999007881824689,1.6417196540961037,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0898189830974038,-1.2703480497439112,-0.0315273574577701,0.0654488416290208,0.7133458089404997,2.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1.0,0.0,0.0,3.0,473.18654178,1024.211767118,0.0,0.0,0.030837822,2.0,0.0,0.0,3.0,21853.989699810005,16684.818098199998,2342.0,10.0,0.498702589,3.0,0.0,0.0,3.0,21400.4761768,15049.2442731,15894.505000000005,29.0,2.26330342,4.0,0.0,0.0,3.0,20266.31825477,10396.3064441,18162.0,18.0,4.309555111,5.0,0.0,0.0,3.0,14734.3137924,12627.69234939,7421.999999999999,15.0,0.917693743,6.0,1.0,0.0,3.0,10441.91554037,9927.0254003,4993.0,10.0,1.443944671,7.0,1.0,0.0,3.0,511.18574304,1720.04123171,121.0,2.0,0.0776021829999999,1.0,0.0,0.0,3.0,702.9376399700001,1960.2565419,0.0,0.0,0.073774725,3.625,0.25,0.0,3.0,11298.0404236175,8673.69951322725,6116.813125000001,10.5,1.201926783,2.2638462845343543,0.4629100498862757,0.0,0.0,9652.890784373309,6289.857987686127,7257.371117360089,10.085350054127307,1.4796737943322378,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.1576368257415282,-0.1869475685138127,0.97475876874105,0.7269416167817586,1.551455364302375,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,702.9376399700001,1960.2565419,0.0,0.0,0.073774725,2.0,0.0,0.0,3.0,1064.32227045,2068.23770918,802.0,3.0,0.167690724,3.0,0.0,0.0,3.0,10248.68803878,9143.39488331,563.0,4.0,0.144464838,4.0,0.0,0.0,3.0,17415.576265800002,12972.1493562,14690.01,19.0,3.111686928,5.0,0.0,0.0,3.0,17326.632059259,15799.801858144998,2793.089,8.0,0.858465835,6.0,1.0,0.0,3.0,9324.22651114,9497.0107927,2811.0,13.0,0.4907243,7.0,1.0,0.0,3.0,5753.011243676,6256.735273857001,754.0,3.0,0.277498933,1.0,0.0,0.0,3.0,13619.095113,6900.3680595000005,16472.0,24.0,3.268987272,3.625,0.25,0.0,3.0,9431.811142759374,8074.744309349,4860.637375,9.25,1.049161694375,2.2638462845343543,0.4629100498862757,0.0,0.0,6590.280544218589,4854.678817528504,6711.91444301045,8.614771367499298,1.345477281196168,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.1502612355599569,0.2158067248273695,1.365335332332526,0.822948032045692,1.3074059457313894,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,13619.095113,6900.3680595000005,16472.0,24.0,3.268987272,2.0,0.0,1.0,3.0,8497.75636929,11582.0052355,1535.0,5.0,0.31130656,3.0,0.0,1.0,3.0,16814.878257250002,13376.2158171,2310.303,6.0,0.2904471329999999,4.0,0.0,1.0,3.0,1973.22127786,4616.029695339999,302.0,3.0,0.151444611,5.0,0.0,1.0,3.0,4518.60202424,5330.343714500001,80.0,1.0,0.078804353,6.0,1.0,1.0,3.0,4477.207729649999,6330.8821537,3238.0,8.0,1.020061443,7.0,1.0,1.0,3.0,6545.56313432,5431.362161878001,2101.0,3.0,0.182121899,1.0,0.0,1.0,3.0,564.1408301609999,1591.040714524,0.0,0.0,0.039255028,3.625,0.25,0.875,3.0,7126.308091971376,6894.78094400525,3254.787875,6.25,0.667803537375,2.2638462845343543,0.4629100498862757,0.3535533905932738,0.0,5627.445713163824,3821.1536905302496,5467.668673495038,7.629828681843762,1.095721345356371,0.2262499558606612,1.4401645996461911,-2.8284271247461903,0.0,0.7800347030588292,0.7069938348581775,2.574460624923685,2.2034924556900526,2.4382425257230715,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
4.0,0.0,1.0,3.0,1973.22127786,4616.029695339999,302.0,3.0,0.151444611,5.0,0.0,1.0,3.0,4518.60202424,5330.343714500001,80.0,1.0,0.078804353,6.0,1.0,1.0,3.0,4477.207729649999,6330.8821537,3238.0,8.0,1.020061443,7.0,1.0,1.0,3.0,6545.56313432,5431.362161878001,2101.0,3.0,0.182121899,1.0,0.0,1.0,3.0,564.1408301609999,1591.040714524,0.0,0.0,0.039255028,2.0,0.0,1.0,3.0,10908.36503119,10726.977564239998,4392.0,9.0,0.745277097,3.0,0.0,1.0,3.0,5860.601644230001,5729.411855730001,401.0,4.0,0.231667932,4.0,0.0,1.0,3.0,18059.24518911,12343.20791545,14128.36,21.0,3.260654062,4.0,0.25,1.0,3.0,6613.3683575951245,6512.40697192025,3080.295,6.125,0.713660803125,2.0,0.4629100498862757,0.0,0.0,5569.068849604369,3439.038519552316,4753.220442025145,6.770471602058878,1.086991867875838,0.0,1.4401645996461911,0.0,0.0,1.3653632013298869,0.6728763071435706,2.222308442171794,1.7716543880024258,2.3060435094245606,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,3.0,18059.24518911,12343.20791545,14128.36,21.0,3.260654062,5.0,0.0,1.0,4.0,9358.841759755998,7842.69399403,2292.0,6.0,0.303140007,6.0,1.0,1.0,4.0,10993.19176176,8884.029616650001,850.0,3.0,0.1591311269999999,7.0,1.0,1.0,4.0,5134.029821175,5932.149594256,1228.816,5.0,0.272804272,1.0,0.0,1.0,4.0,9433.666703079,7133.3461680030005,8920.0,16.0,1.537384385,2.0,0.0,1.0,4.0,11320.78619154,11672.29455626,6034.0,11.0,1.5385432230000002,3.0,0.0,1.0,4.0,6912.666149160001,7798.6156827,1530.0,4.0,0.20435962,4.0,0.0,1.0,4.0,3624.32481644,4328.64166152,2870.0,5.0,0.673044856,4.0,0.25,1.0,3.875,9354.5940490025,8241.872398608626,4731.647,8.875,0.993632694,2.0,0.4629100498862757,0.0,0.3535533905932738,4455.178299320806,2705.3903771004807,4698.659358804746,6.5342504215425175,1.079052126792828,0.0,1.4401645996461911,0.0,-2.8284271247461903,0.8479411274142921,0.3449739373346294,1.3774026414248617,1.1573030442346053,1.540934870551678,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
7.0,1.0,1.0,4.0,5134.029821175,5932.149594256,1228.816,5.0,0.272804272,1.0,0.0,1.0,4.0,9433.666703079,7133.3461680030005,8920.0,16.0,1.537384385,2.0,0.0,1.0,4.0,11320.78619154,11672.29455626,6034.0,11.0,1.5385432230000002,3.0,0.0,1.0,4.0,6912.666149160001,7798.6156827,1530.0,4.0,0.20435962,4.0,0.0,1.0,4.0,3624.32481644,4328.64166152,2870.0,5.0,0.673044856,5.0,0.0,1.0,4.0,5909.83815854,7211.135301599999,3393.0,6.0,0.44834302,6.0,1.0,1.0,4.0,13280.229978029998,10457.9144175,14383.0,21.0,2.569318322,7.0,1.0,1.0,4.0,31437.376481,15825.5187249,27275.931,21.0,6.26187792,4.375,0.375,1.0,4.0,10881.6147873705,8794.952013342376,8204.343375,11.125,1.6882094522500002,2.2638462845343543,0.5175491695067657,0.0,0.0,8918.329645180482,3681.596580047621,8879.614638994884,7.278883352351709,2.0182366543445185,-0.2262499558606612,0.6440611887195306,0.0,0.0,2.131833644809889,0.968883140009661,1.7038695672028128,0.536338224995366,2.022649145235774,7.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
5.0,0.0,1.0,4.0,5909.83815854,7211.135301599999,3393.0,6.0,0.44834302,6.0,1.0,1.0,4.0,13280.229978029998,10457.9144175,14383.0,21.0,2.569318322,7.0,1.0,1.0,4.0,31437.376481,15825.5187249,27275.931,21.0,6.26187792,1.0,0.0,1.0,4.0,11487.620729,6214.0265449,11291.819,14.0,2.346590795,2.0,0.0,1.0,4.0,18600.31564563,12289.78699732,10388.529,14.0,2.507863902,3.0,0.0,1.0,4.0,19178.75575885,13174.4495168,7030.145,13.0,1.059961695,4.0,0.0,1.0,4.0,17194.275954,12990.2529468,19033.533000000003,26.0,4.022280969,5.0,0.0,1.0,4.0,7631.4253798,6037.7663171,5394.0,10.0,1.7910859239999997,4.125,0.25,1.0,4.0,15589.97976060625,10525.106345865,12273.744625,15.625,2.625915318375,2.03100960115899,0.4629100498862757,0.0,0.0,8061.045725733222,3664.754612959153,7868.757001628529,6.566962768281849,1.8187984495206289,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.932732894970651,-0.0731167090057209,0.9839835998515007,0.2226465799843077,1.1403231513725696,-13.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
