week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_sum_10_17_t-7_encoded,audio_amp_std_sum_10_17_t-7_encoded,audio_convo_duration_sum_10_17_t-7_encoded,audio_convo_num_sum_10_17_t-7_encoded,audio_voice_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_sum_10_17_t-6_encoded,audio_amp_std_sum_10_17_t-6_encoded,audio_convo_duration_sum_10_17_t-6_encoded,audio_convo_num_sum_10_17_t-6_encoded,audio_voice_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_sum_10_17_t-5_encoded,audio_amp_std_sum_10_17_t-5_encoded,audio_convo_duration_sum_10_17_t-5_encoded,audio_convo_num_sum_10_17_t-5_encoded,audio_voice_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_sum_10_17_t-4_encoded,audio_amp_std_sum_10_17_t-4_encoded,audio_convo_duration_sum_10_17_t-4_encoded,audio_convo_num_sum_10_17_t-4_encoded,audio_voice_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_sum_10_17_t-3_encoded,audio_amp_std_sum_10_17_t-3_encoded,audio_convo_duration_sum_10_17_t-3_encoded,audio_convo_num_sum_10_17_t-3_encoded,audio_voice_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_sum_10_17_t-2_encoded,audio_amp_std_sum_10_17_t-2_encoded,audio_convo_duration_sum_10_17_t-2_encoded,audio_convo_num_sum_10_17_t-2_encoded,audio_voice_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_sum_10_17_t-1_encoded,audio_amp_std_sum_10_17_t-1_encoded,audio_convo_duration_sum_10_17_t-1_encoded,audio_convo_num_sum_10_17_t-1_encoded,audio_voice_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_sum_10_17_t-0_encoded,audio_amp_std_sum_10_17_t-0_encoded,audio_convo_duration_sum_10_17_t-0_encoded,audio_convo_num_sum_10_17_t-0_encoded,audio_voice_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_sum_10_17_mean_encoded,audio_amp_std_sum_10_17_mean_encoded,audio_convo_duration_sum_10_17_mean_encoded,audio_convo_num_sum_10_17_mean_encoded,audio_voice_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_sum_10_17_std_encoded,audio_amp_std_sum_10_17_std_encoded,audio_convo_duration_sum_10_17_std_encoded,audio_convo_num_sum_10_17_std_encoded,audio_voice_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_sum_10_17_skew_encoded,audio_amp_std_sum_10_17_skew_encoded,audio_convo_duration_sum_10_17_skew_encoded,audio_convo_num_sum_10_17_skew_encoded,audio_voice_sum_10_17_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,11380.29032,7375.580217,0.0,0.0,0.004608295,5.0,0.0,0.0,3.0,275562.601104,148321.909801,0.0,0.0,0.119288413,6.0,1.0,0.0,3.0,39276.91402,34417.9834,170.0,1.0,0.312849162,4.625,0.375,0.0,3.0,40777.47568050001,23764.43417725,21.25,0.125,0.05459323375,1.9226098333849675,0.5175491695067657,0.0,0.0,95845.4961509214,51714.04760487822,60.10407640085654,0.3535533905932738,0.1123020103195655,-0.8970294706768481,0.6440611887195306,0.0,0.0,2.7210270426174645,2.564670268012112,2.8284271247461903,2.8284271247461903,2.226691022185943,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1
5.0,0.0,0.0,3.0,160129.458814,95346.5429479,110.0,1.0,0.144105777,6.0,1.0,0.0,3.0,145084.30696999998,109425.170797,1160.0,5.0,0.539305998,7.0,1.0,0.0,3.0,73508.457876,61593.386101,230.0,2.0,0.398279026,1.0,0.0,1.0,3.0,30214.388667,23704.5544122,0.0,0.0,0.036414565,2.0,0.0,1.0,3.0,32982.548631000005,39467.862847200005,0.0,0.0,0.0728305079999999,3.0,0.0,1.0,3.0,57677.495913,49934.882394,200.0,2.0,0.253874774,4.0,0.0,1.0,3.0,163179.239296,67742.000636,1341.0,2.0,0.465547952,5.0,0.0,1.0,3.0,113914.32837,86659.73420199999,140.0,1.0,0.181163946,4.125,0.25,0.625,3.0,97086.278067125,66734.2667921625,397.625,1.625,0.2614403182499999,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,55574.68546744849,29137.30135703105,535.0081274416038,1.5979898086569353,0.186728707792379,-0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,0.0198027650666572,0.0332653169063013,1.3727006139496294,1.3784801322660445,0.3593156327864234,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,2,2,2,1,1,1
6.0,1.0,1.0,4.0,116543.18230020002,78394.12704197,0.0,0.0,0.118209902,7.0,1.0,1.0,4.0,101270.204643,100923.1549954,1169.0,6.0,0.5846671230000001,1.0,0.0,1.0,4.0,124530.618597,112940.690715,1488.0,8.0,0.887648011,2.0,0.0,1.0,4.0,32968.2350597,25683.4729022,180.0,1.0,0.40018622,3.0,0.0,1.0,4.0,56033.8258158,51796.5445628,80.0,1.0,0.059422996,4.0,0.0,1.0,4.0,133300.747749,98260.281855,1691.0,5.0,1.0290441060000002,5.0,0.0,1.0,4.0,53740.3790185,62636.7130046,0.0,0.0,0.025257294,6.0,1.0,1.0,4.0,154810.66959900002,124216.7692081,900.0,2.0,0.208623414,4.25,0.375,1.0,4.0,96649.732847775,81856.46928563375,688.5,2.875,0.41413238325,2.1213203435596424,0.5175491695067657,0.0,0.0,43861.19509896511,33452.821458003375,706.7761819901484,3.044315545875155,0.3851635469370058,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.2903827774603736,-0.4790854714279899,0.339575463107766,0.7651899856249846,0.6853937046656633,0.0,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
6.0,1.0,0.0,4.0,102348.558827,54887.710641,930.0,2.0,0.568468914,7.0,1.0,0.0,4.0,13126.10769,1616.542243,1339.0,1.0,0.229370629,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,152407.44660199998,136878.342538,1040.0,3.0,0.819667124,4.0,0.0,0.0,4.0,110910.261484,80285.59295600001,0.0,0.0,0.141663345,5.0,0.0,0.0,4.0,110113.460819,79462.85171,1440.0,3.0,0.996269164,6.0,1.0,0.0,4.0,83910.863105,72770.1349113,0.0,0.0,0.010033445,4.25,0.375,0.0,4.0,71602.08731587499,53237.6468749125,593.625,1.125,0.345684077625,2.1213203435596424,0.5175491695067657,0.0,0.0,58952.49178774148,49472.34733977491,653.9873169368698,1.3562026818605375,0.3971979632524866,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.2396153534661394,0.3005824729800779,0.2115584074743855,0.6228126558605466,0.7976344004119518,-9.0,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1
5.0,0.0,0.0,4.0,132027.502114,127243.57375,150.0,1.0,0.12252552,6.0,1.0,0.0,4.0,56958.12672,39340.39560999999,0.0,0.0,0.011127487,7.0,1.0,0.0,4.0,109523.571013,74473.3820572,1109.0,5.0,0.463548589,1.0,0.0,0.0,4.0,101025.087562,97815.263557,700.0,5.0,0.563315036,2.0,0.0,0.0,4.0,70931.779007,39402.49951359999,150.0,1.0,0.2375005869999999,3.0,0.0,0.0,4.0,108834.093841,99240.944972,1030.0,5.0,0.461661284,4.0,0.0,0.0,4.0,150823.862616,115893.4417,618.0,4.0,0.461317734,5.0,0.0,0.0,4.0,132449.722138,107001.121191,1110.0,4.0,0.527566373,4.125,0.25,0.0,4.0,107821.718126375,87551.32779385,608.375,3.125,0.35607032625,2.03100960115899,0.4629100498862757,0.0,0.0,31712.39263084138,33408.03177918624,459.6339964735917,2.100170061141308,0.2048437836403527,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.4387396407142723,-0.6670596693142328,-0.177276271917182,-0.5879608687946621,-0.8402833424059946,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
3.0,0.0,0.0,4.0,109910.932259,73384.3716513,2010.0,3.0,0.408560197,4.0,0.0,0.0,4.0,47334.215087,36279.131069,240.0,2.0,0.376117318,5.0,0.0,0.0,4.0,114876.89824,141893.633443,0.0,0.0,0.053182998,6.0,1.0,0.0,4.0,207071.33638,104148.76851,230.0,2.0,0.329313269,7.0,1.0,0.0,4.0,48479.957566000005,52995.3601243,0.0,0.0,0.016877937,1.0,0.0,0.0,4.0,111932.197246,93022.031776,580.0,5.0,0.518087148,2.0,0.0,0.0,4.0,104034.518404,70143.4891469,3157.0,6.0,0.879777669,3.0,0.0,0.0,4.0,149843.071614,126153.935991,2044.0,3.0,0.6078305709999999,3.875,0.25,0.0,4.0,111685.3908495,87252.5902139375,1032.625,2.625,0.3987183883749999,2.03100960115899,0.4629100498862757,0.0,0.0,51772.05397555136,36005.20950683071,1201.2535045288555,2.1339098923270936,0.2828468575179552,0.2238027108715141,1.4401645996461911,0.0,0.0,0.5545711882274896,0.1905810411782948,0.9060467043220852,0.2995513955734211,0.2095766845621472,-1.0,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
4.0,0.0,0.0,4.0,58225.484165,54192.94989630001,0.0,0.0,0.028185108,5.0,0.0,0.0,4.0,38355.963468,29927.774155,420.0,3.0,0.402092097,6.0,1.0,0.0,4.0,84786.629266,67022.5648881,1480.0,2.0,0.38547486,7.0,1.0,0.0,4.0,73284.422845,48497.7244013,160.0,1.0,0.223915568,1.0,0.0,0.0,4.0,285458.336474,92743.976734,260.0,2.0,0.1342071779999999,2.0,0.0,0.0,4.0,64554.195014,49219.8537469,0.0,0.0,0.016666667,3.0,0.0,0.0,4.0,48926.35385,64096.0421718,160.0,1.0,0.215431626,4.0,0.0,0.0,4.0,74042.4015124,74116.90807169999,110.0,1.0,0.045563549,4.0,0.25,0.0,4.0,90954.2233243,59977.2242581375,323.75,1.25,0.181442081625,2.0,0.4629100498862757,0.0,0.0,79972.46975303153,18989.167703242983,486.8539675449772,1.035098339013531,0.1533473364091177,0.0,1.4401645996461911,0.0,0.0,2.6346578123380864,0.232056654956116,2.4099318669714607,0.3864367132317183,0.4576857737342588,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1
7.0,1.0,0.0,4.0,73284.422845,48497.7244013,160.0,1.0,0.223915568,1.0,0.0,0.0,4.0,285458.336474,92743.976734,260.0,2.0,0.1342071779999999,2.0,0.0,0.0,4.0,64554.195014,49219.8537469,0.0,0.0,0.016666667,3.0,0.0,0.0,4.0,48926.35385,64096.0421718,160.0,1.0,0.215431626,4.0,0.0,0.0,4.0,74042.4015124,74116.90807169999,110.0,1.0,0.045563549,5.0,0.0,0.0,4.0,311816.27174,93911.435143,0.0,0.0,0.008426966,6.0,1.0,0.0,4.0,118083.971874,110022.51125,630.0,6.0,0.512595829,7.0,1.0,0.0,4.0,159950.635296,103778.160237,2136.0,12.0,1.089622444,4.375,0.375,0.0,4.0,142014.573575675,79548.3264694625,432.0,2.875,0.280803728375,2.2638462845343543,0.5175491695067657,0.0,0.0,103034.4481332289,24048.80276621632,716.8685872798245,4.155461122770509,0.3657108626975968,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.0325112699212795,-0.1903209299556753,2.43812081437836,1.917462792582331,1.893809411106716,-2.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,2,2,1
4.0,0.0,0.0,1.0,415740.6707799999,171764.7879,2749.0,7.0,1.019729516,5.0,0.0,0.0,1.0,209526.819115,134038.171536,1149.0,9.0,1.230066333,6.0,1.0,0.0,1.0,260141.810423,119434.15201,2334.0,4.0,1.021933866,7.0,1.0,1.0,1.0,284141.04202,117097.287816,901.0,2.0,0.449180194,1.0,0.0,1.0,1.0,183779.3315,143568.842845,2153.0,2.0,0.854788146,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,156350.29720200002,85670.808762,2230.0,5.0,0.976051092,4.0,0.0,1.0,1.0,107148.952245,84912.3931,150.0,1.0,0.175561798,4.0,0.25,0.625,1.0,202103.615410625,107060.805496125,1458.25,3.75,0.7159138681249999,2.0,0.4629100498862757,0.5175491695067657,0.0,124261.17181852851,51976.85102205269,1052.576668398622,3.1052950170405937,0.4492727875777458,0.0,1.4401645996461911,-0.6440611887195306,0.0,0.1276081104191826,-1.2285512557096416,-0.3145171131363141,0.6154362469986625,-0.6947779390633285,-10.0,-1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,2,0,1,1,0,0
6.0,1.0,1.0,1.0,95918.65331,48330.881636000006,0.0,0.0,0.044943821,7.0,1.0,0.0,1.0,86082.95145600001,86702.094035,939.0,6.0,0.473461835,1.0,0.0,0.0,1.0,115614.486483,85608.9681048,1541.0,2.0,0.65410443,2.0,0.0,0.0,1.0,82395.575383,71659.604391,160.0,1.0,0.149860376,3.0,0.0,0.0,1.0,111420.652222,82900.937606,801.0,2.0,0.437996037,4.0,0.0,0.0,1.0,44610.241083,24433.0912673,1970.0,1.0,0.523870968,5.0,0.0,0.0,1.0,114005.287122,71528.29431464299,830.0,7.0,0.620759856,6.0,1.0,0.0,1.0,103206.923049,85234.63545,530.0,4.0,0.570533491,4.25,0.375,0.125,1.0,94156.8462635,69549.81335059289,846.375,2.875,0.43444135175,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.0,23591.21850352548,22266.216007596297,659.3825981281927,2.5319388392523003,0.2215900564169101,-0.3142696805273544,0.6440611887195306,2.8284271247461903,0.0,-1.453529202331493,-1.482953860361476,0.5269626191666897,0.749202904801528,-1.081437173405556,0.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,0,1,1,0,1
