week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_sum_10_17_t-7_encoded,audio_amp_std_sum_10_17_t-7_encoded,audio_convo_duration_sum_10_17_t-7_encoded,audio_convo_num_sum_10_17_t-7_encoded,audio_voice_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_sum_10_17_t-6_encoded,audio_amp_std_sum_10_17_t-6_encoded,audio_convo_duration_sum_10_17_t-6_encoded,audio_convo_num_sum_10_17_t-6_encoded,audio_voice_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_sum_10_17_t-5_encoded,audio_amp_std_sum_10_17_t-5_encoded,audio_convo_duration_sum_10_17_t-5_encoded,audio_convo_num_sum_10_17_t-5_encoded,audio_voice_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_sum_10_17_t-4_encoded,audio_amp_std_sum_10_17_t-4_encoded,audio_convo_duration_sum_10_17_t-4_encoded,audio_convo_num_sum_10_17_t-4_encoded,audio_voice_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_sum_10_17_t-3_encoded,audio_amp_std_sum_10_17_t-3_encoded,audio_convo_duration_sum_10_17_t-3_encoded,audio_convo_num_sum_10_17_t-3_encoded,audio_voice_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_sum_10_17_t-2_encoded,audio_amp_std_sum_10_17_t-2_encoded,audio_convo_duration_sum_10_17_t-2_encoded,audio_convo_num_sum_10_17_t-2_encoded,audio_voice_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_sum_10_17_t-1_encoded,audio_amp_std_sum_10_17_t-1_encoded,audio_convo_duration_sum_10_17_t-1_encoded,audio_convo_num_sum_10_17_t-1_encoded,audio_voice_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_sum_10_17_t-0_encoded,audio_amp_std_sum_10_17_t-0_encoded,audio_convo_duration_sum_10_17_t-0_encoded,audio_convo_num_sum_10_17_t-0_encoded,audio_voice_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_sum_10_17_mean_encoded,audio_amp_std_sum_10_17_mean_encoded,audio_convo_duration_sum_10_17_mean_encoded,audio_convo_num_sum_10_17_mean_encoded,audio_voice_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_sum_10_17_std_encoded,audio_amp_std_sum_10_17_std_encoded,audio_convo_duration_sum_10_17_std_encoded,audio_convo_num_sum_10_17_std_encoded,audio_voice_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_sum_10_17_skew_encoded,audio_amp_std_sum_10_17_skew_encoded,audio_convo_duration_sum_10_17_skew_encoded,audio_convo_num_sum_10_17_skew_encoded,audio_voice_sum_10_17_skew_encoded,anomaly_encoded
2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,6930.2583442,6369.6843596,7102.085999999999,18.0,1.575620567,4.0,0.0,0.0,3.0,7333.4733137,5864.429299699999,11587.0,18.0,2.361742041,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2510.7807742,2466.77557,3094.0,6.0,0.6825393099999999,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,11683.5378827,7659.024562,6433.0,9.0,4.380665667,4.0,0.0,0.0,4.0,11736.46235653,8581.45997195,8951.0,16.0,2.813271102,3.25,0.0,0.0,3.5,5024.31408391625,3867.6717204062497,4645.88575,8.375,1.476729835875,1.035098339013531,0.0,0.0,0.5345224838248488,5076.726752659974,3658.267110487442,4521.391779008057,8.105333341166702,1.6117932986561068,0.3864367132317183,0.0,0.0,0.0,0.3210909301888383,0.0254606315147811,0.2682301153692332,0.1614043344809948,0.7918897682183197,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2510.7807742,2466.77557,3094.0,6.0,0.6825393099999999,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,11683.5378827,7659.024562,6433.0,9.0,4.380665667,4.0,0.0,0.0,4.0,11736.46235653,8581.45997195,8951.0,16.0,2.813271102,5.0,0.0,0.0,4.0,10799.8640432,9092.6139694,9437.0,14.0,2.833616121,6.0,1.0,0.0,4.0,316.9798137,440.7590255,0.0,0.0,0.068322981,1.0,0.0,0.0,4.0,13614.8820132,11289.1363871,9486.0,14.0,2.8448378940000003,3.625,0.125,0.0,3.875,6332.813360441251,4941.22118574375,4675.125,7.375,1.702906634375,1.685018016012207,0.3535533905932738,0.0,0.3535533905932738,6115.787269969103,4680.907382035151,4395.834730986011,6.864765108872991,1.71124886893216,-0.1679619239884008,2.8284271247461903,0.0,-2.8284271247461903,0.0039768022380122,0.0892625295208837,-0.0169775279839042,0.012640679221447,0.3116098860638784,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,2,1,2,1,0,1,1,1,1,1,1
1.0,0.0,0.0,4.0,13614.8820132,11289.1363871,9486.0,14.0,2.8448378940000003,2.0,0.0,0.0,4.0,14987.5942518,12518.9853658,2697.937,9.0,1.923921598,3.0,0.0,0.0,4.0,12364.6150397,8426.8186275,8239.0,14.0,3.866603036,4.0,0.0,0.0,4.0,4836.51432313,5578.78672037,4183.782999999999,7.0,1.63704269,5.0,0.0,0.0,4.0,16875.264529,15449.717471,10203.046,17.0,3.522428551,6.0,1.0,0.0,4.0,9250.72087749,8118.9846448,10960.0,16.0,2.391505399,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,5818.981196119999,4459.1207738,3103.0,5.0,1.151076811,4.25,0.375,0.0,4.0,9718.571528805,8230.19374879625,6109.09575,10.25,2.167176997375,2.1213203435596424,0.5175491695067657,0.0,0.0,5792.5375752098025,4912.236251554072,4104.564895399642,5.994044663544928,1.2707497481427228,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.4931225417277753,-0.2345189357389371,-0.1957243559735895,-0.5791036198542038,-0.3407793883385521,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3554.4506002,3525.1284386,4443.0,9.0,1.210305903,3.0,0.0,1.0,1.0,12443.8017819,9687.94911908,7406.0,16.0,3.386098124,4.0,0.0,1.0,1.0,7596.436229500001,6267.50030797,8019.545,11.0,1.835012968,5.0,0.0,1.0,1.0,6035.92761925,6335.6396835,6175.0,16.0,1.749356346,6.0,1.0,1.0,1.0,3293.70425904,4211.3317879900005,1531.0,4.0,0.789143385,7.0,1.0,0.0,1.0,7334.2050916,4235.207566919999,3753.0,7.0,3.0927999900000005,1.0,0.0,0.0,1.0,6943.59718598,6962.065447999999,6833.31,11.0,1.955656269,3.875,0.25,0.625,1.375,5900.265345933751,5153.1027940075,4770.106875,9.25,1.752296623125,2.03100960115899,0.4629100498862757,0.5175491695067657,1.0606601717798212,3702.665684603269,2863.8556820396902,2881.580686551514,5.548487567410986,1.1216329907519176,0.2238027108715141,1.4401645996461911,-0.6440611887195306,2.8284271247461903,0.199329690603233,-0.3287999644223928,-0.6323147561313789,-0.3587859273999427,0.0466664051368079,-10.0,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,2,1,1,1,1,1,0
4.0,0.0,1.0,1.0,7596.436229500001,6267.50030797,8019.545,11.0,1.835012968,5.0,0.0,1.0,1.0,6035.92761925,6335.6396835,6175.0,16.0,1.749356346,6.0,1.0,1.0,1.0,3293.70425904,4211.3317879900005,1531.0,4.0,0.789143385,7.0,1.0,0.0,1.0,7334.2050916,4235.207566919999,3753.0,7.0,3.0927999900000005,1.0,0.0,0.0,1.0,6943.59718598,6962.065447999999,6833.31,11.0,1.955656269,2.0,0.0,0.0,1.0,16550.5405711,13881.695574,5226.0,10.0,4.205048242,3.0,0.0,0.0,1.0,3728.51336888,4004.2257508,2423.0,5.0,1.20108882,4.0,0.0,0.0,1.0,8197.8707653,7110.0698851,4645.0,7.0,1.913230114,4.0,0.25,0.375,1.0,7460.09938633125,6625.967000535,4825.731875,8.875,2.09266701675,2.0,0.4629100498862757,0.5175491695067657,0.0,4084.701194825977,3198.781560026692,2204.6492279465383,3.9074105418879577,1.081779177161196,0.0,1.4401645996461911,0.6440611887195306,0.0,1.7448003943751094,1.957098111669739,-0.1366347984717627,0.6228979787414316,1.1189226617929309,10.0,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
7.0,1.0,0.0,1.0,7334.2050916,4235.207566919999,3753.0,7.0,3.0927999900000005,1.0,0.0,0.0,1.0,6943.59718598,6962.065447999999,6833.31,11.0,1.955656269,2.0,0.0,0.0,1.0,16550.5405711,13881.695574,5226.0,10.0,4.205048242,3.0,0.0,0.0,1.0,3728.51336888,4004.2257508,2423.0,5.0,1.20108882,4.0,0.0,0.0,1.0,8197.8707653,7110.0698851,4645.0,7.0,1.913230114,5.0,0.0,0.0,1.0,31033.744632,14734.335141,7656.0,15.0,3.199194596999999,6.0,1.0,0.0,1.0,16092.8090656,10745.8525665,3673.0,7.0,4.553207758,7.0,1.0,0.0,1.0,9946.55913205,8113.58591892,3671.0,4.0,1.223380376,4.375,0.375,0.0,1.0,12478.47997656375,8723.379731404999,4735.03875,8.25,2.66795077075,2.2638462845343543,0.5175491695067657,0.0,0.0,8720.563090422702,4058.8730396921273,1762.8683948970172,3.575711717366808,1.292561893572985,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.5604380328892142,0.4481229388277931,0.6455994221336536,0.9030510663503702,0.3172526955319372,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,3728.51336888,4004.2257508,2423.0,5.0,1.20108882,4.0,0.0,0.0,1.0,8197.8707653,7110.0698851,4645.0,7.0,1.913230114,5.0,0.0,0.0,1.0,31033.744632,14734.335141,7656.0,15.0,3.199194596999999,6.0,1.0,0.0,1.0,16092.8090656,10745.8525665,3673.0,7.0,4.553207758,7.0,1.0,0.0,1.0,9946.55913205,8113.58591892,3671.0,4.0,1.223380376,1.0,0.0,0.0,1.0,4468.1583559,4795.8822312,4368.27,8.0,1.428218432,2.0,0.0,0.0,1.0,12446.214216,9540.0658229,16003.000000000002,23.0,3.711450917000001,3.0,0.0,0.0,1.0,8607.453300870002,6356.762219120001,8790.0,12.0,2.8856861190000003,3.875,0.25,0.0,1.0,11815.165354575,8175.0974419425,6403.6587500000005,10.125,2.514432141625,2.03100960115899,0.4629100498862757,0.0,0.0,8736.529435020957,3479.6386560251644,4430.665682027726,6.334429729659964,1.2609054876505907,0.2238027108715141,1.4401645996461911,0.0,0.0,1.7609100819739931,0.8290211465376123,1.7133989151806108,1.365163149503848,0.4414047216363033,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,1.0,2668.92966203,4696.329843116,1533.0,4.0,0.408111841,1.0,0.0,0.0,1.0,14742.982214299998,13860.1171683,11502.375,21.0,2.657663402,2.0,0.0,0.0,1.0,12378.9811468,12203.9845721,8937.0,13.0,3.094668077,3.0,0.0,0.0,1.0,7253.35897096,5367.187046,5773.6,6.0,2.159932241,4.0,0.0,0.0,1.0,10890.00890612,8769.1545364,4483.0,8.0,1.835800082,5.0,0.0,0.0,1.0,4232.8409695,3357.04376368,4321.968,12.0,1.2936515460000002,6.0,1.0,0.0,1.0,3211.8316822299994,3522.767227933,872.0,2.0,0.5553221970000001,7.0,1.0,0.0,1.0,2642.66208048,3218.75188485,791.0,2.0,0.440102992,4.375,0.375,0.0,1.0,7252.6994540525,6874.417005297375,4776.742875,8.5,1.55565654725,2.2638462845343543,0.5175491695067657,0.0,0.0,4830.330778602343,4222.04235595471,3881.894365287261,6.546536707079771,1.0458925874364855,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.5328281552857531,0.8992459403328262,0.7167520384349096,0.971506047330638,0.2177254949774079,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,7253.35897096,5367.187046,5773.6,6.0,2.159932241,4.0,0.0,0.0,1.0,10890.00890612,8769.1545364,4483.0,8.0,1.835800082,5.0,0.0,0.0,1.0,4232.8409695,3357.04376368,4321.968,12.0,1.2936515460000002,6.0,1.0,0.0,1.0,3211.8316822299994,3522.767227933,872.0,2.0,0.5553221970000001,7.0,1.0,0.0,1.0,2642.66208048,3218.75188485,791.0,2.0,0.440102992,1.0,0.0,0.0,1.0,8236.14946993,7052.86005336,8680.253,17.0,2.39022827,2.0,0.0,0.0,1.0,11355.59541689,9427.5109113,5023.0,9.0,3.155381158,3.0,0.0,0.0,1.0,7034.918725420001,7202.138668060001,3964.0,10.0,1.8964453260000005,3.875,0.25,0.0,1.0,6857.17077769125,5989.676761447876,4238.602625,8.25,1.7158579765000002,2.03100960115899,0.4629100498862757,0.0,0.0,3306.431759846332,2484.99899958586,2565.201685074904,5.035587637718447,0.9199265871816232,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0945069091823026,0.128004178817823,0.1420101017719831,0.3412332348828847,-0.0806885368765363,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,3211.8316822299994,3522.767227933,872.0,2.0,0.5553221970000001,7.0,1.0,0.0,1.0,2642.66208048,3218.75188485,791.0,2.0,0.440102992,1.0,0.0,0.0,1.0,8236.14946993,7052.86005336,8680.253,17.0,2.39022827,2.0,0.0,0.0,1.0,11355.59541689,9427.5109113,5023.0,9.0,3.155381158,3.0,0.0,0.0,1.0,7034.918725420001,7202.138668060001,3964.0,10.0,1.8964453260000005,4.0,0.0,0.0,1.0,11130.83474265,7020.898703554,4605.0,9.0,3.130318143,5.0,0.0,0.0,1.0,11474.57426056,10283.7303988,6046.0,12.0,2.494896901,6.0,1.0,0.0,1.0,14895.68505505,12200.62447978,7176.0,9.0,2.668723545,4.25,0.375,0.0,1.0,8747.781429151251,7491.160290954625,4644.656625,8.75,2.0914273165000004,2.1213203435596424,0.5175491695067657,0.0,0.0,4289.965747346975,3121.935254351158,2786.424176271134,4.949747468305833,1.0637629647728812,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.2857865730721663,-0.0450966923226988,-0.2332347252253783,-0.0270944705827415,-0.8741874715561057,0.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
