week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_hr_4_t-7_encoded,audio_amp_std_hr_4_t-7_encoded,audio_convo_duration_hr_4_t-7_encoded,audio_convo_num_hr_4_t-7_encoded,audio_voice_hr_4_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_hr_4_t-6_encoded,audio_amp_std_hr_4_t-6_encoded,audio_convo_duration_hr_4_t-6_encoded,audio_convo_num_hr_4_t-6_encoded,audio_voice_hr_4_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_hr_4_t-5_encoded,audio_amp_std_hr_4_t-5_encoded,audio_convo_duration_hr_4_t-5_encoded,audio_convo_num_hr_4_t-5_encoded,audio_voice_hr_4_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_hr_4_t-4_encoded,audio_amp_std_hr_4_t-4_encoded,audio_convo_duration_hr_4_t-4_encoded,audio_convo_num_hr_4_t-4_encoded,audio_voice_hr_4_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_hr_4_t-3_encoded,audio_amp_std_hr_4_t-3_encoded,audio_convo_duration_hr_4_t-3_encoded,audio_convo_num_hr_4_t-3_encoded,audio_voice_hr_4_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_hr_4_t-2_encoded,audio_amp_std_hr_4_t-2_encoded,audio_convo_duration_hr_4_t-2_encoded,audio_convo_num_hr_4_t-2_encoded,audio_voice_hr_4_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_hr_4_t-1_encoded,audio_amp_std_hr_4_t-1_encoded,audio_convo_duration_hr_4_t-1_encoded,audio_convo_num_hr_4_t-1_encoded,audio_voice_hr_4_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_hr_4_t-0_encoded,audio_amp_std_hr_4_t-0_encoded,audio_convo_duration_hr_4_t-0_encoded,audio_convo_num_hr_4_t-0_encoded,audio_voice_hr_4_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_hr_4_mean_encoded,audio_amp_std_hr_4_mean_encoded,audio_convo_duration_hr_4_mean_encoded,audio_convo_num_hr_4_mean_encoded,audio_voice_hr_4_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_hr_4_std_encoded,audio_amp_std_hr_4_std_encoded,audio_convo_duration_hr_4_std_encoded,audio_convo_num_hr_4_std_encoded,audio_voice_hr_4_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_hr_4_skew_encoded,audio_amp_std_hr_4_skew_encoded,audio_convo_duration_hr_4_skew_encoded,audio_convo_num_hr_4_skew_encoded,audio_voice_hr_4_skew_encoded,anomaly_encoded
1.0,0.0,1.0,2.0,51.47486034,6.795758154,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,56.94647887,88.5779673,0.0,0.0,0.01971831,6.0,1.0,0.0,2.0,57.16606498,4.859900391,0.0,0.0,0.0,7.0,1.0,0.0,2.0,33.23529412,3.323052195,0.0,0.0,0.0,1.0,0.0,0.0,2.0,83.67806268,59.79234296,0.0,0.0,0.022792023,3.625,0.25,0.625,2.0,40.35725157,23.335574428571427,0.0,0.0,0.005313791625,2.2638462845343543,0.4629100498862757,0.5175491695067657,0.0,31.268115701521698,35.800793675688126,0.0,0.0,0.009873463788048,0.2262499558606612,1.4401645996461911,-0.6440611887195306,0.0,-0.3040294142076072,1.4334985185605096,0.0,0.0,1.4699433413655845,-1.0,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1
4.0,0.0,1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,56.94647887,88.5779673,0.0,0.0,0.01971831,6.0,1.0,0.0,2.0,57.16606498,4.859900391,0.0,0.0,0.0,7.0,1.0,0.0,2.0,33.23529412,3.323052195,0.0,0.0,0.0,1.0,0.0,0.0,2.0,83.67806268,59.79234296,0.0,0.0,0.022792023,2.0,0.0,0.0,2.0,132.9681051,194.2578723,1903.552,3.0,0.17260788,3.0,0.0,0.0,2.0,35.33988764,7.629752819,0.0,0.0,0.0,4.0,0.0,0.0,3.0,48.29344729,17.21613691,0.0,0.0,0.0,4.0,0.25,0.25,2.125,63.94676295428571,53.66528926785715,237.944,0.375,0.0268897766249999,2.0,0.4629100498862757,0.4629100498862757,0.3535533905932738,34.77265598913673,69.98431778933738,673.0072637706074,1.0606601717798212,0.0596624883397598,0.0,1.4401645996461911,1.4401645996461911,2.8284271247461903,1.5518295309786465,1.655502456916112,2.8284271247461894,2.8284271247461903,2.687507611078607,2.0,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1
7.0,1.0,0.0,2.0,33.23529412,3.323052195,0.0,0.0,0.0,1.0,0.0,0.0,2.0,83.67806268,59.79234296,0.0,0.0,0.022792023,2.0,0.0,0.0,2.0,132.9681051,194.2578723,1903.552,3.0,0.17260788,3.0,0.0,0.0,2.0,35.33988764,7.629752819,0.0,0.0,0.0,4.0,0.0,0.0,3.0,48.29344729,17.21613691,0.0,0.0,0.0,5.0,0.0,0.0,3.0,145.258427,18.12133146,0.0,0.0,0.0,6.0,1.0,0.0,3.0,30.08571429,4.48980705,0.0,0.0,0.0,7.0,1.0,0.0,3.0,26.94101124,7.791121646,0.0,0.0,0.0,4.375,0.375,0.0,2.5,66.97499367,39.0776771675,237.944,0.375,0.0244249878749999,2.2638462845343543,0.5175491695067657,0.0,0.5345224838248488,48.127902986700406,65.32295612298323,673.0072637706074,1.0606601717798212,0.0604037797882783,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.9924779754259536,2.4445494480082424,2.8284271247461894,2.8284271247461903,2.7366107117076623,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1
7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,48.65642458,15.11804023,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.375,0.375,0.0,3.0,6.0820530725,1.88975502875,0.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,17.202643884404907,5.345034382442016,0.0,0.0,0.0,-0.2262499558606612,0.6440611887195306,0.0,0.0,2.82842712474619,2.82842712474619,0.0,0.0,0.0,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,58.58725762,13.77515341,0.0,0.0,0.0,5.0,0.0,0.0,3.0,22.35410765,2.743385836,0.0,0.0,0.0,6.0,1.0,0.0,3.0,25.01977401,4.954271564,0.0,0.0,0.0,7.0,1.0,0.0,3.0,27.95454545,10.81445696,0.0,0.0,0.0,4.375,0.375,0.0,3.0,16.73946059125,4.03590847125,0.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,21.03718564827369,5.457234331957788,0.0,0.0,0.0,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.1595691555080652,1.1379057475274,0.0,0.0,0.0,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,58.58725762,13.77515341,0.0,0.0,0.0,5.0,0.0,0.0,3.0,22.35410765,2.743385836,0.0,0.0,0.0,6.0,1.0,0.0,3.0,25.01977401,4.954271564,0.0,0.0,0.0,7.0,1.0,0.0,3.0,27.95454545,10.81445696,0.0,0.0,0.0,1.0,0.0,0.0,3.0,27.45961003,8.612545806,0.0,0.0,0.0,2.0,0.0,0.0,3.0,32.08732394,12.78801078,0.0,0.0,0.0,3.0,0.0,0.0,3.0,49.04189944,16.99296367,0.0,0.0,0.0,3.875,0.25,0.0,3.0,30.3130647675,8.83509850325,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,17.636398496986978,5.864865826579894,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,0.022061644414975,-0.2277273501261804,0.0,0.0,0.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,27.45961003,8.612545806,0.0,0.0,0.0,2.0,0.0,0.0,3.0,32.08732394,12.78801078,0.0,0.0,0.0,3.0,0.0,0.0,3.0,49.04189944,16.99296367,0.0,0.0,0.0,4.0,0.0,0.0,3.0,61.63788301,26.28676891,0.0,0.0,0.0,5.0,0.0,0.0,3.0,46.68333333,25.20856887,0.0,0.0,0.0,6.0,1.0,0.0,3.0,57.90196078,45.36473935,0.0,0.0,0.0,7.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,30.33050847,10.40674631,0.0,0.0,0.0,3.625,0.25,0.0,3.0,43.59178842857143,20.808620528,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,13.772952669850454,12.833584005563138,0.0,0.0,0.0,0.2262499558606612,1.4401645996461911,0.0,0.0,0.0844557534858462,1.2745617842150785,0.0,0.0,0.0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,27.22752809,8.063750595,0.0,0.0,0.0,4.0,0.0,0.0,3.0,29.01388889,14.66732295,0.0,0.0,0.0,5.0,0.0,0.0,3.0,27.22408964,4.641208921,0.0,0.0,0.0,6.0,1.0,0.0,3.0,27.76966292,13.28016096,0.0,0.0,0.0,7.0,1.0,0.0,3.0,25.10614525,4.768368331,0.0,0.0,0.0,1.0,0.0,0.0,3.0,35.44067797,15.98774727,0.0,0.0,0.002824859,3.625,0.25,0.0,3.0,21.472749095,7.676069878374999,0.0,0.0,0.000353107375,2.2638462845343543,0.4629100498862757,0.0,0.0,13.591897925618026,6.381076271039302,0.0,0.0,0.0009987384773979,0.2262499558606612,1.4401645996461911,0.0,0.0,-1.211354797632826,0.0988673936324798,0.0,0.0,2.82842712474619,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,29.01388889,14.66732295,0.0,0.0,0.0,5.0,0.0,0.0,3.0,27.22408964,4.641208921,0.0,0.0,0.0,6.0,1.0,0.0,3.0,27.76966292,13.28016096,0.0,0.0,0.0,7.0,1.0,0.0,3.0,25.10614525,4.768368331,0.0,0.0,0.0,1.0,0.0,0.0,3.0,35.44067797,15.98774727,0.0,0.0,0.002824859,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.25,0.0,3.0,18.06930808375,6.668101054,0.0,0.0,0.000353107375,2.0,0.4629100498862757,0.0,0.0,15.252503359973405,6.92480720587846,0.0,0.0,0.0009987384773979,0.0,1.4401645996461911,0.0,0.0,-0.4894250643014386,0.4048232099926069,0.0,0.0,2.82842712474619,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,27.22408964,4.641208921,0.0,0.0,0.0,6.0,1.0,0.0,3.0,27.76966292,13.28016096,0.0,0.0,0.0,7.0,1.0,0.0,3.0,25.10614525,4.768368331,0.0,0.0,0.0,1.0,0.0,0.0,3.0,35.44067797,15.98774727,0.0,0.0,0.002824859,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.125,0.25,0.0,3.0,14.4425719725,4.834685685249999,0.0,0.0,0.000353107375,2.03100960115899,0.4629100498862757,0.0,0.0,15.720606759726811,6.4282346974673725,0.0,0.0,0.0009987384773979,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.1410013031026958,1.102638273909316,0.0,0.0,2.82842712474619,-3.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
