week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,audio_amp_mean_hr_4_t-7_encoded,audio_amp_std_hr_4_t-7_encoded,audio_convo_duration_hr_4_t-7_encoded,audio_convo_num_hr_4_t-7_encoded,audio_voice_hr_4_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,audio_amp_mean_hr_4_t-6_encoded,audio_amp_std_hr_4_t-6_encoded,audio_convo_duration_hr_4_t-6_encoded,audio_convo_num_hr_4_t-6_encoded,audio_voice_hr_4_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,audio_amp_mean_hr_4_t-5_encoded,audio_amp_std_hr_4_t-5_encoded,audio_convo_duration_hr_4_t-5_encoded,audio_convo_num_hr_4_t-5_encoded,audio_voice_hr_4_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,audio_amp_mean_hr_4_t-4_encoded,audio_amp_std_hr_4_t-4_encoded,audio_convo_duration_hr_4_t-4_encoded,audio_convo_num_hr_4_t-4_encoded,audio_voice_hr_4_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,audio_amp_mean_hr_4_t-3_encoded,audio_amp_std_hr_4_t-3_encoded,audio_convo_duration_hr_4_t-3_encoded,audio_convo_num_hr_4_t-3_encoded,audio_voice_hr_4_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,audio_amp_mean_hr_4_t-2_encoded,audio_amp_std_hr_4_t-2_encoded,audio_convo_duration_hr_4_t-2_encoded,audio_convo_num_hr_4_t-2_encoded,audio_voice_hr_4_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,audio_amp_mean_hr_4_t-1_encoded,audio_amp_std_hr_4_t-1_encoded,audio_convo_duration_hr_4_t-1_encoded,audio_convo_num_hr_4_t-1_encoded,audio_voice_hr_4_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,audio_amp_mean_hr_4_t-0_encoded,audio_amp_std_hr_4_t-0_encoded,audio_convo_duration_hr_4_t-0_encoded,audio_convo_num_hr_4_t-0_encoded,audio_voice_hr_4_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,audio_amp_mean_hr_4_mean_encoded,audio_amp_std_hr_4_mean_encoded,audio_convo_duration_hr_4_mean_encoded,audio_convo_num_hr_4_mean_encoded,audio_voice_hr_4_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,audio_amp_mean_hr_4_std_encoded,audio_amp_std_hr_4_std_encoded,audio_convo_duration_hr_4_std_encoded,audio_convo_num_hr_4_std_encoded,audio_voice_hr_4_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,audio_amp_mean_hr_4_skew_encoded,audio_amp_std_hr_4_skew_encoded,audio_convo_duration_hr_4_skew_encoded,audio_convo_num_hr_4_skew_encoded,audio_voice_hr_4_skew_encoded,anomaly_encoded
3.0,0.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,154.3092608,213.327972,0.0,0.0,0.001699235,5.0,0.0,0.0,3.0,85.10896899,246.9483452,0.0,0.0,0.000838223,6.0,1.0,0.0,3.0,48.53937341,31.84907544,0.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,188.3046809,3.942666152,0.0,0.0,0.0,2.0,0.0,0.0,3.0,105.4745331,7.214029436,0.0,0.0,0.0,3.0,0.0,0.0,3.0,114.5546218,3.645412632,0.0,0.0,0.0,3.875,0.25,0.0,3.0,99.47020557142856,72.41821440857142,0.0,0.0,0.00031718225,2.03100960115899,0.4629100498862757,0.0,0.0,63.05684488950909,108.68667801260982,0.0,0.0,0.0006307796474243,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.2323368970398001,1.2256528061105736,0.0,0.0,1.965512425318567,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,188.3046809,3.942666152,0.0,0.0,0.0,2.0,0.0,0.0,3.0,105.4745331,7.214029436,0.0,0.0,0.0,3.0,0.0,0.0,3.0,114.5546218,3.645412632,0.0,0.0,0.0,4.0,0.0,0.0,3.0,99.3582343,4.472024447,0.0,0.0,0.0,5.0,0.0,0.0,3.0,109.4629005,3.485076305,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,317.0650456,310.2463165,1378.95,1.0,0.119756839,1.0,0.0,0.0,3.0,87.08249158,66.7361249,0.0,0.0,0.000841751,3.625,0.25,0.0,3.0,127.6628134725,49.9677062965,172.36875,0.125,0.01507482375,2.2638462845343543,0.4629100498862757,0.0,0.0,92.03394451252188,107.46782542966965,487.5324479585949,0.3535533905932738,0.0422989472061985,0.2262499558606612,1.4401645996461911,0.0,0.0,1.1797138716316848,2.615461054498414,2.82842712474619,2.8284271247461903,2.8281537400234718,11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1
1.0,0.0,0.0,3.0,87.08249158,66.7361249,0.0,0.0,0.000841751,2.0,0.0,0.0,3.0,139.119863,3.567262099,0.0,0.0,0.0,3.0,0.0,0.0,3.0,163.4162437,13.03085003,0.0,0.0,0.0,4.0,0.0,0.0,3.0,60.91084945,134.8574257,0.0,0.0,0.000841043,5.0,0.0,0.0,3.0,46.50641574,8.141404378,0.0,0.0,0.0,6.0,1.0,0.0,3.0,53.82578992,14.2660598,0.0,0.0,0.0,7.0,1.0,0.0,3.0,66.99915182,47.81348942,0.0,0.0,0.0,1.0,0.0,0.0,3.0,54.47341772,142.6665565,0.0,0.0,0.000843882,3.625,0.25,0.0,3.0,84.04177786625,53.884896603375,0.0,0.0,0.0003158345,2.2638462845343543,0.4629100498862757,0.0,0.0,43.69510505355383,56.69944120458187,0.0,0.0,0.0004358937374852,0.2262499558606612,1.4401645996461911,0.0,0.0,1.241023697802199,0.9186372517488391,0.0,0.0,0.6440738846759277,2.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,60.91084945,134.8574257,0.0,0.0,0.000841043,5.0,0.0,0.0,3.0,46.50641574,8.141404378,0.0,0.0,0.0,6.0,1.0,0.0,3.0,53.82578992,14.2660598,0.0,0.0,0.0,7.0,1.0,0.0,3.0,66.99915182,47.81348942,0.0,0.0,0.0,1.0,0.0,0.0,3.0,54.47341772,142.6665565,0.0,0.0,0.000843882,2.0,0.0,0.0,3.0,109.3557447,3.498972338,0.0,0.0,0.0,3.0,0.0,0.0,3.0,111.270017,63.41395735,0.0,0.0,0.001703578,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.25,0.0,3.0,62.91767329375,51.83223318575,0.0,0.0,0.000423562875,2.0,0.4629100498862757,0.0,0.0,35.65120757199567,58.10966716478232,0.0,0.0,0.000642141961077,0.0,1.4401645996461911,0.0,0.0,-0.1748391843539868,0.907316859028182,0.0,0.0,1.3411054864281429,1.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,66.99915182,47.81348942,0.0,0.0,0.0,1.0,0.0,0.0,3.0,54.47341772,142.6665565,0.0,0.0,0.000843882,2.0,0.0,0.0,3.0,109.3557447,3.498972338,0.0,0.0,0.0,3.0,0.0,0.0,3.0,111.270017,63.41395735,0.0,0.0,0.001703578,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,153.3293718,37.7743749,0.0,0.0,0.0,6.0,1.0,0.0,3.0,50.19663866,18.12241257,0.0,0.0,0.0,7.0,1.0,0.0,3.0,150.5291139,232.5185774,0.0,0.0,0.001687764,4.375,0.375,0.0,3.0,87.01918194999999,68.22604255975,0.0,0.0,0.000529403,2.2638462845343543,0.5175491695067657,0.0,0.0,53.32627852282273,80.4055079082967,0.0,0.0,0.0007765051614612,-0.2262499558606612,0.6440611887195306,0.0,0.0,-0.2238594447658793,1.5007615073923075,0.0,0.0,1.001740475991732,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,111.270017,63.41395735,0.0,0.0,0.001703578,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,153.3293718,37.7743749,0.0,0.0,0.0,6.0,1.0,0.0,3.0,50.19663866,18.12241257,0.0,0.0,0.0,7.0,1.0,0.0,3.0,150.5291139,232.5185774,0.0,0.0,0.001687764,1.0,0.0,0.0,3.0,48.91062395,12.51584244,0.0,0.0,0.0,2.0,0.0,0.0,3.0,47.09067797,167.5175258,0.0,0.0,0.000847458,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.875,0.25,0.0,3.0,70.16580541,66.4828363075,0.0,0.0,0.00052985,2.03100960115899,0.4629100498862757,0.0,0.0,61.28794882732468,86.7678113732838,0.0,0.0,0.0007767130563695,0.2238027108715141,1.4401645996461911,0.0,0.0,0.3664476024834044,1.378304408299164,0.0,0.0,0.999070509795646,-3.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,150.5291139,232.5185774,0.0,0.0,0.001687764,1.0,0.0,0.0,3.0,48.91062395,12.51584244,0.0,0.0,0.0,2.0,0.0,0.0,3.0,47.09067797,167.5175258,0.0,0.0,0.000847458,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,19.51692047,3.851644076,0.0,0.0,0.0,5.0,0.0,0.0,3.0,57.87150838,27.89856374,0.0,0.0,0.0,6.0,1.0,0.0,3.0,316.244382,609.9384042,391.0,4.0,0.11423221,7.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,4.375,0.375,0.0,3.0,91.4518895242857,150.60579395085713,48.875,0.5,0.014595929,2.2638462845343543,0.5175491695067657,0.0,0.0,109.89782326385968,222.2337141900263,138.23937572197005,1.4142135623730951,0.0402638359305242,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.7977060253271329,1.837005685107706,2.8284271247461903,2.8284271247461903,2.8271134178289787,-1.0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1
3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,19.51692047,3.851644076,0.0,0.0,0.0,5.0,0.0,0.0,3.0,57.87150838,27.89856374,0.0,0.0,0.0,6.0,1.0,0.0,3.0,316.244382,609.9384042,391.0,4.0,0.11423221,7.0,1.0,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,31.23688663,17.71573984,0.0,0.0,0.0,2.0,0.0,0.0,3.0,19.59659574,1.842474373,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.875,0.25,0.0,3.0,63.49518474571429,94.46383231842856,48.875,0.5,0.01427902625,2.03100960115899,0.4629100498862757,0.0,0.0,113.1951346591778,227.5490257705615,138.23937572197005,1.4142135623730951,0.0403871851604628,0.2238027108715141,1.4401645996461911,0.0,0.0,2.482455735488488,2.6338736951854704,2.8284271247461903,2.8284271247461903,2.8284271247461903,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1
3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,20.96258503,6.010786346,0.0,0.0,0.0,5.0,0.0,0.0,3.0,20.68228279,17.23671479,0.0,0.0,0.0,6.0,1.0,0.0,3.0,22.63002114,22.22816784,0.0,0.0,0.001057082,7.0,1.0,0.0,3.0,19.8371308,4.462460982,0.0,0.0,0.0,1.0,0.0,0.0,3.0,20.54322034,3.452436595,0.0,0.0,0.0,2.0,0.0,1.0,3.0,27.42629816,35.61641932,0.0,0.0,0.0,3.0,0.0,1.0,3.0,21.91976351,7.912602073,0.0,0.0,0.0,3.875,0.25,0.25,3.0,19.25016272125,12.11494849325,0.0,0.0,0.00013213525,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,8.132545326343116,12.048242266711132,0.0,0.0,0.0003737349252351,0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,-2.308559402935198,1.1948639378861936,0.0,0.0,2.82842712474619,-10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,19.8371308,4.462460982,0.0,0.0,0.0,1.0,0.0,0.0,3.0,20.54322034,3.452436595,0.0,0.0,0.0,2.0,0.0,1.0,3.0,27.42629816,35.61641932,0.0,0.0,0.0,3.0,0.0,1.0,3.0,21.91976351,7.912602073,0.0,0.0,0.0,4.0,0.0,1.0,3.0,24.61186441,8.41458751,0.0,0.0,0.0,5.0,0.0,1.0,3.0,26.27932489,8.691357726,0.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,3.0,22.87701442,13.02164855,0.0,0.0,0.001696353,4.375,0.375,0.75,3.0,20.43682706625,10.1964390945,0.0,0.0,0.000212044125,2.2638462845343543,0.5175491695067657,0.4629100498862757,0.0,8.673497352826868,11.000914407342702,0.0,0.0,0.000599751354793,-0.2262499558606612,0.6440611887195306,-1.4401645996461911,0.0,-2.307446282177111,2.127763491163844,0.0,0.0,2.8284271247461907,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
