week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target
5.0,0.0,1.0,2.0,,,0.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,156.7743733,8.767616446,0.0,0.0,0.0,1.0,0.0,1.0,2.0,158.7195467,27.05231712,0.0,0.0,0.0,2.0,0.0,1.0,2.0,124.5014085,9.477735109,0.0,0.0,0.0,3.0,0.0,1.0,2.0,118.5511364,6.7439113,0.0,0.0,0.0,4.0,0.0,1.0,2.0,132.4197183,9.420454517,0.0,0.0,0.0,5.0,0.0,1.0,2.0,125.6881356,7.370879136,0.0,0.0,0.0,4.125,0.25,1.0,2.0,116.6649026857143,9.833273375428572,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,53.82481441841604,8.268703321731213,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,-2.16048985328451,1.695825770208038,0.0,0.0,0.0,-1.0
5.0,0.0,1.0,2.0,125.6881356,7.370879136,0.0,0.0,0.0,6.0,1.0,0.0,2.0,136.8245125,69.25195098,0.0,0.0,0.0,7.0,1.0,0.0,2.0,138.0,8.767095975,0.0,0.0,0.0,1.0,0.0,0.0,2.0,148.0885714,35.04756989,0.0,0.0,0.0,2.0,0.0,0.0,2.0,164.7350427,43.16312261,0.0,0.0,0.0,3.0,0.0,0.0,2.0,192.5393258,169.7645631,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,110.1549296,16.04504916,0.0,0.0,0.0,4.125,0.25,0.125,2.25,127.00381469999999,43.676278856375,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.3535533905932738,0.4629100498862757,57.06645603656742,55.85046829757766,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,2.8284271247461903,1.4401645996461911,-1.749076799031597,1.9963102296819817,0.0,0.0,0.0,-3.0
4.0,0.0,0.0,3.0,142.2773109,80.64976927,0.0,0.0,0.0,5.0,0.0,0.0,3.0,116.5861111,11.24738618,0.0,0.0,0.0,6.0,1.0,0.0,3.0,73.44101124,9.916471548,0.0,0.0,0.0,7.0,1.0,0.0,3.0,124.8356546,11.49340414,0.0,0.0,0.0,1.0,0.0,0.0,3.0,98.05042017,9.823240669,0.0,0.0,0.0,2.0,0.0,0.0,3.0,100.7520891,11.13389464,0.0,0.0,0.0,3.0,0.0,0.0,3.0,131.0417827,47.13526949,0.0,0.0,0.002785515,4.0,0.0,0.0,3.0,185.8371429,276.4969321,0.0,0.0,0.005714286,4.0,0.25,0.0,3.0,121.60269033875,57.237046004625,0.0,0.0,0.001062475125,2.0,0.4629100498862757,0.0,0.0,33.77916466171471,92.23063869676476,0.0,0.0,0.0021173207859756186,0.0,1.4401645996461911,0.0,0.0,0.6957133252658904,2.4397489720373176,0.0,0.0,1.9782238567954713,-3.0
7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,401.8474576,447.2336368,0.0,0.0,0.019774011,2.0,0.0,0.0,3.0,152.281337,49.10385177,0.0,0.0,0.0,3.0,0.0,0.0,3.0,195.0139665,208.5597789,0.0,0.0,0.0,4.0,0.0,0.0,3.0,81.16155989,6.075804686,0.0,0.0,0.0,7.0,1.0,0.0,3.0,,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,120.2118644,32.62832597,0.0,0.0,0.0,2.0,0.0,0.0,3.0,77.0758427,8.48245914,0.0,0.0,0.0,3.375,0.25,0.0,3.0,146.7988611557143,107.440551038,0.0,0.0,0.002471751375,2.445841952609133,0.4629100498862757,0.0,0.0,128.34255537822006,166.48096319530876,0.0,0.0,0.006991168634678692,0.8262576084412339,1.4401645996461911,0.0,0.0,1.4237169330915136,1.8406143700798272,0.0,0.0,2.82842712474619,-8.0
1.0,0.0,0.0,3.0,199.4662921,219.2627752,0.0,0.0,0.019662921,2.0,0.0,0.0,3.0,121.0861111,10.49316319,0.0,0.0,0.0,3.0,0.0,0.0,3.0,108.8583569,9.233655316,0.0,0.0,0.0,4.0,0.0,0.0,3.0,166.0428212,16.85261881,0.0,0.0,0.0,5.0,0.0,0.0,3.0,116.6033058,113.1458854,0.0,0.0,0.0,6.0,1.0,0.0,3.0,106.7872928,6.497475402,0.0,0.0,0.0,7.0,1.0,0.0,3.0,130.7815126,109.8989472,0.0,0.0,0.019607843,1.0,0.0,0.0,3.0,216.7932961,34.77801527,0.0,0.0,0.0,3.625,0.25,0.0,3.0,145.802373575,65.0203169735,0.0,0.0,0.0049088455,2.2638462845343543,0.4629100498862757,0.0,0.0,42.93740510910475,76.40671882390835,0.0,0.0,0.009089427580766002,0.22624995586066124,1.4401645996461911,0.0,0.0,0.884074568696282,1.3646659540038957,0.0,0.0,1.4401759311590099,-10.0
4.0,0.0,0.0,3.0,166.0428212,16.85261881,0.0,0.0,0.0,5.0,0.0,0.0,3.0,116.6033058,113.1458854,0.0,0.0,0.0,6.0,1.0,0.0,3.0,106.7872928,6.497475402,0.0,0.0,0.0,7.0,1.0,0.0,3.0,130.7815126,109.8989472,0.0,0.0,0.019607843,1.0,0.0,0.0,3.0,216.7932961,34.77801527,0.0,0.0,0.0,2.0,0.0,0.0,3.0,123.0760563,13.18310341,0.0,0.0,0.0,3.0,0.0,0.0,3.0,105.6752137,31.73523725,0.0,0.0,0.0,4.0,0.0,0.0,3.0,123.1666667,9.007399135,0.0,0.0,0.0,4.0,0.25,0.0,3.0,136.11577065,41.887335234625,0.0,0.0,0.002450980375,2.0,0.4629100498862757,0.0,0.0,37.67944233869589,44.14451945540485,0.0,0.0,0.006932419374870588,0.0,1.4401645996461911,0.0,0.0,1.732315500038333,1.2306610763578865,0.0,0.0,2.8284271247461903,12.0
6.0,1.0,0.0,3.0,106.7872928,6.497475402,0.0,0.0,0.0,7.0,1.0,0.0,3.0,130.7815126,109.8989472,0.0,0.0,0.019607843,1.0,0.0,0.0,3.0,216.7932961,34.77801527,0.0,0.0,0.0,2.0,0.0,0.0,3.0,123.0760563,13.18310341,0.0,0.0,0.0,3.0,0.0,0.0,3.0,105.6752137,31.73523725,0.0,0.0,0.0,4.0,0.0,0.0,3.0,123.1666667,9.007399135,0.0,0.0,0.0,5.0,0.0,0.0,3.0,122.5210084,16.30479062,0.0,0.0,0.0,6.0,1.0,0.0,3.0,122.2374302,37.35735695,0.0,0.0,0.0,4.25,0.375,0.0,3.0,131.3798096,32.345290654625,0.0,0.0,0.002450980375,2.1213203435596424,0.5175491695067657,0.0,0.0,35.576495578008114,33.55855130874662,0.0,0.0,0.006932419374870588,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.4902113228699556,2.1442620709045817,0.0,0.0,2.8284271247461903,-3.0
2.0,0.0,0.0,3.0,123.0760563,13.18310341,0.0,0.0,0.0,3.0,0.0,0.0,3.0,105.6752137,31.73523725,0.0,0.0,0.0,4.0,0.0,0.0,3.0,123.1666667,9.007399135,0.0,0.0,0.0,5.0,0.0,0.0,3.0,122.5210084,16.30479062,0.0,0.0,0.0,6.0,1.0,0.0,3.0,122.2374302,37.35735695,0.0,0.0,0.0,7.0,1.0,0.0,3.0,104.0564972,8.952932489,0.0,0.0,0.0,1.0,0.0,0.0,3.0,104.740113,8.548976612,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.75,0.25,0.0,3.0,100.68412318749999,15.636224558250001,0.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,41.641815585236714,12.653508306498834,0.0,0.0,0.0,0.31426968052735443,1.4401645996461911,0.0,0.0,-2.578292285500647,0.906095301838106,0.0,0.0,0.0,-1.0
6.0,1.0,0.0,3.0,19.60504202,0.963349264,0.0,0.0,0.0,7.0,1.0,0.0,3.0,,,0.0,0.0,0.0,1.0,0.0,1.0,3.0,21.76044568,4.519656336,0.0,0.0,0.0,2.0,0.0,1.0,3.0,20.65738162,2.656184217,0.0,0.0,0.0,3.0,0.0,1.0,3.0,21.24293785,4.255640108,0.0,0.0,0.0,4.0,0.0,1.0,3.0,24.05698006,33.16345002,0.0,0.0,0.0,5.0,0.0,1.0,3.0,23.32571429,29.20131448,0.0,0.0,0.002857143,6.0,1.0,1.0,3.0,24.545961,4.231790959,0.0,0.0,0.0,4.25,0.375,0.75,3.0,22.170637502857144,11.284483626285715,0.0,0.0,0.000357142875,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,1.845524309840447,13.696613735090692,0.0,0.0,0.001010152595059838,-0.31426968052735443,0.6440611887195306,-1.4401645996461911,0.0,0.016149656398124834,1.2237012684954642,0.0,0.0,2.82842712474619,-1.0
7.0,1.0,1.0,3.0,20.33429395,2.571861649,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,21.15277778,2.072704368,0.0,0.0,0.0,3.0,0.0,1.0,3.0,21.28412256,1.413247607,0.0,0.0,0.0,4.0,0.0,1.0,4.0,185.6355932,211.2770692,0.0,0.0,0.008474576,5.0,0.0,1.0,4.0,123.511236,123.8764217,0.0,0.0,0.0,6.0,1.0,1.0,4.0,22.76487252,4.169729178,0.0,0.0,0.0,7.0,1.0,1.0,4.0,25.62253521,15.3052895,0.0,0.0,0.0,4.375,0.375,1.0,3.5,52.53817890249999,45.085790400250005,0.0,0.0,0.001059322,2.2638462845343543,0.5175491695067657,0.0,0.5345224838248488,65.59857148344284,79.26996028711878,0.0,0.0,0.0029962150786403837,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.6394006103833656,1.7792875176160872,0.0,0.0,2.8284271247461903,4.0
