week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target
6.0,1.0,0.0,3.0,,,,,,7.0,1.0,0.0,3.0,,,,,,1.0,0.0,0.0,3.0,,,,,,2.0,0.0,0.0,3.0,,,,,,3.0,0.0,0.0,3.0,,,,,,4.0,0.0,0.0,3.0,,,0.0,0.0,0.0,5.0,0.0,0.0,3.0,,,0.0,0.0,0.0,6.0,1.0,0.0,3.0,2297.40678,1545.458794,0.0,0.0,0.0,4.25,0.375,0.0,3.0,2297.40678,1545.458794,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,,,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,,,0.0,0.0,0.0,3.0
6.0,1.0,1.0,4.0,1303.577031,623.0686127,0.0,0.0,0.0,7.0,1.0,1.0,4.0,3029.518207,1669.552126,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1719.544693,269.2962937,0.0,0.0,0.0,2.0,0.0,1.0,4.0,1434.64507,393.8998274,0.0,0.0,0.0,3.0,0.0,1.0,4.0,,,0.0,0.0,0.0,4.0,0.0,1.0,4.0,4857.626404,264.9484013,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1387.963855,260.065953,0.0,0.0,0.0,6.0,1.0,0.0,4.0,2377.547753,182.3185121,0.0,0.0,0.0,4.25,0.375,0.75,4.0,2301.4890018571427,523.3071037428572,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,1290.3542118432122,525.581596378518,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,-1.4401645996461911,0.0,1.5729428620688575,2.2714292476791513,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,11820.32493,12413.13793,0.0,0.0,0.036414566,5.0,0.0,0.0,4.0,2721.786517,1468.606279,0.0,0.0,0.0,6.0,1.0,0.0,4.0,,,,,,7.0,1.0,0.0,4.0,,,,,,1.0,0.0,0.0,4.0,,,0.0,0.0,0.0,2.0,0.0,0.0,4.0,,,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2360.952514,172.629129,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1527.644351,671.2018159,0.0,0.0,0.0,4.0,0.25,0.0,4.0,4607.677078000001,3681.3937884750003,0.0,0.0,0.006069094333333334,2.0,0.4629100498862757,0.0,0.0,4834.364663907112,5845.5815069298405,0.0,0.0,0.014866184317483513,0.0,1.4401645996461911,0.0,0.0,1.9350832397114013,1.9505500936082893,0.0,0.0,2.449489742783178,6.0
3.0,0.0,0.0,1.0,1740.964286,189.1790501,0.0,0.0,0.0,4.0,0.0,0.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4626.991597,4432.901714,0.0,0.0,0.050420168,6.0,1.0,0.0,1.0,1115.330544,262.3102613,0.0,0.0,0.0,7.0,1.0,0.0,1.0,17403.9094,10852.12277,959.0,2.0,0.224832215,1.0,0.0,0.0,1.0,5056.311037,2627.964711,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3924.65,1446.882215,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2718.430168,404.7255079,0.0,0.0,0.0,3.875,0.25,0.0,1.0,5226.655290285715,2888.0123184714284,119.875,0.25,0.034406547875,2.03100960115899,0.4629100498862757,0.0,0.0,5563.475762342022,3836.2947607665033,339.05770157894955,0.7071067811865476,0.07894051462928736,0.2238027108715141,1.4401645996461911,0.0,0.0,2.2705107283915003,1.871081192185068,2.8284271247461903,2.8284271247461903,2.580691405225382,0.0
6.0,1.0,0.0,1.0,3948.191011,804.2537664,0.0,0.0,0.0,7.0,1.0,0.0,1.0,2923.808333,1441.747697,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1286.513966,489.0844754,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1451.394958,382.3017687,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2318.757322,370.7051966,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3952.240223,617.1585124,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2900.112903,517.8953927,0.0,0.0,0.0,6.0,1.0,0.0,1.0,2809.309524,350.008015,0.0,0.0,0.0,4.25,0.375,0.0,1.0,2698.79103,621.644353025,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,995.0205954671434,364.16507567252233,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.16862080827325063,1.9904361664999042,0.0,0.0,0.0,-13.0
2.0,0.0,0.0,1.0,1451.394958,382.3017687,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2318.757322,370.7051966,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3952.240223,617.1585124,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2900.112903,517.8953927,0.0,0.0,0.0,6.0,1.0,0.0,1.0,2809.309524,350.008015,0.0,0.0,0.0,7.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,38288.37989,33061.4086,130.0,1.0,0.212290503,2.0,0.0,0.0,1.0,1492.045198,2722.168251,0.0,0.0,0.0,3.75,0.25,0.0,1.0,7601.748573999999,5431.663676628572,16.25,0.125,0.026536312875,2.1213203435596424,0.4629100498862757,0.0,0.0,13559.292166088993,12213.389710980951,45.96194077712559,0.3535533905932738,0.07505602712640155,0.31426968052735443,1.4401645996461911,0.0,0.0,2.623162003023826,2.6195280465002178,2.82842712474619,2.8284271247461903,2.8284271247461894,3.0
5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.125,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.25,0.375,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.75,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31426968052735443,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
6.0,1.0,0.0,3.0,,,0.0,0.0,0.0,7.0,1.0,0.0,3.0,,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,,,0.0,0.0,0.0,3.0,0.0,0.0,3.0,,,0.0,0.0,0.0,4.0,0.0,0.0,3.0,,,0.0,0.0,0.0,5.0,0.0,0.0,3.0,,,0.0,0.0,0.0,6.0,1.0,0.0,3.0,,,0.0,0.0,0.0,4.25,0.375,0.0,3.0,,,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,,,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,,,0.0,0.0,0.0,-6.0
2.0,0.0,0.0,3.0,,,0.0,0.0,0.0,3.0,0.0,0.0,3.0,,,0.0,0.0,0.0,4.0,0.0,0.0,3.0,,,0.0,0.0,0.0,5.0,0.0,0.0,3.0,,,0.0,0.0,0.0,6.0,1.0,0.0,3.0,,,0.0,0.0,0.0,7.0,1.0,0.0,3.0,,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,,,0.0,0.0,0.0,3.75,0.25,0.0,3.0,,,0.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,,,0.0,0.0,0.0,0.31426968052735443,1.4401645996461911,0.0,0.0,,,0.0,0.0,0.0,2.0
4.0,0.0,1.0,4.0,,,0.0,0.0,0.0,5.0,0.0,1.0,4.0,,,0.0,0.0,0.0,6.0,1.0,0.0,4.0,,,0.0,0.0,0.0,7.0,1.0,0.0,4.0,,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,,0.0,0.0,0.0,2.0,0.0,0.0,4.0,,,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,,0.0,0.0,0.0,4.0,0.25,0.25,4.0,,,0.0,0.0,0.0,2.0,0.4629100498862757,0.4629100498862757,0.0,,,0.0,0.0,0.0,0.0,1.4401645996461911,1.4401645996461911,0.0,,,0.0,0.0,0.0,2.0
