week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target
1.0,0.0,0.0,3.0,237.2730352,602.5716214,291.0,3.0,0.054878049,2.0,0.0,0.0,3.0,4047.96873209,3452.1580638,4003.0,6.0,1.128085396,3.0,0.0,0.0,3.0,7375.4023863,5686.3399779,7728.0,17.0,1.861546592,4.0,0.0,0.0,3.0,5484.3768346,4065.9404576,6358.0,12.0,1.22182765,5.0,0.0,0.0,3.0,155.19437338,1036.1925484,0.0,0.0,0.027138152,6.0,1.0,0.0,3.0,1719.3017444,3137.9498068000003,966.0,6.0,0.27177144,7.0,1.0,0.0,3.0,1145.950607,810.0019613,1900.0,3.0,0.182186235,1.0,0.0,0.0,3.0,5120.47615273,4429.5239333,9539.875,16.0,1.564879371,3.625,0.25,0.0,3.0,3160.7429832125,2902.5847963125,3848.234375,7.875,0.789039110625,2.2638462845343543,0.4629100498862757,0.0,0.0,2712.602649320858,1887.706221372369,3651.53483534511,6.356942211921883,0.7377359672435285,0.22624995586066124,1.4401645996461911,0.0,0.0,0.3084989462065711,-0.026789763472797382,0.49000747495781594,0.46942253270651185,0.294521426233138,-2.0
4.0,0.0,0.0,3.0,5484.3768346,4065.9404576,6358.0,12.0,1.22182765,5.0,0.0,0.0,3.0,155.19437338,1036.1925484,0.0,0.0,0.027138152,6.0,1.0,0.0,3.0,1719.3017444,3137.9498068000003,966.0,6.0,0.27177144,7.0,1.0,0.0,3.0,1145.950607,810.0019613,1900.0,3.0,0.182186235,1.0,0.0,0.0,3.0,5120.47615273,4429.5239333,9539.875,16.0,1.564879371,2.0,0.0,0.0,3.0,1386.91627853,1735.1313439,534.0,4.0,0.25005362,3.0,0.0,0.0,3.0,6735.3869172,5723.0175553,12781.098,19.0,1.767283488,4.0,0.0,0.0,3.0,6787.7580422,6590.8884722,6918.387999999999,21.0,1.32389852,4.0,0.25,0.0,3.0,3566.9201187549997,3441.08075985,4874.670125,10.125,0.8261298095,2.0,0.4629100498862757,0.0,0.0,2729.9982137341312,2144.9012115262667,4741.654006164529,7.954109450017466,0.7099395955328767,0.0,1.4401645996461911,0.0,0.0,0.05103446838258727,0.13950741491781837,0.5787505332193058,0.1873220694403289,0.15090527436725107,4.0
7.0,1.0,0.0,3.0,1145.950607,810.0019613,1900.0,3.0,0.182186235,1.0,0.0,0.0,3.0,5120.47615273,4429.5239333,9539.875,16.0,1.564879371,2.0,0.0,0.0,3.0,1386.91627853,1735.1313439,534.0,4.0,0.25005362,3.0,0.0,0.0,3.0,6735.3869172,5723.0175553,12781.098,19.0,1.767283488,4.0,0.0,0.0,3.0,6787.7580422,6590.8884722,6918.387999999999,21.0,1.32389852,5.0,0.0,0.0,3.0,5076.689643520001,5022.26484149,6752.735000000001,13.0,1.157592091,6.0,1.0,0.0,3.0,4016.12706052,4107.4860694,6479.0,16.0,1.067993589,7.0,1.0,0.0,3.0,6313.606985299999,5532.1005242,13262.782,22.0,1.87721745,4.375,0.375,0.0,3.0,4572.863960875,4243.80183763625,7270.98475,14.25,1.1488880455000001,2.2638462845343543,0.5175491695067657,0.0,0.0,2247.859959484943,2003.5716995284574,4577.357832724986,7.245688373094719,0.6398202294649922,-0.22624995586066124,0.6440611887195306,0.0,0.0,-0.7749392718307232,-0.887992765145331,-0.1336644168863056,-0.8070481017832486,-0.6762528455100258,-2.0
3.0,0.0,0.0,3.0,6735.3869172,5723.0175553,12781.098,19.0,1.767283488,4.0,0.0,0.0,3.0,6787.7580422,6590.8884722,6918.387999999999,21.0,1.32389852,5.0,0.0,0.0,3.0,5076.689643520001,5022.26484149,6752.735000000001,13.0,1.157592091,6.0,1.0,0.0,3.0,4016.12706052,4107.4860694,6479.0,16.0,1.067993589,7.0,1.0,0.0,3.0,6313.606985299999,5532.1005242,13262.782,22.0,1.87721745,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,8331.6409971,6590.3563928,14555.872,27.0,2.6313819400000003,3.0,0.0,0.0,3.0,3880.624577430001,2916.2323312,8071.0,10.0,1.682581286,3.875,0.25,0.0,3.0,5142.72927790875,4560.29327332375,8602.609375,16.0,1.4384935455,2.03100960115899,0.4629100498862757,0.0,0.0,2566.179958063439,2218.702112026233,4776.04382268687,8.383657572069263,0.763611212097331,0.2238027108715141,1.4401645996461911,0.0,0.0,-1.0925239426886166,-1.3960012434300246,-0.47611371974487987,-0.853383082886289,-0.5215364698325664,4.0
7.0,1.0,0.0,3.0,6313.606985299999,5532.1005242,13262.782,22.0,1.87721745,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,8331.6409971,6590.3563928,14555.872,27.0,2.6313819400000003,3.0,0.0,0.0,3.0,3880.624577430001,2916.2323312,8071.0,10.0,1.682581286,4.0,0.0,0.0,3.0,226.83027386,995.5256874,768.0,2.0,0.042852981,5.0,0.0,0.0,3.0,9.883503401,171.6910516,0.0,0.0,0.0,6.0,1.0,0.0,3.0,578.4399436,1337.2698608,635.0,4.0,0.089025448,7.0,1.0,0.0,3.0,106.3660377,273.5972146,70.0,1.0,0.020754717,4.375,0.375,0.0,3.0,2430.924039798875,2227.096632825,4670.331749999999,8.25,0.79297672775,2.2638462845343543,0.5175491695067657,0.0,0.0,3326.504914884827,2556.3747946736717,6317.976584086345,10.620061877678223,1.0862051893348195,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.0807202241929548,1.023167882564123,0.9165529806509635,1.1722767552272642,0.886318079854063,10.0
3.0,0.0,0.0,3.0,3880.624577430001,2916.2323312,8071.0,10.0,1.682581286,4.0,0.0,0.0,3.0,226.83027386,995.5256874,768.0,2.0,0.042852981,5.0,0.0,0.0,3.0,9.883503401,171.6910516,0.0,0.0,0.0,6.0,1.0,0.0,3.0,578.4399436,1337.2698608,635.0,4.0,0.089025448,7.0,1.0,0.0,3.0,106.3660377,273.5972146,70.0,1.0,0.020754717,1.0,0.0,0.0,3.0,9467.4551755,5643.4231536,12559.0,18.0,3.006770058,2.0,0.0,0.0,3.0,663.16957436,1328.7613563999998,292.0,1.0,0.092864447,3.0,0.0,0.0,3.0,44.855716875,426.36157022,0.0,0.0,0.008806721,3.875,0.25,0.0,3.0,1872.20310034075,1636.6077782275001,2799.375,4.5,0.61795695725,2.03100960115899,0.4629100498862757,0.0,0.0,3327.162263603956,1842.1975231780284,4799.7132633850415,6.369570517030843,1.1234941406214196,0.2238027108715141,1.4401645996461911,0.0,0.0,2.171011743567128,1.7870520558775105,1.6840770655340551,1.726961020462588,1.837483369170635,-4.0
4.0,0.0,0.0,3.0,226.83027386,995.5256874,768.0,2.0,0.042852981,5.0,0.0,0.0,3.0,9.883503401,171.6910516,0.0,0.0,0.0,6.0,1.0,0.0,3.0,578.4399436,1337.2698608,635.0,4.0,0.089025448,7.0,1.0,0.0,3.0,106.3660377,273.5972146,70.0,1.0,0.020754717,1.0,0.0,0.0,3.0,9467.4551755,5643.4231536,12559.0,18.0,3.006770058,2.0,0.0,0.0,3.0,663.16957436,1328.7613563999998,292.0,1.0,0.092864447,3.0,0.0,0.0,3.0,44.855716875,426.36157022,0.0,0.0,0.008806721,4.0,0.0,0.0,3.0,5338.1435099,5035.6628972,3302.0,10.0,0.7469551050000001,4.0,0.25,0.0,3.0,2054.3929668994997,1901.5365989775,2203.25,4.5,0.501003684625,2.0,0.4629100498862757,0.0,0.0,3488.829152997161,2174.872096914274,4324.0261248715215,6.369570517030843,1.0426247513579505,0.0,1.4401645996461911,0.0,0.0,1.8242896935363582,1.2843660673615718,2.513854215800225,1.726961020462588,2.547477413516067,0.0
6.0,1.0,0.0,3.0,578.4399436,1337.2698608,635.0,4.0,0.089025448,7.0,1.0,0.0,3.0,106.3660377,273.5972146,70.0,1.0,0.020754717,1.0,0.0,0.0,3.0,9467.4551755,5643.4231536,12559.0,18.0,3.006770058,2.0,0.0,0.0,3.0,663.16957436,1328.7613563999998,292.0,1.0,0.092864447,3.0,0.0,0.0,3.0,44.855716875,426.36157022,0.0,0.0,0.008806721,4.0,0.0,0.0,3.0,5338.1435099,5035.6628972,3302.0,10.0,0.7469551050000001,5.0,0.0,0.0,3.0,5448.2735811,5350.0946792,6072.0,15.0,1.4343466130000002,6.0,1.0,0.0,3.0,34.74011299,225.0942809,0.0,0.0,0.007062147,4.25,0.375,0.0,3.0,2710.180456503125,2452.5331266149997,2866.25,6.125,0.6758231570000001,2.1213203435596424,0.5175491695067657,0.0,0.0,3582.5063670540817,2436.9622004992516,4476.464572788282,7.239524451627626,1.0703250725788787,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.1318425118717679,0.5466035592989087,1.797535910781349,0.8501033684987319,1.836849182130065,4.0
7.0,1.0,0.0,3.0,106.3660377,273.5972146,70.0,1.0,0.020754717,1.0,0.0,0.0,3.0,9467.4551755,5643.4231536,12559.0,18.0,3.006770058,2.0,0.0,0.0,3.0,663.16957436,1328.7613563999998,292.0,1.0,0.092864447,3.0,0.0,0.0,3.0,44.855716875,426.36157022,0.0,0.0,0.008806721,4.0,0.0,0.0,3.0,5338.1435099,5035.6628972,3302.0,10.0,0.7469551050000001,5.0,0.0,0.0,3.0,5448.2735811,5350.0946792,6072.0,15.0,1.4343466130000002,6.0,1.0,0.0,3.0,34.74011299,225.0942809,0.0,0.0,0.007062147,7.0,1.0,0.0,3.0,5179.2460630000005,5523.4942992,8423.0,17.0,1.136581077,4.375,0.375,0.0,3.0,3285.281221428125,2975.8111814149997,3839.75,7.75,0.806767610625,2.2638462845343543,0.5175491695067657,0.0,0.0,3560.6280209731867,2606.8022106185745,4759.7797292972045,8.102027964828135,1.0522061881732625,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.604735502451734,-0.0423619661624893,0.9868286990762198,0.25598448686770287,1.4816878467677164,3.0
3.0,0.0,0.0,3.0,44.855716875,426.36157022,0.0,0.0,0.008806721,4.0,0.0,0.0,3.0,5338.1435099,5035.6628972,3302.0,10.0,0.7469551050000001,5.0,0.0,0.0,3.0,5448.2735811,5350.0946792,6072.0,15.0,1.4343466130000002,6.0,1.0,0.0,3.0,34.74011299,225.0942809,0.0,0.0,0.007062147,7.0,1.0,0.0,3.0,5179.2460630000005,5523.4942992,8423.0,17.0,1.136581077,1.0,0.0,0.0,3.0,91.98679796,726.5953791000001,0.0,0.0,0.012763089,2.0,0.0,0.0,3.0,29903.2664442,12015.7028891,22321.887,9.0,4.931794657,3.0,0.0,0.0,3.0,4194.202765679999,3340.563015659,5050.0,9.0,0.6876839939999999,3.875,0.25,0.0,3.0,6279.339373963125,4080.446126322375,5646.110875,7.5,1.1207491753749999,2.03100960115899,0.4629100498862757,0.0,0.0,9866.04268977264,3920.403552385177,7439.853225687633,6.824326235712107,1.6324511416879508,0.2238027108715141,1.4401645996461911,0.0,0.0,2.4692941315686854,1.1423444515460808,1.8990212844356553,0.021575648454959424,2.238829296572239,1.0
4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,14143.709349,8330.196766000001,11493.485,13.0,2.499672383,7.0,1.0,0.0,3.0,6933.1530427,6888.1478123,7235.0,13.0,1.2878843949999998,1.0,0.0,0.0,3.0,4980.73139593,3389.0373562,7492.843,9.0,1.331155744,2.0,0.0,0.0,3.0,6724.2329663,5419.3116555,10892.0,22.0,1.905155171,3.0,0.0,0.0,3.0,4430.350289,6951.185803,5001.0,8.0,0.7536007739999999,4.0,0.0,0.0,3.0,24.77327935,164.2042005,0.0,0.0,0.004048583,4.0,0.25,0.0,3.0,4654.618790285,3892.7604491875,5264.291,8.125,0.97268963125,2.0,0.4629100498862757,0.0,0.0,4846.809380872378,3480.77469281009,4818.590573518746,7.918107638282557,0.9492500532568755,0.0,1.4401645996461911,0.0,0.0,0.9606029463896223,-0.10624393000446954,0.0016779162220090628,0.4966461739978838,0.3760429238316775,1.0
7.0,1.0,0.0,3.0,6933.1530427,6888.1478123,7235.0,13.0,1.2878843949999998,1.0,0.0,0.0,3.0,4980.73139593,3389.0373562,7492.843,9.0,1.331155744,2.0,0.0,0.0,3.0,6724.2329663,5419.3116555,10892.0,22.0,1.905155171,3.0,0.0,0.0,3.0,4430.350289,6951.185803,5001.0,8.0,0.7536007739999999,4.0,0.0,0.0,3.0,24.77327935,164.2042005,0.0,0.0,0.004048583,5.0,0.0,0.0,3.0,4808.288601528,7197.059021840001,3235.0,11.0,0.662482207,6.0,1.0,0.0,3.0,9936.3517946,6686.6832413,9548.0,22.0,2.044364331,7.0,1.0,0.0,3.0,11729.7363186,7799.00664294,10439.0,16.0,1.975127433,4.375,0.375,0.0,3.0,6195.952211001,5561.829466697501,6730.355375,12.625,1.24547732975,2.2638462845343543,0.5175491695067657,0.0,0.0,3586.464090219623,2577.6334719355436,3786.335741515005,7.4053552051394345,0.7307427640549591,-0.22624995586066124,0.6440611887195306,0.0,0.0,-0.09353024237557782,-1.6183319793280484,-0.725376765397714,-0.2235966261005021,-0.5097551031486237,1.0
3.0,0.0,0.0,3.0,4430.350289,6951.185803,5001.0,8.0,0.7536007739999999,4.0,0.0,0.0,3.0,24.77327935,164.2042005,0.0,0.0,0.004048583,5.0,0.0,0.0,3.0,4808.288601528,7197.059021840001,3235.0,11.0,0.662482207,6.0,1.0,0.0,3.0,9936.3517946,6686.6832413,9548.0,22.0,2.044364331,7.0,1.0,0.0,3.0,11729.7363186,7799.00664294,10439.0,16.0,1.975127433,1.0,0.0,0.0,3.0,1682.29787326,3299.3672762,262.0,1.0,0.1245047,2.0,0.0,0.0,3.0,548.342503074,1733.743864398,424.0,4.0,0.10828062,3.0,0.0,0.0,3.0,154.40027511099998,693.5632124389999,80.0,1.0,0.037216548,3.875,0.25,0.0,3.0,4164.317616815375,4315.601657827125,3623.625,7.875,0.7137031495,2.03100960115899,0.4629100498862757,0.0,0.0,4527.509140708396,3186.0684197022433,4323.0578773264515,7.9899490432846765,0.8486123788050787,0.2238027108715141,1.4401645996461911,0.0,0.0,0.8776450611670138,-0.23259723052118628,0.8587167592879243,0.8172855539746234,1.0191458408803713,-11.0
5.0,0.0,1.0,3.0,183.036507111,515.94773389,71.0,1.0,0.044537774,6.0,1.0,1.0,3.0,196.13061073,377.126573344,0.0,0.0,0.015406162,7.0,1.0,1.0,3.0,18927.060582,14288.6082341,9731.954,17.0,2.350764008,1.0,0.0,1.0,3.0,7459.4336341,6374.54737,9095.353,14.0,1.715671887,2.0,0.0,1.0,3.0,538.050145807,2005.35922011,0.0,0.0,0.052431483,3.0,0.0,1.0,3.0,439.22292921,985.7059217,412.0,6.0,0.111007911,4.0,0.0,1.0,3.0,11387.9452491,8114.278636499999,10320.0,23.0,1.951953707,5.0,0.0,1.0,4.0,24843.829433,12124.7945366,28657.276,15.0,6.181803996,4.125,0.25,1.0,3.125,7996.83863638225,5598.2960282805,7285.947875,9.5,1.552947116,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,9634.290612319524,5507.468963735689,9860.981812137637,8.89622712968015,2.1118231860340098,-0.2238027108715141,1.4401645996461911,0.0,2.8284271247461903,0.9218286458146059,0.6072381964333955,1.6558279657456507,0.20777071272122444,1.7455693235929413,0.0
1.0,0.0,1.0,3.0,7459.4336341,6374.54737,9095.353,14.0,1.715671887,2.0,0.0,1.0,3.0,538.050145807,2005.35922011,0.0,0.0,0.052431483,3.0,0.0,1.0,3.0,439.22292921,985.7059217,412.0,6.0,0.111007911,4.0,0.0,1.0,3.0,11387.9452491,8114.278636499999,10320.0,23.0,1.951953707,5.0,0.0,1.0,4.0,24843.829433,12124.7945366,28657.276,15.0,6.181803996,6.0,1.0,1.0,4.0,1071.4711153,2254.6843172000004,372.0,3.0,0.085506584,7.0,1.0,1.0,4.0,3618.89589948,5115.39781596,3528.434,10.0,0.5709268269999999,1.0,0.0,1.0,4.0,5015.8490306,5442.2595196,3971.746,17.0,0.6495410540000001,3.625,0.25,1.0,3.5,6796.837179574624,5302.128417208751,7044.601125000001,11.0,1.414855431125,2.2638462845343543,0.4629100498862757,0.0,0.5345224838248488,8218.915091680446,3673.2363139628237,9576.67415153572,7.708992893275452,2.060654231425569,0.22624995586066124,1.4401645996461911,0.0,0.0,1.8002501307315188,0.7551946154205926,1.9796324645627914,0.027440479511011917,2.1847001040606617,0.0
4.0,0.0,1.0,3.0,11387.9452491,8114.278636499999,10320.0,23.0,1.951953707,5.0,0.0,1.0,4.0,24843.829433,12124.7945366,28657.276,15.0,6.181803996,6.0,1.0,1.0,4.0,1071.4711153,2254.6843172000004,372.0,3.0,0.085506584,7.0,1.0,1.0,4.0,3618.89589948,5115.39781596,3528.434,10.0,0.5709268269999999,1.0,0.0,1.0,4.0,5015.8490306,5442.2595196,3971.746,17.0,0.6495410540000001,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,9529.9425999,6378.7076808,5575.0,12.0,1.790815227,4.0,0.0,1.0,4.0,7471.0476897,7588.1093618,15506.603,24.0,2.435039417,4.0,0.25,1.0,3.875,7867.372627135,5877.2789835575,8491.382375,13.0,1.7081983515,2.0,0.4629100498862757,0.0,0.3535533905932738,7908.190152151291,3696.5098320512047,9642.25543423301,8.618916073713347,2.020357096895069,0.0,1.4401645996461911,0.0,-2.8284271247461903,1.5559696892114712,0.03430752038756038,1.522413396126644,-0.2445426187778432,1.8019236824525542,-11.0
7.0,1.0,1.0,4.0,3618.89589948,5115.39781596,3528.434,10.0,0.5709268269999999,1.0,0.0,1.0,4.0,5015.8490306,5442.2595196,3971.746,17.0,0.6495410540000001,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,9529.9425999,6378.7076808,5575.0,12.0,1.790815227,4.0,0.0,1.0,4.0,7471.0476897,7588.1093618,15506.603,24.0,2.435039417,5.0,0.0,1.0,4.0,3628.4163002,4785.3755686,2747.781,12.0,0.6590918969999999,6.0,1.0,1.0,4.0,13281.602895200002,8819.2662464,13147.963999999998,23.0,3.550859396,7.0,1.0,1.0,4.0,5726.7092167,6007.6133898,6024.698,11.0,1.43053322,4.375,0.375,1.0,4.0,6034.0579539725,5517.0911978700005,6312.778249999999,13.625,1.38585087975,2.2638462845343543,0.5175491695067657,0.0,0.0,4070.350005992694,2599.9211985797406,5313.955538707993,7.726346392146069,1.1716329110241095,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.5016049882917589,-1.33028149854873,0.9707329001783708,-0.2578866628517733,0.8744392571782573,11.0
3.0,0.0,1.0,4.0,9529.9425999,6378.7076808,5575.0,12.0,1.790815227,4.0,0.0,1.0,4.0,7471.0476897,7588.1093618,15506.603,24.0,2.435039417,5.0,0.0,1.0,4.0,3628.4163002,4785.3755686,2747.781,12.0,0.6590918969999999,6.0,1.0,1.0,4.0,13281.602895200002,8819.2662464,13147.963999999998,23.0,3.550859396,7.0,1.0,1.0,4.0,5726.7092167,6007.6133898,6024.698,11.0,1.43053322,1.0,0.0,1.0,4.0,4557.6330828,5038.4267058000005,2913.0,14.0,0.657090292,2.0,0.0,1.0,4.0,7976.533716299999,7891.551633199999,4685.0,14.0,1.608060679,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.875,0.25,1.0,4.0,6521.4856876,5813.6313233,6325.00575,13.75,1.516436266,2.03100960115899,0.4629100498862757,0.0,0.0,4020.6048436463934,2733.7537773341996,5327.031033992112,7.497618669570073,1.1242051935504909,0.2238027108715141,1.4401645996461911,0.0,0.0,0.08923779630652072,-1.4557572074521217,0.9428363704803862,-0.34470919473638073,0.5984789542599316,-6.0
7.0,1.0,1.0,4.0,5726.7092167,6007.6133898,6024.698,11.0,1.43053322,1.0,0.0,1.0,4.0,4557.6330828,5038.4267058000005,2913.0,14.0,0.657090292,2.0,0.0,1.0,4.0,7976.533716299999,7891.551633199999,4685.0,14.0,1.608060679,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,3874.118229,3908.1963462,8007.464,15.0,1.3681739670000002,5.0,0.0,1.0,4.0,7597.45149217,5287.6645428,5891.0,13.0,1.063021486,6.0,1.0,0.0,4.0,48.54356307,342.4153418,0.0,0.0,0.013003901,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.375,0.375,0.75,4.0,3722.623662505,3559.48349495,3440.14525,8.375,0.767485443125,2.2638462845343543,0.5175491695067657,0.4629100498862757,0.0,3360.7250523375606,3064.660567265114,3182.0556243167157,7.029275516418053,0.6921874884900682,-0.22624995586066124,0.6440611887195306,-1.4401645996461911,0.0,-0.045069360763419046,-0.12627267255418598,0.0408302631723558,-0.5476091037604048,-0.11888928626624558,7.0
