week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target
3.0,0.0,0.0,3.0,3418.94382,1884.505912,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2379.290503,1520.161738,0.0,0.0,0.0,5.0,0.0,0.0,3.0,921.0477528,549.5444543,0.0,0.0,0.0,6.0,1.0,0.0,3.0,783.1971831,689.3338205,0.0,0.0,0.0,7.0,1.0,0.0,3.0,,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,701.8291317,526.6766493,0.0,0.0,0.0,3.0,0.0,0.0,3.0,699.9073034,521.7555552,0.0,0.0,0.0,3.875,0.25,0.0,3.0,1484.035949,948.66302155,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,1147.1865679518169,598.2110742774368,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,1.2872761305293978,1.082296959443393,0.0,0.0,0.0,-7.0
2.0,0.0,0.0,3.0,848.1114206,1361.636877,0.0,0.0,0.0,3.0,0.0,0.0,3.0,484.6778243,297.8136383,0.0,0.0,0.0,4.0,0.0,0.0,3.0,236.4972067,57.48270318,0.0,0.0,0.0,5.0,0.0,0.0,3.0,462.4303797,190.7069913,0.0,0.0,0.0,6.0,1.0,0.0,3.0,674.8598485,1762.129568,0.0,0.0,0.0,7.0,1.0,0.0,3.0,534.5907173,1023.754481,0.0,0.0,0.0,1.0,0.0,1.0,3.0,308.7605042,146.5547385,0.0,0.0,0.0,2.0,0.0,1.0,3.0,275.940678,87.29254267,0.0,0.0,0.0,3.75,0.25,0.25,3.0,478.23357241250005,615.92144249375,0.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.4629100498862757,0.0,209.42742301572596,668.6681549640048,0.0,0.0,0.0,0.31426968052735443,1.4401645996461911,1.4401645996461911,0.0,0.6450803724218672,0.9263768212418567,0.0,0.0,0.0,4.0
6.0,1.0,1.0,4.0,4766.865922,3431.451952,0.0,0.0,0.0,7.0,1.0,1.0,4.0,,,0.0,0.0,0.0,1.0,0.0,1.0,4.0,535.2623574,1374.195459,0.0,0.0,0.0,2.0,0.0,1.0,4.0,640.452514,2153.915572,0.0,0.0,0.0,3.0,0.0,1.0,4.0,896.6582633,1411.311191,0.0,0.0,0.0,4.0,0.0,1.0,4.0,,,0.0,0.0,0.0,5.0,0.0,1.0,4.0,636.8829431,1774.080821,0.0,0.0,0.0,6.0,1.0,1.0,4.0,603.8309859,1527.30457,0.0,0.0,0.0,4.25,0.375,1.0,4.0,1346.65883095,1945.3765941666668,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,1680.0585510212652,783.2635160353988,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.420683698355355,1.7943636967251486,0.0,0.0,0.0,-6.0
6.0,1.0,0.0,4.0,577.7459677,794.1142585,0.0,0.0,0.0,7.0,1.0,0.0,4.0,1137.235955,676.2364252,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1254.084746,1990.826007,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1717.730337,1914.39507,0.0,0.0,0.0,3.0,0.0,0.0,4.0,606.0728291,1348.123393,0.0,0.0,0.0,4.0,0.0,0.0,4.0,746.8146067,1677.511414,0.0,0.0,0.0,5.0,0.0,0.0,4.0,10128.19048,3174.140695,0.0,0.0,0.0,6.0,1.0,0.0,4.0,1291.795539,2733.510377,0.0,0.0,0.0,4.25,0.375,0.0,4.0,2182.4588075624997,1788.6072049625002,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,3234.1800672631966,870.3048171296812,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.747091412223031,0.30828424116808484,0.0,0.0,0.0,-6.0
4.0,0.0,0.0,4.0,641.2212885,1857.619311,0.0,0.0,0.0,5.0,0.0,0.0,4.0,710.6994382,2066.232545,0.0,0.0,0.0,6.0,1.0,0.0,4.0,728.6432584,1813.95851,0.0,0.0,0.0,7.0,1.0,0.0,4.0,907.6197183,1880.969892,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1729.868347,3614.817761,0.0,0.0,0.0,2.0,0.0,0.0,4.0,606.5993266,1869.174275,0.0,0.0,0.0,3.0,0.0,0.0,4.0,634.7983193,1802.981085,0.0,0.0,0.0,4.0,0.0,0.0,4.0,636.9860335,1888.912368,0.0,0.0,0.0,4.0,0.25,0.0,4.0,824.5544662249999,2099.333218375,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,378.14581375322723,617.6465232131785,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,2.5019467867948726,2.736605662442821,0.0,0.0,0.0,6.0
3.0,0.0,0.0,4.0,679.9691011,1970.312432,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1294.983498,2671.124453,0.0,0.0,0.0,5.0,0.0,0.0,4.0,628.6825843,1761.975287,0.0,0.0,0.0,6.0,1.0,0.0,4.0,697.32493,1808.550157,0.0,0.0,0.0,7.0,1.0,0.0,4.0,621.3575419,1834.298641,0.0,0.0,0.0,1.0,0.0,0.0,4.0,596.6460674,1720.350018,0.0,0.0,0.0,2.0,0.0,0.0,4.0,561.1352113,1666.329575,0.0,0.0,0.0,3.0,0.0,0.0,4.0,618.3876404,1901.547719,0.0,0.0,0.0,3.875,0.25,0.0,4.0,712.3108218,1916.81103525,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,239.3736342139715,319.80458667379486,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,2.6471089365356644,2.332351668817505,0.0,0.0,0.0,4.0
7.0,1.0,1.0,1.0,441.8972332,1175.840514,0.0,0.0,0.0,1.0,0.0,1.0,1.0,522.9747899,1342.209478,0.0,0.0,0.0,2.0,0.0,1.0,1.0,419.7118644,53.54169953,0.0,0.0,0.0,3.0,0.0,1.0,1.0,649.7178771,1617.608605,0.0,0.0,0.0,4.0,0.0,1.0,1.0,693.7170868,1763.879791,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1306.640625,2741.884912,0.0,0.0,0.0,6.0,1.0,1.0,1.0,706.7605634,1831.088386,0.0,0.0,0.0,7.0,1.0,0.0,1.0,559.3557423,1597.111947,0.0,0.0,0.0,4.375,0.375,0.875,1.0,662.5969727625,1515.39566656625,0.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.3535533905932738,0.0,281.7627263826591,752.625436732636,0.0,0.0,0.0,-0.22624995586066124,0.6440611887195306,-2.8284271247461903,0.0,2.0296410131837224,-0.5696376560186203,0.0,0.0,0.0,0.0
7.0,1.0,0.0,1.0,559.3557423,1597.111947,0.0,0.0,0.0,1.0,0.0,0.0,1.0,609.0393258,1807.457833,0.0,0.0,0.0,2.0,0.0,0.0,1.0,573.6985915,1510.245926,0.0,0.0,0.0,3.0,0.0,0.0,1.0,576.4341737,1516.298704,0.0,0.0,0.0,4.0,0.0,0.0,1.0,902.1568627,2545.617703,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1066.691729,3265.90734,0.0,0.0,0.0,6.0,1.0,0.0,1.0,738.9383754,1870.409105,0.0,0.0,0.0,7.0,1.0,0.0,1.0,859.0196629,1948.086747,0.0,0.0,0.0,4.375,0.375,0.0,1.0,735.6668079125,2007.641913125,0.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,189.447283553721,608.5649316902368,0.0,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.755461396344009,1.5433155175886688,0.0,0.0,0.0,1.0
5.0,0.0,0.0,1.0,1628.104225,1393.707091,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1687.139276,1334.033003,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1516.352941,1243.015548,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1268.743017,1389.462959,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1118.724719,1651.4316,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1863.327273,2776.774362,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1551.929775,1450.298208,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1533.865979,2809.208898,0.0,0.0,0.0,4.125,0.25,0.0,1.0,1521.0234006249998,1755.9914586250002,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,233.8694074637068,650.5417703902613,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.5243757965618124,1.3112983959237292,0.0,0.0,0.0,-2.0
6.0,1.0,0.0,1.0,1318.18123,1573.625554,0.0,0.0,0.0,7.0,1.0,0.0,1.0,3333.967033,4151.41615,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7526.350877,7779.330795,100.0,1.0,0.042606516,2.0,0.0,0.0,1.0,2514.729412,2952.184057,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1427.415094,1679.30263,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1800.612903,1519.670715,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1680.867257,2808.539366,0.0,0.0,0.0,6.0,1.0,0.0,1.0,479.6610644,823.4022335,0.0,0.0,0.0,4.25,0.375,0.0,1.0,2510.2231088,2910.9339375625,12.5,0.125,0.0053258145,2.1213203435596424,0.5175491695067657,0.0,0.0,2195.7136546758074,2231.3026836343183,35.35533905932738,0.3535533905932738,0.015063678193166568,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.06040568077018,1.7359604883660515,2.8284271247461903,2.8284271247461903,2.8284271247461894,4.0
