week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target
3.0,0.0,0.0,3.0,27260.6672287,29720.1397791,0.0,0.0,0.0,4.0,0.0,0.0,3.0,32010.159903,30817.93333,0.0,0.0,0.025210084,5.0,0.0,0.0,3.0,37482.867945000005,36289.282905600005,300.0,2.0,0.252012095,6.0,1.0,0.0,3.0,35754.89322699999,31254.671089,0.0,0.0,0.059426629,7.0,1.0,0.0,3.0,36712.6141245,33705.801768100006,160.0,1.0,0.064989518,1.0,0.0,0.0,3.0,49512.383741,45052.586547,150.0,1.0,0.239415765,2.0,0.0,0.0,3.0,55538.92071199999,47705.469035,170.0,1.0,0.281512605,3.0,0.0,0.0,3.0,48822.10523759999,49653.5230517,200.0,2.0,0.103063752,3.875,0.25,0.0,3.0,40386.82651484999,38024.9259381875,122.5,0.875,0.128203806,2.03100960115899,0.4629100498862757,0.0,0.0,9782.403294815264,8165.599057448976,111.45146285010605,0.8345229603962802,0.1118688462591068,0.2238027108715141,1.4401645996461911,0.0,0.0,0.3695082245480795,0.5189976829221606,0.09957996145689495,0.2765283182378207,0.41946125315516297,-7.0
2.0,0.0,0.0,3.0,16985.4182835,14093.5797997,0.0,0.0,0.005586592,3.0,0.0,0.0,3.0,11471.9786486,17664.8765796,0.0,0.0,0.020920502,4.0,0.0,0.0,3.0,101148.885793,81406.757051,170.0,1.0,0.266909294,5.0,0.0,0.0,3.0,10652.7173842,6627.054845070001,0.0,0.0,0.025352514,6.0,1.0,0.0,3.0,124419.4434453,86485.6118095,330.0,2.0,0.486901094,7.0,1.0,0.0,3.0,50513.070114,54737.081196,0.0,0.0,0.064488717,1.0,0.0,1.0,3.0,10862.6061856,7937.149596932,0.0,0.0,0.003367003,2.0,0.0,1.0,3.0,29729.752456,32796.145473,0.0,0.0,0.0,3.75,0.25,0.25,3.0,44472.984038775,37718.53204385025,62.5,0.375,0.10919071450000001,2.1213203435596424,0.4629100498862757,0.4629100498862757,0.0,44682.27563671218,32545.89756638358,123.37515378482237,0.7440238091428449,0.17656002953570613,0.31426968052735443,1.4401645996461911,1.4401645996461911,0.0,1.1886113181202431,0.698695478327279,1.9188897094425863,1.9510301759000723,1.8287705979557716,4.0
6.0,1.0,1.0,4.0,20620.5882093,19410.9995123,0.0,0.0,0.005586592,7.0,1.0,1.0,4.0,25258.024356,20797.2389668,0.0,0.0,0.00877193,1.0,0.0,1.0,4.0,22040.6114442,23354.1092326,160.0,1.0,0.1980091749999999,2.0,0.0,1.0,4.0,79161.577047,77937.89508099998,0.0,0.0,0.047698883,3.0,0.0,1.0,4.0,21639.0888385,21946.078900285,150.0,1.0,0.154362416,4.0,0.0,1.0,4.0,38886.0653417,31588.8429024,160.0,1.0,0.127293065,5.0,0.0,1.0,4.0,157912.5252673,26989.8859514,160.0,2.0,0.160026944,6.0,1.0,1.0,4.0,65182.00500420001,67707.4260548,0.0,0.0,0.008942297,4.25,0.375,1.0,4.0,53837.560688525,36216.55957519812,78.75,0.625,0.08883641274999998,2.1213203435596424,0.5175491695067657,0.0,0.0,47499.011139971415,23078.0146470578,84.25090080061035,0.7440238091428449,0.0794405214156095,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.8060816310701453,1.387294673332107,0.005524081055618517,0.8237682964911416,0.125541763736944,-6.0
6.0,1.0,0.0,4.0,74647.260145,69178.42306791,450.0,4.0,0.252190486,7.0,1.0,0.0,4.0,8795.1444969,7519.523559199999,150.0,1.0,0.056603774,1.0,0.0,0.0,4.0,54791.005674,65407.771351,80.0,1.0,0.140932098,2.0,0.0,0.0,4.0,31607.824963,18508.3578941,180.0,1.0,0.664993027,3.0,0.0,0.0,4.0,24587.259875,31143.3746624,0.0,0.0,0.005586592,4.0,0.0,0.0,4.0,11986.2653177,9826.3696301,0.0,0.0,0.016666667,5.0,0.0,0.0,4.0,73160.62392380001,61874.9709626,0.0,0.0,0.025104603,6.0,1.0,0.0,4.0,47709.4993149,55177.574932,0.0,0.0,0.067797212,4.25,0.375,0.0,4.0,40910.6104637875,39829.545757413754,107.5,0.875,0.153734307375,2.1213203435596424,0.5175491695067657,0.0,0.0,25740.82263532759,25943.16790958545,156.4562923904674,1.3562026818605375,0.22211432172211285,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.13905531795220494,-0.16081835470052788,1.7728143501120315,2.126153549317038,2.174230880814129,-6.0
4.0,0.0,0.0,4.0,8614.8510359,13699.11608074,0.0,0.0,0.0389372429999999,5.0,0.0,0.0,4.0,7670.9867017,11107.1881235,0.0,0.0,0.0,6.0,1.0,0.0,4.0,8229.0001869,13487.0509593,0.0,0.0,0.0,7.0,1.0,0.0,4.0,25377.1038962,25808.9528429,0.0,0.0,0.005617978,1.0,0.0,0.0,4.0,58730.335239600005,84435.36989949999,0.0,0.0,0.0,2.0,0.0,0.0,4.0,15192.8162176,15342.7754297,0.0,0.0,0.0,3.0,0.0,0.0,4.0,12003.4356979,15250.3385314,0.0,0.0,0.014053079,4.0,0.0,0.0,4.0,22737.5318021,26460.3085227,140.0,1.0,0.127463343,4.0,0.25,0.0,4.0,19819.507597237498,25698.8875487175,17.5,0.125,0.023258955374999987,2.0,0.4629100498862757,0.0,0.0,17085.592315456885,24416.120641574817,49.49747468305833,0.3535533905932738,0.04418181811927922,0.0,1.4401645996461911,0.0,0.0,2.0537212937628744,2.53520637711882,2.8284271247461903,2.8284271247461903,2.3825153901325558,6.0
3.0,0.0,0.0,4.0,13891.816297600002,20952.2163621,0.0,0.0,0.071922299,4.0,0.0,0.0,4.0,137078.2822877,3755.2172691,0.0,0.0,0.0,5.0,0.0,0.0,4.0,27368.9670854,26214.329316900003,80.0,1.0,0.122222222,6.0,1.0,0.0,4.0,11115.5313471,18608.00244563,0.0,0.0,0.056954383,7.0,1.0,0.0,4.0,19042.6229447,30077.546479,0.0,0.0,0.008438819,1.0,0.0,0.0,4.0,24190.9740647,23325.7742439,120.0,1.0,0.171718818,2.0,0.0,0.0,4.0,23199.8282294,28671.0222917,0.0,0.0,0.0197152079999999,3.0,0.0,0.0,4.0,17998.451563900002,26328.990924,0.0,0.0,0.0111735339999999,3.875,0.25,0.0,4.0,34235.8092275625,22241.63741654125,25.0,0.25,0.057768160374999974,2.03100960115899,0.4629100498862757,0.0,0.0,41900.10120529714,8392.31104407717,47.50939756661683,0.4629100498862757,0.061794256520031204,0.2238027108715141,1.4401645996461911,0.0,0.0,2.7356074260222654,-1.7687287967722447,1.6519050267514583,1.4401645996461911,1.0341717089636362,4.0
7.0,1.0,1.0,1.0,49646.765704,43732.877751,230.0,2.0,0.195676526,1.0,0.0,1.0,1.0,70940.5893223,42274.00768459,160.0,1.0,0.487412686,2.0,0.0,1.0,1.0,63336.7791429,47598.28662100001,0.0,0.0,0.0,3.0,0.0,1.0,1.0,57663.21986800001,65400.6573255,160.0,1.0,0.268698901,4.0,0.0,1.0,1.0,24838.4015964,23751.33375939,170.0,1.0,0.136889647,5.0,0.0,1.0,1.0,25452.1000012,33317.661623,150.0,1.0,0.077731092,6.0,1.0,1.0,1.0,48848.1060417,56559.66578599999,240.0,2.0,0.284074606,7.0,1.0,0.0,1.0,13971.9550647,22304.1380531,0.0,0.0,0.010135135,4.375,0.375,0.875,1.0,44337.23959265,41867.3285754475,138.75,1.0,0.182577324125,2.2638462845343543,0.5175491695067657,0.3535533905932738,0.0,20541.75239068951,15072.095186126464,91.8753036924038,0.7559289460184544,0.16343006161545903,-0.22624995586066124,0.6440611887195306,-2.8284271247461903,0.0,-0.3044105258143468,0.13028277286084294,-0.8580121278163546,0.0,0.7658760517076003,0.0
7.0,1.0,0.0,1.0,13971.9550647,22304.1380531,0.0,0.0,0.010135135,1.0,0.0,0.0,1.0,30615.3367825,35833.457589900005,170.0,1.0,0.285957165,2.0,0.0,0.0,1.0,30179.5681531,37048.713857,0.0,0.0,0.047923999,3.0,0.0,0.0,1.0,17191.317723,15134.18439145,0.0,0.0,0.00955414,4.0,0.0,0.0,1.0,16740.5784794,23120.4360636,0.0,0.0,0.015734813,5.0,0.0,0.0,1.0,39893.626374,52016.1848293,0.0,0.0,0.058745581,6.0,1.0,0.0,1.0,39528.6748791,45781.1141036,330.0,2.0,0.412085931,7.0,1.0,0.0,1.0,52824.0531977,56585.689678350005,160.0,1.0,0.230474931,4.375,0.375,0.0,1.0,30118.1388316875,35977.9898207875,82.5,0.5,0.13382646187500002,2.2638462845343543,0.5175491695067657,0.0,0.0,13662.71750391504,14956.721916162693,124.75690647930364,0.7559289460184544,0.15474318505119306,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.35179580664387966,0.004681205477721817,1.3231790324651311,1.3228756555322954,0.9999931767103268,1.0
5.0,0.0,0.0,1.0,100168.93942,79933.792414,280.0,2.0,0.226880371,6.0,1.0,0.0,1.0,95565.8680811,71566.216327,2440.0,5.0,1.142028487,7.0,1.0,0.0,1.0,117767.46545730002,90030.492724,0.0,0.0,0.066639772,1.0,0.0,0.0,1.0,14721.4583491,17004.4380413,0.0,0.0,0.016806723,2.0,0.0,0.0,1.0,41225.9870007,39498.9482674,150.0,2.0,0.114175834,3.0,0.0,0.0,1.0,33123.1983162,11258.8232196,0.0,0.0,0.0,4.0,0.0,0.0,1.0,53577.5189075,70144.1314871,0.0,0.0,0.039484897,5.0,0.0,0.0,1.0,22305.2071475,24662.2077621,60.0,1.0,0.166721898,4.125,0.25,0.0,1.0,59806.955334925005,50512.381280312504,366.25,1.25,0.22159224775,2.03100960115899,0.4629100498862757,0.0,0.0,39283.538246892334,30958.77768377589,843.8845130872894,1.7525491637693282,0.3798483660517062,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.42778130130203645,-0.08110431810995052,2.7517796536691055,1.6189042572839438,2.6036720563957507,-2.0
6.0,1.0,0.0,1.0,51169.5886543,50274.245947,0.0,0.0,0.037998454,7.0,1.0,0.0,1.0,48382.0082466,61618.24648,80.0,1.0,0.072958763,1.0,0.0,0.0,1.0,49493.155952,42059.2094988,170.0,1.0,0.149606299,2.0,0.0,0.0,1.0,46880.8410743,47967.0458768,80.0,1.0,0.102698772,3.0,0.0,0.0,1.0,39391.8467164,35448.21755560001,170.0,1.0,0.302013423,4.0,0.0,0.0,1.0,21279.8027118,23324.7698198,0.0,0.0,0.102108273,5.0,0.0,0.0,1.0,167654.21553400002,107297.2397108,790.0,5.0,1.361650954,6.0,1.0,0.0,1.0,129602.37255159998,86529.0209112,1169.0,4.0,0.916270962,4.25,0.375,0.0,1.0,69231.72893012501,56814.749475000004,307.375,1.625,0.38066323750000003,2.1213203435596424,0.5175491695067657,0.0,0.0,50950.30000503121,27700.919942918666,431.84419726828065,1.8468119248354136,0.4892770098281383,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4441621328939946,0.927460253660463,1.5735562664887275,1.2785582076599658,1.5813437911429995,4.0
