week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target
7.0,1.0,0.0,3.0,1270.3996975,970.06379013,0.0,0.0,0.042017729,1.0,0.0,0.0,3.0,1274.32329757,1393.28099993,690.0,1.0,0.140013826,2.0,0.0,0.0,3.0,879.5889404,1071.41888153,1575.0,5.0,0.3725779,3.0,0.0,0.0,3.0,1222.72874913,1322.524404809,211.0,3.0,0.141754507,4.0,0.0,0.0,3.0,947.60989133,1061.60285656,81.0,1.0,0.108386619,5.0,0.0,0.0,3.0,1936.53117862,2010.73290883,4429.0,10.0,0.5889325910000001,6.0,1.0,0.0,3.0,4153.95380823,2353.5980159,1597.0,6.0,0.340306444,7.0,1.0,0.0,3.0,743.2296813500001,1046.0326760899998,872.0,2.0,0.287322583,4.375,0.375,0.0,3.0,1553.54565551625,1403.656816722375,1181.875,3.5,0.252664024875,2.2638462845343543,0.5175491695067657,0.0,0.0,1111.9072955984507,510.0281064043597,1452.0927201308953,3.3380918415851206,0.179887709246774,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.2861026074758004,1.2583245897430413,1.8862233819858816,1.1061132729512828,0.8284922598382554,-2.0
3.0,0.0,0.0,3.0,1222.72874913,1322.524404809,211.0,3.0,0.141754507,4.0,0.0,0.0,3.0,947.60989133,1061.60285656,81.0,1.0,0.108386619,5.0,0.0,0.0,3.0,1936.53117862,2010.73290883,4429.0,10.0,0.5889325910000001,6.0,1.0,0.0,3.0,4153.95380823,2353.5980159,1597.0,6.0,0.340306444,7.0,1.0,0.0,3.0,743.2296813500001,1046.0326760899998,872.0,2.0,0.287322583,1.0,0.0,0.0,3.0,1947.87707685,2352.3837436,957.0,3.0,0.415058398,2.0,0.0,0.0,3.0,1279.63148004,1234.76412722,151.0,1.0,0.198113055,3.0,0.0,0.0,3.0,1157.0269415900002,1133.44092532,802.0,2.0,0.249309987,3.875,0.25,0.0,3.0,1673.5736008925,1564.384957291125,1137.5,3.5,0.29114802300000003,2.03100960115899,0.4629100498862757,0.0,0.0,1089.856484652179,575.3711768866208,1424.7064860625053,3.070597894314954,0.15701987784080346,0.2238027108715141,1.4401645996461911,0.0,0.0,2.0335401557749635,0.673420544245833,2.157790527497457,1.65795368398273,0.8910456589030366,-4.0
7.0,1.0,0.0,3.0,743.2296813500001,1046.0326760899998,872.0,2.0,0.287322583,1.0,0.0,0.0,3.0,1947.87707685,2352.3837436,957.0,3.0,0.415058398,2.0,0.0,0.0,3.0,1279.63148004,1234.76412722,151.0,1.0,0.198113055,3.0,0.0,0.0,3.0,1157.0269415900002,1133.44092532,802.0,2.0,0.249309987,4.0,0.0,0.0,3.0,771.63981605,741.370603112,1540.0,3.0,0.592172472,5.0,0.0,0.0,3.0,852.725875096,1072.68586439,700.0,2.0,0.150914778,6.0,1.0,0.0,3.0,1602.138690326,1305.44054145,1479.06,4.0,0.2698112079999999,7.0,1.0,0.0,3.0,651.3998136099999,800.589585781,0.0,0.0,0.019774011,4.375,0.375,0.0,3.0,1125.708671864,1210.838508370375,812.6324999999999,2.125,0.2728095615,2.2638462845343543,0.5175491695067657,0.0,0.0,462.7191290522141,500.5124941759282,548.8278214457218,1.246423454758225,0.17215613517624082,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.8463002894595817,1.98754755288319,-0.16555539937052685,-0.30431900441183773,0.6350825085478214,6.0
3.0,0.0,0.0,3.0,1157.0269415900002,1133.44092532,802.0,2.0,0.249309987,4.0,0.0,0.0,3.0,771.63981605,741.370603112,1540.0,3.0,0.592172472,5.0,0.0,0.0,3.0,852.725875096,1072.68586439,700.0,2.0,0.150914778,6.0,1.0,0.0,3.0,1602.138690326,1305.44054145,1479.06,4.0,0.2698112079999999,7.0,1.0,0.0,3.0,651.3998136099999,800.589585781,0.0,0.0,0.019774011,1.0,0.0,0.0,3.0,318.79632912,510.325290711,0.0,0.0,0.022760089,2.0,0.0,0.0,3.0,521.94260874,682.01723032,0.0,0.0,0.024847557,3.0,0.0,0.0,3.0,1023.57226039,1110.16815813,1431.0,2.0,0.573172114,3.875,0.25,0.0,3.0,862.4052918652501,919.50477490175,744.0074999999999,1.625,0.237845277,2.03100960115899,0.4629100498862757,0.0,0.0,400.7605495570322,273.66111830790595,687.8336803897955,1.5059406173077154,0.23479071671308197,0.2238027108715141,1.4401645996461911,0.0,0.0,0.6637540238315518,-0.10628367260569224,-0.0056736300779698275,0.18300226981977322,0.7591225532191009,-2.0
1.0,0.0,0.0,3.0,293.046538209,470.433654811,0.0,0.0,0.016086258,2.0,0.0,0.0,3.0,1118.63897852,898.46963418,792.2860000000001,2.0,0.557768735,3.0,0.0,0.0,3.0,410.6150936,584.7698230399999,0.0,0.0,0.020727447,4.0,0.0,0.0,3.0,2465.74259875,1846.42987525,192.0,2.0,0.251253654,5.0,0.0,0.0,3.0,1296.7098895599995,1093.53075543,0.0,0.0,0.042065395,6.0,1.0,0.0,3.0,941.751825562,965.515009587,1477.0,3.0,0.241847287,7.0,1.0,0.0,3.0,2021.13590291,1573.60160361,1960.067,7.0,0.427975303,1.0,0.0,1.0,3.0,490.55197314,951.97301002,761.0,2.0,0.29198237,3.625,0.25,0.125,3.0,1129.774100031375,1048.090420741,647.794125,2.0,0.231213306125,2.2638462845343543,0.4629100498862757,0.3535533905932738,0.0,780.8959354855438,463.27555243436524,747.3759737727032,2.32992949004287,0.19853829561067185,0.22624995586066124,1.4401645996461911,2.8284271247461903,0.0,0.7486946144136654,0.6839392201658513,0.8779673676988281,1.5360753978675985,0.40466887440149374,0.0
2.0,0.0,1.0,3.0,392.39853469,653.52536448,71.0,1.0,0.047334033,3.0,0.0,1.0,3.0,845.11458199,876.69771234,722.0,1.0,0.185427327,4.0,0.0,1.0,3.0,1658.021733268,1712.9951785029998,1191.015,2.0,0.20063795,5.0,0.0,1.0,3.0,2707.57612039,3342.27398226,3571.0,16.0,0.816433518,6.0,1.0,1.0,3.0,760.704895475,841.92043994,0.0,0.0,0.033357454,7.0,1.0,1.0,3.0,218.740549601,381.89531805,0.0,0.0,0.011099753,1.0,0.0,1.0,3.0,1499.8820624,1360.56329466,823.0,2.0,0.176183782,2.0,0.0,1.0,3.0,608.8229542830001,855.363403967,0.0,0.0,0.002604167,3.75,0.25,1.0,3.0,1086.407679012125,1253.154336775,797.251875,2.75,0.184134748,2.1213203435596424,0.4629100498862757,0.0,0.0,823.995282501459,939.2344065737029,1212.3959344264724,5.4182232195751086,0.2684563460612468,0.31426968052735443,1.4401645996461911,0.0,0.0,1.1484316964559058,1.8743939837286863,2.0839650805821375,2.6970351891994095,2.319969276718634,0.0
4.0,0.0,1.0,4.0,446.39139753000006,771.8487140499999,0.0,0.0,0.039548428,5.0,0.0,1.0,4.0,772.6764476999999,742.02350394,0.0,0.0,0.0090236339999999,6.0,1.0,1.0,4.0,360.048100282,459.622366638,0.0,0.0,0.011173184,7.0,1.0,1.0,4.0,335.08092503,428.12569448599993,0.0,0.0,0.0083877119999999,1.0,0.0,1.0,4.0,685.0224378600001,1021.62984047,1383.0,2.0,0.102839404,2.0,0.0,1.0,4.0,239.796339658,281.71641571000004,0.0,0.0,0.0143935549999999,3.0,0.0,1.0,4.0,2234.34468329,1995.59935669,3152.0,9.0,0.5992330530000001,4.0,0.0,1.0,4.0,843.79933466,906.671218853,721.0,1.0,0.2832231259999999,4.0,0.25,1.0,4.0,739.64495825125,825.9046388546249,657.0,1.5,0.13347776199999994,2.0,0.4629100498862757,0.0,0.0,642.8354849667159,536.0579698739326,1128.4909012861885,3.116774889895918,0.21023419004339858,0.0,1.4401645996461911,0.0,0.0,2.2008235869696398,1.650026915320998,1.9213494811908445,2.5478825873284108,1.9706111560202955,-2.0
1.0,0.0,1.0,4.0,996.7930389,1472.43638014,696.0,1.0,0.178774941,2.0,0.0,1.0,4.0,4253.460355880001,2369.23338238,1105.677,5.0,0.319405028,3.0,0.0,1.0,4.0,2582.4734965,2397.0023449,3603.0,7.0,0.743323902,4.0,0.0,1.0,4.0,2598.7413665900003,2116.4405904200003,5859.0,11.0,0.937979541,5.0,0.0,0.0,4.0,1845.59365893,1437.0311821300002,1582.0,4.0,0.473431175,6.0,1.0,0.0,4.0,862.10109819,813.8450756499999,795.0,2.0,0.197552953,7.0,1.0,0.0,4.0,1614.33753677,1493.34520418,718.0,1.0,0.25249295,1.0,0.0,0.0,4.0,2060.0051977,1948.4748681,211.0,2.0,0.164000688,3.625,0.25,0.5,4.0,2101.6882186825,1755.9761284875,1821.209625,4.125,0.40837014725,2.2638462845343543,0.4629100498862757,0.5345224838248488,0.0,1080.3796831379916,546.7692192025867,1933.7892351837504,3.48209706929603,0.289334171332708,0.22624995586066124,1.4401645996461911,0.0,0.0,1.0287374563473053,-0.4213487193678736,1.6616482414133604,1.2142903525134174,1.1469308798484337,0.0
3.0,0.0,0.0,4.0,1382.28411746,1403.19466351,1803.0,7.0,0.236257058,4.0,0.0,0.0,4.0,1787.96518013,1858.43914678,2219.0,4.0,0.534057818,5.0,0.0,0.0,4.0,1989.35900584,2195.60591079,2293.984,5.0,0.605004918,6.0,1.0,0.0,4.0,567.49366366,775.089268062,0.0,0.0,0.005633803,7.0,1.0,0.0,4.0,1456.82241703,1473.682399615,1620.0,4.0,0.597451267,1.0,0.0,0.0,4.0,1332.6628492999998,1437.12594673,761.0,2.0,0.207616043,2.0,0.0,0.0,4.0,1764.22049177,1735.5107573,1920.0,10.0,0.5412106919999999,3.0,0.0,0.0,4.0,1553.58685068,1766.91373274,201.0,2.0,0.174259745,3.875,0.25,0.0,4.0,1479.29932198375,1580.6952281908748,1352.248,4.25,0.362686418,2.03100960115899,0.4629100498862757,0.0,0.0,431.76435005191763,418.58150066518243,905.4483786046084,3.1509635714446826,0.23240796893217974,0.2238027108715141,1.4401645996461911,0.0,0.0,-1.3642624572805753,-0.6973804466575059,-0.6222616324844495,0.6803902499905395,-0.3045213945180868,0.0
6.0,1.0,0.0,4.0,567.49366366,775.089268062,0.0,0.0,0.005633803,7.0,1.0,0.0,4.0,1456.82241703,1473.682399615,1620.0,4.0,0.597451267,1.0,0.0,0.0,4.0,1332.6628492999998,1437.12594673,761.0,2.0,0.207616043,2.0,0.0,0.0,4.0,1764.22049177,1735.5107573,1920.0,10.0,0.5412106919999999,3.0,0.0,0.0,4.0,1553.58685068,1766.91373274,201.0,2.0,0.174259745,4.0,0.0,0.0,4.0,1347.03018923,1450.90707214,282.0,5.0,0.199438424,5.0,0.0,0.0,4.0,1556.01520473,1579.3490143200002,2205.0,5.0,0.360701542,6.0,1.0,0.0,4.0,1258.82379565,1293.82929955,693.0,1.0,0.110950041,4.25,0.375,0.0,4.0,1354.5819327562501,1439.050936307125,960.25,3.625,0.274657694625,2.1213203435596424,0.5175491695067657,0.0,0.0,356.09995091509273,311.29774950218854,843.0793472231933,3.1594529363709247,0.20772786269630855,-0.31426968052735443,0.6440611887195306,0.0,0.0,-1.698383914782179,-1.4627504899939574,0.4569929651855797,1.147704409910799,0.5867699642992645,-9.0
