week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target
4.0,0.0,1.0,2.0,,,0.0,0.0,0.0,5.0,0.0,1.0,2.0,,,0.0,0.0,0.0,6.0,1.0,1.0,2.0,204.0336134,3.625152035,0.0,0.0,0.0,7.0,1.0,1.0,2.0,200.5921788,13.02473561,0.0,0.0,0.0,1.0,0.0,1.0,2.0,204.2913165,3.907080078,0.0,0.0,0.0,2.0,0.0,1.0,2.0,203.4901408,3.814987307,0.0,0.0,0.0,3.0,0.0,1.0,2.0,243.2807692,148.287176,0.0,0.0,0.0,4.0,0.0,1.0,2.0,203.7011173,3.739050888,0.0,0.0,0.0,4.0,0.25,1.0,2.0,209.89818933333333,29.399696986333336,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,16.409116565127885,58.3602927308362,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,2.4115425334336633,2.4279114167853706,0.0,0.0,0.0,-5.0
7.0,1.0,0.0,4.0,174.5558659,77.89153006,0.0,0.0,0.0,1.0,0.0,0.0,4.0,187.9495798,18.49695958,0.0,0.0,0.0,2.0,0.0,0.0,4.0,226.4189944,11.31014658,0.0,0.0,0.0,3.0,0.0,0.0,4.0,264.9799331,57.70759761,0.0,0.0,0.0,4.0,0.0,0.0,4.0,192.743662,12.91594421,0.0,0.0,0.0,5.0,0.0,0.0,4.0,194.0405405,14.22330519,0.0,0.0,0.0,6.0,1.0,0.0,4.0,194.5702247,7.538150978,0.0,0.0,0.0,7.0,1.0,0.0,4.0,182.2983871,14.15637315,0.0,0.0,0.0,4.375,0.375,0.0,4.0,202.1946484375,26.780000919749998,0.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,29.53312634396841,26.06672004839337,0.0,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.6859948599291577,1.5599611972247034,0.0,0.0,0.0,-13.0
3.0,0.0,0.0,4.0,264.9799331,57.70759761,0.0,0.0,0.0,4.0,0.0,0.0,4.0,192.743662,12.91594421,0.0,0.0,0.0,5.0,0.0,0.0,4.0,194.0405405,14.22330519,0.0,0.0,0.0,6.0,1.0,0.0,4.0,194.5702247,7.538150978,0.0,0.0,0.0,7.0,1.0,0.0,4.0,182.2983871,14.15637315,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,,0.0,0.0,0.0,2.0,0.0,0.0,4.0,,,0.0,0.0,0.0,3.0,0.0,0.0,4.0,250.975,33.02687353,0.0,0.0,0.0,3.875,0.25,0.0,4.0,213.26795790000003,23.261374111333335,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,35.201162615560754,18.977579877806956,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,0.9622256693181568,1.5501264322359205,0.0,0.0,0.0,4.0
2.0,0.0,0.0,4.0,187.223796,61.35443216,0.0,0.0,0.0,3.0,0.0,0.0,4.0,365.3210526,94.4237207,0.0,0.0,0.0,4.0,0.0,0.0,4.0,433.9467787,16.29300934,0.0,0.0,0.0,5.0,0.0,0.0,4.0,307.9469274,14.0127627,0.0,0.0,0.0,6.0,1.0,0.0,4.0,404.5633803,20.00910525,0.0,0.0,0.0,7.0,1.0,0.0,4.0,,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,211.8067227,18.18945302,0.0,0.0,0.0,2.0,0.0,0.0,4.0,191.3585434,15.77255234,0.0,0.0,0.0,3.75,0.25,0.0,4.0,300.3096001571429,34.29357650142857,0.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,104.4860876446197,31.33069108962902,0.0,0.0,0.0,0.31426968052735443,1.4401645996461911,0.0,0.0,0.07409925703389013,1.5902712208753762,0.0,0.0,0.0,3.0
5.0,0.0,0.0,4.0,307.9469274,14.0127627,0.0,0.0,0.0,6.0,1.0,0.0,4.0,404.5633803,20.00910525,0.0,0.0,0.0,7.0,1.0,0.0,4.0,,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,211.8067227,18.18945302,0.0,0.0,0.0,2.0,0.0,0.0,4.0,191.3585434,15.77255234,0.0,0.0,0.0,3.0,0.0,0.0,4.0,389.1853933,19.15370736,0.0,0.0,0.0,4.0,0.0,0.0,4.0,144.7871148,16.19919948,0.0,0.0,0.0,5.0,0.0,0.0,4.0,229.8766667,16.16358424,0.0,0.0,0.0,4.125,0.25,0.0,4.0,268.5035355142857,17.071480627142858,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,100.49530624655694,2.115155201769881,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.401219950198224,0.08767125514384612,0.0,0.0,0.0,0.0
3.0,0.0,0.0,4.0,187.814978,12.66655193,0.0,0.0,0.0,4.0,0.0,0.0,4.0,263.0107914,24.85750524,0.0,0.0,0.0,5.0,0.0,0.0,4.0,277.07173,15.65716301,0.0,0.0,0.0,6.0,1.0,0.0,4.0,257.7114846,16.43928503,0.0,0.0,0.0,7.0,1.0,0.0,4.0,245.9522472,65.77507187,0.0,0.0,0.0,1.0,0.0,0.0,4.0,156.6470588,6.022490391,0.0,0.0,0.0,2.0,0.0,0.0,4.0,169.8325581,49.3900457,0.0,0.0,0.0,3.0,0.0,0.0,4.0,162.9124088,5.413519778,0.0,0.0,0.0,3.875,0.25,0.0,4.0,215.1191571125,24.527704118625003,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,50.479756656665025,21.752441821463357,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.001828065157524921,1.2829980983620954,0.0,0.0,0.0,-7.0
1.0,0.0,0.0,4.0,,,0.0,0.0,0.0,2.0,0.0,0.0,4.0,,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2555.869444,237.6970111,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1798.772472,173.7353548,0.0,0.0,0.0,5.0,0.0,0.0,1.0,347.1064426,161.0759338,0.0,0.0,0.0,6.0,1.0,0.0,1.0,284.4253521,82.80870152,0.0,0.0,0.0,7.0,1.0,1.0,1.0,2040.684358,168.5266364,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1582.263305,122.085258,0.0,0.0,0.0,3.625,0.25,0.25,1.75,1434.8535622833333,157.65481593666667,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.4629100498862757,1.3887301496588271,925.6946611450086,52.27307444450677,0.0,0.0,0.0,0.22624995586066124,1.4401645996461911,1.4401645996461911,1.4401645996461911,-0.42625727980525013,0.11343433628354936,0.0,0.0,0.0,-6.0
4.0,0.0,0.0,1.0,1798.772472,173.7353548,0.0,0.0,0.0,5.0,0.0,0.0,1.0,347.1064426,161.0759338,0.0,0.0,0.0,6.0,1.0,0.0,1.0,284.4253521,82.80870152,0.0,0.0,0.0,7.0,1.0,1.0,1.0,2040.684358,168.5266364,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1582.263305,122.085258,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2480.677043,107.6808983,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1668.842254,103.5554307,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1705.031646,164.80819,0.0,0.0,0.0,4.0,0.25,0.625,1.0,1488.4753590874998,135.53455044,0.0,0.0,0.0,2.0,0.4629100498862757,0.5175491695067657,0.0,777.0243333339255,35.48938689469008,0.0,0.0,0.0,0.0,1.4401645996461911,-0.6440611887195306,0.0,-0.8284809607400649,-0.2979483598045011,0.0,0.0,0.0,3.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,,,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.125,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
5.0,0.0,0.0,1.0,,,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.125,0.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,10.0
4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
