week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target
1.0,0.0,0.0,3.0,30.15492958,9.124256307,0.0,0.0,0.0,2.0,0.0,0.0,3.0,28.96111111,16.63308747,0.0,0.0,0.0,3.0,0.0,0.0,3.0,28.08732394,15.03763288,0.0,0.0,0.0,4.0,0.0,0.0,3.0,23.04213483,18.57511081,0.0,0.0,0.0,5.0,0.0,0.0,3.0,67.19954649,111.8486767,0.0,0.0,0.002267574,6.0,1.0,0.0,3.0,35.06741573,29.47100947,0.0,0.0,0.0,7.0,1.0,0.0,3.0,36.73389356,16.79933638,0.0,0.0,0.0,1.0,0.0,0.0,3.0,73.42090395,89.64238879,0.0,0.0,0.002824859,3.625,0.25,0.0,3.0,40.333407398750005,38.391437350875,0.0,0.0,0.000636554125,2.2638462845343543,0.4629100498862757,0.0,0.0,19.045600266358665,39.345538049361934,0.0,0.0,0.0011880422661385214,0.22624995586066124,1.4401645996461911,0.0,0.0,1.2652723096376628,1.4520356326784118,0.0,0.0,1.5073989040474782,-1.0
1.0,0.0,0.0,3.0,73.42090395,89.64238879,0.0,0.0,0.002824859,2.0,0.0,0.0,3.0,29.64124294,23.29735551,0.0,0.0,0.0,3.0,0.0,0.0,3.0,35.93484419,24.12053663,0.0,0.0,0.0,4.0,0.0,0.0,3.0,41.11173184,38.87753048,0.0,0.0,0.0,5.0,0.0,0.0,3.0,40.09831461,56.66294885,0.0,0.0,0.0,6.0,1.0,0.0,3.0,75.70879527,149.795133,0.0,0.0,0.00443459,7.0,1.0,0.0,3.0,24.29014085,34.20152025,0.0,0.0,0.0,1.0,0.0,0.0,3.0,212.4842615,331.446281,700.0,1.0,0.082324455,3.625,0.25,0.0,3.0,66.58627939375,93.50546181375,87.5,0.125,0.011197988,2.2638462845343543,0.4629100498862757,0.0,0.0,61.9448233248142,105.15381184060504,247.48737341529164,0.3535533905932738,0.028789387493856268,0.22624995586066124,1.4401645996461911,0.0,0.0,2.3373061562952797,2.0555761354291002,2.82842712474619,2.8284271247461903,2.8091482339531564,0.0
5.0,0.0,0.0,3.0,73.81761006,109.7391335,120.0,1.0,0.121593291,6.0,1.0,0.0,3.0,218.2387333,574.373994,636.053,1.0,0.035322777,7.0,1.0,0.0,3.0,4.957983193,0.830729402,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.935211268,6.928510166,0.0,0.0,0.0,2.0,0.0,0.0,3.0,13.69359331,29.76230324,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.954545455,3.854333721,0.0,0.0,0.0,4.0,0.0,0.0,3.0,4.632311978,0.682991089,0.0,0.0,0.0,5.0,0.0,0.0,3.0,12.59269663,7.584346129,0.0,0.0,0.0,4.125,0.25,0.0,3.0,42.727835649250004,91.719542655875,94.506625,0.25,0.019614508500000002,2.03100960115899,0.4629100498862757,0.0,0.0,74.60600833751943,198.4423990175538,222.810425973637,0.4629100498862757,0.043019589294761705,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.3776869050770806,2.6523482228441853,2.6479720969978744,1.4401645996461911,2.438246411528452,2.0
1.0,0.0,0.0,3.0,7.935211268,6.928510166,0.0,0.0,0.0,2.0,0.0,0.0,3.0,13.69359331,29.76230324,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.954545455,3.854333721,0.0,0.0,0.0,4.0,0.0,0.0,3.0,4.632311978,0.682991089,0.0,0.0,0.0,5.0,0.0,0.0,3.0,12.59269663,7.584346129,0.0,0.0,0.0,6.0,1.0,0.0,3.0,9.125348189,8.235962876,0.0,0.0,0.0,7.0,1.0,0.0,3.0,15.82058546,9.143071766,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.963276836,0.263197413,0.0,0.0,0.0,3.625,0.25,0.0,3.0,9.33969614075,8.306839550000001,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,4.248203631552776,9.305229489384535,0.0,0.0,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,0.396167775114917,2.0856998020305473,0.0,0.0,0.0,-2.0
1.0,0.0,0.0,3.0,4.963276836,0.263197413,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.342618384,1.985222523,0.0,0.0,0.0,3.0,0.0,0.0,3.0,9.197183099,2.937948495,0.0,0.0,0.0,4.0,0.0,0.0,3.0,10.31072664,7.148135176,0.0,0.0,0.0,5.0,0.0,0.0,3.0,4.929775281,1.377226881,0.0,0.0,0.0,6.0,1.0,0.0,3.0,5.55027933,1.275680312,0.0,0.0,0.0,7.0,1.0,0.0,3.0,5.481586402,0.756708078,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.353982301,3.57371679,0.0,0.0,0.0,3.625,0.25,0.0,3.0,6.516178534125,2.4147294585,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,2.067484771636121,2.202549992502451,0.0,0.0,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,1.3479488564453157,1.614378586950052,0.0,0.0,0.0,-2.0
1.0,0.0,0.0,3.0,6.353982301,3.57371679,0.0,0.0,0.0,2.0,0.0,1.0,3.0,9.394444444,4.243291728,0.0,0.0,0.0,3.0,0.0,1.0,3.0,4.977591036,0.798844979,0.0,0.0,0.0,4.0,0.0,1.0,3.0,7.399441341,5.263418576,0.0,0.0,0.0,5.0,0.0,1.0,3.0,7.605555556,2.136968835,0.0,0.0,0.0,6.0,1.0,1.0,3.0,4.151260504,4.874857445,0.0,0.0,0.0,7.0,1.0,1.0,3.0,10.64145658,8.746685077,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.345505618,4.439513211,0.0,0.0,0.0,3.625,0.25,0.875,3.0,7.1086546725,4.2596620801250005,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.3535533905932738,0.0,2.153950885834486,2.3453779711700746,0.0,0.0,0.0,0.22624995586066124,1.4401645996461911,-2.8284271247461903,0.0,0.37670529456663515,0.5942564966823229,0.0,0.0,0.0,9.0
4.0,0.0,1.0,3.0,7.399441341,5.263418576,0.0,0.0,0.0,5.0,0.0,1.0,3.0,7.605555556,2.136968835,0.0,0.0,0.0,6.0,1.0,1.0,3.0,4.151260504,4.874857445,0.0,0.0,0.0,7.0,1.0,1.0,3.0,10.64145658,8.746685077,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.345505618,4.439513211,0.0,0.0,0.0,2.0,0.0,1.0,3.0,10.59831461,4.384458952,0.0,0.0,0.0,3.0,0.0,1.0,3.0,9.617537313,5.464197438,0.0,0.0,0.0,4.0,0.0,1.0,3.0,9.511235955,5.217988295,0.0,0.0,0.0,4.0,0.25,1.0,3.0,8.233788434625,5.066010978625,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,2.275896714337442,1.8221189121246628,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,-0.7060026268719108,0.7631829368359626,0.0,0.0,0.0,-9.0
4.0,0.0,1.0,3.0,9.511235955,5.217988295,0.0,0.0,0.0,5.0,0.0,1.0,4.0,14.44632768,6.708094492,0.0,0.0,0.0,6.0,1.0,1.0,4.0,5.695774648,3.345437786,0.0,0.0,0.0,7.0,1.0,1.0,4.0,5.240223464,6.259593929,0.0,0.0,0.0,1.0,0.0,1.0,4.0,7.45915493,1.796834263,0.0,0.0,0.0,2.0,0.0,1.0,4.0,19.20231214,22.4459169,0.0,0.0,0.0,3.0,0.0,1.0,4.0,17.24369748,30.37468162,0.0,0.0,0.0,4.0,0.0,1.0,4.0,9.273743017,2.766102266,0.0,0.0,0.0,4.0,0.25,1.0,3.875,11.00905866425,9.864331193875,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.3535533905932738,5.307434117197445,10.565986997297491,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,-2.8284271247461903,0.5576008461376153,1.498743342153627,0.0,0.0,0.0,-7.0
7.0,1.0,1.0,4.0,5.240223464,6.259593929,0.0,0.0,0.0,1.0,0.0,1.0,4.0,7.45915493,1.796834263,0.0,0.0,0.0,2.0,0.0,1.0,4.0,19.20231214,22.4459169,0.0,0.0,0.0,3.0,0.0,1.0,4.0,17.24369748,30.37468162,0.0,0.0,0.0,4.0,0.0,1.0,4.0,9.273743017,2.766102266,0.0,0.0,0.0,5.0,0.0,1.0,4.0,17.30140845,1.582251289,0.0,0.0,0.0,6.0,1.0,1.0,4.0,29.44817927,11.24345951,0.0,0.0,0.0,7.0,1.0,1.0,4.0,4.388732394,2.807612855,0.0,0.0,0.0,4.375,0.375,1.0,4.0,13.694681393124998,9.909556579,0.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,8.624017286424225,10.874018959806389,0.0,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.7214023821604468,1.283045542845552,0.0,0.0,0.0,7.0
5.0,0.0,1.0,4.0,17.30140845,1.582251289,0.0,0.0,0.0,6.0,1.0,1.0,4.0,29.44817927,11.24345951,0.0,0.0,0.0,7.0,1.0,1.0,4.0,4.388732394,2.807612855,0.0,0.0,0.0,1.0,0.0,1.0,4.0,,,0.0,0.0,0.0,2.0,0.0,1.0,4.0,39.00837989,122.8441691,0.0,0.0,0.008379888,3.0,0.0,1.0,4.0,7.949438202,1.427154283,0.0,0.0,0.0,4.0,0.0,1.0,4.0,44.82471264,51.00648785,0.0,0.0,0.0,5.0,0.0,1.0,4.0,72.28571429,96.64235458,0.0,0.0,0.00280112,4.125,0.25,1.0,4.0,30.74379501942857,41.07906992385714,0.0,0.0,0.001397626,2.03100960115899,0.4629100498862757,0.0,0.0,23.76571433236511,50.59397994977536,0.0,0.0,0.002986683030193864,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7381829426918982,0.9235236935854702,0.0,0.0,2.3363245917906106,-13.0
