week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_hr_4_t-7,audio_amp_std_hr_4_t-7,audio_convo_duration_hr_4_t-7,audio_convo_num_hr_4_t-7,audio_voice_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_hr_4_t-6,audio_amp_std_hr_4_t-6,audio_convo_duration_hr_4_t-6,audio_convo_num_hr_4_t-6,audio_voice_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_hr_4_t-5,audio_amp_std_hr_4_t-5,audio_convo_duration_hr_4_t-5,audio_convo_num_hr_4_t-5,audio_voice_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_hr_4_t-4,audio_amp_std_hr_4_t-4,audio_convo_duration_hr_4_t-4,audio_convo_num_hr_4_t-4,audio_voice_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_hr_4_t-3,audio_amp_std_hr_4_t-3,audio_convo_duration_hr_4_t-3,audio_convo_num_hr_4_t-3,audio_voice_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_hr_4_t-2,audio_amp_std_hr_4_t-2,audio_convo_duration_hr_4_t-2,audio_convo_num_hr_4_t-2,audio_voice_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_hr_4_t-1,audio_amp_std_hr_4_t-1,audio_convo_duration_hr_4_t-1,audio_convo_num_hr_4_t-1,audio_voice_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_hr_4_t-0,audio_amp_std_hr_4_t-0,audio_convo_duration_hr_4_t-0,audio_convo_num_hr_4_t-0,audio_voice_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_hr_4_mean,audio_amp_std_hr_4_mean,audio_convo_duration_hr_4_mean,audio_convo_num_hr_4_mean,audio_voice_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_hr_4_std,audio_amp_std_hr_4_std,audio_convo_duration_hr_4_std,audio_convo_num_hr_4_std,audio_voice_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_hr_4_skew,audio_amp_std_hr_4_skew,audio_convo_duration_hr_4_skew,audio_convo_num_hr_4_skew,audio_voice_hr_4_skew,target
6.0,1.0,0.0,3.0,155.8585859,49.981278,0.0,0.0,0.0,7.0,1.0,0.0,3.0,160.6979866,44.7273177,0.0,0.0,0.0,1.0,0.0,0.0,3.0,173.7666667,109.9686369,0.0,0.0,0.0,2.0,0.0,0.0,3.0,149.8702929,127.0780898,0.0,0.0,0.0,3.0,0.0,0.0,3.0,136.5462185,2.721677372,0.0,0.0,0.0,4.0,0.0,0.0,3.0,140.988764,6.207089788,0.0,0.0,0.0,5.0,0.0,0.0,3.0,192.6939891,155.7611115,0.0,0.0,0.0,6.0,1.0,0.0,3.0,151.4285714,9.956688921,0.0,0.0,0.0,4.25,0.375,0.0,3.0,157.73138438750001,63.300236247625,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,18.21487191452226,59.871098247232496,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.0067845121894108,0.51703089479668,0.0,0.0,0.0,2.0
4.0,0.0,0.0,4.0,231.6146789,85.62280287,0.0,0.0,0.0,5.0,0.0,0.0,4.0,217.115,114.55877,0.0,0.0,0.0,6.0,1.0,0.0,4.0,200.6127451,95.20494938,0.0,0.0,0.0,7.0,1.0,0.0,4.0,246.549763,250.721369,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,,,2.0,0.0,0.0,4.0,,,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,0.0,0.0,0.0,4.0,0.0,0.0,4.0,141.7234637,5.685820574,0.0,0.0,0.0,4.0,0.25,0.0,4.0,207.52313014,110.3587423648,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,40.53650911978048,88.7654661014188,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,-1.3193105829051504,0.9531815310859109,0.0,0.0,0.0,9.0
4.0,0.0,0.0,4.0,187.2352941,60.33292869,0.0,0.0,0.0,5.0,0.0,0.0,4.0,173.6531987,53.79131892,0.0,0.0,0.0,6.0,1.0,0.0,4.0,135.3567416,6.913529688,0.0,0.0,0.0,7.0,1.0,0.0,4.0,176.1237458,78.01625809,0.0,0.0,0.0,1.0,0.0,0.0,4.0,135.9746835,4.278218852,0.0,0.0,0.0,2.0,0.0,0.0,4.0,136.2303371,16.05897771,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,,0.0,0.0,0.0,4.0,0.25,0.0,4.0,157.42900013333335,36.565205325,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,24.074837104602693,31.3751818272263,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,0.1532906332759588,0.20794026036301985,0.0,0.0,0.0,-10.0
6.0,1.0,0.0,1.0,156.4238095,6.908683615,0.0,0.0,0.0,7.0,1.0,0.0,1.0,184.5381818,58.87559609,0.0,0.0,0.0,1.0,0.0,0.0,1.0,229.8988764,221.041269,0.0,0.0,0.0,2.0,0.0,0.0,1.0,205.0134228,46.66616937,0.0,0.0,0.0,3.0,0.0,0.0,1.0,148.3305439,8.956633555,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1047.379447,897.0557453,0.0,0.0,0.0,5.0,0.0,0.0,1.0,705.2711864,1363.868474,0.0,0.0,0.0,6.0,1.0,0.0,1.0,8133.441341,7400.931448,90.0,1.0,0.12849162,4.25,0.375,0.0,1.0,1351.2871011,1250.53800236625,11.25,0.125,0.0160614525,2.1213203435596424,0.5175491695067657,0.0,0.0,2759.78449621732,2534.969749625611,31.81980515339464,0.3535533905932738,0.045428647913822506,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.7521995677862012,2.622073075234609,2.8284271247461903,2.8284271247461903,2.82842712474619,-9.0
3.0,0.0,0.0,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,2.0,,,0.0,0.0,0.0,5.0,0.0,0.0,2.0,,,0.0,0.0,0.0,6.0,1.0,0.0,2.0,,,0.0,0.0,0.0,7.0,1.0,0.0,2.0,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,0.0,3.0,0.0,0.0,2.0,,,0.0,0.0,0.0,3.875,0.25,0.0,1.875,,,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,,,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,-2.8284271247461903,,,0.0,0.0,0.0,-5.0
6.0,1.0,1.0,2.0,,,0.0,0.0,0.0,7.0,1.0,1.0,2.0,136.4697987,21.89972788,0.0,0.0,0.0,1.0,0.0,1.0,2.0,138.0625,16.30245786,0.0,0.0,0.0,2.0,0.0,1.0,2.0,139.2214765,27.58217634,0.0,0.0,0.0,3.0,0.0,1.0,2.0,188.0833333,3.65737459,0.0,0.0,0.0,4.0,0.0,1.0,2.0,167.3571429,242.0848751,0.0,0.0,0.0,5.0,0.0,1.0,2.0,181.6406685,312.8428666,0.0,0.0,0.0,6.0,1.0,1.0,2.0,142.226257,16.84522653,0.0,0.0,0.0,4.25,0.375,1.0,2.0,156.1515967,91.60210070000001,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,22.323476046676614,128.80373614987647,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.6172706389059736,1.3224163870676844,0.0,0.0,0.0,11.0
2.0,0.0,0.0,3.0,,,0.0,0.0,0.0,3.0,0.0,0.0,3.0,,,0.0,0.0,0.0,4.0,0.0,0.0,3.0,,,0.0,0.0,0.0,5.0,0.0,0.0,3.0,,,0.0,0.0,0.0,6.0,1.0,0.0,3.0,,,0.0,0.0,0.0,7.0,1.0,0.0,3.0,,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,,,0.0,0.0,0.0,3.75,0.25,0.0,3.0,,,0.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,,,0.0,0.0,0.0,0.31426968052735443,1.4401645996461911,0.0,0.0,,,0.0,0.0,0.0,0.0
5.0,0.0,1.0,4.0,,,0.0,0.0,0.0,6.0,1.0,1.0,4.0,,,0.0,0.0,0.0,7.0,1.0,1.0,4.0,,,0.0,0.0,0.0,1.0,0.0,1.0,4.0,,,0.0,0.0,0.0,2.0,0.0,1.0,4.0,,,0.0,0.0,0.0,3.0,0.0,1.0,4.0,,,0.0,0.0,0.0,4.0,0.0,1.0,4.0,,,0.0,0.0,0.0,5.0,0.0,1.0,4.0,,,0.0,0.0,0.0,4.125,0.25,1.0,4.0,,,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,,,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,,,0.0,0.0,0.0,9.0
1.0,0.0,1.0,4.0,,,0.0,0.0,0.0,2.0,0.0,1.0,4.0,,,0.0,0.0,0.0,3.0,0.0,1.0,4.0,,,0.0,0.0,0.0,4.0,0.0,1.0,4.0,,,0.0,0.0,0.0,5.0,0.0,1.0,4.0,,,0.0,0.0,0.0,6.0,1.0,1.0,4.0,21.23463687,2.408255415,0.0,0.0,0.0,7.0,1.0,1.0,4.0,24.85227273,11.04540194,0.0,0.0,0.0,1.0,0.0,1.0,4.0,21.14971751,3.505066942,0.0,0.0,0.0,3.625,0.25,1.0,4.0,22.412209036666667,5.652908099,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,2.1135836735431917,4.702126247811432,0.0,0.0,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,1.7289058510688438,1.6266334211487512,0.0,0.0,0.0,-4.0
1.0,0.0,1.0,4.0,21.14971751,3.505066942,0.0,0.0,0.0,2.0,0.0,1.0,4.0,19.30083565,2.289317416,0.0,0.0,0.0,3.0,0.0,1.0,4.0,19.767507,3.195630368,0.0,0.0,0.0,4.0,0.0,1.0,4.0,564.4701378,218.0092818,1832.106,3.0,0.407350689,5.0,0.0,1.0,4.0,24.68555241,19.97123259,0.0,0.0,0.0,6.0,1.0,0.0,4.0,121.994382,296.0246535,0.0,0.0,0.0,7.0,1.0,0.0,4.0,26.99439776,24.99176272,0.0,0.0,0.0,1.0,0.0,0.0,4.0,446.1678657,141.193697,413.265,2.0,0.131894484,3.625,0.25,0.625,4.0,155.56629947875,88.647580292,280.671375,0.625,0.067405646625,2.2638462845343543,0.4629100498862757,0.5175491695067657,0.0,220.88025293986695,115.43602521819275,643.338279102046,1.1877349391654208,0.14490517547837273,0.22624995586066124,1.4401645996461911,-0.6440611887195306,0.0,1.4324603138349754,1.0848649357485263,2.5780689759519637,1.6519050267514583,2.361075491377602,-1.0
