iter	Passed	Remaining
0	79	23895
1	111	16565
2	139	13802
3	168	12459
4	197	11670
5	228	11185
6	256	10727
7	285	10432
8	291	9426
9	321	9328
10	349	9194
11	377	9066
12	405	8963
13	435	8897
14	464	8821
15	494	8772
16	523	8720
17	551	8638
18	580	8592
19	608	8522
20	637	8468
21	665	8409
22	695	8370
23	723	8319
24	751	8269
25	781	8232
26	809	8185
27	839	8157
28	867	8111
29	895	8061
30	924	8025
31	952	7977
32	981	7943
33	1005	7868
34	1034	7836
35	1062	7792
36	1091	7755
37	1119	7720
38	1147	7680
39	1176	7646
40	1204	7610
41	1233	7576
42	1262	7545
43	1290	7509
44	1319	7477
45	1348	7447
46	1378	7420
47	1407	7389
48	1436	7356
49	1464	7323
50	1494	7295
51	1523	7264
52	1552	7234
53	1582	7210
54	1610	7174
55	1639	7142
56	1668	7113
57	1695	7073
58	1723	7040
59	1753	7012
60	1782	6985
61	1809	6945
62	1837	6913
63	1866	6882
64	1894	6848
65	1922	6816
66	1951	6786
67	1980	6755
68	2009	6727
69	2037	6695
70	2068	6670
71	2098	6643
72	2126	6611
73	2153	6576
74	2182	6546
75	2211	6518
76	2239	6486
77	2267	6453
78	2295	6420
79	2323	6390
80	2352	6361
81	2380	6327
82	2409	6298
83	2437	6267
84	2466	6238
85	2496	6211
86	2524	6181
87	2553	6151
88	2583	6123
89	2611	6094
90	2640	6064
91	2670	6038
92	2697	6004
93	2727	5976
94	2756	5948
95	2784	5916
96	2813	5887
97	2842	5858
98	2871	5831
99	2899	5798
100	2928	5769
101	2957	5741
102	2985	5709
103	3014	5680
104	3042	5650
105	3072	5622
106	3101	5593
107	3127	5559
108	3157	5532
109	3186	5504
110	3216	5476
111	3245	5448
112	3273	5416
113	3301	5387
114	3330	5357
115	3359	5329
116	3388	5300
117	3417	5271
118	3445	5241
119	3475	5212
120	3505	5185
121	3532	5153
122	3560	5123
123	3588	5092
124	3617	5063
125	3646	5035
126	3675	5006
127	3702	4975
128	3732	4947
129	3761	4918
130	3791	4890
131	3820	4862
132	3849	4833
133	3877	4803
134	3904	4772
135	3934	4744
136	3962	4714
137	3989	4683
138	4018	4654
139	4047	4626
140	4077	4597
141	4109	4572
142	4137	4542
143	4166	4513
144	4194	4484
145	4225	4456
146	4253	4426
147	4283	4399
148	4311	4369
149	4340	4340
150	4369	4311
151	4399	4283
152	4428	4255
153	4458	4227
154	4486	4197
155	4515	4168
156	4543	4138
157	4572	4109
158	4601	4080
159	4630	4051
160	4658	4022
161	4687	3993
162	4714	3962
163	4743	3933
164	4772	3904
165	4802	3876
166	4831	3847
167	4860	3819
168	4888	3789
169	4917	3760
170	4947	3732
171	4976	3703
172	5004	3673
173	5033	3644
174	5062	3615
175	5092	3587
176	5121	3558
177	5149	3529
178	5177	3500
179	5206	3471
180	5234	3441
181	5263	3412
182	5291	3382
183	5320	3354
184	5348	3324
185	5375	3294
186	5404	3265
187	5431	3235
188	5461	3207
189	5490	3178
190	5519	3149
191	5546	3120
192	5574	3090
193	5603	3061
194	5631	3032
195	5659	3002
196	5688	2974
197	5716	2945
198	5745	2916
199	5771	2885
200	5800	2857
201	5827	2827
202	5855	2797
203	5884	2769
204	5913	2740
205	5942	2711
206	5971	2682
207	6001	2654
208	6029	2625
209	6058	2596
210	6087	2567
211	6116	2538
212	6145	2509
213	6172	2480
214	6201	2451
215	6228	2422
216	6258	2393
217	6287	2365
218	6317	2336
219	6346	2307
220	6375	2278
221	6403	2249
222	6431	2220
223	6460	2192
224	6487	2162
225	6515	2133
226	6544	2104
227	6573	2075
228	6601	2046
229	6631	2018
230	6659	1989
231	6688	1960
232	6717	1931
233	6745	1902
234	6774	1873
235	6802	1844
236	6831	1815
237	6860	1787
238	6889	1758
239	6918	1729
240	6946	1700
241	6974	1671
242	7004	1642
243	7032	1614
244	7060	1584
245	7089	1556
246	7118	1527
247	7146	1498
248	7175	1469
249	7204	1440
250	7231	1411
251	7260	1382
252	7289	1354
253	7318	1325
254	7347	1296
255	7374	1267
256	7404	1238
257	7432	1209
258	7460	1180
259	7487	1151
260	7515	1123
261	7544	1094
262	7573	1065
263	7606	1037
264	7640	1009
265	7672	980
266	7702	951
267	7729	922
268	7758	894
269	7787	865
270	7815	836
271	7844	807
272	7873	778
273	7903	749
274	7934	721
275	7964	692
276	7994	663
277	8022	634
278	8049	605
279	8078	577
280	8105	548
281	8134	519
282	8163	490
283	8191	461
284	8219	432
285	8250	403
286	8278	375
287	8307	346
288	8337	317
289	8368	288
290	8396	259
291	8425	230
292	8454	201
293	8493	173
294	8527	144
295	8560	115
296	8589	86
297	8619	57
298	8649	28
299	8674	0
