week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,act_in_vehicle_sum_10_17_t-7_encoded,act_on_bike_sum_10_17_t-7_encoded,act_on_foot_sum_10_17_t-7_encoded,act_running_sum_10_17_t-7_encoded,act_still_sum_10_17_t-7_encoded,act_tilting_sum_10_17_t-7_encoded,act_unknown_sum_10_17_t-7_encoded,act_walking_sum_10_17_t-7_encoded,step_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,act_in_vehicle_sum_10_17_t-6_encoded,act_on_bike_sum_10_17_t-6_encoded,act_on_foot_sum_10_17_t-6_encoded,act_running_sum_10_17_t-6_encoded,act_still_sum_10_17_t-6_encoded,act_tilting_sum_10_17_t-6_encoded,act_unknown_sum_10_17_t-6_encoded,act_walking_sum_10_17_t-6_encoded,step_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,act_in_vehicle_sum_10_17_t-5_encoded,act_on_bike_sum_10_17_t-5_encoded,act_on_foot_sum_10_17_t-5_encoded,act_running_sum_10_17_t-5_encoded,act_still_sum_10_17_t-5_encoded,act_tilting_sum_10_17_t-5_encoded,act_unknown_sum_10_17_t-5_encoded,act_walking_sum_10_17_t-5_encoded,step_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,act_in_vehicle_sum_10_17_t-4_encoded,act_on_bike_sum_10_17_t-4_encoded,act_on_foot_sum_10_17_t-4_encoded,act_running_sum_10_17_t-4_encoded,act_still_sum_10_17_t-4_encoded,act_tilting_sum_10_17_t-4_encoded,act_unknown_sum_10_17_t-4_encoded,act_walking_sum_10_17_t-4_encoded,step_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,act_in_vehicle_sum_10_17_t-3_encoded,act_on_bike_sum_10_17_t-3_encoded,act_on_foot_sum_10_17_t-3_encoded,act_running_sum_10_17_t-3_encoded,act_still_sum_10_17_t-3_encoded,act_tilting_sum_10_17_t-3_encoded,act_unknown_sum_10_17_t-3_encoded,act_walking_sum_10_17_t-3_encoded,step_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,act_in_vehicle_sum_10_17_t-2_encoded,act_on_bike_sum_10_17_t-2_encoded,act_on_foot_sum_10_17_t-2_encoded,act_running_sum_10_17_t-2_encoded,act_still_sum_10_17_t-2_encoded,act_tilting_sum_10_17_t-2_encoded,act_unknown_sum_10_17_t-2_encoded,act_walking_sum_10_17_t-2_encoded,step_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,act_in_vehicle_sum_10_17_t-1_encoded,act_on_bike_sum_10_17_t-1_encoded,act_on_foot_sum_10_17_t-1_encoded,act_running_sum_10_17_t-1_encoded,act_still_sum_10_17_t-1_encoded,act_tilting_sum_10_17_t-1_encoded,act_unknown_sum_10_17_t-1_encoded,act_walking_sum_10_17_t-1_encoded,step_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,act_in_vehicle_sum_10_17_t-0_encoded,act_on_bike_sum_10_17_t-0_encoded,act_on_foot_sum_10_17_t-0_encoded,act_running_sum_10_17_t-0_encoded,act_still_sum_10_17_t-0_encoded,act_tilting_sum_10_17_t-0_encoded,act_unknown_sum_10_17_t-0_encoded,act_walking_sum_10_17_t-0_encoded,step_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,act_in_vehicle_sum_10_17_mean_encoded,act_on_bike_sum_10_17_mean_encoded,act_on_foot_sum_10_17_mean_encoded,act_running_sum_10_17_mean_encoded,act_still_sum_10_17_mean_encoded,act_tilting_sum_10_17_mean_encoded,act_unknown_sum_10_17_mean_encoded,act_walking_sum_10_17_mean_encoded,step_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,act_in_vehicle_sum_10_17_std_encoded,act_on_bike_sum_10_17_std_encoded,act_on_foot_sum_10_17_std_encoded,act_running_sum_10_17_std_encoded,act_still_sum_10_17_std_encoded,act_tilting_sum_10_17_std_encoded,act_unknown_sum_10_17_std_encoded,act_walking_sum_10_17_std_encoded,step_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,act_in_vehicle_sum_10_17_skew_encoded,act_on_bike_sum_10_17_skew_encoded,act_on_foot_sum_10_17_skew_encoded,act_running_sum_10_17_skew_encoded,act_still_sum_10_17_skew_encoded,act_tilting_sum_10_17_skew_encoded,act_unknown_sum_10_17_skew_encoded,act_walking_sum_10_17_skew_encoded,step_sum_10_17_skew_encoded,anomaly_encoded
4.0,0.0,0.0,3.0,85.0,0.0,0.0,18.0,26441.0,0.0,0.0,2256.0,3187.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,118.0,24279.0,0.0,0.0,4403.0,5758.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,36.0,25443.0,0.0,0.0,3321.0,3940.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,20.0,26829.0,0.0,0.0,1951.0,2901.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1060.0,21494.0,0.0,0.0,6246.0,13167.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,23862.0,0.0,0.0,4860.0,7623.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,103.0,24212.0,0.0,0.0,4485.0,7026.0,4.0,0.0,0.0,3.0,349.0,0.0,0.0,0.0,26055.0,0.0,0.0,2396.0,5196.0,4.0,0.25,0.0,3.0,54.25,0.0,0.0,179.125,24826.875,0.0,0.0,3739.75,6099.75,2.0,0.4629100498862757,0.0,0.0,122.75498244179629,0.0,0.0,358.4791037942698,1741.0621911842863,0.0,0.0,1507.775253240918,3326.053936080154,0.0,1.4401645996461911,0.0,0.0,2.5411952547020364,0.0,0.0,2.749243239463188,-0.8661724836220681,0.0,0.0,0.3536622640422224,1.4961490864562426,-1.0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
6.0,1.0,1.0,3.0,1755.0,0.0,0.0,0.0,22044.0,0.0,0.0,5001.0,3294.0,7.0,1.0,1.0,3.0,23.0,0.0,0.0,0.0,24893.0,0.0,0.0,3884.0,3456.0,1.0,0.0,1.0,3.0,2578.0,0.0,0.0,0.0,23938.0,0.0,0.0,2284.0,1924.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,28494.0,0.0,0.0,306.0,0.0,3.0,0.0,1.0,3.0,974.0,0.0,0.0,0.0,27151.0,0.0,0.0,675.0,148.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,4.25,0.375,1.0,3.25,666.25,0.0,0.0,0.0,26615.0,0.0,0.0,1518.75,1102.75,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,1008.8325289306304,0.0,0.0,0.0,2650.2362697907306,0.0,0.0,1978.7644593822392,1548.7133599955066,-0.3142696805273544,0.6440611887195306,0.0,1.4401645996461911,1.2722089211161145,0.0,0.0,0.0,-0.8361487864333126,0.0,0.0,1.0574335461882962,0.9164746301945262,10.0,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,1.0,0.0,0.0,0.0,454.0,25149.0,0.0,0.0,3197.0,4158.0,5.0,0.0,0.0,1.0,340.0,0.0,0.0,258.0,25655.0,0.0,0.0,2547.0,3568.0,6.0,1.0,0.0,1.0,3367.0,0.0,0.0,130.0,12194.0,0.0,0.0,13109.0,16421.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,364.0,24931.0,0.0,0.0,3505.0,5814.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,474.0,25093.0,0.0,0.0,3233.0,5487.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,26789.0,0.0,0.0,2001.0,2963.0,3.0,0.0,0.0,1.0,239.0,0.0,0.0,875.0,24028.0,0.0,0.0,3658.0,6572.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,500.0,25733.0,0.0,0.0,2567.0,4471.0,4.0,0.25,0.0,1.0,493.25,0.0,0.0,383.125,23696.5,0.0,0.0,4227.125,6181.75,2.0,0.4629100498862757,0.0,0.0,1168.8239205042207,0.0,0.0,264.0884253968194,4713.93023768005,0.0,0.0,3631.5478965587113,4306.585049167645,0.0,1.4401645996461911,0.0,0.0,2.7570378755137823,0.0,0.0,0.5333856782847312,-2.6705639899891205,0.0,0.0,2.6952112788253646,2.4054459968455792,-9.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1
6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,28614.0,0.0,0.0,186.0,22.0,7.0,1.0,1.0,2.0,8490.0,803.0,0.0,45.0,17132.0,0.0,0.0,2330.0,3040.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,146.0,23905.0,0.0,0.0,4749.0,6011.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,654.0,20468.0,0.0,0.0,7678.0,14064.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,223.0,25363.0,0.0,0.0,3214.0,4989.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,458.0,23237.0,0.0,0.0,5105.0,9968.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,71.0,23766.0,0.0,0.0,4963.0,6601.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,115.0,26792.0,0.0,0.0,1893.0,2818.0,4.25,0.375,0.25,2.125,1061.25,100.375,0.0,214.0,23659.625,0.0,0.0,3764.75,5939.125,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.3535533905932738,3001.668286136894,283.90337264639885,0.0,227.5484249874864,3591.768085796027,0.0,0.0,2335.6577385029195,4419.924447883696,-0.3142696805273544,0.6440611887195306,1.4401645996461911,2.8284271247461903,2.8284271247461903,2.82842712474619,0.0,1.3074821091503197,-0.6306905750782852,0.0,0.0,0.1419305954523174,0.7483410534847688,1.0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1
1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9204.0,6.0,1.0,1.0,4.0,3579.0,68.0,0.0,0.0,24965.0,0.0,0.0,188.0,25.0,7.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,28788.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28776.0,0.0,0.0,24.0,8.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28580.0,0.0,0.0,220.0,72.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,3.25,0.25,1.0,3.75,447.375,8.5,0.0,0.0,21088.625,0.0,0.0,55.5,1199.0,2.2519832529192065,0.4629100498862757,0.0,0.4629100498862757,1265.3675849333267,24.04163056034261,0.0,0.0,13081.687909194725,0.0,0.0,92.44457799135652,3235.931528500388,0.7880377818189804,1.4401645996461911,0.0,-1.4401645996461911,2.8284271247461903,2.82842712474619,0.0,0.0,-1.3997209185612376,0.0,0.0,1.441830642652773,2.8235167502604788,6.0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28748.0,0.0,0.0,52.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28734.0,0.0,0.0,66.0,41.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28727.0,0.0,0.0,73.0,26.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28633.0,0.0,0.0,167.0,90.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,33.0,4.25,0.375,0.0,2.0,0.0,0.0,0.0,0.0,28755.25,0.0,0.0,44.75,24.75,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,0.0,58.86728414711471,0.0,0.0,58.86728414711471,30.95965116082544,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,0.0,-1.401611092428206,0.0,0.0,1.401611092428206,1.492226844709319,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28747.0,0.0,0.0,53.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28770.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,3.75,0.25,0.0,2.0,0.0,0.0,0.0,0.0,28789.625,0.0,0.0,10.375,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,20.170257452850866,0.0,0.0,20.170257452850866,0.0,0.3142696805273544,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.0,-1.8175368019729827,0.0,0.0,1.8175368019729827,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28747.0,0.0,0.0,53.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28770.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28661.0,0.0,0.0,139.0,13.0,4.125,0.25,0.0,2.0,0.0,0.0,0.0,0.0,28772.25,0.0,0.0,27.75,1.625,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,49.09102332839041,0.0,0.0,49.09102332839041,4.596194077712559,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.0,-2.0707523992257166,0.0,0.0,2.0707523992257166,2.8284271247461903,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28770.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28661.0,0.0,0.0,139.0,13.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28757.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28714.0,0.0,0.0,86.0,0.0,3.625,0.25,0.0,2.0,0.0,0.0,0.0,0.0,28762.75,0.0,0.0,37.25,1.625,2.2638462845343543,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,51.221507759366645,0.0,0.0,51.221507759366645,4.596194077712559,0.2262499558606612,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.0,-1.363998372047052,0.0,0.0,1.363998372047052,2.8284271247461903,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28748.0,0.0,0.0,52.0,40.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28740.0,0.0,0.0,60.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28676.0,0.0,0.0,124.0,18.0,3.75,0.25,0.0,2.0,0.0,0.0,0.0,0.0,28770.5,0.0,0.0,29.5,7.25,2.1213203435596424,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,45.8538049519495,0.0,0.0,45.8538049519495,14.655569394797128,0.3142696805273544,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.0,-1.4922438350343026,0.0,0.0,1.4922438350343026,2.0623428517383005,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
