week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6861.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,33.0,21291.0,0.0,0.0,7476.0,7748.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,18262.0,0.0,0.0,10538.0,7246.0,6.0,1.0,1.0,2.0,754.0,0.0,0.0,13.0,17285.0,0.0,0.0,10748.0,8245.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,23085.0,0.0,0.0,5715.0,2856.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,20866.0,0.0,0.0,7924.0,5845.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,19387.0,0.0,0.0,9405.0,8342.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,20691.0,0.0,0.0,8035.0,6619.0,3.875,0.25,0.5,2.0,94.25,0.0,0.0,17.25,17608.375,0.0,0.0,7480.125,6720.25,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,266.5792565073284,0.0,0.0,25.403880468486363,7342.829542923394,0.0,0.0,3449.7953329561037,1773.4619694661787,0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,0.0,0.0,1.975400748554455,-2.4900775713779337,0.0,0.0,-1.6383936879145924,-1.6845697238564665,1.0
6.0,1.0,1.0,2.0,754.0,0.0,0.0,13.0,17285.0,0.0,0.0,10748.0,8245.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,23085.0,0.0,0.0,5715.0,2856.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,20866.0,0.0,0.0,7924.0,5845.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,19387.0,0.0,0.0,9405.0,8342.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,20691.0,0.0,0.0,8035.0,6619.0,4.0,0.0,0.0,2.0,0.0,191.0,0.0,2730.0,17006.0,0.0,0.0,8873.0,11755.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,19325.0,0.0,0.0,9475.0,6952.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,460.0,16111.0,0.0,0.0,12229.0,7398.0,4.25,0.375,0.125,2.25,94.25,23.875,0.0,411.875,19219.5,0.0,0.0,9050.5,7251.5,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.4629100498862757,266.5792565073284,67.5286976033153,0.0,949.6751982350899,2334.89663276863,0.0,0.0,1954.7578585887015,2514.7458264064326,-0.31426968052735443,0.6440611887195306,2.8284271247461903,1.4401645996461911,2.8284271247461903,2.8284271247461903,0.0,2.6874663814871456,0.25876600464496513,0.0,0.0,-0.06291939463226764,0.06747005457297608,3.0
5.0,0.0,0.0,3.0,1600.0,0.0,0.0,14.0,16040.0,0.0,0.0,11146.0,4472.0,6.0,1.0,0.0,3.0,3592.0,0.0,0.0,151.0,15533.0,0.0,0.0,9524.0,3644.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,21156.0,0.0,0.0,7644.0,5250.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20331.0,0.0,0.0,8469.0,4169.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,24196.0,0.0,0.0,4599.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25622.0,0.0,0.0,3178.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,20578.0,0.0,0.0,8219.0,0.0,5.0,0.0,0.0,3.0,309.0,0.0,0.0,663.0,16853.0,0.0,0.0,10975.0,3430.0,4.125,0.25,0.0,3.0,687.625,0.0,0.0,104.5,20038.625,0.0,0.0,7969.25,2620.625,2.03100960115899,0.4629100498862757,0.0,0.0,1296.9921177753658,0.0,0.0,231.52846168760456,3713.308957077809,0.0,0.0,2835.3910161185377,2237.4755505447906,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.05852508443249,0.0,0.0,2.5800642459867604,0.22231125017565057,0.0,0.0,-0.7118606269474184,-0.4107354518159818,0.0
5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21457.0,0.0,0.0,7343.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,121.0,19739.0,0.0,0.0,8940.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,19456.0,0.0,0.0,9344.0,5959.0,1.0,0.0,0.0,3.0,8568.0,0.0,0.0,0.0,6169.0,0.0,0.0,14063.0,1195.0,2.0,0.0,0.0,3.0,10330.0,0.0,0.0,0.0,14208.0,0.0,0.0,4262.0,4451.0,3.0,0.0,0.0,3.0,2112.0,271.0,0.0,0.0,22545.0,0.0,0.0,3872.0,2236.0,4.0,0.0,0.0,3.0,4211.0,38.0,0.0,87.0,20470.0,0.0,0.0,3994.0,672.0,5.0,0.0,0.0,3.0,1456.0,0.0,0.0,375.0,11115.0,0.0,0.0,15854.0,11531.0,4.125,0.25,0.0,3.0,3334.625,38.625,0.0,72.875,16894.875,0.0,0.0,8459.0,3255.5,2.03100960115899,0.4629100498862757,0.0,0.0,4061.574885875112,94.83058201716516,0.0,131.12092292449526,5804.400681195014,0.0,0.0,4581.679136985229,3970.9319884811493,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.0422776802141567,2.7253923522768755,0.0,2.1763052561510565,-1.0574079706694623,0.0,0.0,0.6344463285489161,1.497134757855875,4.0
1.0,0.0,0.0,3.0,8568.0,0.0,0.0,0.0,6169.0,0.0,0.0,14063.0,1195.0,2.0,0.0,0.0,3.0,10330.0,0.0,0.0,0.0,14208.0,0.0,0.0,4262.0,4451.0,3.0,0.0,0.0,3.0,2112.0,271.0,0.0,0.0,22545.0,0.0,0.0,3872.0,2236.0,4.0,0.0,0.0,3.0,4211.0,38.0,0.0,87.0,20470.0,0.0,0.0,3994.0,672.0,5.0,0.0,0.0,3.0,1456.0,0.0,0.0,375.0,11115.0,0.0,0.0,15854.0,11531.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,18134.0,0.0,0.0,10666.0,3628.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,25480.0,0.0,0.0,3320.0,537.0,1.0,0.0,0.0,3.0,0.0,169.0,0.0,1100.0,24575.0,0.0,0.0,2956.0,3807.0,3.625,0.25,0.0,3.0,3334.625,59.75,0.0,195.25,17837.0,0.0,0.0,7373.375,3507.125,2.2638462845343543,0.4629100498862757,0.0,0.0,4061.574885875112,103.43079121532703,0.0,387.89054052473546,6840.0021303254825,0.0,0.0,5302.519210916907,3569.6991244761393,0.22624995586066124,1.4401645996461911,0.0,0.0,1.0422776802141567,1.6619573493924007,0.0,2.310472295746542,-0.6339147569288872,0.0,0.0,0.8694909538831999,1.9013501027178363,-8.0
3.0,0.0,0.0,3.0,748.0,0.0,0.0,8.0,21391.0,0.0,0.0,6653.0,1232.0,4.0,0.0,0.0,3.0,3990.0,0.0,0.0,46.0,12314.0,0.0,0.0,12450.0,3130.0,5.0,0.0,0.0,3.0,2180.0,0.0,0.0,73.0,16160.0,0.0,0.0,10387.0,3759.0,6.0,1.0,0.0,3.0,356.0,0.0,0.0,545.0,21167.0,0.0,0.0,6732.0,1385.0,7.0,1.0,0.0,3.0,203.0,0.0,0.0,6.0,23882.0,0.0,0.0,4709.0,648.0,1.0,0.0,0.0,3.0,1102.0,0.0,0.0,20.0,25706.0,0.0,0.0,1972.0,462.0,2.0,0.0,1.0,3.0,6079.0,0.0,0.0,3.0,18498.0,0.0,0.0,4220.0,1439.0,3.0,0.0,1.0,3.0,3884.0,164.0,0.0,1044.0,21291.0,0.0,0.0,2417.0,14758.0,3.875,0.25,0.25,3.0,2317.75,20.5,0.0,218.125,20051.125,0.0,0.0,6192.5,3351.625,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,2127.3165356516984,57.982756057296896,0.0,380.6548633604988,4286.975305253944,0.0,0.0,3691.91792974871,4750.91783425657,0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,0.7727004818831479,2.8284271247461903,0.0,1.9115190763959682,-0.6843769370509897,0.0,0.0,0.6780649097556223,2.5153198694891286,-13.0
3.0,0.0,0.0,4.0,0.0,0.0,0.0,204.0,17150.0,0.0,0.0,11446.0,9115.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,20974.0,0.0,0.0,7826.0,5811.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,160.0,21196.0,0.0,0.0,7444.0,4530.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,6.0,23848.0,0.0,0.0,4946.0,0.0,7.0,1.0,0.0,4.0,3793.0,0.0,0.0,147.0,11426.0,0.0,0.0,13434.0,6120.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,142.0,20478.0,0.0,0.0,8180.0,6329.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,17863.0,0.0,0.0,10934.0,8121.0,3.0,0.0,0.0,4.0,2232.0,0.0,0.0,17.0,13261.0,0.0,0.0,13290.0,8015.0,3.875,0.25,0.0,4.0,753.125,0.0,0.0,84.875,18274.5,0.0,0.0,9687.5,6005.125,2.03100960115899,0.4629100498862757,0.0,0.0,1455.5850505160165,0.0,0.0,85.93425643229496,4229.3657748110245,0.0,0.0,3045.2118387490127,2843.065319459665,0.2238027108715141,1.4401645996461911,0.0,0.0,1.776449109148462,0.0,0.0,0.17318064670305908,-0.5545972715687646,0.0,0.0,-0.1419932478727337,-1.4261941953494655,-3.0
3.0,0.0,0.0,4.0,104.0,0.0,0.0,0.0,19608.0,0.0,0.0,9088.0,4627.0,4.0,0.0,0.0,4.0,107.0,0.0,0.0,0.0,21281.0,0.0,0.0,7412.0,5749.0,5.0,0.0,0.0,4.0,0.0,198.0,0.0,10.0,19838.0,0.0,0.0,8754.0,4239.0,6.0,1.0,0.0,4.0,0.0,14200.0,0.0,181.0,8230.0,0.0,0.0,6189.0,20191.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,21910.0,0.0,0.0,6890.0,4705.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,48.0,22265.0,0.0,0.0,6487.0,3576.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,21399.0,0.0,0.0,7401.0,5283.0,3.0,0.0,0.0,4.0,371.0,0.0,0.0,4.0,21156.0,0.0,0.0,7269.0,3249.0,3.875,0.25,0.0,4.0,72.75,1799.75,0.0,30.375,19460.875,0.0,0.0,7436.25,6452.375,2.03100960115899,0.4629100498862757,0.0,0.0,129.59580019650107,5010.936660374557,0.0,63.01912974871768,4630.649212043599,0.0,0.0,1017.6754674958305,5611.613950103838,0.2238027108715141,1.4401645996461911,0.0,0.0,2.1594280449910674,2.827352893417436,0.0,2.4992955178949474,-2.6119516124281463,0.0,0.0,0.6924066018927162,2.707985498948281,4.0
6.0,1.0,0.0,4.0,0.0,14200.0,0.0,181.0,8230.0,0.0,0.0,6189.0,20191.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,21910.0,0.0,0.0,6890.0,4705.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,48.0,22265.0,0.0,0.0,6487.0,3576.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,21399.0,0.0,0.0,7401.0,5283.0,3.0,0.0,0.0,4.0,371.0,0.0,0.0,4.0,21156.0,0.0,0.0,7269.0,3249.0,4.0,0.0,0.0,4.0,420.0,0.0,0.0,7.0,17722.0,0.0,0.0,10651.0,5061.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,21571.0,0.0,0.0,7229.0,3611.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,20806.0,0.0,0.0,7994.0,4884.0,4.25,0.375,0.0,4.0,98.875,1775.0,0.0,30.0,19382.375,0.0,0.0,7513.75,6320.0,2.1213203435596424,0.5175491695067657,0.0,0.0,183.5486992598967,5020.4581464244875,0.0,63.166446789415026,4718.6565563122485,0.0,0.0,1384.8629380349728,5657.29200741334,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4620880578326216,2.8284271247461903,0.0,2.5023369017797474,-2.40108381305921,0.0,0.0,1.9578283138806514,2.7236820024819988,-5.0
2.0,0.0,0.0,4.0,1052.0,0.0,0.0,30.0,21337.0,0.0,0.0,6381.0,5083.0,3.0,0.0,0.0,4.0,2776.0,656.0,0.0,13.0,17401.0,0.0,0.0,7954.0,3039.0,4.0,0.0,0.0,4.0,3302.0,0.0,0.0,25.0,19080.0,0.0,0.0,6393.0,1647.0,5.0,0.0,0.0,4.0,7490.0,0.0,0.0,37.0,14117.0,0.0,0.0,7156.0,1568.0,6.0,1.0,0.0,4.0,1923.0,109.0,0.0,73.0,19608.0,0.0,0.0,7087.0,1310.0,7.0,1.0,0.0,4.0,5017.0,0.0,0.0,0.0,15321.0,0.0,0.0,8462.0,18398.0,1.0,0.0,0.0,4.0,1036.0,471.0,0.0,0.0,24063.0,0.0,0.0,3230.0,763.0,2.0,0.0,0.0,4.0,1459.0,0.0,0.0,0.0,24074.0,0.0,0.0,3267.0,733.0,3.75,0.25,0.0,4.0,3006.875,154.5,0.0,22.25,19375.125,0.0,0.0,6241.25,4067.625,2.1213203435596424,0.4629100498862757,0.0,0.0,2253.758792867722,259.97142700139733,0.0,25.160910726192494,3703.798414658737,0.0,0.0,1977.5038919954475,5966.585765446482,0.31426968052735443,1.4401645996461911,0.0,0.0,1.2999970702374952,1.5101205794034538,0.0,1.2026036541780543,-0.02022399671097046,0.0,0.0,-0.8931942651460627,2.5277990961215435,1.0
