week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
1.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,21068.0,0.0,0.0,7722.0,6947.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,19763.0,0.0,0.0,9037.0,3518.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21887.0,0.0,0.0,6913.0,7091.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,22553.0,0.0,0.0,6247.0,2932.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23379.0,0.0,0.0,5421.0,3212.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,11074.0,0.0,0.0,17719.0,6822.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,26346.0,0.0,0.0,2454.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,20884.0,0.0,0.0,7900.0,2129.0,3.625,0.25,0.0,3.0,0.0,0.0,0.0,4.125,20869.25,0.0,0.0,7926.625,4081.375,2.2638462845343543,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,6.197637798848388,4430.009601730968,0.0,0.0,4427.87401219334,2608.895000761817,0.22624995586066124,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,1.2403309967776122,-1.6547146932898849,0.0,0.0,1.6564160022630328,-0.06870228677803634,3.0
6.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,11074.0,0.0,0.0,17719.0,6822.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,26346.0,0.0,0.0,2454.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,20884.0,0.0,0.0,7900.0,2129.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23400.0,0.0,0.0,5400.0,3297.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17025.0,0.0,0.0,11775.0,8389.0,4.0,0.0,0.0,3.0,110.0,0.0,0.0,15.0,21850.0,0.0,0.0,6825.0,4304.0,5.0,0.0,0.0,3.0,9021.0,932.0,0.0,0.0,12577.0,0.0,0.0,6270.0,7362.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,13180.0,0.0,0.0,15620.0,10568.0,4.25,0.375,0.0,3.0,1141.375,116.5,0.0,4.75,18292.0,0.0,0.0,9245.375,5358.875,2.1213203435596424,0.5175491695067657,0.0,0.0,3184.081968502516,329.51176003293114,0.0,7.066015244009273,5642.124599829394,0.0,0.0,5295.118451056056,3525.0857917624808,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.8276052724854477,2.8284271247461903,0.0,1.0669863645449031,0.02103395419820261,0.0,0.0,0.6037594149373975,-0.07473540492487012,1.0
3.0,0.0,1.0,3.0,4335.0,0.0,0.0,0.0,19357.0,0.0,0.0,5108.0,2193.0,4.0,0.0,1.0,4.0,4358.0,0.0,0.0,0.0,15477.0,0.0,0.0,8965.0,8528.0,5.0,0.0,1.0,4.0,9040.0,78.0,0.0,0.0,17192.0,0.0,0.0,2490.0,2689.0,6.0,1.0,1.0,4.0,7615.0,0.0,0.0,49.0,16063.0,0.0,0.0,5073.0,4416.0,7.0,1.0,1.0,4.0,2460.0,0.0,0.0,8.0,18628.0,0.0,0.0,7704.0,2962.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,27193.0,0.0,0.0,1607.0,574.0,2.0,0.0,1.0,4.0,5791.0,0.0,0.0,0.0,17310.0,0.0,0.0,5699.0,4732.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,27773.0,0.0,0.0,1027.0,1250.0,3.875,0.25,1.0,3.875,4199.875,9.75,0.0,7.125,19874.125,0.0,0.0,4709.125,3418.0,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,3294.365208200208,27.577164466275352,0.0,17.150072886142496,4861.0157209461595,0.0,0.0,2839.991118572632,2503.233965436368,0.2238027108715141,1.4401645996461911,0.0,-2.8284271247461903,0.020375330320780143,2.8284271247461903,0.0,2.6908032181312174,1.171201247002481,0.0,0.0,0.11912002936174859,1.228679602764347,10.0
3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,20650.0,0.0,0.0,8150.0,6711.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,25653.0,0.0,0.0,3147.0,2624.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22354.0,0.0,0.0,6446.0,4724.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,22781.0,0.0,0.0,6014.0,5228.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,26246.0,0.0,0.0,2549.0,2927.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23540.0,0.0,0.0,5260.0,6844.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23843.0,0.0,0.0,4957.0,4581.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24000.0,0.0,0.0,4800.0,4301.0,3.875,0.25,0.25,4.0,0.0,0.0,0.0,1.25,23633.375,0.0,0.0,5165.375,4742.5,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,0.0,0.0,0.0,2.3145502494313788,1787.0822139134266,0.0,0.0,1787.7871347802327,1536.8071725868167,0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,0.0,0.0,0.0,1.4401645996461911,-0.10473404404617254,0.0,0.0,0.10362624598709469,0.07562504434444069,1.0
6.0,1.0,0.0,1.0,0.0,0.0,0.0,35.0,14123.0,0.0,0.0,14642.0,10316.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,22597.0,0.0,0.0,6200.0,4244.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22542.0,0.0,0.0,6258.0,4717.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23017.0,0.0,0.0,5783.0,5333.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,22234.0,0.0,0.0,6563.0,7379.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,22678.0,0.0,0.0,6119.0,7508.0,5.0,0.0,0.0,1.0,1712.0,0.0,0.0,0.0,19574.0,0.0,0.0,7514.0,5400.0,6.0,1.0,0.0,1.0,1601.0,0.0,0.0,0.0,17495.0,0.0,0.0,9704.0,8462.0,4.25,0.375,0.0,1.0,414.125,0.0,0.0,5.5,20532.5,0.0,0.0,7847.875,6669.875,2.1213203435596424,0.5175491695067657,0.0,0.0,767.3841350420829,0.0,0.0,12.011898862615947,3233.708220780418,0.0,0.0,3020.4924592570283,2097.946576842631,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4466154901316939,0.0,0.0,2.7431545525291745,-1.3810198590865572,0.0,0.0,2.041745140120284,0.5984758821391236,-8.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23017.0,0.0,0.0,5783.0,5333.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,22234.0,0.0,0.0,6563.0,7379.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,22678.0,0.0,0.0,6119.0,7508.0,5.0,0.0,0.0,1.0,1712.0,0.0,0.0,0.0,19574.0,0.0,0.0,7514.0,5400.0,6.0,1.0,0.0,1.0,1601.0,0.0,0.0,0.0,17495.0,0.0,0.0,9704.0,8462.0,7.0,1.0,0.0,1.0,743.0,0.0,0.0,0.0,23709.0,0.0,0.0,4348.0,2244.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,22709.0,0.0,0.0,6074.0,5789.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24550.0,0.0,0.0,4250.0,3761.0,3.75,0.25,0.0,1.0,507.0,0.0,0.0,2.875,21995.75,0.0,0.0,6294.375,5734.5,2.1213203435596424,0.4629100498862757,0.0,0.0,754.9647106227643,0.0,0.0,5.866064633612068,2319.3271037707714,0.0,0.0,1752.2988115615442,2057.85234788949,0.31426968052735443,1.4401645996461911,0.0,0.0,1.0714587897659533,0.0,0.0,2.547172508483134,-1.2506996030303996,0.0,0.0,0.8993451514926523,-0.43712322317691304,-1.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24374.0,0.0,0.0,4426.0,4540.0,4.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,23276.0,0.0,0.0,5470.0,4856.0,5.0,0.0,0.0,1.0,0.0,2961.0,0.0,8.0,24062.0,0.0,0.0,1769.0,3374.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,24964.0,0.0,0.0,3830.0,3493.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22721.0,0.0,0.0,6079.0,4775.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22323.0,0.0,0.0,6477.0,5087.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22254.0,0.0,0.0,6546.0,6102.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23721.0,0.0,0.0,5079.0,4255.0,3.875,0.25,0.0,1.0,6.75,370.125,0.0,1.75,23461.875,0.0,0.0,4959.5,4560.25,2.03100960115899,0.4629100498862757,0.0,0.0,19.091883092036785,1046.8715895466837,0.0,3.2841611235921855,989.5952184749942,0.0,0.0,1607.466595964861,880.5715270696154,0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,2.82842712474619,0.0,1.5527063248245148,0.1433362839546909,0.0,0.0,-1.1484834151378998,0.2603579067586631,-3.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21549.0,0.0,0.0,7251.0,4005.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23446.0,0.0,0.0,5354.0,2909.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23691.0,0.0,0.0,5109.0,3224.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,25423.0,0.0,0.0,3372.0,3035.0,7.0,1.0,0.0,1.0,6017.0,0.0,0.0,7.0,13909.0,0.0,0.0,8867.0,2669.0,1.0,0.0,0.0,1.0,3581.0,0.0,0.0,0.0,20616.0,0.0,0.0,4603.0,1696.0,2.0,0.0,0.0,1.0,4661.0,0.0,0.0,10.0,13337.0,0.0,0.0,10792.0,11276.0,3.0,0.0,0.0,1.0,2276.0,0.0,0.0,0.0,23132.0,0.0,0.0,3392.0,1423.0,3.875,0.25,0.0,1.0,2066.875,0.0,0.0,2.75,20637.875,0.0,0.0,6092.5,3779.625,2.03100960115899,0.4629100498862757,0.0,0.0,2442.3983784971924,0.0,0.0,4.026696625558687,4562.8371636672355,0.0,0.0,2660.5680918609414,3139.52380090175,0.2238027108715141,1.4401645996461911,0.0,0.0,0.6177834729089129,0.0,0.0,1.0655754077532702,-1.0374044900943793,0.0,0.0,0.8315124069988092,2.4407419670269563,0.0
3.0,0.0,0.0,2.0,6158.0,0.0,0.0,0.0,16719.0,0.0,0.0,5923.0,1857.0,4.0,0.0,0.0,2.0,4896.0,0.0,0.0,2.0,18066.0,0.0,0.0,5836.0,4768.0,5.0,0.0,1.0,2.0,7366.0,0.0,0.0,2.0,19139.0,0.0,0.0,2293.0,572.0,6.0,1.0,1.0,2.0,6258.0,0.0,0.0,187.0,8175.0,0.0,0.0,14180.0,6084.0,7.0,1.0,1.0,2.0,2271.0,894.0,0.0,0.0,24580.0,0.0,0.0,1055.0,931.0,1.0,0.0,1.0,2.0,3930.0,0.0,0.0,24.0,16343.0,0.0,0.0,8503.0,953.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,20952.0,0.0,0.0,7848.0,4632.0,3.0,0.0,1.0,2.0,49.0,0.0,0.0,0.0,22732.0,0.0,0.0,6019.0,5328.0,3.875,0.25,0.75,2.0,3866.0,111.75,0.0,26.875,18338.25,0.0,0.0,6457.125,3140.625,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,2837.2369355715477,316.07673119038674,0.0,65.21927300598016,5010.077494410641,0.0,0.0,4020.4631374116234,2275.1542451635482,0.2238027108715141,1.4401645996461911,-1.4401645996461911,0.0,-0.3982725022878636,2.8284271247461903,0.0,2.744504826552512,-1.0839036972495923,0.0,0.0,0.7079366668781335,0.05292723709921772,1.0
4.0,0.0,0.0,3.0,0.0,0.0,0.0,159.0,23076.0,0.0,0.0,5565.0,5983.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,23595.0,0.0,0.0,5200.0,3205.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,15.0,22785.0,0.0,0.0,6000.0,2317.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,23123.0,0.0,0.0,5677.0,4279.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,24236.0,0.0,0.0,4561.0,4387.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,22965.0,0.0,0.0,5835.0,4569.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,23747.0,0.0,0.0,5050.0,5240.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21298.0,0.0,0.0,7502.0,6040.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,23.125,23103.125,0.0,0.0,5673.75,4502.5,2.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,55.12437236442179,871.764292766604,0.0,0.0,873.2935605265521,1288.8158463156346,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,2.7844131171603537,-1.1721302759777992,0.0,0.0,1.264596053900549,-0.47645140813993453,6.0
