week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_hr_4_t-7,act_on_bike_hr_4_t-7,act_on_foot_hr_4_t-7,act_running_hr_4_t-7,act_still_hr_4_t-7,act_tilting_hr_4_t-7,act_unknown_hr_4_t-7,act_walking_hr_4_t-7,step_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_hr_4_t-6,act_on_bike_hr_4_t-6,act_on_foot_hr_4_t-6,act_running_hr_4_t-6,act_still_hr_4_t-6,act_tilting_hr_4_t-6,act_unknown_hr_4_t-6,act_walking_hr_4_t-6,step_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_hr_4_t-5,act_on_bike_hr_4_t-5,act_on_foot_hr_4_t-5,act_running_hr_4_t-5,act_still_hr_4_t-5,act_tilting_hr_4_t-5,act_unknown_hr_4_t-5,act_walking_hr_4_t-5,step_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_hr_4_t-4,act_on_bike_hr_4_t-4,act_on_foot_hr_4_t-4,act_running_hr_4_t-4,act_still_hr_4_t-4,act_tilting_hr_4_t-4,act_unknown_hr_4_t-4,act_walking_hr_4_t-4,step_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_hr_4_t-3,act_on_bike_hr_4_t-3,act_on_foot_hr_4_t-3,act_running_hr_4_t-3,act_still_hr_4_t-3,act_tilting_hr_4_t-3,act_unknown_hr_4_t-3,act_walking_hr_4_t-3,step_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_hr_4_t-2,act_on_bike_hr_4_t-2,act_on_foot_hr_4_t-2,act_running_hr_4_t-2,act_still_hr_4_t-2,act_tilting_hr_4_t-2,act_unknown_hr_4_t-2,act_walking_hr_4_t-2,step_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_hr_4_t-1,act_on_bike_hr_4_t-1,act_on_foot_hr_4_t-1,act_running_hr_4_t-1,act_still_hr_4_t-1,act_tilting_hr_4_t-1,act_unknown_hr_4_t-1,act_walking_hr_4_t-1,step_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_hr_4_t-0,act_on_bike_hr_4_t-0,act_on_foot_hr_4_t-0,act_running_hr_4_t-0,act_still_hr_4_t-0,act_tilting_hr_4_t-0,act_unknown_hr_4_t-0,act_walking_hr_4_t-0,step_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_hr_4_mean,act_on_bike_hr_4_mean,act_on_foot_hr_4_mean,act_running_hr_4_mean,act_still_hr_4_mean,act_tilting_hr_4_mean,act_unknown_hr_4_mean,act_walking_hr_4_mean,step_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_hr_4_std,act_on_bike_hr_4_std,act_on_foot_hr_4_std,act_running_hr_4_std,act_still_hr_4_std,act_tilting_hr_4_std,act_unknown_hr_4_std,act_walking_hr_4_std,step_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_hr_4_skew,act_on_bike_hr_4_skew,act_on_foot_hr_4_skew,act_running_hr_4_skew,act_still_hr_4_skew,act_tilting_hr_4_skew,act_unknown_hr_4_skew,act_walking_hr_4_skew,step_hr_4_skew,target
1.0,0.0,0.0,3.0,,,,,,,,,0.0,2.0,0.0,0.0,3.0,,,,,,,,,0.0,3.0,0.0,0.0,3.0,,,,,,,,,0.0,4.0,0.0,0.0,3.0,,,,,,,,,0.0,5.0,0.0,0.0,3.0,,,,,,,,,0.0,6.0,1.0,0.0,3.0,,,,,,,,,0.0,7.0,1.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,3.625,0.25,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,,,,,,,,,0.0,-8.0
4.0,0.0,1.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,7.0,1.0,1.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,4.0,0.25,1.0,3.125,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.3535533905932738,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,2.8284271247461903,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,7.0
6.0,1.0,0.0,4.0,0.0,0.0,,0.0,3235.0,,0.0,365.0,10.0,7.0,1.0,0.0,4.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,,0.0,3489.0,,0.0,111.0,0.0,4.25,0.375,0.0,4.0,0.0,0.0,,0.0,3540.5,,0.0,59.5,1.25,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,,0.0,129.40744072226184,,0.0,129.40744072226184,3.5355339059327378,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.0,0.0,,0.0,-2.407007752332934,,0.0,2.407007752332934,2.82842712474619,7.0
4.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,5.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,6.0,1.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,7.0,1.0,0.0,2.0,0.0,0.0,,0.0,3240.0,,0.0,360.0,,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,3452.0,,0.0,148.0,,3.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,4.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,4.0,0.25,0.0,2.0,0.0,0.0,,0.0,3536.5,,0.0,63.5,,2.0,0.4629100498862757,0.0,0.0,0.0,0.0,,0.0,130.51874523279352,,0.0,130.51874523279352,,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,,0.0,-2.153114634508555,,0.0,2.153114634508555,,0.0
5.0,0.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,6.0,1.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,7.0,1.0,0.0,3.0,0.0,0.0,,0.0,3119.0,,0.0,481.0,,1.0,0.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,2.0,0.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,4.0,0.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,5.0,0.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,4.125,0.25,0.0,3.0,0.0,0.0,,0.0,3539.875,,0.0,60.125,,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,,0.0,170.0591808753647,,0.0,170.0591808753647,,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,,0.0,-2.82842712474619,,0.0,2.82842712474619,,1.0
6.0,1.0,0.0,3.0,0.0,0.0,,0.0,3191.0,,0.0,409.0,,7.0,1.0,0.0,3.0,0.0,0.0,,0.0,3543.0,,0.0,57.0,,1.0,0.0,0.0,3.0,0.0,0.0,,0.0,3500.0,,0.0,100.0,,2.0,0.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,4.0,0.0,0.0,3.0,0.0,0.0,,0.0,3152.0,,0.0,448.0,,5.0,0.0,0.0,3.0,0.0,0.0,,0.0,3354.0,,0.0,246.0,,6.0,1.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,4.25,0.375,0.0,3.0,0.0,0.0,,0.0,3442.5,,0.0,157.5,,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,,0.0,186.4326764736881,,0.0,186.4326764736881,,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.0,0.0,,0.0,-0.828656756980022,,0.0,0.828656756980022,,0.0
4.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,5.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,6.0,1.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,7.0,1.0,0.0,1.0,0.0,0.0,,0.0,3562.0,,0.0,38.0,,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,3.0,0.0,1.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,4.0,0.0,1.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,,4.0,0.25,0.5,1.0,0.0,0.0,,0.0,3595.25,,0.0,4.75,,2.0,0.4629100498862757,0.5345224838248488,0.0,0.0,0.0,,0.0,13.435028842544403,,0.0,13.435028842544403,,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,,0.0,-2.8284271247461903,,0.0,2.8284271247461903,,-6.0
6.0,1.0,1.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,4.25,0.375,0.25,2.125,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.3535533905932738,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.31426968052735443,0.6440611887195306,1.4401645996461911,2.8284271247461903,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
5.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,,0.0,3524.0,,0.0,76.0,12.0,7.0,1.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,,0.0,3379.0,,0.0,221.0,18.0,4.125,0.25,0.0,1.0,0.0,0.0,,0.0,3562.875,,0.0,37.125,3.75,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,,0.0,78.91303984223936,,0.0,78.91303984223936,7.126409634992524,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,,0.0,-2.3134697469530003,,0.0,2.3134697469530003,1.6519050267514583,0.0
5.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,4.125,0.25,0.0,1.0,0.0,0.0,,0.0,3600.0,,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
