week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5574.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8640.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10563.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4533.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11782.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8009.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,6877.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,96.0,21866.0,0.0,0.0,6838.0,9469.0,3.625,0.25,0.0,3.0,0.0,0.0,0.0,12.0,6333.25,0.0,0.0,854.75,8180.875,2.2638462845343543,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,33.94112549695428,11872.426106017974,0.0,0.0,2417.598084876806,2459.532559393001,0.22624995586066124,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,1.5438184901801608,0.0,0.0,2.82842712474619,-0.07717812487024654,-8.0
4.0,0.0,1.0,3.0,1444.0,0.0,0.0,0.0,17405.0,0.0,0.0,9951.0,5374.0,5.0,0.0,1.0,3.0,2973.0,0.0,0.0,130.0,22382.0,0.0,0.0,3315.0,2657.0,6.0,1.0,1.0,3.0,1068.0,0.0,0.0,18.0,22894.0,0.0,0.0,4820.0,2842.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,10.0,24065.0,0.0,0.0,4725.0,1315.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,27233.0,0.0,0.0,1567.0,105.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,27456.0,0.0,0.0,1344.0,17.0,3.0,0.0,1.0,3.0,701.0,940.0,0.0,96.0,18782.0,0.0,0.0,8281.0,2098.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,10.0,25506.0,0.0,0.0,3284.0,1769.0,4.0,0.25,1.0,3.125,773.25,117.5,0.0,33.0,23215.375,0.0,0.0,4660.875,2022.125,2.0,0.4629100498862757,0.0,0.3535533905932738,1053.7392941330413,332.34018715767735,0.0,50.60773515128747,3670.4632614387288,0.0,0.0,3056.6332289675465,1714.4793826615205,0.0,1.4401645996461911,0.0,2.8284271247461903,1.4850199018029282,2.8284271247461903,0.0,1.5095413088046294,-0.501403244220908,0.0,0.0,0.8293154057264207,0.8688652670111683,7.0
6.0,1.0,0.0,4.0,0.0,0.0,0.0,57.0,23646.0,0.0,0.0,5097.0,4128.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,25353.0,0.0,0.0,3447.0,2911.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27627.0,0.0,0.0,1173.0,4898.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,24505.0,0.0,0.0,4282.0,2876.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,22998.0,0.0,0.0,5800.0,4743.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23933.0,0.0,0.0,4867.0,1792.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,23278.0,0.0,0.0,5514.0,4790.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,13.0,20232.0,0.0,0.0,8555.0,5377.0,4.25,0.375,0.0,4.0,0.0,0.0,0.0,11.625,23946.5,0.0,0.0,4841.875,3939.375,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,19.175412083484115,2106.818251026211,0.0,0.0,2102.4663365743986,1264.3588931605952,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,2.3712512452157384,0.00779905600139498,0.0,0.0,0.0024365330957917073,-0.6783920851718463,7.0
4.0,0.0,0.0,2.0,3797.0,2320.0,0.0,0.0,13523.0,0.0,0.0,9160.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25165.0,0.0,0.0,3635.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,22194.0,0.0,0.0,6606.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,18881.0,0.0,0.0,9919.0,0.0,1.0,0.0,0.0,2.0,1885.0,289.0,0.0,92.0,17980.0,0.0,0.0,8554.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26185.0,0.0,0.0,2615.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24739.0,0.0,0.0,4061.0,0.0,4.0,0.0,0.0,2.0,4002.0,0.0,0.0,87.0,15308.0,0.0,0.0,9403.0,0.0,4.0,0.25,0.0,2.0,1210.5,326.125,0.0,22.375,20496.875,0.0,0.0,6744.125,0.0,2.0,0.4629100498862757,0.0,0.0,1783.4139011617979,811.969464151384,0.0,41.45199460994437,4773.843657668016,0.0,0.0,2932.4810771524417,0.0,0.0,1.4401645996461911,0.0,0.0,1.024010318775532,2.746362199553457,0.0,1.4446517666625214,-0.23119886146252092,0.0,0.0,-0.3697014779932602,0.0,0.0
5.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,16975.0,0.0,0.0,11815.0,0.0,6.0,1.0,0.0,3.0,901.0,32.0,0.0,24.0,22246.0,0.0,0.0,5597.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,42.0,19737.0,0.0,0.0,9021.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,22784.0,0.0,0.0,5999.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,29.0,22390.0,0.0,0.0,6381.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,22424.0,0.0,0.0,6369.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20872.0,0.0,0.0,7928.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,38.0,18231.0,0.0,0.0,10531.0,0.0,4.125,0.25,0.0,3.0,112.625,4.0,0.0,20.875,20707.375,0.0,0.0,7955.125,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,318.5516049245397,11.313708498984761,0.0,15.008925915696205,2187.2863773243257,0.0,0.0,2300.665520949474,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,2.8284271247461903,0.0,0.10728455390921994,-0.8312882155514355,0.0,0.0,0.7401635194160907,0.0,1.0
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,27686.0,0.0,0.0,1114.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,14.0,22705.0,0.0,0.0,6081.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,24393.0,0.0,0.0,4392.0,0.0,2.0,0.0,0.0,3.0,416.0,658.0,0.0,12.0,23050.0,0.0,0.0,4664.0,0.0,3.0,0.0,0.0,3.0,1724.0,1403.0,0.0,8.0,18156.0,0.0,0.0,7509.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25042.0,0.0,0.0,3758.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23876.0,0.0,0.0,4924.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,23855.0,0.0,0.0,4945.0,0.0,4.25,0.375,0.0,3.0,267.5,257.625,0.0,6.125,23595.375,0.0,0.0,4673.375,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,606.251008835685,516.9150075205788,0.0,6.854352110677045,2680.226532936562,0.0,0.0,1841.7806552743618,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.545905071457209,2.0192019137935824,0.0,0.28252503000412366,-0.8881704027353148,0.0,0.0,-0.6176252342356028,0.0,0.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25471.0,0.0,0.0,3329.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28294.0,0.0,0.0,506.0,0.0,6.0,1.0,0.0,1.0,9038.0,163.0,0.0,3.0,15820.0,0.0,0.0,3776.0,0.0,7.0,1.0,0.0,1.0,867.0,116.0,0.0,8.0,20690.0,0.0,0.0,7119.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,19909.0,0.0,0.0,8883.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,239.0,20510.0,0.0,0.0,8051.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,21274.0,0.0,0.0,7506.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,19476.0,0.0,0.0,9321.0,0.0,4.0,0.25,0.5,1.0,1238.125,34.875,0.0,35.125,21430.5,0.0,0.0,6061.375,0.0,2.0,0.4629100498862757,0.5345224838248488,0.0,3166.194310321823,65.78631533772267,0.0,82.63246940519205,3825.967067291615,0.0,0.0,3146.468448344679,0.0,0.0,1.4401645996461911,0.0,0.0,2.7790319439836093,1.594057669389203,0.0,2.7944662900026893,0.6819267002766125,0.0,0.0,-0.823117860527747,0.0,-6.0
6.0,1.0,1.0,2.0,0.0,0.0,0.0,8.0,19378.0,0.0,0.0,9414.0,2429.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,21518.0,0.0,0.0,7275.0,4671.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,23491.0,0.0,0.0,5297.0,3768.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,21602.0,0.0,0.0,7171.0,2291.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24002.0,0.0,0.0,4798.0,3525.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,18447.0,0.0,0.0,10348.0,7735.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,22649.0,0.0,0.0,6077.0,4893.0,6.0,1.0,0.0,3.0,61.0,0.0,0.0,29.0,18428.0,0.0,0.0,10282.0,6574.0,4.25,0.375,0.25,2.125,7.625,0.0,0.0,20.25,21189.375,0.0,0.0,7582.75,4485.75,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.3535533905932738,21.5667568261897,0.0,0.0,24.04608670271081,2205.3178544794205,0.0,0.0,2197.3052164607707,1912.5128384256293,-0.31426968052735443,0.6440611887195306,1.4401645996461911,2.8284271247461903,2.8284271247461903,0.0,0.0,1.9136713150403895,-0.17697322329553886,0.0,0.0,0.1777839311830759,0.625053598945725,0.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27181.0,0.0,0.0,1619.0,90.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,26462.0,0.0,0.0,2338.0,135.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20931.0,0.0,0.0,7869.0,173.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26484.0,0.0,0.0,2316.0,67.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26406.0,0.0,0.0,2394.0,188.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26014.0,0.0,0.0,2786.0,261.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26130.0,0.0,0.0,2670.0,202.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,25873.0,0.0,0.0,2917.0,197.0,4.125,0.25,0.0,1.0,0.0,0.0,0.0,1.25,25685.125,0.0,0.0,3113.625,164.125,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,3.5355339059327378,1961.8545480889104,0.0,0.0,1961.9945345416813,63.611403964114125,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,2.82842712474619,-2.588656940312572,0.0,0.0,2.590623160102725,-0.2478082061288322,0.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23567.0,0.0,0.0,5233.0,170.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25158.0,0.0,0.0,3642.0,370.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,25519.0,0.0,0.0,3268.0,173.0,1.0,0.0,0.0,1.0,969.0,0.0,0.0,151.0,21748.0,0.0,0.0,5932.0,2659.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25950.0,0.0,0.0,2850.0,55.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,23655.0,0.0,0.0,5096.0,1013.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25961.0,0.0,0.0,2839.0,263.0,5.0,0.0,0.0,1.0,553.0,0.0,0.0,11.0,20026.0,0.0,0.0,8210.0,1034.0,4.125,0.25,0.0,1.0,190.25,0.0,0.0,28.0,23948.0,0.0,0.0,4633.75,717.125,2.03100960115899,0.4629100498862757,0.0,0.0,369.4028965777069,0.0,0.0,52.39956379316803,2152.918550645678,0.0,0.0,1863.1588192406696,871.7292236042763,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.8088183671394797,0.0,0.0,2.348654481727541,-0.9396414109051098,0.0,0.0,0.97955651468294,1.9062793225546835,0.0
