week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3774.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6864.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,5025.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,39.0,22932.0,0.0,0.0,5829.0,7081.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,50.0,20116.0,0.0,0.0,8634.0,6025.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,22.0,22928.0,0.0,0.0,5850.0,6395.0,5.0,0.0,0.0,3.0,204.0,0.0,0.0,15.0,24099.0,0.0,0.0,4482.0,4839.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,116.0,19252.0,0.0,0.0,9432.0,8704.0,4.25,0.375,0.0,3.0,25.5,0.0,0.0,30.25,17265.875,0.0,0.0,4278.375,6088.375,2.1213203435596424,0.5175491695067657,0.0,0.0,72.12489168102785,0.0,0.0,39.398150790542005,11033.591908835231,0.0,0.0,3879.6300242420025,1538.7594203030662,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.8284271247461903,0.0,0.0,1.7185198003782567,-1.1410081681740094,0.0,0.0,-0.02547404767190954,0.19964470823174973,4.0
4.0,0.0,0.0,3.0,0.0,0.0,0.0,22.0,22928.0,0.0,0.0,5850.0,6395.0,5.0,0.0,0.0,3.0,204.0,0.0,0.0,15.0,24099.0,0.0,0.0,4482.0,4839.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,116.0,19252.0,0.0,0.0,9432.0,8704.0,7.0,1.0,0.0,3.0,531.0,26.0,0.0,36.0,16081.0,0.0,0.0,12126.0,12801.0,1.0,0.0,0.0,3.0,0.0,131.0,0.0,0.0,21632.0,0.0,0.0,7037.0,6037.0,2.0,0.0,0.0,3.0,260.0,27.0,0.0,18.0,22710.0,0.0,0.0,5785.0,5632.0,3.0,0.0,0.0,3.0,84.0,0.0,0.0,66.0,22897.0,0.0,0.0,5753.0,5586.0,4.0,0.0,0.0,3.0,540.0,0.0,0.0,121.0,23148.0,0.0,0.0,4991.0,4225.0,4.0,0.25,0.0,3.0,202.375,23.0,0.0,49.25,21593.375,0.0,0.0,6932.0,6777.375,2.0,0.4629100498862757,0.0,0.0,227.46675581280005,45.251677159131745,0.0,46.86988067283417,2653.6319013490065,0.0,0.0,2588.022300632556,2769.566285668983,0.0,1.4401645996461911,0.0,0.0,0.7710587749435739,2.4645875399327695,0.0,0.8486939125582158,-1.57857931992126,0.0,0.0,1.4209678173519213,1.7766116211102243,-2.0
5.0,0.0,0.0,3.0,3231.0,0.0,0.0,18.0,20474.0,0.0,0.0,5077.0,5069.0,6.0,1.0,0.0,3.0,869.0,0.0,0.0,93.0,17075.0,0.0,0.0,10763.0,11178.0,7.0,1.0,0.0,3.0,5401.0,0.0,0.0,0.0,21029.0,0.0,0.0,2370.0,3053.0,1.0,0.0,0.0,3.0,3272.0,0.0,0.0,119.0,20283.0,0.0,0.0,5126.0,5269.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,23279.0,0.0,0.0,5507.0,5275.0,3.0,0.0,0.0,3.0,0.0,31.0,0.0,0.0,22592.0,0.0,0.0,6177.0,4861.0,4.0,0.0,0.0,3.0,229.0,0.0,0.0,259.0,22567.0,0.0,0.0,5745.0,5520.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,73.0,24532.0,0.0,0.0,4195.0,4051.0,4.125,0.25,0.0,3.0,1625.25,3.875,0.0,72.0,21478.875,0.0,0.0,5620.0,5534.5,2.03100960115899,0.4629100498862757,0.0,0.0,2069.9291740816366,10.960155108391486,0.0,88.04868782992412,2299.735353563225,0.0,0.0,2388.0985263235207,2420.6268373531443,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.9965476130439687,2.8284271247461903,0.0,1.5495892625818273,-0.8028309635829117,0.0,0.0,1.380465548551814,2.1588091258023447,1.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,23279.0,0.0,0.0,5507.0,5275.0,3.0,0.0,0.0,3.0,0.0,31.0,0.0,0.0,22592.0,0.0,0.0,6177.0,4861.0,4.0,0.0,0.0,3.0,229.0,0.0,0.0,259.0,22567.0,0.0,0.0,5745.0,5520.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,73.0,24532.0,0.0,0.0,4195.0,4051.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,22017.0,0.0,0.0,6780.0,8490.0,7.0,1.0,0.0,3.0,4196.0,0.0,0.0,3.0,14369.0,0.0,0.0,10232.0,10380.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,61.0,23087.0,0.0,0.0,5652.0,8053.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,142.0,22354.0,0.0,0.0,6304.0,6609.0,3.75,0.25,0.0,3.0,553.125,3.875,0.0,69.375,21849.625,0.0,0.0,6324.0,6654.875,2.1213203435596424,0.4629100498862757,0.0,0.0,1474.1234138584578,10.960155108391486,0.0,91.0305090144429,3118.544804300328,0.0,0.0,1752.1156191465057,2151.120866465401,0.31426968052735443,1.4401645996461911,0.0,0.0,2.812163719395818,2.8284271247461903,0.0,1.543455475322906,-2.4718730652067418,0.0,0.0,1.7381535661409309,0.633175164691147,2.0
5.0,0.0,0.0,3.0,0.0,0.0,0.0,73.0,24532.0,0.0,0.0,4195.0,4051.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,22017.0,0.0,0.0,6780.0,8490.0,7.0,1.0,0.0,3.0,4196.0,0.0,0.0,3.0,14369.0,0.0,0.0,10232.0,10380.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,61.0,23087.0,0.0,0.0,5652.0,8053.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,142.0,22354.0,0.0,0.0,6304.0,6609.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,21651.0,0.0,0.0,7137.0,7256.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23297.0,0.0,0.0,5503.0,5679.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,53.0,23627.0,0.0,0.0,5120.0,4901.0,4.125,0.25,0.0,3.0,524.5,0.0,0.0,43.375,21866.75,0.0,0.0,6365.375,6927.375,2.03100960115899,0.4629100498862757,0.0,0.0,1483.5100269293766,0.0,0.0,49.47419962537472,3168.1326969863944,0.0,0.0,1821.928173078495,2062.487190436412,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,0.0,0.0,1.1758411632666779,-2.349638916275499,0.0,0.0,1.4229633188919726,0.26787252444752957,9.0
1.0,0.0,0.0,3.0,0.0,0.0,0.0,61.0,23087.0,0.0,0.0,5652.0,8053.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,142.0,22354.0,0.0,0.0,6304.0,6609.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,21651.0,0.0,0.0,7137.0,7256.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23297.0,0.0,0.0,5503.0,5679.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,53.0,23627.0,0.0,0.0,5120.0,4901.0,6.0,1.0,0.0,3.0,1767.0,1633.0,0.0,56.0,20606.0,0.0,0.0,4738.0,0.0,7.0,1.0,0.0,3.0,1873.0,507.0,0.0,6.0,21675.0,0.0,0.0,4739.0,2509.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,133.0,22629.0,0.0,0.0,6038.0,7983.0,3.625,0.25,0.0,3.0,455.0,267.5,0.0,57.875,22365.75,0.0,0.0,5653.875,5373.75,2.2638462845343543,0.4629100498862757,0.0,0.0,842.972461844734,579.5673262997886,0.0,54.64544811784418,1009.4087024448662,0.0,0.0,824.0567659885019,2839.917642166004,0.22624995586066124,1.4401645996461911,0.0,0.0,1.4450408224541957,2.392245491638157,0.0,0.6878320929910111,-0.5438935521207818,0.0,0.0,0.648167573220161,-1.1078482271689534,-9.0
3.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,21778.0,0.0,0.0,6944.0,8770.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1185.0,20916.0,0.0,0.0,6699.0,8682.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,346.0,22134.0,0.0,0.0,6320.0,8584.0,6.0,1.0,0.0,3.0,2141.0,0.0,0.0,2.0,9551.0,0.0,0.0,17106.0,7031.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,142.0,24993.0,0.0,0.0,3665.0,3944.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,67.0,23263.0,0.0,0.0,5470.0,5988.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,227.0,23290.0,0.0,0.0,5283.0,8697.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,197.0,23784.0,0.0,0.0,4819.0,6669.0,3.875,0.25,0.0,3.0,267.625,0.0,0.0,280.5,21213.625,0.0,0.0,7038.25,7295.625,2.03100960115899,0.4629100498862757,0.0,0.0,756.9578092601992,0.0,0.0,380.89706145961725,4879.589939958363,0.0,0.0,4206.17986674709,1737.2201881577525,0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,0.0,0.0,2.4032635929863466,-2.453977694118608,0.0,0.0,2.4610184361424663,-1.067774684069627,3.0
7.0,1.0,0.0,3.0,0.0,0.0,0.0,37.0,25456.0,0.0,0.0,3307.0,528.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,950.0,23268.0,0.0,0.0,4582.0,7215.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,123.0,21929.0,0.0,0.0,6748.0,9351.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,30.0,21156.0,0.0,0.0,7614.0,8433.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,178.0,23706.0,0.0,0.0,4916.0,5481.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,23344.0,0.0,0.0,5396.0,5959.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,1200.0,23317.0,0.0,0.0,4283.0,6075.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,31.0,22074.0,0.0,0.0,6695.0,4810.0,4.375,0.375,0.0,3.0,0.0,0.0,0.0,326.125,23031.25,0.0,0.0,5442.625,5981.5,2.2638462845343543,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,469.8453963045412,1321.150013110872,0.0,0.0,1459.6048327739747,2679.491636219719,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,1.4762119509704332,0.4807145154782239,0.0,0.0,0.14352156643378308,-1.0797881179250075,-7.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,127.0,24951.0,0.0,0.0,3722.0,2753.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,90.0,22360.0,0.0,0.0,6350.0,8456.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,388.0,22975.0,0.0,0.0,5437.0,7362.0,5.0,0.0,0.0,3.0,6802.0,0.0,0.0,272.0,17621.0,0.0,0.0,4105.0,5322.0,6.0,1.0,0.0,3.0,1816.0,8.0,0.0,76.0,18521.0,0.0,0.0,8379.0,5407.0,7.0,1.0,0.0,3.0,3310.0,0.0,0.0,118.0,16784.0,0.0,0.0,8588.0,12051.0,1.0,0.0,0.0,3.0,3134.0,53.0,0.0,13.0,18811.0,0.0,0.0,6789.0,4149.0,2.0,0.0,0.0,3.0,2847.0,0.0,0.0,11.0,18289.0,0.0,0.0,7653.0,4173.0,3.75,0.25,0.0,3.0,2238.625,7.625,0.0,136.875,20039.0,0.0,0.0,6377.875,6209.125,2.1213203435596424,0.4629100498862757,0.0,0.0,2340.84813307973,18.546755588434944,0.0,130.31219381601576,2962.9000754569597,0.0,0.0,1843.5128297821605,2982.5728796029202,0.31426968052735443,1.4401645996461911,0.0,0.0,0.942526031817766,2.7098312900380535,0.0,1.211317478943542,0.7102886652260948,0.0,0.0,-0.3148495266725468,1.0952543712435963,0.0
1.0,0.0,0.0,3.0,7141.0,0.0,0.0,0.0,15907.0,0.0,0.0,5752.0,6378.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,48.0,20851.0,0.0,0.0,7901.0,9080.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,84.0,22293.0,0.0,0.0,6423.0,5690.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20391.0,0.0,0.0,8409.0,6987.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,39.0,20647.0,0.0,0.0,8114.0,5599.0,6.0,1.0,0.0,3.0,751.0,0.0,0.0,12.0,20786.0,0.0,0.0,7251.0,5.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,34.0,23807.0,0.0,0.0,4959.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,52.0,20312.0,0.0,0.0,8436.0,0.0,3.625,0.25,0.0,3.0,986.5,0.0,0.0,33.625,20624.25,0.0,0.0,7155.625,4217.375,2.2638462845343543,0.4629100498862757,0.0,0.0,2500.640603639681,0.0,0.0,28.883695351233317,2248.7162528238828,0.0,0.0,1310.6996972718698,3652.364476316287,0.22624995586066124,1.4401645996461911,0.0,0.0,2.7693269202119812,0.0,0.0,0.40325774284106347,-1.140894135436894,0.0,0.0,-0.7101061455328568,-0.28393479089897883,0.0
