week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
3.0,0.0,0.0,3.0,0.0,0.0,3069.0,0.0,17644.0,6194.0,1893.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,2348.0,0.0,20036.0,6113.0,303.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2655.0,0.0,13174.0,10814.0,2157.0,0.0,0.0,6.0,1.0,0.0,3.0,15.0,0.0,2472.0,0.0,21579.0,3154.0,1580.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1168.0,0.0,17248.0,8041.0,2343.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1989.0,0.0,18958.0,7425.0,428.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2214.0,0.0,16053.0,9691.0,842.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1976.0,0.0,22229.0,4047.0,548.0,0.0,0.0,3.875,0.25,0.0,3.0,1.875,0.0,2236.375,0.0,18365.125,6934.875,1261.75,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,5.303300858899107,0.0,561.5547136553761,0.0,2987.1997607649687,2617.7084546548394,825.51313046579,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,2.82842712474619,0.0,-0.6316195768380273,0.0,-0.41633828752537144,0.017892230677063723,0.12424623971360553,0.0,0.0,4.0
4.0,0.0,0.0,3.0,0.0,0.0,2348.0,0.0,20036.0,6113.0,303.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2655.0,0.0,13174.0,10814.0,2157.0,0.0,0.0,6.0,1.0,0.0,3.0,15.0,0.0,2472.0,0.0,21579.0,3154.0,1580.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1168.0,0.0,17248.0,8041.0,2343.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1989.0,0.0,18958.0,7425.0,428.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2214.0,0.0,16053.0,9691.0,842.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1976.0,0.0,22229.0,4047.0,548.0,0.0,0.0,4.0,0.0,0.0,3.0,30.0,0.0,1529.0,0.0,21448.0,4695.0,1098.0,0.0,0.0,4.0,0.25,0.0,3.0,5.625,0.0,2043.875,0.0,18840.625,6747.5,1162.375,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,11.160357137142674,0.0,495.41769894561844,0.0,3154.109153718595,2729.5748491556074,785.5514782622461,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,1.9510301759000723,0.0,-0.7348997219112611,0.0,-0.7817862695763457,0.18941675893673962,0.5527249371563051,0.0,0.0,-8.0
7.0,1.0,0.0,3.0,0.0,0.0,1168.0,0.0,17248.0,8041.0,2343.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1989.0,0.0,18958.0,7425.0,428.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2214.0,0.0,16053.0,9691.0,842.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1976.0,0.0,22229.0,4047.0,548.0,0.0,0.0,4.0,0.0,0.0,3.0,30.0,0.0,1529.0,0.0,21448.0,4695.0,1098.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,40.0,2343.0,0.0,16888.0,9022.0,507.0,0.0,0.0,6.0,1.0,0.0,3.0,24.0,0.0,2399.0,0.0,18513.0,5827.0,2037.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,28799.0,1.0,0.0,0.0,0.0,4.375,0.375,0.0,3.0,6.75,5.0,1702.25,0.0,20017.0,6093.625,975.375,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,12.601020366847848,14.142135623730951,804.2891715226381,0.0,4151.058797807752,3171.6897225971793,817.9479441172979,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.5094208533318703,2.82842712474619,-1.5781978704722373,0.0,1.524034561326015,-0.9317578096657048,0.8636371915431476,0.0,0.0,10.0
3.0,0.0,0.0,3.0,0.0,0.0,1976.0,0.0,22229.0,4047.0,548.0,0.0,0.0,4.0,0.0,0.0,3.0,30.0,0.0,1529.0,0.0,21448.0,4695.0,1098.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,40.0,2343.0,0.0,16888.0,9022.0,507.0,0.0,0.0,6.0,1.0,0.0,3.0,24.0,0.0,2399.0,0.0,18513.0,5827.0,2037.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,28799.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,0.0,2083.0,0.0,19742.0,6459.0,506.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2687.0,0.0,19561.0,6098.0,454.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1995.0,0.0,21568.0,4088.0,1149.0,0.0,0.0,3.875,0.25,0.0,3.0,8.0,5.0,1876.5,0.0,21093.5,5029.625,787.375,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,12.328828005937952,14.142135623730951,832.9064430397588,0.0,3576.415404124239,2591.4876002294236,625.0718672966448,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,1.2392252922470282,2.82842712474619,-1.932253854151519,0.0,1.5052243036145776,-0.6643141473031544,1.1273021987125609,0.0,0.0,-6.0
7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,28799.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,0.0,2083.0,0.0,19742.0,6459.0,506.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2687.0,0.0,19561.0,6098.0,454.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1995.0,0.0,21568.0,4088.0,1149.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,347.0,0.0,26884.0,1295.0,274.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,314.0,0.0,26039.0,2409.0,38.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,312.0,0.0,25131.0,2709.0,648.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1364.0,0.0,22153.0,4213.0,1070.0,0.0,0.0,4.375,0.375,0.0,3.0,1.25,0.0,1137.75,0.0,23734.625,3409.0,517.375,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,3.5355339059327378,0.0,1025.3868607924105,0.0,3451.344787077309,2242.897934114957,427.99563999781924,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.82842712474619,0.0,0.3737326772464269,0.0,0.11866540455530389,-0.029099591506470242,0.3879062901355015,0.0,0.0,7.0
3.0,0.0,0.0,3.0,0.0,0.0,1995.0,0.0,21568.0,4088.0,1149.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,347.0,0.0,26884.0,1295.0,274.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,314.0,0.0,26039.0,2409.0,38.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,312.0,0.0,25131.0,2709.0,648.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1364.0,0.0,22153.0,4213.0,1070.0,0.0,0.0,1.0,0.0,0.0,3.0,235.0,0.0,2545.0,0.0,19675.0,4049.0,2296.0,0.0,0.0,2.0,0.0,0.0,3.0,24.0,0.0,3154.0,0.0,15287.0,8571.0,1764.0,0.0,0.0,3.0,0.0,0.0,3.0,176.0,0.0,1211.0,0.0,23018.0,2554.0,1841.0,0.0,0.0,3.875,0.25,0.0,3.0,54.375,0.0,1405.25,0.0,22469.375,3736.0,1135.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,94.96155237026946,0.0,1085.6407916854582,0.0,3778.2079250618276,2203.8242735235103,795.372150092557,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,1.5259401122437173,0.0,0.4815552709363205,0.0,-0.8566326365921274,1.6655804573543578,0.0346378460886475,0.0,0.0,2.0
1.0,0.0,0.0,3.0,0.0,0.0,1110.0,0.0,23359.0,3786.0,545.0,0.0,0.0,2.0,0.0,0.0,3.0,61.0,0.0,1431.0,0.0,20225.0,6024.0,1059.0,0.0,0.0,3.0,0.0,0.0,3.0,209.0,0.0,2560.0,0.0,21736.0,1195.0,3100.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1743.0,0.0,23400.0,2828.0,829.0,0.0,0.0,5.0,0.0,0.0,3.0,577.0,57.0,2183.0,0.0,18310.0,6413.0,1260.0,0.0,0.0,6.0,1.0,0.0,3.0,2151.0,48.0,2119.0,0.0,18378.0,3541.0,2563.0,0.0,0.0,7.0,1.0,0.0,3.0,257.0,0.0,269.0,0.0,22112.0,5853.0,309.0,0.0,0.0,1.0,0.0,0.0,3.0,15.0,0.0,865.0,0.0,20699.0,6193.0,1028.0,0.0,0.0,3.625,0.25,0.0,3.0,408.75,13.125,1535.0,0.0,21027.375,4479.125,1336.625,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,730.6350955553277,24.42152153912025,765.1280004959021,0.0,1996.4016155859738,1920.6993843389444,980.6739573957726,0.0,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,2.4623543563549224,1.4818224521732979,-0.3617036049101693,0.0,-0.27648796094819333,-0.6057541467000689,1.1237773468649812,0.0,0.0,-3.0
4.0,0.0,0.0,3.0,0.0,0.0,1743.0,0.0,23400.0,2828.0,829.0,0.0,0.0,5.0,0.0,0.0,3.0,577.0,57.0,2183.0,0.0,18310.0,6413.0,1260.0,0.0,0.0,6.0,1.0,0.0,3.0,2151.0,48.0,2119.0,0.0,18378.0,3541.0,2563.0,0.0,0.0,7.0,1.0,0.0,3.0,257.0,0.0,269.0,0.0,22112.0,5853.0,309.0,0.0,0.0,1.0,0.0,0.0,3.0,15.0,0.0,865.0,0.0,20699.0,6193.0,1028.0,0.0,0.0,2.0,0.0,0.0,3.0,48.0,0.0,246.0,0.0,22886.0,5052.0,568.0,0.0,0.0,3.0,0.0,0.0,3.0,730.0,0.0,772.0,0.0,22704.0,2260.0,2334.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,680.0,0.0,23836.0,3137.0,1147.0,0.0,0.0,4.0,0.25,0.0,3.0,472.25,13.125,1109.625,0.0,21540.625,4409.625,1254.75,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,734.5598779444153,24.42152153912025,791.2958517520485,0.0,2183.16395153587,1655.571712861926,800.5965186748476,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,2.0937363645735028,1.4818224521732979,0.44154907778942126,0.0,-0.7913246994360411,0.015883405885015595,0.8300957835933045,0.0,0.0,0.0
7.0,1.0,0.0,3.0,372.0,0.0,802.0,0.0,15176.0,11799.0,651.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1033.0,0.0,23671.0,3598.0,498.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2365.0,0.0,17900.0,7585.0,950.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,675.0,0.0,27221.0,481.0,423.0,0.0,0.0,4.0,0.0,1.0,3.0,778.0,0.0,2005.0,0.0,21563.0,3358.0,1096.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,50.0,0.0,22002.0,6710.0,38.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,11.0,0.0,26891.0,1867.0,31.0,0.0,0.0,7.0,1.0,1.0,3.0,851.0,0.0,939.0,0.0,21387.0,3504.0,2119.0,0.0,0.0,4.375,0.375,0.75,3.0,250.125,0.0,985.0,0.0,21976.375,4862.75,725.75,0.0,0.0,2.2638462845343543,0.5175491695067657,0.4629100498862757,0.0,371.74662550106433,0.0,836.8060024368167,0.0,4104.217619456495,3641.4059196179396,679.6334621376017,0.0,0.0,-0.22624995586066124,0.6440611887195306,-1.4401645996461911,0.0,1.0663513146119408,0.0,0.6215066976643103,0.0,-0.31592115886435784,0.9516552213881903,1.253508550958243,0.0,0.0,-3.0
3.0,0.0,1.0,3.0,0.0,0.0,675.0,0.0,27221.0,481.0,423.0,0.0,0.0,4.0,0.0,1.0,3.0,778.0,0.0,2005.0,0.0,21563.0,3358.0,1096.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,50.0,0.0,22002.0,6710.0,38.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,11.0,0.0,26891.0,1867.0,31.0,0.0,0.0,7.0,1.0,1.0,3.0,851.0,0.0,939.0,0.0,21387.0,3504.0,2119.0,0.0,0.0,1.0,0.0,1.0,3.0,60.0,0.0,643.0,0.0,23414.0,4158.0,525.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,102.0,0.0,25911.0,2425.0,362.0,0.0,0.0,3.0,0.0,1.0,3.0,6348.0,13.0,2970.0,0.0,6304.0,9060.0,4105.0,0.0,0.0,3.875,0.25,1.0,3.0,1004.625,1.625,924.375,0.0,21836.625,3945.375,1087.375,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,2189.455831773209,4.596194077712559,1053.497025217849,0.0,6710.265758788651,2752.1588376867244,1397.514624252641,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,2.6795417306032427,2.8284271247461903,1.270279469946639,0.0,-2.137561760967239,0.918994193097238,1.7718385375277894,0.0,0.0,4.0
