week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
6.0,1.0,0.0,3.0,40.0,0.0,2639.0,0.0,23199.0,1521.0,1401.0,0.0,0.0,7.0,1.0,0.0,3.0,30.0,0.0,1568.0,0.0,20909.0,6096.0,197.0,0.0,0.0,1.0,0.0,0.0,3.0,87.0,0.0,36.0,0.0,27273.0,1256.0,148.0,0.0,0.0,2.0,0.0,0.0,3.0,47.0,0.0,3668.0,0.0,18988.0,5734.0,363.0,0.0,0.0,3.0,0.0,0.0,3.0,126.0,0.0,0.0,0.0,25791.0,2185.0,698.0,0.0,0.0,4.0,0.0,0.0,3.0,38.0,40.0,20.0,0.0,25638.0,2669.0,395.0,0.0,0.0,5.0,0.0,0.0,3.0,696.0,305.0,4946.0,0.0,19619.0,838.0,2396.0,0.0,0.0,6.0,1.0,0.0,3.0,233.0,0.0,3297.0,0.0,21743.0,1794.0,1733.0,0.0,0.0,4.25,0.375,0.0,3.0,162.125,43.125,2021.75,0.0,22895.0,2761.625,916.375,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,226.15635394251348,106.73523651674603,1909.0837555524604,0.0,3080.7765718588366,2026.1446103728276,830.204094958411,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.379235353542061,2.7378072313067405,0.20718178152436884,0.0,0.16095123776700404,1.1402565791793684,0.9154877288895995,0.0,0.0,1.0
6.0,1.0,0.0,3.0,233.0,0.0,3297.0,0.0,21743.0,1794.0,1733.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1151.0,0.0,24193.0,3149.0,307.0,0.0,0.0,1.0,0.0,0.0,3.0,145.0,0.0,39.0,0.0,26947.0,764.0,905.0,0.0,0.0,2.0,0.0,0.0,3.0,108.0,16.0,7700.0,0.0,14980.0,5123.0,873.0,0.0,0.0,3.0,0.0,0.0,3.0,65.0,0.0,2650.0,0.0,21134.0,4055.0,896.0,0.0,0.0,4.0,0.0,0.0,3.0,54.0,0.0,4825.0,0.0,20580.0,2681.0,660.0,0.0,0.0,5.0,0.0,0.0,3.0,510.0,0.0,3185.0,0.0,22056.0,1668.0,1381.0,0.0,0.0,6.0,1.0,0.0,3.0,196.0,0.0,2621.0,0.0,24018.0,1168.0,797.0,0.0,0.0,4.25,0.375,0.0,3.0,163.875,2.0,3183.5,0.0,21956.375,2550.25,944.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,159.3714775521105,5.656854249492381,2321.518714733341,0.0,3493.9764059020204,1498.1176522556564,435.95379833844123,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.644817846441563,2.8284271247461903,0.863753927265709,0.0,-0.8862527227664515,0.6341249829864831,0.665615457714357,0.0,0.0,0.0
5.0,0.0,1.0,3.0,12.0,0.0,1286.0,0.0,21702.0,5704.0,96.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,64.0,0.0,2053.0,0.0,25059.0,1083.0,541.0,0.0,0.0,2.0,0.0,1.0,3.0,134.0,0.0,1402.0,0.0,24150.0,2618.0,496.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,18611.0,10127.0,62.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,27226.0,1543.0,31.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,26213.0,2587.0,0.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,137.0,0.0,25545.0,2794.0,324.0,0.0,0.0,4.0,0.25,1.0,3.375,26.25,0.0,609.75,0.0,24663.25,3307.0,193.75,0.0,0.0,1.8516401995451028,0.4629100498862757,0.0,0.5175491695067657,48.819638905435816,0.0,834.8325323936874,0.0,3222.2080162522097,3218.4383968449224,225.95242862160168,0.0,0.0,-0.5400617248673216,1.4401645996461911,0.0,0.6440611887195306,1.9831771802690512,0.0,0.916743813149934,0.0,-0.8864951438914478,1.585483580988555,0.8192387030864009,0.0,0.0,0.0
3.0,0.0,1.0,4.0,83.0,0.0,123.0,0.0,21835.0,5784.0,975.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,22264.0,6463.0,73.0,0.0,0.0,5.0,0.0,1.0,4.0,119.0,0.0,2327.0,0.0,23718.0,1146.0,1490.0,0.0,0.0,6.0,1.0,1.0,4.0,16.0,0.0,159.0,0.0,27531.0,187.0,907.0,0.0,0.0,7.0,1.0,1.0,4.0,179.0,44.0,2071.0,0.0,23770.0,1270.0,1466.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,27273.0,1319.0,208.0,0.0,0.0,2.0,0.0,1.0,4.0,450.0,0.0,1263.0,0.0,20910.0,3778.0,2399.0,0.0,0.0,3.0,0.0,1.0,4.0,32.0,0.0,3061.0,0.0,20625.0,3354.0,1728.0,0.0,0.0,3.875,0.25,1.0,4.0,109.875,5.5,1125.5,0.0,23490.75,2912.625,1155.75,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,151.3231523216835,15.556349186104045,1229.1267515714444,0.0,2669.3465091130984,2317.063901794683,778.8492885569802,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,1.962782517136629,2.8284271247461903,0.5201920799949691,0.0,0.7308798252167479,0.5346774216217279,0.013829439410560394,0.0,0.0,5.0
6.0,1.0,1.0,4.0,16.0,0.0,159.0,0.0,27531.0,187.0,907.0,0.0,0.0,7.0,1.0,1.0,4.0,179.0,44.0,2071.0,0.0,23770.0,1270.0,1466.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,27273.0,1319.0,208.0,0.0,0.0,2.0,0.0,1.0,4.0,450.0,0.0,1263.0,0.0,20910.0,3778.0,2399.0,0.0,0.0,3.0,0.0,1.0,4.0,32.0,0.0,3061.0,0.0,20625.0,3354.0,1728.0,0.0,0.0,4.0,0.0,1.0,4.0,107.0,31.0,4305.0,0.0,20484.0,2158.0,1715.0,0.0,0.0,5.0,0.0,0.0,4.0,170.0,0.0,5492.0,0.0,15672.0,5271.0,2195.0,0.0,0.0,6.0,1.0,0.0,4.0,17.0,0.0,3276.0,0.0,23125.0,1605.0,777.0,0.0,0.0,4.25,0.375,0.75,4.0,121.375,9.375,2453.375,0.0,22423.75,2367.75,1424.375,0.0,0.0,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,150.52473693241063,17.703409679655337,1947.6757531184994,0.0,3905.65647490918,1650.8326686857151,745.3167950609995,0.0,0.0,-0.31426968052735443,0.6440611887195306,-1.4401645996461911,0.0,1.7304240745910386,1.6025262280417953,0.17010235633812704,0.0,-0.2376728271887535,0.6323136976556709,-0.3558429732045166,0.0,0.0,2.0
6.0,1.0,0.0,4.0,17.0,0.0,3276.0,0.0,23125.0,1605.0,777.0,0.0,0.0,7.0,1.0,0.0,4.0,308.0,0.0,2864.0,0.0,20875.0,3951.0,802.0,0.0,0.0,1.0,0.0,0.0,4.0,73.0,0.0,3263.0,0.0,17978.0,6155.0,1331.0,0.0,0.0,2.0,0.0,0.0,4.0,89.0,88.0,3688.0,0.0,18431.0,4947.0,1557.0,0.0,0.0,3.0,0.0,0.0,4.0,72.0,22.0,3627.0,0.0,18126.0,6138.0,815.0,0.0,0.0,4.0,0.0,0.0,4.0,190.0,70.0,5246.0,0.0,17559.0,3287.0,2448.0,0.0,0.0,5.0,0.0,0.0,4.0,217.0,37.0,3742.0,0.0,20561.0,3419.0,824.0,0.0,0.0,6.0,1.0,0.0,4.0,63.0,0.0,3073.0,0.0,21455.0,2947.0,1262.0,0.0,0.0,4.25,0.375,0.0,4.0,128.625,27.125,3597.375,0.0,19763.75,4056.125,1227.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,98.84322001461275,35.07313786931532,734.4451623018368,0.0,2019.0905130776084,1593.7307029644087,576.5736231021524,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.9080045054160865,0.9951176150857721,1.8633309942303018,0.0,0.49798776656544136,0.10214867612508803,1.5444295188648742,0.0,0.0,-8.0
6.0,1.0,0.0,4.0,63.0,0.0,3073.0,0.0,21455.0,2947.0,1262.0,0.0,0.0,7.0,1.0,0.0,4.0,63.0,0.0,2528.0,0.0,20665.0,4136.0,1408.0,0.0,0.0,1.0,0.0,0.0,4.0,42.0,0.0,2540.0,0.0,20339.0,4707.0,1172.0,0.0,0.0,2.0,0.0,0.0,4.0,122.0,14.0,2531.0,0.0,20686.0,3416.0,2031.0,0.0,0.0,3.0,0.0,0.0,4.0,218.0,0.0,3873.0,0.0,21147.0,1607.0,1955.0,0.0,0.0,4.0,0.0,0.0,4.0,108.0,63.0,5061.0,0.0,18831.0,3576.0,1161.0,0.0,0.0,5.0,0.0,0.0,4.0,146.0,26.0,4265.0,0.0,18564.0,3784.0,2015.0,0.0,0.0,6.0,1.0,0.0,4.0,356.0,204.0,5451.0,0.0,17222.0,3804.0,1763.0,0.0,0.0,4.25,0.375,0.0,4.0,139.75,38.375,3665.25,0.0,19863.625,3497.125,1595.875,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,103.9130818108508,70.38250086897615,1179.3878254658825,0.0,1486.007684800356,920.9033511410723,384.97808379179196,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4796600695981834,2.357843578295483,0.47323820202680555,0.0,-0.8363252197216181,-1.1791853892950779,0.01584199368593791,0.0,0.0,-9.0
2.0,0.0,0.0,4.0,122.0,14.0,2531.0,0.0,20686.0,3416.0,2031.0,0.0,0.0,3.0,0.0,0.0,4.0,218.0,0.0,3873.0,0.0,21147.0,1607.0,1955.0,0.0,0.0,4.0,0.0,0.0,4.0,108.0,63.0,5061.0,0.0,18831.0,3576.0,1161.0,0.0,0.0,5.0,0.0,0.0,4.0,146.0,26.0,4265.0,0.0,18564.0,3784.0,2015.0,0.0,0.0,6.0,1.0,0.0,4.0,356.0,204.0,5451.0,0.0,17222.0,3804.0,1763.0,0.0,0.0,7.0,1.0,0.0,4.0,123.0,15.0,2530.0,0.0,21314.0,3766.0,1052.0,0.0,0.0,1.0,0.0,0.0,4.0,116.0,14.0,3302.0,0.0,19283.0,4622.0,1463.0,0.0,0.0,2.0,0.0,0.0,4.0,145.0,0.0,3013.0,0.0,22248.0,2644.0,750.0,0.0,0.0,3.75,0.25,0.0,4.0,166.75,42.0,3753.25,0.0,19911.875,3402.375,1523.75,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,83.91279486977622,68.4167899192672,1109.093935220483,0.0,1697.2333316733022,906.7590540727218,492.56783434220654,0.0,0.0,0.31426968052735443,1.4401645996461911,0.0,0.0,2.058868093488867,2.4058227453612813,0.4344786365110847,0.0,-0.21695325563610313,-1.0820991026873152,-0.43545834943147865,0.0,0.0,2.0
6.0,1.0,0.0,4.0,200.0,0.0,4943.0,0.0,15429.0,6016.0,2212.0,0.0,0.0,7.0,1.0,0.0,4.0,62.0,0.0,1944.0,0.0,21533.0,3040.0,2221.0,0.0,0.0,1.0,0.0,0.0,4.0,20.0,0.0,1472.0,0.0,23960.0,3038.0,310.0,0.0,0.0,2.0,0.0,0.0,4.0,114.0,0.0,2769.0,0.0,17892.0,6664.0,1361.0,0.0,0.0,3.0,0.0,0.0,4.0,107.0,0.0,2868.0,0.0,19796.0,4825.0,1204.0,0.0,0.0,4.0,0.0,0.0,4.0,87.0,36.0,2775.0,0.0,18515.0,5946.0,1441.0,0.0,0.0,5.0,0.0,0.0,4.0,94.0,0.0,1833.0,0.0,22510.0,3822.0,541.0,0.0,0.0,6.0,1.0,0.0,4.0,113.0,38.0,5522.0,0.0,14027.0,6390.0,2710.0,0.0,0.0,4.25,0.375,0.0,4.0,99.625,9.25,3015.75,0.0,19207.75,4967.625,1500.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,51.35572718096507,17.136010537545115,1467.11414980956,0.0,3434.5260330107517,1499.0061409861821,839.8200487519421,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.6423484768153529,1.4443658798393837,0.9834310534442695,0.0,-0.1857512543726995,-0.3396267557364999,-0.028506936710780605,0.0,0.0,9.0
6.0,1.0,0.0,4.0,0.0,40.0,1837.0,0.0,22995.0,3437.0,491.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,2703.0,0.0,21890.0,3218.0,989.0,0.0,0.0,1.0,0.0,0.0,4.0,120.0,0.0,3354.0,0.0,18314.0,5649.0,1363.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2215.0,0.0,24116.0,2041.0,428.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,28.0,0.0,3954.0,0.0,19348.0,4357.0,1113.0,0.0,0.0,5.0,0.0,0.0,4.0,158.0,44.0,4678.0,0.0,19569.0,2742.0,1609.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,4518.0,0.0,18668.0,4929.0,685.0,0.0,0.0,4.25,0.375,0.0,4.0,38.25,10.5,2907.375,0.0,21712.5,3296.625,834.75,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,63.74446754705182,19.4715910275164,1564.9649870569904,0.0,3559.4946671844145,1776.856689896113,532.1881380543109,0.0,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4580243878639134,1.4531633868566818,-0.7542696681351022,0.0,1.188856593640818,-0.6592239972816186,-0.07099192405953657,0.0,0.0,-8.0
