week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4023.0,6.0,1.0,0.0,3.0,7828.0,5.0,0.0,7.0,10884.0,0.0,0.0,10076.0,2989.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,17795.0,0.0,0.0,11000.0,4263.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,20465.0,0.0,0.0,8325.0,5453.0,2.0,0.0,0.0,3.0,135.0,0.0,0.0,2.0,17270.0,0.0,0.0,11393.0,9436.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,20300.0,0.0,0.0,8472.0,5300.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,20257.0,0.0,0.0,8520.0,6909.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,21388.0,0.0,0.0,7389.0,5864.0,4.125,0.25,0.0,3.0,995.375,0.625,0.0,12.25,16044.875,0.0,0.0,8146.875,5529.625,2.03100960115899,0.4629100498862757,0.0,0.0,2761.2015468166855,1.7677669529663689,0.0,10.819955109492302,7295.508294002354,0.0,0.0,3578.1435105572355,1987.887603714053,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.8267851298782527,2.82842712474619,0.0,0.44197819771904007,-1.8984592972845535,0.0,0.0,-1.9810184291259698,0.9798016868378445,-3.0
4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7103.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1822.0,0.0,0.0,0.0,20329.0,0.0,0.0,6649.0,1146.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,20208.0,0.0,0.0,8584.0,4064.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,22191.0,0.0,0.0,6598.0,4281.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22198.0,0.0,0.0,6602.0,5083.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23013.0,0.0,0.0,5787.0,5261.0,4.0,0.25,0.25,4.0,227.75,0.0,0.0,2.375,20692.375,0.0,0.0,4277.5,3367.25,2.0,0.4629100498862757,0.4629100498862757,0.0,644.1742776609448,0.0,0.0,4.470139019889969,9023.036342567048,0.0,0.0,3627.8207547467705,2656.9857115589784,0.0,1.4401645996461911,1.4401645996461911,0.0,2.8284271247461903,0.0,0.0,1.5763424876055196,-2.0159504022231083,0.0,0.0,-0.4511812241900766,-0.2258314180025432,-4.0
6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1822.0,0.0,0.0,0.0,20329.0,0.0,0.0,6649.0,1146.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,20208.0,0.0,0.0,8584.0,4064.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,22191.0,0.0,0.0,6598.0,4281.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22198.0,0.0,0.0,6602.0,5083.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23013.0,0.0,0.0,5787.0,5261.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,54.0,20657.0,0.0,0.0,8089.0,3977.0,4.25,0.375,0.125,4.0,227.75,0.0,0.0,9.125,23274.5,0.0,0.0,5288.625,2976.5,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.0,644.1742776609448,0.0,0.0,18.650450013720466,3553.5536740403563,0.0,0.0,3384.399500966583,2223.62297677847,-0.31426968052735443,0.6440611887195306,2.8284271247461903,0.0,2.8284271247461903,0.0,0.0,2.5419076269315624,1.1144097102086743,0.0,0.0,-1.1347478428345286,-0.5733837403097425,-3.0
7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,25294.0,0.0,0.0,3506.0,1417.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22193.0,0.0,0.0,6607.0,5993.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,438.0,22438.0,0.0,0.0,5924.0,4930.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,22474.0,0.0,0.0,6305.0,4804.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,21481.0,0.0,0.0,7305.0,5028.0,5.0,0.0,0.0,4.0,743.0,3.0,0.0,0.0,21856.0,0.0,0.0,6198.0,4429.0,6.0,1.0,0.0,4.0,151.0,0.0,0.0,17.0,20967.0,0.0,0.0,7665.0,5139.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,23135.0,0.0,0.0,5662.0,2843.0,4.375,0.375,0.0,4.0,111.75,0.375,0.0,61.625,22479.75,0.0,0.0,6146.5,4322.875,2.2638462845343543,0.5175491695067657,0.0,0.0,260.4790915656325,1.0606601717798212,0.0,152.31446559198318,1315.2042481248736,0.0,0.0,1261.7610142744375,1473.482894127283,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.621387880329729,2.8284271247461903,0.0,2.811019358825135,1.494161790290347,0.0,0.0,-1.2684256679828099,-1.3032880284429114,13.0
3.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,22474.0,0.0,0.0,6305.0,4804.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,21481.0,0.0,0.0,7305.0,5028.0,5.0,0.0,0.0,4.0,743.0,3.0,0.0,0.0,21856.0,0.0,0.0,6198.0,4429.0,6.0,1.0,0.0,4.0,151.0,0.0,0.0,17.0,20967.0,0.0,0.0,7665.0,5139.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,23135.0,0.0,0.0,5662.0,2843.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23076.0,0.0,0.0,5724.0,4371.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,131.0,20786.0,0.0,0.0,7883.0,3046.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,87.0,19579.0,0.0,0.0,9134.0,5873.0,3.875,0.25,0.0,4.0,111.75,0.375,0.0,34.125,21669.25,0.0,0.0,6984.5,4441.625,2.03100960115899,0.4629100498862757,0.0,0.0,260.4790915656325,1.0606601717798212,0.0,48.32756533727487,1224.0293822337062,0.0,0.0,1219.5796699800187,1036.3973228035113,0.2238027108715141,1.4401645996461911,0.0,0.0,2.621387880329729,2.8284271247461903,0.0,1.5726424397373984,-0.38575361296747723,0.0,0.0,0.618351499635712,-0.5617623657615101,-4.0
5.0,0.0,0.0,4.0,743.0,3.0,0.0,0.0,21856.0,0.0,0.0,6198.0,4429.0,6.0,1.0,0.0,4.0,151.0,0.0,0.0,17.0,20967.0,0.0,0.0,7665.0,5139.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,23135.0,0.0,0.0,5662.0,2843.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23076.0,0.0,0.0,5724.0,4371.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,131.0,20786.0,0.0,0.0,7883.0,3046.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,87.0,19579.0,0.0,0.0,9134.0,5873.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,22400.0,0.0,0.0,6387.0,3787.0,5.0,0.0,0.0,4.0,296.0,0.0,0.0,5.0,21498.0,0.0,0.0,7001.0,4874.0,4.125,0.25,0.0,4.0,148.75,0.375,0.0,32.0,21662.125,0.0,0.0,6956.75,4295.25,2.03100960115899,0.4629100498862757,0.0,0.0,263.3448309726242,1.0606601717798212,0.0,49.32400169143966,1216.9981145072845,0.0,0.0,1207.0210969868872,1034.2534574685812,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.0503013391467997,2.8284271247461903,0.0,1.614042588035873,-0.38272444416002044,0.0,0.0,0.7371470817511522,-0.07212191445022584,-1.0
7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,23907.0,0.0,0.0,4893.0,2061.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,78.0,21635.0,0.0,0.0,7087.0,6108.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23871.0,0.0,0.0,4929.0,3277.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,179.0,20928.0,0.0,0.0,7693.0,5887.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,19362.0,0.0,0.0,9417.0,2805.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,23212.0,0.0,0.0,5573.0,5020.0,6.0,1.0,0.0,4.0,144.0,0.0,0.0,7.0,21883.0,0.0,0.0,6766.0,4243.0,7.0,1.0,0.0,4.0,1564.0,0.0,0.0,32.0,20598.0,0.0,0.0,6606.0,3109.0,4.375,0.375,0.0,4.0,213.5,0.0,0.0,41.5,21924.5,0.0,0.0,6620.5,4063.75,2.2638462845343543,0.5175491695067657,0.0,0.0,548.0059957961878,0.0,0.0,61.04565036570114,1638.0030525002082,0.0,0.0,1519.0389819130478,1491.6781297777154,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.7828413667568643,0.0,0.0,2.0397619093652515,-0.12453165891684156,0.0,0.0,0.6555619233036418,0.23524014064466048,-7.0
2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,4052.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,55.0,24726.0,0.0,0.0,4019.0,397.0,3.75,0.25,0.0,4.0,0.0,0.0,0.0,6.875,6690.75,0.0,0.0,502.375,1340.375,2.1213203435596424,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,19.445436482630058,12436.616395030558,0.0,0.0,1420.9310767943673,1691.0871344873308,0.31426968052735443,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,1.473122011805974,0.0,0.0,2.8284271247461903,1.3673531167933166,-1.0
1.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,24803.0,0.0,0.0,3989.0,518.0,2.0,0.0,0.0,4.0,1331.0,0.0,0.0,12.0,24037.0,0.0,0.0,3420.0,558.0,3.0,0.0,0.0,4.0,1441.0,0.0,0.0,0.0,23412.0,0.0,0.0,3947.0,568.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23517.0,0.0,0.0,5283.0,382.0,5.0,0.0,0.0,4.0,3716.0,0.0,0.0,19.0,11863.0,0.0,0.0,13202.0,15865.0,6.0,1.0,0.0,4.0,7877.0,0.0,0.0,2.0,17045.0,0.0,0.0,3876.0,962.0,7.0,1.0,0.0,4.0,2068.0,0.0,0.0,15.0,15545.0,0.0,0.0,11172.0,9374.0,1.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,20356.0,0.0,0.0,8428.0,5588.0,3.625,0.25,0.0,4.0,2054.125,2.0,0.0,7.0,20072.25,0.0,0.0,6664.625,4226.875,2.2638462845343543,0.4629100498862757,0.0,0.0,2678.6194438553603,5.656854249492381,0.0,7.615773105863909,4754.727053905708,0.0,0.0,3797.001747149604,5730.092829901249,0.22624995586066124,1.4401645996461911,0.0,0.0,1.7384407818637508,2.8284271247461903,0.0,0.522638412564807,-0.7573908853745055,0.0,0.0,0.9698785529328713,1.4924860559698359,-6.0
6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,24636.0,0.0,0.0,4164.0,431.0,7.0,1.0,1.0,4.0,770.0,0.0,0.0,26.0,16211.0,0.0,0.0,11793.0,4199.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,27070.0,0.0,0.0,1730.0,291.0,2.0,0.0,1.0,4.0,10741.0,44.0,0.0,1287.0,10507.0,0.0,0.0,6221.0,8205.0,3.0,0.0,1.0,4.0,1616.0,0.0,0.0,21.0,15227.0,0.0,0.0,11936.0,357.0,4.0,0.0,1.0,4.0,2696.0,0.0,0.0,34.0,14912.0,0.0,0.0,11158.0,574.0,5.0,0.0,1.0,4.0,2724.0,1537.0,0.0,3.0,16910.0,0.0,0.0,7626.0,1205.0,6.0,1.0,1.0,4.0,3795.0,0.0,0.0,0.0,18658.0,0.0,0.0,6347.0,1476.0,4.25,0.375,1.0,4.0,2792.75,197.625,0.0,171.375,18016.375,0.0,0.0,7621.875,2092.25,2.1213203435596424,0.5175491695067657,0.0,0.0,3490.1582751666556,541.4082002387055,0.0,450.9823998783101,5404.90726595484,0.0,0.0,3756.3850950272467,2784.947126966686,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.014622400706478,2.823915932826423,0.0,2.8233835267948764,0.6636448989278535,0.0,0.0,-0.19268371779590357,1.9195178696195845,2.0
