week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
3.0,0.0,0.0,3.0,1063.0,0.0,0.0,0.0,23542.0,0.0,0.0,4195.0,4940.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23622.0,0.0,0.0,5178.0,3670.0,5.0,0.0,0.0,3.0,612.0,0.0,0.0,0.0,21738.0,0.0,0.0,6450.0,3775.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,25892.0,0.0,0.0,2905.0,1467.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,26221.0,0.0,0.0,2579.0,2622.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,22205.0,0.0,0.0,6593.0,4966.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23228.0,0.0,0.0,5572.0,3515.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,26072.0,0.0,0.0,2728.0,3757.0,3.875,0.25,0.0,3.0,209.375,0.0,0.0,0.625,24065.0,0.0,0.0,4525.0,3589.0,2.03100960115899,0.4629100498862757,0.0,0.0,405.9925887782401,0.0,0.0,1.1877349391654208,1775.1937520008505,0.0,0.0,1658.4972544014483,1148.5493956664268,0.2238027108715141,1.4401645996461911,0.0,0.0,1.7994905967492307,0.0,0.0,1.6519050267514583,0.1482060200699122,0.0,0.0,-0.00234362852635978,-0.6752515297844918,-7.0
2.0,0.0,0.0,3.0,1401.0,0.0,0.0,3.0,24412.0,0.0,0.0,2984.0,443.0,3.0,0.0,0.0,3.0,231.0,0.0,0.0,2.0,22916.0,0.0,0.0,5651.0,1152.0,4.0,0.0,0.0,3.0,1273.0,0.0,0.0,0.0,19884.0,0.0,0.0,7643.0,3038.0,5.0,0.0,0.0,3.0,1942.0,0.0,0.0,11.0,20337.0,0.0,0.0,6510.0,2458.0,6.0,1.0,0.0,3.0,904.0,0.0,0.0,3.0,14199.0,0.0,0.0,13694.0,5566.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,14977.0,0.0,0.0,13823.0,2459.0,1.0,0.0,1.0,3.0,2451.0,0.0,0.0,7.0,21879.0,0.0,0.0,4463.0,1106.0,2.0,0.0,1.0,3.0,776.0,0.0,0.0,0.0,22597.0,0.0,0.0,5427.0,1288.0,3.75,0.25,0.25,3.0,1122.25,0.0,0.0,3.25,20150.125,0.0,0.0,7524.375,2188.75,2.1213203435596424,0.4629100498862757,0.4629100498862757,0.0,824.5594061592617,0.0,0.0,3.9188190640986296,3723.9131659931522,0.0,0.0,4082.637730595958,1620.351174459237,0.31426968052735443,1.4401645996461911,1.4401645996461911,0.0,0.25437834758723193,0.0,0.0,1.3079403033188461,-0.8513949655213758,0.0,0.0,0.9673443932098421,1.3761827526912653,4.0
6.0,1.0,1.0,4.0,6262.0,87.0,0.0,0.0,19661.0,0.0,0.0,2790.0,641.0,7.0,1.0,1.0,4.0,1868.0,0.0,0.0,5.0,24135.0,0.0,0.0,2792.0,543.0,1.0,0.0,1.0,4.0,2733.0,0.0,0.0,0.0,20954.0,0.0,0.0,5113.0,873.0,2.0,0.0,1.0,4.0,22477.0,0.0,0.0,0.0,5736.0,0.0,0.0,587.0,306.0,3.0,0.0,1.0,4.0,5780.0,0.0,0.0,0.0,16748.0,0.0,0.0,6272.0,3180.0,4.0,0.0,1.0,4.0,7890.0,0.0,0.0,19.0,17600.0,0.0,0.0,3291.0,989.0,5.0,0.0,1.0,4.0,1995.0,0.0,0.0,0.0,22156.0,0.0,0.0,4649.0,2765.0,6.0,1.0,1.0,4.0,3850.0,137.0,0.0,0.0,21017.0,0.0,0.0,3796.0,1892.0,4.25,0.375,1.0,4.0,6606.875,28.0,0.0,3.0,18500.875,0.0,0.0,3661.25,1398.625,2.1213203435596424,0.5175491695067657,0.0,0.0,6768.0291800599425,53.54037195025291,0.0,6.697547525560595,5677.324330489798,0.0,0.0,1732.8824665444401,1084.151404489771,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.2824918566729515,1.698648589319896,0.0,2.499251172059976,-1.9008109774691966,0.0,0.0,-0.31490571323293326,0.8586326843654382,-6.0
6.0,1.0,0.0,4.0,2644.0,0.0,0.0,0.0,20298.0,0.0,0.0,5858.0,3541.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,27215.0,0.0,0.0,1585.0,72.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22954.0,0.0,0.0,5846.0,4927.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23387.0,0.0,0.0,5413.0,2923.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23704.0,0.0,0.0,5096.0,3218.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,25130.0,0.0,0.0,3665.0,1790.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,63.0,18072.0,0.0,0.0,10665.0,6198.0,6.0,1.0,0.0,4.0,177.0,0.0,0.0,5.0,21217.0,0.0,0.0,7401.0,6334.0,4.25,0.375,0.0,4.0,352.625,0.0,0.0,9.125,22747.125,0.0,0.0,5691.125,3625.375,2.1213203435596424,0.5175491695067657,0.0,0.0,927.9247102309232,0.0,0.0,21.88566066759564,2858.6744399409017,0.0,0.0,2648.7708975781848,2148.4464777734497,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.804068675848465,0.0,0.0,2.7697628083607473,-0.13528049443308815,0.0,0.0,0.5153308219700717,-0.23739903538686163,-6.0
4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27067.0,0.0,0.0,1733.0,698.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26133.0,0.0,0.0,2667.0,1805.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,24962.0,0.0,0.0,3838.0,1990.0,7.0,1.0,0.0,4.0,1538.0,1964.0,0.0,0.0,21412.0,0.0,0.0,3886.0,3204.0,1.0,0.0,0.0,4.0,2531.0,0.0,0.0,0.0,24354.0,0.0,0.0,1915.0,916.0,2.0,0.0,0.0,4.0,521.0,0.0,0.0,0.0,24374.0,0.0,0.0,3905.0,2968.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,25.0,26202.0,0.0,0.0,2573.0,2620.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26556.0,0.0,0.0,2244.0,826.0,4.0,0.25,0.0,4.0,573.75,245.5,0.0,3.125,25132.5,0.0,0.0,2845.125,1878.375,2.0,0.4629100498862757,0.0,0.0,956.8798625891192,694.3788591251897,0.0,8.838834764831844,1811.3155440176622,0.0,0.0,907.2440902456815,995.6591409714471,0.0,1.4401645996461911,0.0,0.0,1.6196453736143166,2.8284271247461903,0.0,2.8284271247461903,-1.2841397644184243,0.0,0.0,0.22290380652221242,0.06381193838800399,6.0
3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26031.0,0.0,0.0,2769.0,1828.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24789.0,0.0,0.0,4011.0,2054.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24885.0,0.0,0.0,3915.0,2506.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,28004.0,0.0,0.0,796.0,85.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,26176.0,0.0,0.0,2621.0,1639.0,1.0,0.0,0.0,4.0,532.0,0.0,0.0,0.0,25360.0,0.0,0.0,2908.0,2721.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,24972.0,0.0,0.0,3821.0,3212.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27129.0,0.0,0.0,1671.0,397.0,3.875,0.25,0.0,4.0,66.5,0.0,0.0,1.25,25918.25,0.0,0.0,2814.0,1805.25,2.03100960115899,0.4629100498862757,0.0,0.0,188.09040379562165,0.0,0.0,2.5495097567963922,1161.6035406774058,0.0,0.0,1139.2943931599568,1091.594868594964,0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,0.0,0.0,2.112019916872751,0.8874750537849467,0.0,0.0,-0.7273385016415457,-0.5823467147607264,4.0
7.0,1.0,1.0,1.0,2626.0,0.0,0.0,0.0,17870.0,0.0,0.0,8304.0,3178.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,21199.0,0.0,0.0,7598.0,6240.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25331.0,0.0,0.0,3469.0,2282.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22624.0,0.0,0.0,6176.0,6056.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25245.0,0.0,0.0,3555.0,2409.0,5.0,0.0,1.0,1.0,109.0,0.0,0.0,0.0,23892.0,0.0,0.0,4799.0,5061.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25264.0,0.0,0.0,3536.0,2290.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,26656.0,0.0,0.0,2144.0,2243.0,4.375,0.375,0.875,1.0,341.875,0.0,0.0,0.375,23510.125,0.0,0.0,4947.625,3719.875,2.2638462845343543,0.5175491695067657,0.3535533905932738,0.0,923.7136905680554,0.0,0.0,1.0606601717798212,2863.0986928501084,0.0,0.0,2197.3838300189095,1769.2748665968859,-0.22624995586066124,0.6440611887195306,-2.8284271247461903,0.0,2.8189787454366995,0.0,0.0,2.8284271247461903,-1.1736708820840727,0.0,0.0,0.4935879877452607,0.6753749771590218,0.0
7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,26656.0,0.0,0.0,2144.0,2243.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,25755.0,0.0,0.0,3040.0,2619.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25788.0,0.0,0.0,3012.0,3695.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26981.0,0.0,0.0,1819.0,774.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26380.0,0.0,0.0,2420.0,1026.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24187.0,0.0,0.0,4613.0,2278.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,26236.0,0.0,0.0,2564.0,1866.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,26079.0,0.0,0.0,2721.0,1452.0,4.375,0.375,0.0,1.0,0.0,0.0,0.0,0.625,26007.75,0.0,0.0,2791.625,1994.125,2.2638462845343543,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,1.7677669529663689,844.3502573830704,0.0,0.0,844.1382651641173,938.2548294573282,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,2.82842712474619,-1.5203201847108234,0.0,0.0,1.5241300102821485,0.5344722709740026,1.0
5.0,0.0,0.0,1.0,850.0,0.0,0.0,9.0,22573.0,0.0,0.0,5368.0,2319.0,6.0,1.0,0.0,1.0,432.0,0.0,0.0,0.0,21397.0,0.0,0.0,6971.0,5092.0,7.0,1.0,0.0,1.0,3214.0,0.0,0.0,26.0,22705.0,0.0,0.0,2855.0,2165.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26897.0,0.0,0.0,1903.0,601.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26611.0,0.0,0.0,2189.0,1002.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24764.0,0.0,0.0,4036.0,1736.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24761.0,0.0,0.0,4039.0,1530.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25134.0,0.0,0.0,3666.0,1844.0,4.125,0.25,0.0,1.0,562.0,0.0,0.0,4.375,24355.25,0.0,0.0,3878.375,2036.125,2.03100960115899,0.4629100498862757,0.0,0.0,1115.6143726984826,0.0,0.0,9.28804915700047,1968.9752773605724,0.0,0.0,1676.8359607563627,1359.9972098185665,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.4399208095614275,0.0,0.0,2.308083236704534,-0.18807442413890912,0.0,0.0,0.778948803396033,1.842807318656753,-2.0
6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22818.0,0.0,0.0,5982.0,1539.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,26684.0,0.0,0.0,2113.0,1116.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23861.0,0.0,0.0,4939.0,275.0,2.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0,23493.0,0.0,0.0,5187.0,2509.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23255.0,0.0,0.0,5545.0,2800.0,4.0,0.0,0.0,1.0,223.0,0.0,0.0,0.0,26870.0,0.0,0.0,1707.0,999.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,23727.0,0.0,0.0,5065.0,3149.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,23529.0,0.0,0.0,5271.0,48.0,4.25,0.375,0.0,1.0,42.875,0.0,0.0,1.375,24279.625,0.0,0.0,4476.125,1554.375,2.1213203435596424,0.5175491695067657,0.0,0.0,84.02625015009127,0.0,0.0,2.8753881725529062,1573.8997914643196,0.0,0.0,1619.5573855223531,1159.5895748681328,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.8718288446984541,0.0,0.0,2.239156780939837,1.2668704448666934,0.0,0.0,-1.2837058596817805,0.13311270791190927,4.0
