week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,23228.0,0.0,0.0,5572.0,4743.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,15.0,20195.0,0.0,0.0,8590.0,7599.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,25131.0,0.0,0.0,3669.0,4785.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25353.0,0.0,0.0,3447.0,5199.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21470.0,0.0,0.0,7330.0,5721.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,23541.0,0.0,0.0,5249.0,9449.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,26381.0,0.0,0.0,2419.0,3267.0,5.0,0.0,0.0,3.0,38.0,0.0,0.0,0.0,25115.0,0.0,0.0,3647.0,4664.0,4.125,0.25,0.125,2.25,4.75,0.0,0.0,3.125,23801.75,0.0,0.0,4990.375,5678.375,2.03100960115899,0.4629100498862757,0.3535533905932738,0.4629100498862757,13.435028842544403,0.0,0.0,5.938674695827104,2117.7252452302955,0.0,0.0,2117.309069651517,1951.3644264975212,-0.2238027108715141,1.4401645996461911,2.8284271247461903,1.4401645996461911,2.8284271247461903,0.0,0.0,1.6519050267514583,-0.6878697368322835,0.0,0.0,0.6873545127067734,1.1275958109697097,6.0
3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,22792.0,0.0,0.0,6008.0,7901.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,24482.0,0.0,0.0,4310.0,5293.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25890.0,0.0,0.0,2910.0,4054.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,22869.0,0.0,0.0,5931.0,4036.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,28222.0,0.0,0.0,578.0,605.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,25.0,24665.0,0.0,0.0,4110.0,4734.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,24148.0,0.0,0.0,4652.0,6303.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,24917.0,0.0,0.0,3883.0,6328.0,3.875,0.25,0.0,3.0,0.0,0.0,0.0,4.125,24748.125,0.0,0.0,4047.75,4906.75,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,8.88718981777383,1740.0994583643776,0.0,0.0,1739.7767303388591,2174.6747375839254,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,2.369973131789395,1.0505369725893186,0.0,0.0,-1.0417110321214844,-0.8962923167581981,7.0
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,25149.0,0.0,0.0,3651.0,4964.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,95.0,25474.0,0.0,0.0,3231.0,3937.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23381.0,0.0,0.0,5419.0,6941.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,171.0,23200.0,0.0,0.0,5429.0,7208.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,23763.0,0.0,0.0,5027.0,7119.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,22904.0,0.0,0.0,5836.0,5282.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,27099.0,0.0,0.0,1697.0,2297.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,132.0,24700.0,0.0,0.0,3968.0,5950.0,4.25,0.375,0.0,3.0,0.0,0.0,0.0,59.0,24458.75,0.0,0.0,4282.25,5462.25,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,67.14376899076872,1423.4571346850296,0.0,0.0,1407.2212487228662,1725.5642348436145,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,0.7210077739653682,0.8223996601202953,0.0,0.0,-0.79165213042652,-0.8219767850771289,8.0
3.0,0.0,1.0,3.0,4774.0,0.0,0.0,8.0,20840.0,0.0,0.0,3178.0,2139.0,4.0,0.0,1.0,4.0,4442.0,5.0,0.0,25.0,22048.0,0.0,0.0,2280.0,1672.0,5.0,0.0,1.0,4.0,3466.0,2631.0,0.0,0.0,16804.0,0.0,0.0,5899.0,5422.0,6.0,1.0,1.0,4.0,3291.0,0.0,0.0,0.0,20373.0,0.0,0.0,5136.0,2844.0,7.0,1.0,1.0,4.0,6659.0,0.0,0.0,0.0,20302.0,0.0,0.0,1839.0,2904.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,23371.0,0.0,0.0,5424.0,536.0,2.0,0.0,1.0,4.0,3442.0,0.0,0.0,145.0,17754.0,0.0,0.0,7459.0,4669.0,3.0,0.0,1.0,4.0,5192.0,95.0,0.0,0.0,20189.0,0.0,0.0,3324.0,2350.0,3.875,0.25,1.0,3.875,3908.25,341.375,0.0,22.875,20210.125,0.0,0.0,4317.375,2817.0,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,1938.9776945596873,925.7364539343026,0.0,50.075478743877945,2119.141027970666,0.0,0.0,1958.2907953840038,1577.3388982713893,0.2238027108715141,1.4401645996461911,0.0,-2.8284271247461903,-0.9508012122006076,2.8213656858852363,0.0,2.6767180013699448,-0.3260454648417953,0.0,0.0,0.27210454769777076,0.49739227076506126,-3.0
4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,25012.0,0.0,0.0,3786.0,2157.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,22649.0,0.0,0.0,6146.0,6214.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,20198.0,0.0,0.0,8600.0,8991.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,28770.0,0.0,0.0,30.0,2477.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5492.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3954.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27810.0,0.0,0.0,990.0,2907.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25281.0,0.0,0.0,3519.0,3256.0,4.0,0.25,0.0,4.0,0.0,0.0,0.0,1.125,18715.0,0.0,0.0,2883.875,4431.0,2.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,1.807721533549109,11860.888367114112,0.0,0.0,3227.0639657877427,2330.491425797204,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,1.6897761917710683,-1.2264728493607975,0.0,0.0,0.8188216528735442,1.1616299137522585,-4.0
7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,28770.0,0.0,0.0,30.0,2477.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5492.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3954.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27810.0,0.0,0.0,990.0,2907.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25281.0,0.0,0.0,3519.0,3256.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,138.0,20212.0,0.0,0.0,8450.0,6060.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,22399.0,0.0,0.0,6401.0,6105.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,25500.0,0.0,0.0,3300.0,2220.0,4.375,0.375,0.0,4.0,0.0,0.0,0.0,17.25,18746.5,0.0,0.0,2836.25,4058.875,2.2638462845343543,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,48.79036790187178,11888.037252393084,0.0,0.0,3213.2571258993353,1608.5125726672363,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,-1.22280710369522,0.0,0.0,0.8531783439862289,0.3341021020068115,-2.0
6.0,1.0,0.0,4.0,0.0,0.0,0.0,48.0,25971.0,0.0,0.0,2781.0,3101.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,25.0,24220.0,0.0,0.0,4555.0,4444.0,1.0,0.0,0.0,4.0,371.0,0.0,0.0,99.0,22189.0,0.0,0.0,6141.0,7700.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,27023.0,0.0,0.0,1770.0,2542.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,86.0,22532.0,0.0,0.0,6182.0,7518.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,33.0,25039.0,0.0,0.0,3728.0,4888.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,30.0,21484.0,0.0,0.0,7286.0,7611.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,25539.0,0.0,0.0,3261.0,4.0,4.25,0.375,0.0,4.0,46.375,0.0,0.0,41.0,24249.625,0.0,0.0,4463.0,4726.0,2.1213203435596424,0.5175491695067657,0.0,0.0,131.16830791010457,0.0,0.0,35.28658182854861,1992.3536646388864,0.0,0.0,1920.3734755808011,2797.363503627759,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.8284271247461903,0.0,0.0,0.7474626385888634,-0.14216644269563034,0.0,0.0,0.15814368723102623,-0.41709219451854446,7.0
6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,25539.0,0.0,0.0,3261.0,4.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,247.0,23973.0,0.0,0.0,4580.0,6552.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24908.0,0.0,0.0,3892.0,4781.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,30.0,23253.0,0.0,0.0,5517.0,4931.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,82.0,23316.0,0.0,0.0,5402.0,6387.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,98.0,24125.0,0.0,0.0,4577.0,6123.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,41.0,17759.0,0.0,0.0,11000.0,7571.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,128.0,18796.0,0.0,0.0,9876.0,10305.0,4.25,0.375,0.0,4.0,0.0,0.0,0.0,78.25,22708.625,0.0,0.0,6013.125,5831.75,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,82.21704724169348,2851.7089080810074,0.0,0.0,2843.5391648688183,2923.4261089149686,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,1.3071933502200521,-1.1712000340209283,0.0,0.0,1.2013687853773285,-0.7964952699893378,1.0
2.0,0.0,0.0,4.0,0.0,0.0,0.0,30.0,23253.0,0.0,0.0,5517.0,4931.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,82.0,23316.0,0.0,0.0,5402.0,6387.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,98.0,24125.0,0.0,0.0,4577.0,6123.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,41.0,17759.0,0.0,0.0,11000.0,7571.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,128.0,18796.0,0.0,0.0,9876.0,10305.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,22222.0,0.0,0.0,6573.0,7137.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,24.0,21529.0,0.0,0.0,7247.0,9352.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,22408.0,0.0,0.0,6390.0,6066.0,3.75,0.25,0.0,4.0,0.0,0.0,0.0,51.25,21676.0,0.0,0.0,7072.75,7234.0,2.1213203435596424,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,46.11398920067532,2257.272943810106,0.0,0.0,2250.977422619529,1799.1945023100914,0.31426968052735443,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.6488719005558335,-1.0005073146731256,0.0,0.0,0.9717505842018292,0.7428549632447817,-7.0
6.0,1.0,0.0,1.0,0.0,0.0,0.0,30.0,25197.0,0.0,0.0,3573.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24112.0,0.0,0.0,4688.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,421.0,24632.0,0.0,0.0,3747.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,134.0,24936.0,0.0,0.0,3730.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,154.0,24550.0,0.0,0.0,4096.0,0.0,4.0,0.0,0.0,1.0,40.0,0.0,0.0,119.0,24081.0,0.0,0.0,4560.0,0.0,5.0,0.0,0.0,1.0,2136.0,0.0,0.0,151.0,19396.0,0.0,0.0,7117.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,96.0,24481.0,0.0,0.0,4223.0,0.0,4.25,0.375,0.0,1.0,272.0,0.0,0.0,138.125,23923.125,0.0,0.0,4466.75,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,753.2997885494004,0.0,0.0,127.25838451187187,1867.4211735132794,0.0,0.0,1142.5517493750556,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.8264917405034815,0.0,0.0,1.724634883723642,-2.599949714214362,0.0,0.0,2.1805127239804554,0.0,0.0
