week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4291.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6343.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8014.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7612.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7319.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,27453.0,0.0,0.0,1347.0,4766.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,23744.0,0.0,0.0,5056.0,2726.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,22600.0,0.0,0.0,6200.0,0.0,4.25,0.375,0.875,2.0,0.0,0.0,0.0,0.0,9224.625,0.0,0.0,1575.375,5133.875,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,12803.208827003375,0.0,0.0,2562.4512225322733,2769.045293830658,-0.31426968052735443,0.6440611887195306,-2.8284271247461903,0.0,0.0,0.0,0.0,0.0,0.6884660695887024,0.0,0.0,1.3756219278580926,-0.8846534677672322,5.0
4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25121.0,0.0,0.0,3679.0,2466.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22229.0,0.0,0.0,6571.0,6266.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,18.0,19359.0,0.0,0.0,9423.0,6972.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,24214.0,0.0,0.0,4586.0,2427.0,1.0,0.0,0.0,4.0,1965.0,910.0,0.0,0.0,21060.0,0.0,0.0,4865.0,4559.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25469.0,0.0,0.0,3331.0,3627.0,3.0,0.0,0.0,4.0,2359.0,0.0,0.0,0.0,20164.0,0.0,0.0,6277.0,5725.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,25776.0,0.0,0.0,3022.0,2278.0,4.0,0.25,0.0,4.0,540.5,113.75,0.0,2.5,22924.0,0.0,0.0,5219.25,4290.0,2.0,0.4629100498862757,0.0,0.0,1006.3359280081379,321.7335854398791,0.0,6.301927142889365,2546.3190238908737,0.0,0.0,2135.0758266896014,1871.3915372562435,0.0,1.4401645996461911,0.0,0.0,1.4871454503834156,2.8284271247461903,0.0,2.7626583976125936,-0.23895966511446642,0.0,0.0,1.1086060833518836,0.26189358096659415,-7.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,24840.0,0.0,0.0,3958.0,2429.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19062.0,0.0,0.0,9738.0,5429.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24928.0,0.0,0.0,3872.0,2513.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27247.0,0.0,0.0,1553.0,1472.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25670.0,0.0,0.0,3130.0,3276.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26410.0,0.0,0.0,2390.0,2256.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23464.0,0.0,0.0,5336.0,3302.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23673.0,0.0,0.0,5127.0,3366.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,24411.75,0.0,0.0,4388.0,3005.375,2.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,2510.792632388653,0.0,0.0,2510.8414639604107,1174.288591628383,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,-1.460736305547625,0.0,0.0,1.461036050414598,1.1753647566164391,-13.0
4.0,0.0,0.0,2.0,900.0,0.0,0.0,0.0,23992.0,0.0,0.0,3908.0,1577.0,5.0,0.0,0.0,2.0,127.0,0.0,0.0,0.0,26207.0,0.0,0.0,2466.0,678.0,6.0,1.0,0.0,2.0,1723.0,0.0,0.0,0.0,24143.0,0.0,0.0,2934.0,758.0,7.0,1.0,0.0,2.0,1928.0,0.0,0.0,0.0,23991.0,0.0,0.0,2881.0,1073.0,1.0,0.0,0.0,2.0,5290.0,2.0,0.0,0.0,12191.0,0.0,0.0,11317.0,2749.0,2.0,0.0,0.0,2.0,493.0,0.0,0.0,0.0,23104.0,0.0,0.0,5203.0,1641.0,3.0,0.0,0.0,2.0,3406.0,0.0,0.0,0.0,20271.0,0.0,0.0,5123.0,1381.0,4.0,0.0,0.0,2.0,7191.0,317.0,0.0,0.0,19853.0,0.0,0.0,1439.0,963.0,4.0,0.25,0.0,2.0,2632.25,39.875,0.0,0.0,21719.0,0.0,0.0,4408.875,1352.5,2.0,0.4629100498862757,0.0,0.0,2496.2997616472267,111.97759661136304,0.0,0.0,4385.464660183034,0.0,0.0,3075.6707717876066,667.9251455065904,0.0,1.4401645996461911,0.0,0.0,1.006089302977411,2.8282068246660215,0.0,0.0,-1.6796411783391754,0.0,0.0,1.8992354607202424,1.3813241024800151,7.0
2.0,0.0,0.0,2.0,425.0,0.0,0.0,0.0,26608.0,0.0,0.0,1767.0,329.0,3.0,0.0,0.0,2.0,2315.0,0.0,0.0,5.0,23655.0,0.0,0.0,2825.0,487.0,4.0,0.0,0.0,2.0,3028.0,0.0,0.0,0.0,19228.0,0.0,0.0,6544.0,2024.0,5.0,0.0,1.0,2.0,1862.0,1750.0,0.0,0.0,20243.0,0.0,0.0,4945.0,1769.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,27190.0,0.0,0.0,1610.0,213.0,7.0,1.0,1.0,2.0,2923.0,0.0,0.0,0.0,18095.0,0.0,0.0,7782.0,4550.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,21294.0,0.0,0.0,7506.0,5253.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,25223.0,0.0,0.0,3577.0,3370.0,3.75,0.25,0.625,2.0,1319.125,218.75,0.0,0.625,22692.0,0.0,0.0,4569.5,2249.375,2.1213203435596424,0.4629100498862757,0.5175491695067657,0.0,1352.1876916949911,618.7184335382291,0.0,1.7677669529663689,3463.773747147549,0.0,0.0,2496.3923112020216,1956.404204328514,0.31426968052735443,1.4401645996461911,-0.6440611887195306,0.0,0.20515162576212823,2.8284271247461903,0.0,2.82842712474619,0.055141378861346346,0.0,0.0,0.14700836155550717,0.49753385105034187,-7.0
5.0,0.0,0.0,4.0,8178.0,0.0,0.0,32.0,9098.0,0.0,0.0,11492.0,9120.0,6.0,1.0,0.0,4.0,798.0,0.0,0.0,18.0,24998.0,0.0,0.0,2986.0,1599.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,25478.0,0.0,0.0,3322.0,2529.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27441.0,0.0,0.0,1359.0,1336.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,24282.0,0.0,0.0,4506.0,2731.0,3.0,0.0,0.0,4.0,658.0,0.0,0.0,2.0,17987.0,0.0,0.0,10153.0,8301.0,4.0,0.0,0.0,4.0,605.0,1067.0,0.0,0.0,12510.0,0.0,0.0,14618.0,13188.0,5.0,0.0,0.0,4.0,1272.0,0.0,0.0,8.0,17903.0,0.0,0.0,9617.0,5324.0,4.125,0.25,0.0,4.0,1438.875,133.375,0.0,9.0,19962.125,0.0,0.0,7256.625,5516.0,2.03100960115899,0.4629100498862757,0.0,0.0,2761.2256821667333,377.2414677630231,0.0,11.414276774536102,6677.085536958258,0.0,0.0,4813.018534216785,4295.099732751932,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.676307692962016,2.8284271247461903,0.0,1.3310508196221502,-0.5874505036895696,0.0,0.0,0.25214525875538873,0.8139500515116068,-8.0
4.0,0.0,0.0,1.0,1153.0,517.0,0.0,0.0,26138.0,0.0,0.0,992.0,301.0,5.0,0.0,0.0,1.0,774.0,0.0,0.0,0.0,22930.0,0.0,0.0,5096.0,749.0,6.0,1.0,0.0,1.0,7903.0,33.0,0.0,7.0,14624.0,0.0,0.0,6233.0,3570.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27022.0,0.0,0.0,1778.0,1382.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,43.0,21422.0,0.0,0.0,7335.0,7045.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24849.0,0.0,0.0,3951.0,3212.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25757.0,0.0,0.0,3043.0,3451.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,30.0,24609.0,0.0,0.0,4161.0,3242.0,4.0,0.25,0.5,1.0,1228.75,68.75,0.0,10.0,23418.875,0.0,0.0,4073.625,2869.0,2.0,0.4629100498862757,0.5345224838248488,0.0,2733.5816771617206,181.48809484764718,0.0,16.894631438080307,3979.967136888731,0.0,0.0,2144.6239722018536,2132.2714916927707,0.0,1.4401645996461911,0.0,0.0,2.6849960089085827,2.8062558092012044,0.0,1.5369359231737354,-1.8251627621073938,0.0,0.0,0.06506471397453693,0.8587624549979478,3.0
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2795.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2825.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4799.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23963.0,0.0,0.0,4837.0,3827.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,19018.0,0.0,0.0,9770.0,5020.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25136.0,0.0,0.0,3664.0,2682.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,24147.0,0.0,0.0,4651.0,3151.0,4.25,0.375,0.0,3.0,0.0,0.0,0.0,1.75,11533.0,0.0,0.0,2865.25,3262.0,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,4.200340122282616,12459.792970075501,0.0,0.0,3550.229479504509,1290.63450619121,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,2.6853425909211945,0.07168643607776318,0.0,0.0,1.059773769392312,-0.24428680724137555,-2.0
5.0,0.0,0.0,4.0,535.0,0.0,0.0,29.0,23024.0,0.0,0.0,5212.0,2907.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,27320.0,0.0,0.0,1477.0,159.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,26572.0,0.0,0.0,2228.0,438.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25458.0,0.0,0.0,3342.0,2812.0,2.0,0.0,0.0,4.0,1385.0,503.0,0.0,0.0,22900.0,0.0,0.0,4012.0,2480.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26869.0,0.0,0.0,1931.0,195.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26822.0,0.0,0.0,1978.0,1335.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,28051.0,0.0,0.0,749.0,185.0,4.125,0.25,0.0,4.0,240.0,62.875,0.0,4.0,25877.0,0.0,0.0,2616.125,1313.875,2.03100960115899,0.4629100498862757,0.0,0.0,499.09203273830883,177.8373554684167,0.0,10.155927192672127,1940.0418994002607,0.0,0.0,1465.066106504608,1240.3831709251322,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.212185106916284,2.8284271247461903,0.0,2.77119398233148,-0.8932939906332665,0.0,0.0,0.7248978969628186,0.39325303090469493,-7.0
6.0,1.0,0.0,2.0,113.0,0.0,0.0,0.0,27547.0,0.0,0.0,1140.0,315.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,27919.0,0.0,0.0,881.0,78.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27810.0,0.0,0.0,990.0,162.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25917.0,0.0,0.0,2883.0,460.0,3.0,0.0,0.0,2.0,251.0,0.0,0.0,0.0,27426.0,0.0,0.0,1123.0,188.0,4.0,0.0,0.0,2.0,1427.0,0.0,0.0,0.0,26707.0,0.0,0.0,666.0,259.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27974.0,0.0,0.0,826.0,141.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,24869.0,0.0,0.0,3931.0,694.0,4.25,0.375,0.0,2.0,223.875,0.0,0.0,0.0,27021.125,0.0,0.0,1555.0,287.125,2.1213203435596424,0.5175491695067657,0.0,0.0,494.4172435446459,0.0,0.0,0.0,1116.5220793031497,0.0,0.0,1187.017390653686,202.68514463853253,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.6541466664277027,0.0,0.0,0.0,-1.2389043222638518,0.0,0.0,1.5974526476768047,1.3113313117414258,-10.0
