week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,28686.0,0.0,0.0,114.0,0.0,3.0,0.0,1.0,3.0,5299.0,0.0,0.0,5.0,22784.0,0.0,0.0,712.0,605.0,4.0,0.0,1.0,3.0,1070.0,0.0,0.0,0.0,26623.0,0.0,0.0,1107.0,454.0,5.0,0.0,1.0,3.0,2814.0,0.0,0.0,0.0,24922.0,0.0,0.0,1064.0,516.0,6.0,1.0,1.0,3.0,3036.0,0.0,0.0,0.0,23901.0,0.0,0.0,1863.0,633.0,7.0,1.0,1.0,3.0,380.0,0.0,0.0,0.0,24685.0,0.0,0.0,3735.0,1609.0,1.0,0.0,1.0,3.0,6765.0,0.0,0.0,18.0,20040.0,0.0,0.0,1977.0,1272.0,2.0,0.0,1.0,3.0,4749.0,0.0,0.0,0.0,22158.0,0.0,0.0,1893.0,1160.0,3.75,0.25,1.0,3.0,3014.125,0.0,0.0,2.875,24224.875,0.0,0.0,1558.125,781.125,2.1213203435596424,0.4629100498862757,0.0,0.0,2453.6626521823014,0.0,0.0,6.356942211921883,2681.0580234303025,0.0,0.0,1093.384579773153,522.3984351048537,0.31426968052735443,1.4401645996461911,0.0,0.0,0.217977799381806,0.0,0.0,2.4669533930432994,0.1765833875714986,0.0,0.0,0.9654285980588655,0.26869985153943865,4.0
6.0,1.0,1.0,4.0,12375.0,0.0,0.0,3.0,7901.0,0.0,0.0,8521.0,2584.0,7.0,1.0,1.0,4.0,596.0,0.0,0.0,1438.0,24281.0,0.0,0.0,2485.0,5514.0,1.0,0.0,1.0,4.0,2238.0,0.0,0.0,0.0,26123.0,0.0,0.0,439.0,378.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,2002.0,26153.0,0.0,0.0,645.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24607.0,0.0,0.0,4193.0,0.0,6.0,1.0,0.0,4.0,272.0,0.0,0.0,3.0,24411.0,0.0,0.0,4114.0,0.0,4.25,0.375,0.75,4.0,1935.125,0.0,0.0,430.75,23884.5,0.0,0.0,2549.625,1059.5,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,4286.537045131619,0.0,0.0,809.8943052734015,6707.244995418866,0.0,0.0,2973.5249854819976,2008.6887691796785,-0.31426968052735443,0.6440611887195306,-1.4401645996461911,0.0,2.6647730111119663,0.0,0.0,1.5865430084036318,-2.4128815840225015,0.0,0.0,1.2441482808626214,2.01337486942457,-4.0
2.0,0.0,1.0,4.0,0.0,0.0,0.0,2002.0,26153.0,0.0,0.0,645.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24607.0,0.0,0.0,4193.0,0.0,6.0,1.0,0.0,4.0,272.0,0.0,0.0,3.0,24411.0,0.0,0.0,4114.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,25939.0,0.0,0.0,2861.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1064.0,22489.0,0.0,0.0,5247.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,125.0,25237.0,0.0,0.0,3438.0,0.0,3.75,0.25,0.375,4.0,34.0,0.0,0.0,399.25,25804.5,0.0,0.0,2562.25,0.0,2.1213203435596424,0.4629100498862757,0.5175491695067657,0.0,96.16652224137046,0.0,0.0,744.5544688891855,2163.8599109659835,0.0,0.0,2068.037147359095,0.0,0.31426968052735443,1.4401645996461911,0.6440611887195306,0.0,2.82842712474619,0.0,0.0,1.8798307434733204,0.23970517849098052,0.0,0.0,-0.270656223112309,0.0,7.0
1.0,0.0,0.0,4.0,0.0,0.0,0.0,40.0,24852.0,0.0,0.0,3908.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25034.0,0.0,0.0,3766.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26396.0,0.0,0.0,2404.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26184.0,0.0,0.0,2616.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25177.0,0.0,0.0,3623.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,43.0,27065.0,0.0,0.0,1692.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,27093.0,0.0,0.0,1707.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,21918.0,0.0,0.0,6882.0,0.0,3.625,0.25,0.0,4.0,0.0,0.0,0.0,10.375,25464.875,0.0,0.0,3324.75,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,19.227491478906668,1682.6759672362014,0.0,0.0,1686.54157968311,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,1.4476692443839438,-1.413798664707494,0.0,0.0,1.4135610745265803,0.0,-3.0
4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26184.0,0.0,0.0,2616.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25177.0,0.0,0.0,3623.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,43.0,27065.0,0.0,0.0,1692.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,27093.0,0.0,0.0,1707.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,21918.0,0.0,0.0,6882.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27040.0,0.0,0.0,1760.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,26036.0,0.0,0.0,2761.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,26.0,25386.0,0.0,0.0,3388.0,0.0,4.0,0.25,0.0,4.0,0.0,0.0,0.0,9.0,25737.375,0.0,0.0,3053.625,0.0,2.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,16.414279497698686,1715.9295637808514,0.0,0.0,1720.0698438892366,0.0,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,1.73813432977861,-1.8389193836257933,0.0,0.0,1.837448204957489,0.0,3.0
6.0,1.0,0.0,4.0,0.0,0.0,0.0,43.0,27065.0,0.0,0.0,1692.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,27093.0,0.0,0.0,1707.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,21918.0,0.0,0.0,6882.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27040.0,0.0,0.0,1760.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,26036.0,0.0,0.0,2761.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,26.0,25386.0,0.0,0.0,3388.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,282.0,23988.0,0.0,0.0,4530.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,27590.0,0.0,0.0,1210.0,0.0,4.25,0.375,0.0,4.0,0.0,0.0,0.0,44.25,25764.5,0.0,0.0,2991.25,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,97.38986453571908,1948.7744133905583,0.0,0.0,1917.6730504889067,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.0,0.0,0.0,2.6839629049950164,-1.2829623830727002,0.0,0.0,1.3710589698955897,0.0,-6.0
7.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,27219.0,0.0,0.0,1578.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,25382.0,0.0,0.0,3416.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26726.0,0.0,0.0,2074.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24790.0,0.0,0.0,4010.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25443.0,0.0,0.0,3357.0,0.0,5.0,0.0,0.0,4.0,3510.0,0.0,0.0,0.0,21936.0,0.0,0.0,3354.0,0.0,6.0,1.0,0.0,4.0,2280.0,1498.0,0.0,0.0,14021.0,0.0,0.0,11001.0,0.0,7.0,1.0,0.0,4.0,5285.0,2002.0,0.0,0.0,16095.0,0.0,0.0,5418.0,0.0,4.375,0.375,0.0,4.0,1384.375,437.5,0.0,0.625,22701.5,0.0,0.0,4276.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,2074.2562135102103,821.214953590106,0.0,1.1877349391654208,5003.570924849572,0.0,0.0,2955.933451792948,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.2038332984565072,1.5544350352140643,0.0,1.6519050267514583,-1.1199309340017527,0.0,0.0,2.0140918132325676,0.0,-1.0
2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26726.0,0.0,0.0,2074.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24790.0,0.0,0.0,4010.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25443.0,0.0,0.0,3357.0,0.0,5.0,0.0,0.0,4.0,3510.0,0.0,0.0,0.0,21936.0,0.0,0.0,3354.0,0.0,6.0,1.0,0.0,4.0,2280.0,1498.0,0.0,0.0,14021.0,0.0,0.0,11001.0,0.0,7.0,1.0,0.0,4.0,5285.0,2002.0,0.0,0.0,16095.0,0.0,0.0,5418.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26179.0,0.0,0.0,2621.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25714.0,0.0,0.0,3086.0,0.0,3.75,0.25,0.0,4.0,1384.375,437.5,0.0,0.0,22613.0,0.0,0.0,4365.125,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,2074.2562135102103,821.214953590106,0.0,0.0,4910.086877322757,0.0,0.0,2859.459810998274,0.0,0.31426968052735443,1.4401645996461911,0.0,0.0,1.2038332984565072,1.5544350352140643,0.0,0.0,-1.1806953229613826,0.0,0.0,2.214704565758448,0.0,7.0
4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24278.0,0.0,0.0,4522.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,118.0,23145.0,0.0,0.0,5537.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,27916.0,0.0,0.0,884.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,24633.0,0.0,0.0,4165.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,787.0,24601.0,0.0,0.0,3412.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25818.0,0.0,0.0,2982.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,25330.0,0.0,0.0,3447.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,67.0,25777.0,0.0,0.0,2956.0,0.0,4.0,0.25,0.0,4.0,0.0,0.0,0.0,124.625,25187.25,0.0,0.0,3488.125,0.0,2.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,270.9939047812172,1407.1504894644354,0.0,0.0,1365.5568657406504,0.0,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,2.696361900799054,0.7613007721229481,0.0,0.0,-0.5927622139173018,0.0,9.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,24725.0,0.0,0.0,4070.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25906.0,0.0,0.0,2894.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25858.0,0.0,0.0,2942.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25884.0,0.0,0.0,2916.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26016.0,0.0,0.0,2784.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,183.0,26299.0,0.0,0.0,2318.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,25361.0,0.0,0.0,3419.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,24660.0,0.0,0.0,4123.0,0.0,3.625,0.25,0.0,1.0,0.0,0.0,0.0,28.125,25588.625,0.0,0.0,3183.25,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,63.10408069213908,610.3656837152158,0.0,0.0,637.6722736417419,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,2.73759045442077,-0.7898328253135213,0.0,0.0,0.5667787707287576,0.0,0.0
