week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14104.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2224.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7997.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7543.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8947.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,0.0,4483.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,24672.0,0.0,0.0,4084.0,709.0,6.0,1.0,0.0,3.0,4631.0,305.0,0.0,16.0,13853.0,0.0,0.0,9995.0,9123.0,4.25,0.375,0.0,3.0,578.875,38.125,0.0,7.5,8415.625,0.0,0.0,1759.875,6891.25,2.1213203435596424,0.5175491695067657,0.0,0.0,1637.3057518374508,107.8337841309485,0.0,15.775206586829311,12325.764188856028,0.0,0.0,3621.400693397909,4287.542511242808,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.8284271247461903,2.8284271247461903,0.0,2.2663417425350416,1.0117825822684614,0.0,0.0,2.1590503871437687,0.10813345777850601,2.0
4.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,20758.0,0.0,0.0,8040.0,3175.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,23966.0,0.0,0.0,4820.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,21210.0,0.0,0.0,7582.0,6382.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,105.0,24997.0,0.0,0.0,3698.0,3449.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,23586.0,0.0,0.0,5209.0,5562.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,21424.0,0.0,0.0,7348.0,7660.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,22485.0,0.0,0.0,6311.0,826.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,24043.0,0.0,0.0,4757.0,821.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,20.75,22808.625,0.0,0.0,5970.625,3484.375,2.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,35.19232870953555,1560.1776398401378,0.0,0.0,1578.1354221720917,2842.2063329895163,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,2.4992044101841047,-0.05095519908949469,0.0,0.0,0.010072378424376945,0.2164480979528918,3.0
5.0,0.0,1.0,4.0,3100.0,0.0,0.0,30.0,11199.0,0.0,0.0,14471.0,1910.0,6.0,1.0,1.0,4.0,5035.0,0.0,0.0,37.0,19718.0,0.0,0.0,4010.0,2510.0,7.0,1.0,1.0,4.0,5003.0,51.0,0.0,743.0,17727.0,0.0,0.0,5276.0,18331.0,1.0,0.0,1.0,4.0,2842.0,0.0,0.0,42.0,18044.0,0.0,0.0,7872.0,4748.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,25930.0,0.0,0.0,2870.0,15.0,3.0,0.0,1.0,4.0,8286.0,0.0,0.0,5.0,14361.0,0.0,0.0,6148.0,3932.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,502.0,19828.0,0.0,0.0,8470.0,9021.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,24377.0,0.0,0.0,4423.0,3497.0,4.125,0.25,1.0,4.0,3033.25,6.375,0.0,169.875,18898.0,0.0,0.0,6692.5,5495.5,2.03100960115899,0.4629100498862757,0.0,0.0,3002.883126501691,18.031222920256962,0.0,287.1661726497146,4825.013575110437,0.0,0.0,3670.6691488065226,5806.171617954714,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.5406915240946781,2.8284271247461903,0.0,1.636284928695368,-0.0651434806822374,0.0,0.0,1.4944787823296326,1.8576381494626324,1.0
5.0,0.0,0.0,1.0,5938.0,0.0,0.0,70.0,19037.0,0.0,0.0,3755.0,4309.0,6.0,1.0,0.0,1.0,1380.0,205.0,0.0,0.0,22629.0,0.0,0.0,4586.0,691.0,7.0,1.0,0.0,1.0,2523.0,0.0,0.0,15.0,20854.0,0.0,0.0,5408.0,1214.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21977.0,0.0,0.0,6823.0,4038.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24152.0,0.0,0.0,4648.0,3349.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,24559.0,0.0,0.0,4238.0,3053.0,4.0,0.0,0.0,1.0,455.0,0.0,0.0,15.0,19985.0,0.0,0.0,8345.0,5340.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,107.0,21753.0,0.0,0.0,6940.0,7248.0,4.125,0.25,0.0,1.0,1287.0,25.625,0.0,26.25,21868.25,0.0,0.0,5592.875,3655.25,2.03100960115899,0.4629100498862757,0.0,0.0,2086.8926319154175,72.47844507162112,0.0,40.17017372557476,1914.2626144661701,0.0,0.0,1606.076891728057,2122.0978670039835,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.9573428897213572,2.8284271247461903,0.0,1.5885562424251733,0.038411425754113174,0.0,0.0,0.6705999212248207,0.21226548275764884,-3.0
3.0,0.0,0.0,2.0,18174.0,0.0,0.0,30.0,1778.0,0.0,0.0,8818.0,9421.0,4.0,0.0,0.0,2.0,16136.0,23.0,0.0,27.0,3713.0,0.0,0.0,8901.0,8963.0,5.0,0.0,0.0,2.0,5910.0,0.0,0.0,3.0,12110.0,0.0,0.0,10777.0,7238.0,6.0,1.0,0.0,2.0,16125.0,625.0,0.0,37.0,8307.0,0.0,0.0,3706.0,1873.0,7.0,1.0,0.0,2.0,23837.0,0.0,0.0,0.0,3613.0,0.0,0.0,1350.0,267.0,1.0,0.0,0.0,2.0,2684.0,1125.0,0.0,11.0,21986.0,0.0,0.0,2994.0,3321.0,2.0,0.0,0.0,2.0,700.0,523.0,0.0,20.0,18783.0,0.0,0.0,8774.0,4441.0,3.0,0.0,0.0,2.0,377.0,0.0,0.0,0.0,24786.0,0.0,0.0,3637.0,3582.0,3.875,0.25,0.0,2.0,10492.875,287.0,0.0,16.0,11884.5,0.0,0.0,6119.625,4888.25,2.03100960115899,0.4629100498862757,0.0,0.0,9109.207624901928,426.17166226097874,0.0,14.540583599999398,8994.126099055666,0.0,0.0,3550.8950556766067,3326.9680212297976,0.2238027108715141,1.4401645996461911,0.0,0.0,0.1615164106103623,1.297562128022662,0.0,0.178809879405398,0.3447519483793497,0.0,0.0,-0.03196600845010734,0.21458013235420528,-6.0
6.0,1.0,0.0,2.0,16125.0,625.0,0.0,37.0,8307.0,0.0,0.0,3706.0,1873.0,7.0,1.0,0.0,2.0,23837.0,0.0,0.0,0.0,3613.0,0.0,0.0,1350.0,267.0,1.0,0.0,0.0,2.0,2684.0,1125.0,0.0,11.0,21986.0,0.0,0.0,2994.0,3321.0,2.0,0.0,0.0,2.0,700.0,523.0,0.0,20.0,18783.0,0.0,0.0,8774.0,4441.0,3.0,0.0,0.0,2.0,377.0,0.0,0.0,0.0,24786.0,0.0,0.0,3637.0,3582.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27386.0,0.0,0.0,1414.0,1565.0,5.0,0.0,0.0,2.0,532.0,0.0,0.0,80.0,17513.0,0.0,0.0,10675.0,13996.0,6.0,1.0,0.0,2.0,3816.0,1128.0,0.0,3.0,20511.0,0.0,0.0,3342.0,929.0,4.25,0.375,0.0,2.0,6008.875,425.125,0.0,18.875,17860.625,0.0,0.0,4486.5,3746.75,2.1213203435596424,0.5175491695067657,0.0,0.0,8960.599699916454,500.9010274352752,0.0,27.900012800816317,8088.572025438995,0.0,0.0,3398.031867335645,4376.183293040376,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.5739065527040403,0.593583681334484,0.0,1.8389445700978062,-0.8919898151386402,0.0,0.0,1.213890429748577,2.262390648677883,-4.0
4.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,22989.0,0.0,0.0,5804.0,5734.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,21601.0,0.0,0.0,7181.0,8236.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,68.0,21361.0,0.0,0.0,7371.0,9834.0,7.0,1.0,0.0,3.0,715.0,0.0,0.0,73.0,17332.0,0.0,0.0,10680.0,8402.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23869.0,0.0,0.0,4931.0,7461.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,24718.0,0.0,0.0,4080.0,5777.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,24377.0,0.0,0.0,4413.0,3612.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,49.0,24014.0,0.0,0.0,4737.0,6844.0,4.0,0.25,0.0,3.0,89.375,0.0,0.0,28.375,22532.625,0.0,0.0,6149.625,6987.5,2.0,0.4629100498862757,0.0,0.0,252.79067427419074,0.0,0.0,30.213230309159027,2439.360626856378,0.0,0.0,2203.2124557109782,1939.7161795331958,0.0,1.4401645996461911,0.0,0.0,2.8284271247461903,0.0,0.0,0.7015202080296674,-1.5829786928080583,0.0,0.0,1.3737024798883561,-0.3721837709426454,-9.0
6.0,1.0,0.0,3.0,0.0,0.0,0.0,17.0,23709.0,0.0,0.0,5074.0,7217.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,24045.0,0.0,0.0,4750.0,5460.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,23958.0,0.0,0.0,4834.0,7062.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,24900.0,0.0,0.0,3856.0,4534.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,24239.0,0.0,0.0,4558.0,7019.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,33.0,23630.0,0.0,0.0,5137.0,7025.0,5.0,0.0,0.0,3.0,5609.0,0.0,0.0,0.0,13406.0,0.0,0.0,9785.0,12727.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,25146.0,0.0,0.0,3642.0,4743.0,4.25,0.375,0.0,3.0,701.125,0.0,0.0,15.25,22879.125,0.0,0.0,5204.5,6973.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1983.0809678376725,0.0,0.0,15.563235065830167,3865.3729606598117,0.0,0.0,1928.1459636507961,2574.3676581416485,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.8284271247461903,0.0,0.0,1.1361076154348089,-2.717212545325315,0.0,0.0,2.3760241107879922,1.8019932204934397,-7.0
1.0,0.0,1.0,4.0,1305.0,0.0,0.0,0.0,25020.0,0.0,0.0,2475.0,6272.0,2.0,0.0,1.0,4.0,8083.0,173.0,0.0,53.0,12305.0,0.0,0.0,8186.0,9475.0,3.0,0.0,1.0,4.0,571.0,0.0,0.0,5.0,26404.0,0.0,0.0,1820.0,467.0,4.0,0.0,1.0,4.0,5219.0,161.0,0.0,83.0,14895.0,0.0,0.0,8442.0,5841.0,5.0,0.0,1.0,4.0,10462.0,0.0,0.0,3.0,8881.0,0.0,0.0,9454.0,5030.0,6.0,1.0,1.0,4.0,0.0,6191.0,0.0,0.0,22201.0,0.0,0.0,408.0,6380.0,7.0,1.0,1.0,4.0,350.0,0.0,0.0,2.0,15299.0,0.0,0.0,13149.0,10478.0,1.0,0.0,1.0,4.0,15945.0,0.0,0.0,0.0,7674.0,0.0,0.0,5181.0,3282.0,3.625,0.25,1.0,4.0,5241.875,815.625,0.0,18.25,16584.875,0.0,0.0,6139.375,5903.125,2.2638462845343543,0.4629100498862757,0.0,0.0,5838.332160019185,2173.2917059809793,0.0,31.78386832520997,7178.213813587015,0.0,0.0,4399.092826530098,3190.1457395055972,0.22624995586066124,1.4401645996461911,0.0,0.0,0.9258175962215667,2.821654048181425,0.0,1.6908864313766847,0.24404663777953478,0.0,0.0,0.18498334106750058,-0.22200227243103055,1.0
2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,22856.0,0.0,0.0,5939.0,6655.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25051.0,0.0,0.0,3749.0,3620.0,4.0,0.0,0.0,4.0,59.0,0.0,0.0,2.0,21154.0,0.0,0.0,7585.0,8164.0,5.0,0.0,0.0,4.0,241.0,0.0,0.0,19.0,21126.0,0.0,0.0,7414.0,8614.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,25.0,23856.0,0.0,0.0,4919.0,6600.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,24086.0,0.0,0.0,4714.0,5493.0,1.0,0.0,0.0,4.0,253.0,0.0,0.0,0.0,24201.0,0.0,0.0,4346.0,5948.0,2.0,0.0,0.0,4.0,961.0,0.0,0.0,147.0,21936.0,0.0,0.0,5756.0,8675.0,3.75,0.25,0.0,4.0,189.25,0.0,0.0,24.75,23033.25,0.0,0.0,5552.75,6721.125,2.1213203435596424,0.4629100498862757,0.0,0.0,330.0578953543064,0.0,0.0,50.3182727389223,1494.02206428534,0.0,0.0,1393.848295700996,1741.285439594226,0.31426968052735443,1.4401645996461911,0.0,0.0,2.2817802911561955,0.0,0.0,2.634150144503155,-0.1924968318580893,0.0,0.0,0.45274765500780106,-0.5373601232926258,-13.0
