week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
5.0,0.0,1.0,2.0,1045.0,0.0,2434.0,0.0,17451.0,5720.0,2150.0,0.0,0.0,6.0,1.0,0.0,2.0,187.0,0.0,1576.0,0.0,22855.0,2852.0,1330.0,0.0,0.0,7.0,1.0,0.0,2.0,237.0,0.0,2515.0,0.0,21102.0,3880.0,1066.0,0.0,0.0,1.0,0.0,0.0,2.0,757.0,0.0,1977.0,0.0,19641.0,4707.0,1718.0,0.0,0.0,2.0,0.0,0.0,2.0,1357.0,30.0,2765.0,0.0,16788.0,4250.0,3610.0,0.0,0.0,3.0,0.0,0.0,2.0,257.0,0.0,1716.0,0.0,23458.0,1732.0,1637.0,0.0,0.0,4.0,0.0,0.0,3.0,494.0,0.0,2004.0,0.0,18800.0,6351.0,1151.0,0.0,0.0,5.0,0.0,0.0,3.0,1085.0,7.0,1934.0,0.0,16867.0,6972.0,1935.0,0.0,0.0,4.125,0.25,0.125,2.25,677.375,4.625,2115.125,0.0,19620.25,4558.0,1824.625,0.0,0.0,2.03100960115899,0.4629100498862757,0.3535533905932738,0.4629100498862757,449.487942790778,10.541584321154007,413.71295690887627,0.0,2628.6451561865206,1767.4012399161495,812.9420885190497,0.0,0.0,-0.2238027108715141,1.4401645996461911,2.8284271247461903,1.4401645996461911,0.31053810922815056,2.5623518980654314,0.37820622129738685,0.0,0.4118657349368411,-0.22327345745327062,1.7215231660223678,0.0,0.0,0.0
5.0,0.0,0.0,3.0,1085.0,7.0,1934.0,0.0,16867.0,6972.0,1935.0,0.0,0.0,6.0,1.0,0.0,3.0,69.0,7.0,1087.0,0.0,22400.0,3663.0,1574.0,0.0,0.0,7.0,1.0,0.0,3.0,1115.0,15.0,3611.0,0.0,17007.0,4053.0,2999.0,0.0,0.0,1.0,0.0,0.0,3.0,200.0,0.0,1528.0,0.0,18818.0,7854.0,400.0,0.0,0.0,2.0,0.0,0.0,3.0,658.0,0.0,2310.0,0.0,20284.0,4355.0,1193.0,0.0,0.0,3.0,0.0,0.0,3.0,692.0,0.0,3376.0,0.0,18389.0,4670.0,1673.0,0.0,0.0,4.0,0.0,0.0,3.0,1146.0,0.0,1893.0,0.0,22304.0,1474.0,1983.0,0.0,0.0,5.0,0.0,0.0,3.0,411.0,15.0,2004.0,0.0,20198.0,4793.0,1379.0,0.0,0.0,4.125,0.25,0.0,3.0,672.0,5.5,2217.875,0.0,19533.375,4729.25,1642.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,422.0027081835918,6.611677980232077,868.2671474181863,0.0,2145.1789094552064,1968.7734941908811,742.8226090874109,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.19846492595816106,0.6959363724760493,0.7031420084110572,0.0,0.1658456950400596,0.1428374396838695,0.25038416157671317,0.0,0.0,-7.0
5.0,0.0,0.0,3.0,411.0,15.0,2004.0,0.0,20198.0,4793.0,1379.0,0.0,0.0,6.0,1.0,0.0,3.0,23.0,0.0,904.0,0.0,27014.0,468.0,391.0,0.0,0.0,7.0,1.0,0.0,3.0,260.0,54.0,2918.0,0.0,19077.0,5382.0,1109.0,0.0,0.0,1.0,0.0,0.0,3.0,756.0,0.0,2578.0,0.0,18869.0,5751.0,846.0,0.0,0.0,2.0,0.0,0.0,3.0,346.0,10.0,5396.0,0.0,18411.0,2681.0,1956.0,0.0,0.0,3.0,0.0,0.0,3.0,480.0,0.0,4175.0,0.0,17412.0,5254.0,1479.0,0.0,0.0,4.0,0.0,0.0,3.0,765.0,0.0,4226.0,0.0,19611.0,2269.0,1929.0,0.0,0.0,5.0,0.0,0.0,3.0,769.0,0.0,2266.0,0.0,21366.0,2488.0,1911.0,0.0,0.0,4.125,0.25,0.0,3.0,476.25,9.875,3058.375,0.0,20244.75,3635.75,1375.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,272.7572180529784,18.74976190325017,1449.4359432453125,0.0,2979.14684575491,1912.8570815107212,568.3884486611498,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.32530650861993193,2.3473601951645335,0.24868521596210164,0.0,2.0044495845283126,-0.43939216390984953,-0.6206702305057804,0.0,0.0,-8.0
1.0,0.0,0.0,3.0,756.0,0.0,2578.0,0.0,18869.0,5751.0,846.0,0.0,0.0,2.0,0.0,0.0,3.0,346.0,10.0,5396.0,0.0,18411.0,2681.0,1956.0,0.0,0.0,3.0,0.0,0.0,3.0,480.0,0.0,4175.0,0.0,17412.0,5254.0,1479.0,0.0,0.0,4.0,0.0,0.0,3.0,765.0,0.0,4226.0,0.0,19611.0,2269.0,1929.0,0.0,0.0,5.0,0.0,0.0,3.0,769.0,0.0,2266.0,0.0,21366.0,2488.0,1911.0,0.0,0.0,6.0,1.0,0.0,3.0,353.0,0.0,5111.0,0.0,20322.0,1777.0,1237.0,0.0,0.0,7.0,1.0,0.0,3.0,334.0,32.0,4792.0,0.0,15880.0,5044.0,2718.0,0.0,0.0,1.0,0.0,0.0,3.0,392.0,0.0,1686.0,0.0,21342.0,4242.0,1138.0,0.0,0.0,3.625,0.25,0.0,3.0,524.375,5.25,3778.75,0.0,19151.625,3688.25,1651.75,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,202.94752136592214,11.360960723962942,1408.3387123030554,0.0,1913.867806862025,1557.1726897535436,596.2462937890205,0.0,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,0.4781272268222811,2.387519544433051,-0.44814194620046044,0.0,-0.4794135934138996,0.13549250202904947,0.48873626974794054,0.0,0.0,6.0
4.0,0.0,0.0,3.0,765.0,0.0,4226.0,0.0,19611.0,2269.0,1929.0,0.0,0.0,5.0,0.0,0.0,3.0,769.0,0.0,2266.0,0.0,21366.0,2488.0,1911.0,0.0,0.0,6.0,1.0,0.0,3.0,353.0,0.0,5111.0,0.0,20322.0,1777.0,1237.0,0.0,0.0,7.0,1.0,0.0,3.0,334.0,32.0,4792.0,0.0,15880.0,5044.0,2718.0,0.0,0.0,1.0,0.0,0.0,3.0,392.0,0.0,1686.0,0.0,21342.0,4242.0,1138.0,0.0,0.0,2.0,0.0,0.0,3.0,1460.0,0.0,2671.0,0.0,18285.0,4046.0,2338.0,0.0,0.0,3.0,0.0,0.0,3.0,567.0,0.0,1853.0,0.0,23484.0,1864.0,1032.0,0.0,0.0,4.0,0.0,0.0,3.0,1308.0,15.0,3234.0,0.0,19248.0,3066.0,1929.0,0.0,0.0,4.0,0.25,0.0,3.0,743.5,5.875,3229.875,0.0,19942.25,3099.5,1779.0,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,432.2747142401792,11.789068786682979,1335.8720466421923,0.0,2283.938625019758,1214.3487378602808,599.9142795909619,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,0.8739047635832993,2.0197522603812446,0.32733098562740487,0.0,-0.3492730980474545,0.4989754589855317,0.15194812655598267,0.0,0.0,3.0
4.0,0.0,0.0,3.0,1308.0,15.0,3234.0,0.0,19248.0,3066.0,1929.0,0.0,0.0,5.0,0.0,0.0,3.0,1573.0,55.0,2297.0,0.0,20262.0,2762.0,1851.0,0.0,0.0,6.0,1.0,0.0,3.0,240.0,0.0,2120.0,0.0,20263.0,5019.0,1158.0,0.0,0.0,7.0,1.0,0.0,3.0,137.0,16.0,1521.0,0.0,21040.0,4348.0,1738.0,0.0,0.0,1.0,0.0,0.0,3.0,716.0,24.0,2744.0,0.0,22162.0,1565.0,1589.0,0.0,0.0,2.0,0.0,0.0,3.0,636.0,0.0,2965.0,0.0,18361.0,5256.0,1582.0,0.0,0.0,3.0,0.0,0.0,3.0,400.0,15.0,2589.0,0.0,22636.0,1973.0,1187.0,0.0,0.0,4.0,0.0,0.0,3.0,339.0,47.0,1733.0,0.0,24674.0,1229.0,778.0,0.0,0.0,4.0,0.25,0.0,3.0,668.625,21.5,2400.375,0.0,21080.75,3152.25,1476.5,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,517.847174780911,20.064182728719068,594.6638756474114,0.0,2021.1767965363997,1563.3734358751271,398.26947087188523,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,0.9833678696457582,0.7923472424969438,-0.1755480599567699,0.0,0.5548074800430157,0.23492863820576748,-0.6986602510354192,0.0,0.0,-6.0
7.0,1.0,0.0,3.0,137.0,16.0,1521.0,0.0,21040.0,4348.0,1738.0,0.0,0.0,1.0,0.0,0.0,3.0,716.0,24.0,2744.0,0.0,22162.0,1565.0,1589.0,0.0,0.0,2.0,0.0,0.0,3.0,636.0,0.0,2965.0,0.0,18361.0,5256.0,1582.0,0.0,0.0,3.0,0.0,0.0,3.0,400.0,15.0,2589.0,0.0,22636.0,1973.0,1187.0,0.0,0.0,4.0,0.0,0.0,3.0,339.0,47.0,1733.0,0.0,24674.0,1229.0,778.0,0.0,0.0,5.0,0.0,0.0,3.0,170.0,0.0,1912.0,0.0,23162.0,1961.0,1595.0,0.0,0.0,6.0,1.0,0.0,3.0,1225.0,31.0,3133.0,0.0,19039.0,1436.0,3936.0,0.0,0.0,7.0,1.0,0.0,3.0,1064.0,0.0,1487.0,0.0,22698.0,1571.0,1980.0,0.0,0.0,4.375,0.375,0.0,3.0,585.875,16.625,2260.5,0.0,21721.5,2417.375,1798.125,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,401.15313695110785,16.970036619204535,670.1952807098198,0.0,2129.030899594595,1512.2867204997867,937.5526556641271,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.5572579186681046,0.6862536378525391,0.06709466541638423,0.0,-0.5341205835768736,1.4339494602978367,1.955236488833793,0.0,0.0,0.0
3.0,0.0,0.0,3.0,400.0,15.0,2589.0,0.0,22636.0,1973.0,1187.0,0.0,0.0,4.0,0.0,0.0,3.0,339.0,47.0,1733.0,0.0,24674.0,1229.0,778.0,0.0,0.0,5.0,0.0,0.0,3.0,170.0,0.0,1912.0,0.0,23162.0,1961.0,1595.0,0.0,0.0,6.0,1.0,0.0,3.0,1225.0,31.0,3133.0,0.0,19039.0,1436.0,3936.0,0.0,0.0,7.0,1.0,0.0,3.0,1064.0,0.0,1487.0,0.0,22698.0,1571.0,1980.0,0.0,0.0,1.0,0.0,0.0,3.0,375.0,0.0,3659.0,0.0,22775.0,1460.0,531.0,0.0,0.0,2.0,0.0,0.0,3.0,776.0,16.0,4585.0,0.0,18913.0,3141.0,1369.0,0.0,0.0,3.0,0.0,0.0,3.0,291.0,0.0,3067.0,0.0,23532.0,1145.0,765.0,0.0,0.0,3.875,0.25,0.0,3.0,580.0,13.625,2770.625,0.0,22178.625,1739.5,1517.625,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,391.4850845544073,17.590074311546108,1055.2524325622621,0.0,2083.3250852217675,641.4773128156154,1088.0280901704698,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,0.8499866541158547,1.1311219912928177,0.46624899096468503,0.0,-0.9765394884122026,1.7164688870664548,1.8356081113420042,0.0,0.0,4.0
7.0,1.0,0.0,3.0,1064.0,0.0,1487.0,0.0,22698.0,1571.0,1980.0,0.0,0.0,1.0,0.0,0.0,3.0,375.0,0.0,3659.0,0.0,22775.0,1460.0,531.0,0.0,0.0,2.0,0.0,0.0,3.0,776.0,16.0,4585.0,0.0,18913.0,3141.0,1369.0,0.0,0.0,3.0,0.0,0.0,3.0,291.0,0.0,3067.0,0.0,23532.0,1145.0,765.0,0.0,0.0,4.0,0.0,0.0,3.0,531.0,0.0,2148.0,0.0,22624.0,2113.0,1384.0,0.0,0.0,5.0,0.0,0.0,3.0,208.0,0.0,1608.0,0.0,25030.0,1424.0,530.0,0.0,0.0,6.0,1.0,0.0,3.0,250.0,0.0,2070.0,0.0,21781.0,3479.0,1220.0,0.0,0.0,7.0,1.0,0.0,3.0,299.0,0.0,3577.0,0.0,19114.0,4945.0,865.0,0.0,0.0,4.375,0.375,0.0,3.0,474.25,2.0,2775.125,0.0,22058.375,2409.75,1080.5,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,301.7566427248478,5.656854249492381,1114.6434968186015,0.0,2100.4895305278583,1329.3606143019067,500.69751347495225,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.3178852147034992,2.8284271247461903,0.38994224555665996,0.0,-0.5428855639687676,1.0909240606215205,0.6195828873871202,0.0,0.0,0.0
3.0,0.0,0.0,3.0,291.0,0.0,3067.0,0.0,23532.0,1145.0,765.0,0.0,0.0,4.0,0.0,0.0,3.0,531.0,0.0,2148.0,0.0,22624.0,2113.0,1384.0,0.0,0.0,5.0,0.0,0.0,3.0,208.0,0.0,1608.0,0.0,25030.0,1424.0,530.0,0.0,0.0,6.0,1.0,0.0,3.0,250.0,0.0,2070.0,0.0,21781.0,3479.0,1220.0,0.0,0.0,7.0,1.0,0.0,3.0,299.0,0.0,3577.0,0.0,19114.0,4945.0,865.0,0.0,0.0,1.0,0.0,0.0,3.0,478.0,0.0,2134.0,0.0,23891.0,1436.0,861.0,0.0,0.0,2.0,0.0,0.0,3.0,353.0,0.0,2907.0,0.0,24179.0,801.0,560.0,0.0,0.0,3.0,0.0,0.0,3.0,493.0,0.0,1769.0,0.0,25034.0,1057.0,447.0,0.0,0.0,3.875,0.25,0.0,3.0,362.875,0.0,2410.0,0.0,23148.125,2050.0,829.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,122.19590535576177,0.0,692.3100048801424,0.0,1974.0388936318932,1442.2691446863466,332.7392801750773,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,0.2813949966001256,0.0,0.6533350688832933,0.0,-1.3226849987504754,1.4625308350378292,0.6649648020477377,0.0,0.0,0.0
7.0,1.0,0.0,3.0,299.0,0.0,4865.0,0.0,16242.0,5811.0,1583.0,0.0,0.0,1.0,0.0,0.0,3.0,318.0,15.0,2726.0,0.0,21461.0,2484.0,1796.0,0.0,0.0,2.0,0.0,0.0,3.0,60.0,23.0,3887.0,0.0,19089.0,4852.0,889.0,0.0,0.0,3.0,0.0,0.0,3.0,42.0,8.0,1944.0,0.0,24228.0,1882.0,696.0,0.0,0.0,4.0,0.0,0.0,3.0,592.0,16.0,2209.0,0.0,19735.0,4970.0,1278.0,0.0,0.0,5.0,0.0,0.0,3.0,75.0,16.0,2095.0,0.0,21684.0,4223.0,707.0,0.0,0.0,6.0,1.0,0.0,3.0,56.0,39.0,7225.0,0.0,16667.0,2229.0,2584.0,0.0,0.0,7.0,1.0,0.0,3.0,33.0,0.0,3869.0,0.0,19187.0,4452.0,1259.0,0.0,0.0,4.375,0.375,0.0,3.0,184.375,14.625,3602.5,0.0,19786.625,3862.875,1349.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,201.51209641110879,12.760849725401743,1796.888103678929,0.0,2653.1570917628355,1462.4222995232456,637.3050402167821,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.3947785617492712,0.7816961357802009,1.254894429584046,0.0,0.2415387055566855,-0.2915076979495576,0.9892267360130719,0.0,0.0,0.0
7.0,1.0,0.0,3.0,33.0,0.0,3869.0,0.0,19187.0,4452.0,1259.0,0.0,0.0,1.0,0.0,0.0,3.0,15.0,0.0,2629.0,0.0,23549.0,2099.0,508.0,0.0,0.0,2.0,0.0,0.0,3.0,76.0,7.0,5547.0,0.0,19750.0,2094.0,1326.0,0.0,0.0,3.0,0.0,0.0,3.0,8.0,17.0,1560.0,0.0,24048.0,2647.0,520.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1106.0,0.0,26374.0,976.0,344.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,48.0,1952.0,0.0,23860.0,2158.0,782.0,0.0,0.0,6.0,1.0,0.0,3.0,153.0,0.0,2274.0,0.0,20557.0,4833.0,983.0,0.0,0.0,7.0,1.0,0.0,3.0,61.0,16.0,3536.0,0.0,19642.0,4810.0,735.0,0.0,0.0,4.375,0.375,0.0,3.0,43.25,11.0,2809.125,0.0,22120.875,3008.625,807.125,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,52.535022332046,16.604646509766045,1447.2662345164515,0.0,2664.211941242127,1478.729371308837,357.888425350695,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.4889900567427543,1.8974650097347516,0.9060480866755951,0.0,0.34878167166152957,0.2560202442507737,0.36253275032856397,0.0,0.0,1.0
