week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
7.0,1.0,0.0,3.0,0.0,88.0,2428.0,0.0,21938.0,3390.0,956.0,0.0,0.0,1.0,0.0,0.0,3.0,96.0,163.0,2487.0,0.0,22499.0,2907.0,648.0,0.0,0.0,2.0,0.0,0.0,3.0,18011.0,0.0,1547.0,0.0,4816.0,1637.0,2789.0,0.0,0.0,3.0,0.0,0.0,3.0,215.0,176.0,2617.0,0.0,20701.0,4017.0,1074.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,252.0,0.0,27410.0,877.0,261.0,0.0,0.0,5.0,0.0,0.0,3.0,1680.0,68.0,3285.0,0.0,16768.0,2762.0,4237.0,0.0,0.0,6.0,1.0,0.0,3.0,559.0,40.0,2401.0,0.0,21873.0,2679.0,1248.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,763.0,0.0,26477.0,1539.0,21.0,0.0,0.0,4.375,0.375,0.0,3.0,2570.125,66.875,1972.5,0.0,20310.25,2476.0,1404.25,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,6264.892005396878,71.44915774770996,1028.028626616427,0.0,7082.066319736272,1045.9127251216655,1417.680575547861,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.783625890212343,0.6686731385732911,-0.7190139263806593,0.0,-1.6908333260275483,-0.16095234217902654,1.3826906136296886,0.0,0.0,0.0
3.0,0.0,0.0,3.0,215.0,176.0,2617.0,0.0,20701.0,4017.0,1074.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,252.0,0.0,27410.0,877.0,261.0,0.0,0.0,5.0,0.0,0.0,3.0,1680.0,68.0,3285.0,0.0,16768.0,2762.0,4237.0,0.0,0.0,6.0,1.0,0.0,3.0,559.0,40.0,2401.0,0.0,21873.0,2679.0,1248.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,763.0,0.0,26477.0,1539.0,21.0,0.0,0.0,1.0,0.0,0.0,3.0,69.0,0.0,2257.0,0.0,23104.0,2950.0,420.0,0.0,0.0,2.0,0.0,0.0,3.0,141.0,0.0,2343.0,0.0,23770.0,1380.0,1166.0,0.0,0.0,3.0,0.0,0.0,3.0,747.0,0.0,2655.0,0.0,21414.0,2502.0,1482.0,0.0,0.0,3.875,0.25,0.0,3.0,426.375,35.5,2071.625,0.0,22689.625,2338.25,1238.625,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,574.3806446947877,62.24146527838174,1024.6999473713547,0.0,3365.357842891939,1014.6937257827394,1319.6566585398534,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,1.7812750158580368,2.0414203317721142,-1.0722082651422717,0.0,-0.28631281651763507,0.10382022055749193,1.9624271027511753,0.0,0.0,-6.0
1.0,0.0,0.0,3.0,69.0,0.0,2257.0,0.0,23104.0,2950.0,420.0,0.0,0.0,2.0,0.0,0.0,3.0,141.0,0.0,2343.0,0.0,23770.0,1380.0,1166.0,0.0,0.0,3.0,0.0,0.0,3.0,747.0,0.0,2655.0,0.0,21414.0,2502.0,1482.0,0.0,0.0,4.0,0.0,0.0,3.0,40.0,0.0,2652.0,0.0,22766.0,2798.0,544.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,687.0,0.0,25330.0,2204.0,579.0,0.0,0.0,6.0,1.0,0.0,3.0,674.0,418.0,4424.0,0.0,17677.0,2935.0,2672.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,28067.0,733.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3544.0,0.0,23272.0,1750.0,234.0,0.0,0.0,3.625,0.25,0.0,3.0,208.875,52.25,2320.25,0.0,23175.0,2156.5,887.125,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,313.8463853088459,147.78531726798843,1424.3307952458636,0.0,2986.650536733655,807.4120916324487,867.0039442157771,0.0,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,1.3632459389709781,2.8284271247461903,-0.37117336045003296,0.0,-0.3176629461678699,-0.7755257000951233,1.3941273737571906,0.0,0.0,0.0
4.0,0.0,0.0,3.0,40.0,0.0,2652.0,0.0,22766.0,2798.0,544.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,687.0,0.0,25330.0,2204.0,579.0,0.0,0.0,6.0,1.0,0.0,3.0,674.0,418.0,4424.0,0.0,17677.0,2935.0,2672.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,28067.0,733.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3544.0,0.0,23272.0,1750.0,234.0,0.0,0.0,2.0,0.0,0.0,3.0,670.0,0.0,6028.0,0.0,17308.0,2717.0,2077.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,97.0,0.0,26876.0,1019.0,808.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,218.0,0.0,26484.0,1697.0,401.0,0.0,0.0,4.0,0.25,0.0,3.0,173.0,52.25,2206.25,0.0,23472.5,1981.625,914.375,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,308.30041008267057,147.78531726798843,2301.8684801699683,0.0,4094.26260585643,826.8694727706423,946.0034638263375,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,1.431795980046325,2.8284271247461903,0.5890852894181706,0.0,-0.7192057515541881,-0.3554131713240714,1.281714829773997,0.0,0.0,3.0
5.0,0.0,0.0,3.0,2970.0,90.0,1616.0,0.0,19906.0,2585.0,1633.0,0.0,0.0,6.0,1.0,0.0,3.0,210.0,0.0,546.0,0.0,23166.0,4751.0,127.0,0.0,0.0,7.0,1.0,0.0,3.0,286.0,0.0,587.0,0.0,25066.0,2639.0,222.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,26.0,0.0,27366.0,1325.0,83.0,0.0,0.0,2.0,0.0,1.0,3.0,6411.0,31.0,2734.0,0.0,15519.0,2055.0,2050.0,0.0,0.0,3.0,0.0,1.0,3.0,1388.0,60.0,3296.0,0.0,19312.0,2602.0,2142.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,15.0,0.0,27536.0,1173.0,76.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,1092.0,0.0,25458.0,1378.0,872.0,0.0,0.0,4.125,0.25,0.5,3.0,1408.125,22.625,1239.0,0.0,22916.125,2313.5,900.625,0.0,0.0,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,2271.303366383024,34.981372594159716,1225.0311949380834,0.0,4293.819293472887,1160.3051322820218,910.7933649140339,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.9103608502357636,1.338156651715575,0.8150880000855186,0.0,-0.6394155003164933,1.3748417761384786,0.48940908854611853,0.0,0.0,-11.0
4.0,0.0,1.0,3.0,1007.0,51.0,1703.0,0.0,20267.0,3624.0,2148.0,0.0,0.0,5.0,0.0,1.0,4.0,436.0,0.0,3265.0,0.0,19413.0,3138.0,2548.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,28689.0,111.0,0.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,39.0,0.0,28053.0,588.0,120.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28346.0,454.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,116.0,0.0,27799.0,732.0,153.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28188.0,612.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,26426.0,2299.0,75.0,0.0,0.0,4.0,0.25,1.0,3.875,180.375,6.375,640.375,0.0,25897.625,1444.75,630.5,0.0,0.0,2.0,0.4629100498862757,0.0,0.3535533905932738,367.2025278079815,18.031222920256962,1212.7165417830688,0.0,3804.6302593963433,1364.967268053393,1066.9984603014732,0.0,0.0,0.0,1.4401645996461911,0.0,-2.8284271247461903,2.101749084881041,2.8284271247461903,1.9082577943011225,0.0,-1.334052621330034,0.8174505099075899,1.4707205843087705,0.0,0.0,-1.0
4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,26426.0,2299.0,75.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,214.0,0.0,26536.0,1718.0,332.0,0.0,0.0,6.0,1.0,1.0,4.0,1038.0,82.0,2816.0,0.0,20905.0,2436.0,1523.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,760.0,0.0,25969.0,1833.0,238.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,20.0,0.0,26901.0,1738.0,141.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,100.0,0.0,28218.0,387.0,95.0,0.0,0.0,3.0,0.0,1.0,4.0,958.0,114.0,3911.0,0.0,18871.0,3871.0,1075.0,0.0,0.0,4.0,0.0,1.0,4.0,11103.0,100.0,3908.0,0.0,9096.0,3308.0,1285.0,0.0,0.0,4.0,0.25,1.0,4.0,1637.375,37.0,1466.125,0.0,22865.25,2198.75,595.5,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,3851.2306358765745,51.779753351506585,1770.2242341821316,0.0,6437.775564143699,1065.8876582454645,596.5155967305944,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,2.7531145323994,0.7469831231710072,0.7071091552204611,0.0,-1.669221246557851,-0.02347942074287046,0.7283728958455908,0.0,0.0,-2.0
1.0,0.0,0.0,4.0,21.0,20.0,2510.0,0.0,23521.0,1973.0,755.0,0.0,0.0,2.0,0.0,0.0,4.0,33.0,118.0,2136.0,0.0,23098.0,3023.0,392.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,93.0,2340.0,0.0,23923.0,2212.0,232.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,27.0,2545.0,0.0,22301.0,3603.0,324.0,0.0,0.0,5.0,0.0,0.0,4.0,39.0,0.0,3676.0,0.0,20703.0,3749.0,633.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,20.0,4018.0,0.0,21966.0,1864.0,932.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,46.0,3371.0,0.0,20890.0,3324.0,1169.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2649.0,0.0,22956.0,2891.0,304.0,0.0,0.0,3.625,0.25,0.0,4.0,11.625,40.5,2905.625,0.0,22419.75,2829.875,592.625,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,16.775300721170822,43.25340614168025,687.8652146833917,0.0,1178.828443837355,734.5187807576565,338.3033032649844,0.0,0.0,0.22624995586066124,1.4401645996461911,0.0,0.0,0.938088808944879,1.0776020063293197,0.685817904535123,0.0,-0.4111312379426706,-0.19199842118013785,0.6715568609920516,0.0,0.0,6.0
4.0,0.0,0.0,4.0,0.0,27.0,2545.0,0.0,22301.0,3603.0,324.0,0.0,0.0,5.0,0.0,0.0,4.0,39.0,0.0,3676.0,0.0,20703.0,3749.0,633.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,20.0,4018.0,0.0,21966.0,1864.0,932.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,46.0,3371.0,0.0,20890.0,3324.0,1169.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2649.0,0.0,22956.0,2891.0,304.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1281.0,0.0,24710.0,2386.0,423.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,42.0,4245.0,0.0,21019.0,2573.0,921.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1375.0,0.0,25565.0,1752.0,108.0,0.0,0.0,4.0,0.25,0.0,4.0,4.875,16.875,2895.0,0.0,22513.75,2767.75,601.75,0.0,0.0,2.0,0.4629100498862757,0.0,0.0,13.788582233137676,19.75158221510368,1135.0631197049288,0.0,1805.7121863685807,757.5591914638939,373.26273779815125,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,2.8284271247461903,0.5540345286940687,-0.4315447191660892,0.0,0.8202985014089681,-0.06470157774086194,0.2827816524953863,0.0,0.0,3.0
7.0,1.0,0.0,4.0,0.0,46.0,3371.0,0.0,20890.0,3324.0,1169.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2649.0,0.0,22956.0,2891.0,304.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1281.0,0.0,24710.0,2386.0,423.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,42.0,4245.0,0.0,21019.0,2573.0,921.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1375.0,0.0,25565.0,1752.0,108.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,2767.0,0.0,22400.0,3294.0,339.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,1822.0,0.0,24776.0,1897.0,305.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1045.0,0.0,25003.0,1882.0,870.0,0.0,0.0,4.375,0.375,0.0,4.0,0.0,11.0,2319.375,0.0,23414.875,2499.875,554.875,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,0.0,20.396078054371138,1131.6516295725844,0.0,1852.8332310661035,630.8333349059571,377.88261121298353,0.0,0.0,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.0,1.4520136928500162,0.5617800888000992,0.0,-0.36986168245089945,0.18663401623230724,0.6318758747312883,0.0,0.0,-8.0
3.0,0.0,0.0,4.0,0.0,42.0,4245.0,0.0,21019.0,2573.0,921.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1375.0,0.0,25565.0,1752.0,108.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,2767.0,0.0,22400.0,3294.0,339.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,1822.0,0.0,24776.0,1897.0,305.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1045.0,0.0,25003.0,1882.0,870.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,842.0,0.0,26196.0,1250.0,512.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3201.0,0.0,22447.0,2767.0,385.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2954.0,0.0,21412.0,3838.0,596.0,0.0,0.0,3.875,0.25,0.0,4.0,0.0,5.25,2281.375,0.0,23602.25,2406.625,504.5,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,14.849242404917497,1196.5876408115107,0.0,2006.0657837098536,869.7359102459944,281.36757859731154,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,2.8284271247461903,0.3395700949235431,0.0,-0.03890175639521317,0.4569247138810079,0.38762280044626657,0.0,0.0,6.0
5.0,0.0,0.0,4.0,0.0,22.0,3868.0,0.0,21876.0,2407.0,627.0,0.0,0.0,6.0,1.0,0.0,4.0,27.0,0.0,3325.0,0.0,22078.0,2659.0,711.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,2087.0,0.0,25166.0,1211.0,336.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,40.0,3719.0,0.0,21516.0,2789.0,736.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1446.0,0.0,24329.0,2009.0,1016.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2083.0,0.0,25208.0,1038.0,471.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2644.0,0.0,21690.0,3184.0,1282.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,45.0,1733.0,0.0,22424.0,3635.0,963.0,0.0,0.0,4.125,0.25,0.0,4.0,3.375,13.375,2613.125,0.0,23035.875,2366.5,767.75,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,9.545941546018392,19.558976747994038,925.8224818274521,0.0,1589.535281368201,907.9804906651748,307.6898949081224,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,0.9974440851875478,0.2695665511422974,0.0,0.6383176354185011,-0.3168457075637493,0.3211934052612188,0.0,0.0,11.0
5.0,0.0,0.0,4.0,0.0,45.0,1733.0,0.0,22424.0,3635.0,963.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,31.0,2963.0,0.0,22156.0,2856.0,794.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,948.0,0.0,24802.0,2542.0,508.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3251.0,0.0,21336.0,3638.0,575.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1799.0,0.0,23006.0,3223.0,772.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1954.0,0.0,22240.0,3580.0,1026.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,830.0,0.0,25883.0,2022.0,65.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,3414.0,0.0,20805.0,3686.0,895.0,0.0,0.0,4.125,0.25,0.0,4.0,0.0,9.5,2111.5,0.0,22831.5,3147.75,699.75,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,17.984119979264246,998.6932891104684,0.0,1712.9933700146903,618.6780261169779,312.41078726574085,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,1.6220631382301438,0.10296053864468076,0.0,0.9026879579262918,-0.9677542424909464,-1.2688044658134656,0.0,0.0,-10.0
