week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3297.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11109.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5473.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6770.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3334.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,28158.0,0.0,0.0,642.0,4362.0,5.0,0.0,0.0,3.0,106.0,0.0,0.0,2.0,23557.0,0.0,0.0,5135.0,4748.0,4.125,0.25,0.0,3.0,13.25,0.0,0.0,0.25,6464.375,0.0,0.0,722.125,5027.125,2.03100960115899,0.4629100498862757,0.0,0.0,37.476659402887016,0.0,0.0,0.7071067811865476,12032.693914468435,0.0,0.0,1797.1673296369167,2972.260151923833,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,0.0,0.0,2.8284271247461903,1.4849908120770658,0.0,0.0,2.7457822917913286,1.164537963726459,-5.0
7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,20766.0,0.0,0.0,8034.0,5612.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20320.0,0.0,0.0,8480.0,5759.0,2.0,0.0,0.0,3.0,15.0,0.0,0.0,8.0,22032.0,0.0,0.0,6745.0,7144.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23960.0,0.0,0.0,4840.0,4846.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25698.0,0.0,0.0,3102.0,5807.0,5.0,0.0,0.0,3.0,374.0,0.0,0.0,5.0,19488.0,0.0,0.0,8933.0,14430.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,24403.0,0.0,0.0,4390.0,9971.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,24194.0,0.0,0.0,4604.0,3082.0,4.375,0.375,0.0,3.0,48.625,0.0,0.0,2.75,22607.625,0.0,0.0,6141.0,7081.375,2.2638462845343543,0.5175491695067657,0.0,0.0,131.57609151036087,0.0,0.0,3.4121631178560534,2261.7157796365886,0.0,0.0,2189.9426606975026,3563.301355985967,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.8196019808137343,0.0,0.0,0.7155923404228209,-0.11527253081025125,0.0,0.0,0.041646296539935526,1.424147308503497,0.0
5.0,0.0,0.0,3.0,374.0,0.0,0.0,5.0,19488.0,0.0,0.0,8933.0,14430.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,24403.0,0.0,0.0,4390.0,9971.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,24194.0,0.0,0.0,4604.0,3082.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23709.0,0.0,0.0,5091.0,2679.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,19886.0,0.0,0.0,8914.0,6914.0,3.0,0.0,0.0,3.0,478.0,0.0,0.0,3.0,21561.0,0.0,0.0,6758.0,4586.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,24504.0,0.0,0.0,4296.0,5009.0,5.0,0.0,0.0,3.0,1092.0,0.0,0.0,0.0,21282.0,0.0,0.0,6426.0,4653.0,4.125,0.25,0.0,3.0,243.0,0.0,0.0,2.125,22378.375,0.0,0.0,6176.5,6415.5,2.03100960115899,0.4629100498862757,0.0,0.0,394.3225655656619,0.0,0.0,2.6958963523950885,2074.3600002685853,0.0,0.0,1922.4805404922643,3975.418504473999,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.725536354531192,0.0,0.0,0.9906766884375627,-0.3254075785233608,0.0,0.0,0.647458449031438,1.3832916001909374,-3.0
1.0,0.0,1.0,3.0,2765.0,0.0,0.0,7.0,21775.0,0.0,0.0,4253.0,715.0,2.0,0.0,1.0,3.0,3069.0,0.0,0.0,5.0,23698.0,0.0,0.0,2028.0,296.0,3.0,0.0,1.0,3.0,2877.0,0.0,0.0,0.0,22546.0,0.0,0.0,3377.0,745.0,4.0,0.0,1.0,3.0,4196.0,106.0,0.0,5.0,16176.0,0.0,0.0,8317.0,3825.0,5.0,0.0,1.0,4.0,4678.0,0.0,0.0,0.0,19405.0,0.0,0.0,4717.0,1399.0,6.0,1.0,1.0,4.0,4175.0,0.0,0.0,28.0,18872.0,0.0,0.0,5725.0,2675.0,7.0,1.0,1.0,4.0,5025.0,0.0,0.0,0.0,17962.0,0.0,0.0,5813.0,1295.0,1.0,0.0,1.0,4.0,3201.0,0.0,0.0,13.0,21837.0,0.0,0.0,3749.0,682.0,3.625,0.25,1.0,3.5,3748.25,13.25,0.0,7.25,20283.875,0.0,0.0,4747.375,1454.0,2.2638462845343543,0.4629100498862757,0.0,0.5345224838248488,875.3645363096289,37.476659402887016,0.0,9.498120114753535,2575.7291027424226,0.0,0.0,1902.9503362260555,1202.7669290907054,0.22624995586066124,1.4401645996461911,0.0,0.0,0.27351861245780745,2.8284271247461903,0.0,1.769071158638485,-0.29979846274635863,0.0,0.0,0.6586965701521326,1.3543796965698267,-3.0
4.0,0.0,1.0,3.0,4196.0,106.0,0.0,5.0,16176.0,0.0,0.0,8317.0,3825.0,5.0,0.0,1.0,4.0,4678.0,0.0,0.0,0.0,19405.0,0.0,0.0,4717.0,1399.0,6.0,1.0,1.0,4.0,4175.0,0.0,0.0,28.0,18872.0,0.0,0.0,5725.0,2675.0,7.0,1.0,1.0,4.0,5025.0,0.0,0.0,0.0,17962.0,0.0,0.0,5813.0,1295.0,1.0,0.0,1.0,4.0,3201.0,0.0,0.0,13.0,21837.0,0.0,0.0,3749.0,682.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28290.0,0.0,0.0,510.0,0.0,3.0,0.0,1.0,4.0,1294.0,0.0,0.0,0.0,25312.0,0.0,0.0,2194.0,869.0,4.0,0.0,1.0,4.0,780.0,0.0,0.0,0.0,26102.0,0.0,0.0,1918.0,150.0,4.0,0.25,1.0,3.875,2918.625,13.25,0.0,5.75,21744.5,0.0,0.0,4117.875,1361.875,2.0,0.4629100498862757,0.0,0.3535533905932738,1947.6583696839648,37.476659402887016,0.0,10.095968077830449,4368.8344964238295,0.0,0.0,2539.445295869609,1299.7600259278634,0.0,1.4401645996461911,0.0,-2.8284271247461903,-0.5169101920157397,2.8284271247461903,0.0,1.9333729116259943,0.3318642559363547,0.0,0.0,0.21515981905157286,1.0815566345298475,-4.0
3.0,0.0,0.0,4.0,5567.0,242.0,0.0,8.0,20228.0,0.0,0.0,2755.0,670.0,4.0,0.0,0.0,4.0,2746.0,0.0,0.0,42.0,20712.0,0.0,0.0,5300.0,2966.0,5.0,0.0,0.0,4.0,1686.0,0.0,0.0,0.0,24626.0,0.0,0.0,2488.0,571.0,6.0,1.0,0.0,4.0,5148.0,0.0,0.0,0.0,12760.0,0.0,0.0,10892.0,3014.0,7.0,1.0,0.0,4.0,3130.0,0.0,0.0,5.0,19986.0,0.0,0.0,5679.0,3492.0,1.0,0.0,0.0,4.0,4128.0,0.0,0.0,0.0,21975.0,0.0,0.0,2697.0,1523.0,2.0,0.0,0.0,4.0,5258.0,0.0,0.0,23.0,15957.0,0.0,0.0,7562.0,4800.0,3.0,0.0,0.0,4.0,7929.0,0.0,0.0,4.0,17750.0,0.0,0.0,3117.0,2641.0,3.875,0.25,0.0,4.0,4449.0,30.25,0.0,10.25,19249.25,0.0,0.0,5061.25,2459.625,2.03100960115899,0.4629100498862757,0.0,0.0,1959.6131542438968,85.55992052357225,0.0,14.916433890176299,3687.363934535658,0.0,0.0,2976.1001207236677,1453.4061410061147,0.2238027108715141,1.4401645996461911,0.0,0.0,0.40632459121463615,2.82842712474619,0.0,1.7474343907211922,-0.5021081959924723,0.0,0.0,1.1868693253251181,0.0580459906378264,-6.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,23839.0,0.0,0.0,4953.0,3582.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,23622.0,0.0,0.0,5168.0,2351.0,5.0,0.0,0.0,1.0,4988.0,0.0,0.0,13.0,16205.0,0.0,0.0,7594.0,4494.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,11840.0,0.0,0.0,16950.0,17181.0,7.0,1.0,0.0,1.0,7485.0,0.0,0.0,8.0,10291.0,0.0,0.0,11016.0,9501.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,22703.0,0.0,0.0,6025.0,3993.0,2.0,0.0,0.0,1.0,2563.0,0.0,0.0,46.0,19512.0,0.0,0.0,6679.0,5379.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,23895.0,0.0,0.0,4842.0,4113.0,3.875,0.25,0.0,1.0,1879.5,0.0,0.0,28.75,18988.375,0.0,0.0,7903.375,6324.25,2.03100960115899,0.4629100498862757,0.0,0.0,2908.4648871870536,0.0,0.0,27.133268983192675,5575.935640577027,0.0,0.0,4178.379109432611,4867.311923140211,0.2238027108715141,1.4401645996461911,0.0,0.0,1.3416232164105957,0.0,0.0,0.8701270639444442,-0.726920756041508,0.0,0.0,1.7943540199810755,1.9788120426761338,-12.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,23895.0,0.0,0.0,4842.0,4113.0,4.0,0.0,0.0,1.0,2051.0,0.0,0.0,30.0,21675.0,0.0,0.0,5044.0,3927.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,23932.0,0.0,0.0,4861.0,3499.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,23694.0,0.0,0.0,5106.0,4370.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,23839.0,0.0,0.0,4953.0,2739.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,23649.0,0.0,0.0,5132.0,6512.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24478.0,0.0,0.0,4322.0,3576.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,25429.0,0.0,0.0,3366.0,4334.0,3.875,0.25,0.0,1.0,256.375,0.0,0.0,16.5,23823.875,0.0,0.0,4703.25,4133.75,2.03100960115899,0.4629100498862757,0.0,0.0,725.1380041068045,0.0,0.0,21.347465557163588,1047.8820050122874,0.0,0.0,597.8826330118168,1098.991973193097,0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,0.0,0.0,1.782596551960615,-0.912676339692789,0.0,0.0,-1.9971283637124035,1.4811425400080669,-9.0
4.0,0.0,0.0,1.0,2051.0,0.0,0.0,30.0,21675.0,0.0,0.0,5044.0,3927.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,23932.0,0.0,0.0,4861.0,3499.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,23694.0,0.0,0.0,5106.0,4370.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,23839.0,0.0,0.0,4953.0,2739.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,23649.0,0.0,0.0,5132.0,6512.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24478.0,0.0,0.0,4322.0,3576.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,25429.0,0.0,0.0,3366.0,4334.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,23193.0,0.0,0.0,5585.0,4889.0,4.0,0.25,0.0,1.0,256.375,0.0,0.0,11.375,23736.125,0.0,0.0,4796.125,4230.75,2.0,0.4629100498862757,0.0,0.0,725.1380041068045,0.0,0.0,11.00568035152757,1070.2296732811274,0.0,0.0,675.2217492900282,1130.6877489892095,0.0,1.4401645996461911,0.0,0.0,2.8284271247461903,0.0,0.0,0.6828125306995586,-0.5669532964871723,0.0,0.0,-1.5181227516521842,1.0726927673758522,-6.0
7.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,24105.0,0.0,0.0,4683.0,4728.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24181.0,0.0,0.0,4619.0,826.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,23328.0,0.0,0.0,5421.0,4869.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,22198.0,0.0,0.0,6589.0,4913.0,4.0,0.0,0.0,1.0,2729.0,0.0,0.0,26.0,21242.0,0.0,0.0,4803.0,2664.0,5.0,0.0,0.0,1.0,59.0,0.0,0.0,217.0,17252.0,0.0,0.0,11272.0,6891.0,6.0,1.0,0.0,1.0,886.0,0.0,0.0,14.0,19172.0,0.0,0.0,8728.0,6332.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,26333.0,0.0,0.0,2462.0,2922.0,4.375,0.375,0.0,1.0,459.25,0.0,0.0,42.25,22226.375,0.0,0.0,6072.125,4268.125,2.2638462845343543,0.5175491695067657,0.0,0.0,967.2223484952007,0.0,0.0,72.32812138343662,2939.1726210667807,0.0,0.0,2763.755645468163,2012.8496812444077,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.362391383747041,0.0,0.0,2.5827094589600392,-0.5089694485086944,0.0,0.0,0.941527575807425,-0.46555128914724,6.0
