week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7886.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10715.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4895.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11780.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,28761.0,0.0,0.0,39.0,5252.0,4.0,0.0,0.0,3.0,0.0,123.0,0.0,61.0,23165.0,0.0,0.0,5451.0,3819.0,4.0,0.25,0.0,3.0,0.0,15.375,0.0,7.625,6490.75,0.0,0.0,686.25,5871.25,2.0,0.4629100498862757,0.0,0.0,0.0,43.487067042972676,0.0,21.5667568261897,12111.232457634405,0.0,0.0,1925.2981030776211,3966.5111604172102,0.0,1.4401645996461911,0.0,0.0,0.0,2.8284271247461903,0.0,2.8284271247461903,1.505418716334711,0.0,0.0,2.8281438727845893,0.3691361336038323,-2.0
5.0,0.0,0.0,1.0,3981.0,335.0,0.0,119.0,15437.0,0.0,0.0,8928.0,11176.0,6.0,1.0,0.0,1.0,4889.0,181.0,0.0,10.0,19604.0,0.0,0.0,4116.0,2302.0,7.0,1.0,1.0,1.0,4712.0,0.0,0.0,48.0,18802.0,0.0,0.0,5238.0,2129.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21181.0,0.0,0.0,7619.0,6052.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25221.0,0.0,0.0,3579.0,3418.0,3.0,0.0,1.0,1.0,1658.0,0.0,0.0,44.0,15558.0,0.0,0.0,11540.0,8311.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26554.0,0.0,0.0,2246.0,1858.0,5.0,0.0,1.0,1.0,2423.0,0.0,0.0,8.0,17992.0,0.0,0.0,8377.0,6384.0,4.125,0.25,0.75,1.0,2207.875,64.5,0.0,28.625,20043.625,0.0,0.0,6455.375,5203.75,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,2123.871898040396,126.3238468608136,0.0,41.42096605067811,4101.736737999788,0.0,0.0,3161.396614405005,3374.1131639079836,-0.2238027108715141,1.4401645996461911,-1.4401645996461911,0.0,0.16115472413918752,1.867467222924923,0.0,1.778254059054714,0.6004707543989473,0.0,0.0,0.2547241630920776,0.736964459237445,0.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,23969.0,0.0,0.0,4825.0,3973.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,16687.0,0.0,0.0,12076.0,11248.0,6.0,1.0,0.0,1.0,759.0,0.0,0.0,54.0,23188.0,0.0,0.0,4799.0,3809.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24835.0,0.0,0.0,3965.0,3108.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,24728.0,0.0,0.0,4069.0,2121.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,25118.0,0.0,0.0,3652.0,3286.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22883.0,0.0,0.0,5917.0,4905.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,22470.0,0.0,0.0,6328.0,2846.0,4.0,0.25,0.0,1.0,94.875,0.0,0.0,16.5,22984.75,0.0,0.0,5703.875,4412.0,2.0,0.4629100498862757,0.0,0.0,268.3470234602948,0.0,0.0,20.894291770036823,2724.4956413986056,0.0,0.0,2739.5736079856347,2883.4405044767514,0.0,1.4401645996461911,0.0,0.0,2.82842712474619,0.0,0.0,1.0056229871760336,-2.143795388292095,0.0,0.0,2.2168436336315622,2.381655261977758,-3.0
4.0,0.0,0.0,2.0,6691.0,81.0,0.0,95.0,15150.0,0.0,0.0,6783.0,3817.0,5.0,0.0,1.0,2.0,8439.0,0.0,0.0,0.0,11992.0,0.0,0.0,8369.0,5216.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,19103.0,0.0,0.0,9697.0,1554.0,7.0,1.0,1.0,2.0,4919.0,325.0,0.0,9.0,8951.0,0.0,0.0,14596.0,10300.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,27334.0,0.0,0.0,1466.0,724.0,2.0,0.0,1.0,2.0,0.0,74.0,0.0,0.0,21275.0,0.0,0.0,7451.0,4156.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,13.0,24167.0,0.0,0.0,4620.0,3370.0,4.0,0.0,1.0,2.0,72.0,0.0,0.0,0.0,23677.0,0.0,0.0,5051.0,3713.0,4.0,0.25,0.875,2.0,2515.125,60.0,0.0,14.625,18956.125,0.0,0.0,7254.125,4106.25,2.0,0.4629100498862757,0.3535533905932738,0.0,3577.331744570845,112.67018873052193,0.0,32.87177469241007,6415.556683061215,0.0,0.0,3903.6465895914002,2886.6819682317423,0.0,1.4401645996461911,-2.8284271247461903,0.0,0.9002359618265292,2.3360577646715295,0.0,2.699564785083309,-0.3947293559221907,0.0,0.0,0.6043256309768217,1.450464565557749,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20134.0,0.0,0.0,8666.0,4602.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,18871.0,0.0,0.0,9927.0,2752.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20054.0,0.0,0.0,8746.0,5282.0,5.0,0.0,0.0,3.0,14377.0,0.0,0.0,53.0,9480.0,0.0,0.0,4890.0,1673.0,6.0,1.0,0.0,3.0,3261.0,0.0,0.0,10.0,20000.0,0.0,0.0,5529.0,4832.0,7.0,1.0,0.0,3.0,12130.0,20.0,0.0,43.0,12929.0,0.0,0.0,3678.0,1942.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,106.0,20010.0,0.0,0.0,8684.0,6274.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,211.0,20454.0,0.0,0.0,8135.0,6426.0,3.75,0.25,0.0,3.0,3721.0,2.5,0.0,53.125,17741.5,0.0,0.0,7281.875,4222.875,2.1213203435596424,0.4629100498862757,0.0,0.0,6020.232814672298,7.0710678118654755,0.0,73.62149821893058,4163.868256458513,0.0,0.0,2252.9814809650406,1873.313141201972,0.31426968052735443,1.4401645996461911,0.0,0.0,1.3504057953047985,2.82842712474619,0.0,1.7031683259093287,-1.5953982682458263,0.0,0.0,-0.6362863545095513,-0.31395768025643256,-3.0
6.0,1.0,0.0,3.0,5200.0,0.0,0.0,0.0,19910.0,0.0,0.0,3690.0,1226.0,7.0,1.0,0.0,3.0,238.0,0.0,0.0,0.0,25225.0,0.0,0.0,3337.0,487.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,26111.0,0.0,0.0,2676.0,3066.0,2.0,0.0,0.0,3.0,0.0,1848.0,0.0,0.0,25650.0,0.0,0.0,1302.0,2701.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,26510.0,0.0,0.0,2290.0,3150.0,4.0,0.0,0.0,3.0,1428.0,0.0,0.0,23.0,16546.0,0.0,0.0,10803.0,4482.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,24953.0,0.0,0.0,3847.0,3101.0,6.0,1.0,0.0,3.0,378.0,718.0,0.0,3.0,19905.0,0.0,0.0,7796.0,1638.0,4.25,0.375,0.0,3.0,905.5,320.75,0.0,4.875,23101.25,0.0,0.0,4467.625,2481.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1801.557659360366,666.2886011331726,0.0,8.592978861505811,3750.90433857528,0.0,0.0,3195.0049826699355,1281.0874774971458,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.473518546154056,2.206820330559224,0.0,1.7726291074745382,-0.8932596165634652,0.0,0.0,1.4086482552774244,-0.1591094714270279,-3.0
4.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,25857.0,0.0,0.0,2938.0,396.0,5.0,0.0,0.0,4.0,2309.0,0.0,0.0,5.0,21372.0,0.0,0.0,5114.0,1316.0,6.0,1.0,0.0,4.0,16316.0,0.0,0.0,10.0,8427.0,0.0,0.0,4047.0,2246.0,7.0,1.0,0.0,4.0,1396.0,0.0,0.0,13.0,15601.0,0.0,0.0,11790.0,7205.0,1.0,0.0,0.0,4.0,1830.0,0.0,0.0,0.0,24580.0,0.0,0.0,2390.0,227.0,2.0,0.0,0.0,4.0,15525.0,0.0,0.0,0.0,9858.0,0.0,0.0,3417.0,877.0,3.0,0.0,0.0,4.0,3451.0,0.0,0.0,605.0,18802.0,0.0,0.0,5942.0,7783.0,4.0,0.0,0.0,4.0,4613.0,0.0,0.0,0.0,17887.0,0.0,0.0,6300.0,2575.0,4.0,0.25,0.0,4.0,5680.0,0.0,0.0,79.75,17798.0,0.0,0.0,5242.25,2828.125,2.0,0.4629100498862757,0.0,0.0,6469.230998680269,0.0,0.0,212.28804555535925,6329.2796701407615,0.0,0.0,2992.9207306575963,2997.266775747531,0.0,1.4401645996461911,0.0,0.0,1.2578226288703551,0.0,0.0,2.8255050259462267,-0.3396142721404491,0.0,0.0,1.6981935247894249,1.1488862238728372,4.0
6.0,1.0,1.0,1.0,0.0,0.0,0.0,2930.0,24420.0,0.0,0.0,1450.0,3047.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,24961.0,0.0,0.0,3837.0,385.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,23129.0,0.0,0.0,5671.0,5734.0,2.0,0.0,1.0,1.0,12579.0,0.0,0.0,14.0,6321.0,0.0,0.0,9886.0,7491.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27274.0,0.0,0.0,1526.0,177.0,4.0,0.0,0.0,1.0,1129.0,0.0,0.0,0.0,23990.0,0.0,0.0,3681.0,989.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26529.0,0.0,0.0,2271.0,408.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22931.0,0.0,0.0,5869.0,1827.0,4.25,0.375,0.5,1.0,1713.5,0.0,0.0,368.25,22444.375,0.0,0.0,4273.875,2507.25,2.1213203435596424,0.5175491695067657,0.5345224838248488,0.0,4408.064427841317,0.0,0.0,1035.1145899298851,6690.11667499155,0.0,0.0,2830.226767163972,2742.5143182332313,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.785062367646833,0.0,0.0,2.8283041297219786,-2.533608993832709,0.0,0.0,1.1086430445862665,1.1289746981750253,-3.0
6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22931.0,0.0,0.0,5869.0,1827.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27804.0,0.0,0.0,996.0,263.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,24466.0,0.0,0.0,4326.0,4051.0,2.0,0.0,0.0,1.0,2265.0,0.0,0.0,13.0,18590.0,0.0,0.0,7932.0,2449.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2076.0,23827.0,0.0,0.0,2897.0,1853.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26927.0,0.0,0.0,1873.0,241.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27054.0,0.0,0.0,1746.0,295.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25916.0,0.0,0.0,2884.0,918.0,4.25,0.375,0.0,1.0,283.125,0.0,0.0,262.125,24689.375,0.0,0.0,3565.375,1487.125,2.1213203435596424,0.5175491695067657,0.0,0.0,800.7984296937651,0.0,0.0,732.9327463787422,2997.421746267949,0.0,0.0,2349.455738646111,1338.6780726309282,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.8284271247461903,0.0,0.0,2.8281718679154126,-1.248470387810221,0.0,0.0,0.9910661991496699,0.9673749155006235,-4.0
2.0,0.0,0.0,1.0,2265.0,0.0,0.0,13.0,18590.0,0.0,0.0,7932.0,2449.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2076.0,23827.0,0.0,0.0,2897.0,1853.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26927.0,0.0,0.0,1873.0,241.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27054.0,0.0,0.0,1746.0,295.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25916.0,0.0,0.0,2884.0,918.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24758.0,0.0,0.0,4042.0,3667.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26528.0,0.0,0.0,2272.0,1729.0,2.0,0.0,0.0,1.0,271.0,0.0,0.0,0.0,23391.0,0.0,0.0,5138.0,3681.0,3.75,0.25,0.0,1.0,317.0,0.0,0.0,261.125,24623.875,0.0,0.0,3598.0,1854.125,2.1213203435596424,0.4629100498862757,0.0,0.0,792.8028038007218,0.0,0.0,733.334349295833,2805.245058686623,0.0,0.0,2087.968732661346,1357.6710560472927,0.31426968052735443,1.4401645996461911,0.0,0.0,2.7525124323775514,0.0,0.0,2.8282100998964497,-1.6085669639410662,0.0,0.0,1.4777900006818236,0.2630245020579227,3.0
