week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
6.0,1.0,1.0,4.0,3610.0,0.0,0.0,3.0,18864.0,0.0,0.0,6323.0,1266.0,7.0,1.0,1.0,4.0,4602.0,0.0,0.0,10.0,16696.0,0.0,0.0,7492.0,1965.0,1.0,0.0,1.0,4.0,593.0,0.0,0.0,274.0,21605.0,0.0,0.0,6328.0,854.0,2.0,0.0,1.0,4.0,6701.0,0.0,0.0,0.0,16338.0,0.0,0.0,5761.0,1015.0,3.0,0.0,1.0,4.0,4597.0,0.0,0.0,0.0,15286.0,0.0,0.0,8917.0,2097.0,4.0,0.0,1.0,4.0,695.0,306.0,0.0,27.0,23523.0,0.0,0.0,4249.0,408.0,5.0,0.0,1.0,4.0,4140.0,0.0,0.0,5.0,16691.0,0.0,0.0,7964.0,1377.0,6.0,1.0,1.0,4.0,1018.0,0.0,0.0,46.0,22463.0,0.0,0.0,5273.0,692.0,4.25,0.375,1.0,4.0,3244.5,38.25,0.0,45.625,18933.25,0.0,0.0,6538.375,1209.25,2.1213203435596424,0.5175491695067657,0.0,0.0,2237.430605468182,108.18733752154178,0.0,93.65733515625688,3178.919661502271,0.0,0.0,1518.3182366872707,593.308339494976,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.013408676790163715,2.8284271247461903,0.0,2.672078741251265,0.42256292587386973,0.0,0.0,0.14738215633884072,0.39329127259845437,-2.0
2.0,0.0,1.0,4.0,6701.0,0.0,0.0,0.0,16338.0,0.0,0.0,5761.0,1015.0,3.0,0.0,1.0,4.0,4597.0,0.0,0.0,0.0,15286.0,0.0,0.0,8917.0,2097.0,4.0,0.0,1.0,4.0,695.0,306.0,0.0,27.0,23523.0,0.0,0.0,4249.0,408.0,5.0,0.0,1.0,4.0,4140.0,0.0,0.0,5.0,16691.0,0.0,0.0,7964.0,1377.0,6.0,1.0,1.0,4.0,1018.0,0.0,0.0,46.0,22463.0,0.0,0.0,5273.0,692.0,7.0,1.0,1.0,4.0,2460.0,5.0,0.0,0.0,22309.0,0.0,0.0,4026.0,448.0,1.0,0.0,1.0,4.0,3547.0,2302.0,0.0,19.0,19853.0,0.0,0.0,3079.0,2111.0,2.0,0.0,1.0,4.0,5880.0,0.0,0.0,0.0,19323.0,0.0,0.0,3597.0,0.0,3.75,0.25,1.0,4.0,3629.75,326.625,0.0,12.125,19473.25,0.0,0.0,5358.25,1018.5,2.1213203435596424,0.4629100498862757,0.0,0.0,2154.7716982150505,805.2855638130577,0.0,17.13340513233057,3131.6612090983645,0.0,0.0,2101.9180866192532,786.254956831979,0.31426968052735443,1.4401645996461911,0.0,0.0,-0.06265269209427429,2.735822595771948,0.0,1.3253576623521035,-0.06061820161886491,0.0,0.0,0.8572611878343438,0.43104456838911803,9.0
6.0,1.0,0.0,4.0,0.0,0.0,0.0,27.0,21834.0,0.0,0.0,6939.0,5556.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,62.0,22975.0,0.0,0.0,5763.0,4618.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24925.0,0.0,0.0,3875.0,3167.0,2.0,0.0,0.0,4.0,213.0,0.0,0.0,7.0,23441.0,0.0,0.0,5139.0,2720.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,22559.0,0.0,0.0,6236.0,4830.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,56.0,24723.0,0.0,0.0,4021.0,3358.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,209.0,22856.0,0.0,0.0,5735.0,5339.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,60.0,21606.0,0.0,0.0,7134.0,6842.0,4.25,0.375,0.0,4.0,26.625,0.0,0.0,53.25,23114.875,0.0,0.0,5605.25,4553.75,2.1213203435596424,0.5175491695067657,0.0,0.0,75.30687219636731,0.0,0.0,68.01207875916495,1211.9582073770412,0.0,0.0,1211.641949705322,1396.586936580953,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.8284271247461903,0.0,0.0,2.057853491584959,0.47034478674333696,0.0,0.0,-0.32714681611844093,0.2063521333460758,3.0
6.0,1.0,0.0,4.0,114.0,9.0,0.0,0.0,25396.0,0.0,0.0,3281.0,0.0,7.0,1.0,0.0,4.0,16624.0,60.0,0.0,7.0,10577.0,0.0,0.0,1532.0,0.0,1.0,0.0,0.0,4.0,200.0,0.0,0.0,22.0,18488.0,0.0,0.0,10090.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,25815.0,0.0,0.0,2973.0,0.0,3.0,0.0,0.0,4.0,1149.0,670.0,0.0,49.0,21514.0,0.0,0.0,5418.0,0.0,4.0,0.0,0.0,4.0,6248.0,0.0,0.0,0.0,16893.0,0.0,0.0,5659.0,0.0,5.0,0.0,0.0,4.0,14607.0,199.0,0.0,5.0,13321.0,0.0,0.0,668.0,0.0,6.0,1.0,0.0,4.0,1199.0,0.0,0.0,0.0,27128.0,0.0,0.0,473.0,0.0,4.25,0.375,0.0,4.0,5017.625,117.25,0.0,11.875,19891.5,0.0,0.0,3761.75,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,6867.705396325201,233.66688743960768,0.0,16.796577032240826,6109.465793808349,0.0,0.0,3220.5072249126047,0.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.162847151540333,2.4115202130920226,0.0,1.8788056387260696,-0.30375409272867976,0.0,0.0,1.0716709984194763,0.0,2.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,23465.0,0.0,0.0,5294.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,27717.0,0.0,0.0,1081.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,23967.0,0.0,0.0,4811.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25466.0,0.0,0.0,3334.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,25352.0,0.0,0.0,3443.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,25326.0,0.0,0.0,3459.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,12868.0,0.0,0.0,15922.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,24641.0,0.0,0.0,4152.0,0.0,4.125,0.25,0.0,1.0,0.0,0.0,0.0,12.75,23600.25,0.0,0.0,5187.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,13.456278407175908,4518.10079410744,0.0,0.0,4516.392998210597,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,1.5132066654221543,-2.371322156180153,0.0,0.0,2.3775121282860137,0.0,-5.0
6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,27920.0,0.0,0.0,880.0,100.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28764.0,0.0,0.0,36.0,9.0,1.0,0.0,0.0,2.0,8876.0,1948.0,0.0,0.0,14769.0,0.0,0.0,3207.0,1407.0,2.0,0.0,0.0,2.0,2207.0,5.0,0.0,529.0,17507.0,0.0,0.0,8552.0,4776.0,3.0,0.0,0.0,2.0,1407.0,0.0,0.0,2.0,21497.0,0.0,0.0,5894.0,4673.0,4.0,0.0,0.0,2.0,2680.0,0.0,0.0,248.0,18114.0,0.0,0.0,7758.0,4876.0,5.0,0.0,1.0,2.0,24371.0,0.0,0.0,0.0,3611.0,0.0,0.0,818.0,2708.0,6.0,1.0,1.0,2.0,9537.0,8.0,0.0,77.0,7742.0,0.0,0.0,11436.0,7158.0,4.25,0.375,0.25,2.0,6134.75,245.125,0.0,107.0,17490.5,0.0,0.0,4822.625,3213.375,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,8251.709982958511,688.072138556084,0.0,191.11925970077277,8842.976825869055,0.0,0.0,4217.524220863637,2573.9410547973757,-0.31426968052735443,0.6440611887195306,1.4401645996461911,0.0,1.8494120421726654,2.8283165554902925,0.0,1.9609846964891278,-0.27229903058416677,0.0,0.0,0.32561493299015465,0.04239937778155365,1.0
1.0,0.0,0.0,2.0,8876.0,1948.0,0.0,0.0,14769.0,0.0,0.0,3207.0,1407.0,2.0,0.0,0.0,2.0,2207.0,5.0,0.0,529.0,17507.0,0.0,0.0,8552.0,4776.0,3.0,0.0,0.0,2.0,1407.0,0.0,0.0,2.0,21497.0,0.0,0.0,5894.0,4673.0,4.0,0.0,0.0,2.0,2680.0,0.0,0.0,248.0,18114.0,0.0,0.0,7758.0,4876.0,5.0,0.0,1.0,2.0,24371.0,0.0,0.0,0.0,3611.0,0.0,0.0,818.0,2708.0,6.0,1.0,1.0,2.0,9537.0,8.0,0.0,77.0,7742.0,0.0,0.0,11436.0,7158.0,7.0,1.0,1.0,2.0,698.0,337.0,0.0,348.0,21369.0,0.0,0.0,6048.0,7491.0,1.0,0.0,1.0,2.0,149.0,0.0,0.0,26.0,18210.0,0.0,0.0,10415.0,7618.0,3.625,0.25,0.5,2.0,6240.625,287.25,0.0,153.75,15352.375,0.0,0.0,6766.0,5088.375,2.2638462845343543,0.4629100498862757,0.5345224838248488,0.0,8164.929234887115,681.2028751721892,0.0,199.98053476704746,6442.151546926805,0.0,0.0,3558.070383950106,2267.436622992077,0.22624995586066124,1.4401645996461911,0.0,0.0,1.8874425842788922,2.676370188490462,0.0,1.1361955516657176,-1.1081566957146847,0.0,0.0,-0.4204833203806764,-0.40145624774999716,-6.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,38.0,21981.0,0.0,0.0,6781.0,7751.0,3.0,0.0,0.0,3.0,247.0,0.0,0.0,444.0,23537.0,0.0,0.0,4572.0,5680.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,23185.0,0.0,0.0,5607.0,5905.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,84.0,22742.0,0.0,0.0,5974.0,8540.0,6.0,1.0,0.0,3.0,0.0,413.0,0.0,21.0,17559.0,0.0,0.0,10807.0,11901.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,10.0,26570.0,0.0,0.0,2220.0,2464.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,24925.0,0.0,0.0,3859.0,5453.0,2.0,0.0,0.0,3.0,0.0,184.0,0.0,5.0,25308.0,0.0,0.0,3303.0,4269.0,3.75,0.25,0.0,3.0,30.875,74.625,0.0,78.25,23225.875,0.0,0.0,5390.375,6495.375,2.1213203435596424,0.4629100498862757,0.0,0.0,87.32768747653861,151.12618899449558,0.0,150.0178560800585,2736.0355280431368,0.0,0.0,2648.0307474207534,2885.5928302764505,0.31426968052735443,1.4401645996461911,0.0,0.0,2.82842712474619,2.072646458091879,0.0,2.672822506572558,-1.2337690394513054,0.0,0.0,1.1973425674683065,0.7138691699502433,0.0
5.0,0.0,0.0,3.0,0.0,0.0,0.0,84.0,22742.0,0.0,0.0,5974.0,8540.0,6.0,1.0,0.0,3.0,0.0,413.0,0.0,21.0,17559.0,0.0,0.0,10807.0,11901.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,10.0,26570.0,0.0,0.0,2220.0,2464.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,24925.0,0.0,0.0,3859.0,5453.0,2.0,0.0,0.0,3.0,0.0,184.0,0.0,5.0,25308.0,0.0,0.0,3303.0,4269.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,26023.0,0.0,0.0,2777.0,4471.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25532.0,0.0,0.0,3268.0,2600.0,5.0,0.0,0.0,3.0,1117.0,300.0,0.0,7.0,19162.0,0.0,0.0,8214.0,8196.0,4.125,0.25,0.0,3.0,139.625,112.125,0.0,17.875,23477.625,0.0,0.0,5052.75,5986.75,2.03100960115899,0.4629100498862757,0.0,0.0,394.9191372926868,166.41122687057933,0.0,27.699600306554192,3378.571673588031,0.0,0.0,3043.2384888470374,3290.4867095483437,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,1.1238951520341394,0.0,2.4541066617539187,-1.1073657415947686,0.0,0.0,1.187043901194413,0.7647078045925502,0.0
1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,24925.0,0.0,0.0,3859.0,5453.0,2.0,0.0,0.0,3.0,0.0,184.0,0.0,5.0,25308.0,0.0,0.0,3303.0,4269.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,26023.0,0.0,0.0,2777.0,4471.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25532.0,0.0,0.0,3268.0,2600.0,5.0,0.0,0.0,3.0,1117.0,300.0,0.0,7.0,19162.0,0.0,0.0,8214.0,8196.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,160.0,21914.0,0.0,0.0,6726.0,5476.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,26189.0,0.0,0.0,2606.0,3580.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25189.0,0.0,0.0,3611.0,4312.0,3.625,0.25,0.0,3.0,139.625,60.5,0.0,24.125,24280.25,0.0,0.0,4295.5,4794.625,2.2638462845343543,0.4629100498862757,0.0,0.0,394.9191372926868,116.23498366916661,0.0,55.160642024648595,2459.407695825504,0.0,0.0,2039.6816978566603,1663.589744884752,0.22624995586066124,1.4401645996461911,0.0,0.0,2.8284271247461903,1.7335895555154093,0.0,2.7769035730911757,-1.6775480239027483,0.0,0.0,1.4306357023566039,1.1294353736599212,-2.0
