week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,act_in_vehicle_sum_10_17_t-7,act_on_bike_sum_10_17_t-7,act_on_foot_sum_10_17_t-7,act_running_sum_10_17_t-7,act_still_sum_10_17_t-7,act_tilting_sum_10_17_t-7,act_unknown_sum_10_17_t-7,act_walking_sum_10_17_t-7,step_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,act_in_vehicle_sum_10_17_t-6,act_on_bike_sum_10_17_t-6,act_on_foot_sum_10_17_t-6,act_running_sum_10_17_t-6,act_still_sum_10_17_t-6,act_tilting_sum_10_17_t-6,act_unknown_sum_10_17_t-6,act_walking_sum_10_17_t-6,step_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,act_in_vehicle_sum_10_17_t-5,act_on_bike_sum_10_17_t-5,act_on_foot_sum_10_17_t-5,act_running_sum_10_17_t-5,act_still_sum_10_17_t-5,act_tilting_sum_10_17_t-5,act_unknown_sum_10_17_t-5,act_walking_sum_10_17_t-5,step_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,act_in_vehicle_sum_10_17_t-4,act_on_bike_sum_10_17_t-4,act_on_foot_sum_10_17_t-4,act_running_sum_10_17_t-4,act_still_sum_10_17_t-4,act_tilting_sum_10_17_t-4,act_unknown_sum_10_17_t-4,act_walking_sum_10_17_t-4,step_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,act_in_vehicle_sum_10_17_t-3,act_on_bike_sum_10_17_t-3,act_on_foot_sum_10_17_t-3,act_running_sum_10_17_t-3,act_still_sum_10_17_t-3,act_tilting_sum_10_17_t-3,act_unknown_sum_10_17_t-3,act_walking_sum_10_17_t-3,step_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,act_in_vehicle_sum_10_17_t-2,act_on_bike_sum_10_17_t-2,act_on_foot_sum_10_17_t-2,act_running_sum_10_17_t-2,act_still_sum_10_17_t-2,act_tilting_sum_10_17_t-2,act_unknown_sum_10_17_t-2,act_walking_sum_10_17_t-2,step_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,act_in_vehicle_sum_10_17_t-1,act_on_bike_sum_10_17_t-1,act_on_foot_sum_10_17_t-1,act_running_sum_10_17_t-1,act_still_sum_10_17_t-1,act_tilting_sum_10_17_t-1,act_unknown_sum_10_17_t-1,act_walking_sum_10_17_t-1,step_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,act_in_vehicle_sum_10_17_t-0,act_on_bike_sum_10_17_t-0,act_on_foot_sum_10_17_t-0,act_running_sum_10_17_t-0,act_still_sum_10_17_t-0,act_tilting_sum_10_17_t-0,act_unknown_sum_10_17_t-0,act_walking_sum_10_17_t-0,step_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,act_in_vehicle_sum_10_17_mean,act_on_bike_sum_10_17_mean,act_on_foot_sum_10_17_mean,act_running_sum_10_17_mean,act_still_sum_10_17_mean,act_tilting_sum_10_17_mean,act_unknown_sum_10_17_mean,act_walking_sum_10_17_mean,step_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,act_in_vehicle_sum_10_17_std,act_on_bike_sum_10_17_std,act_on_foot_sum_10_17_std,act_running_sum_10_17_std,act_still_sum_10_17_std,act_tilting_sum_10_17_std,act_unknown_sum_10_17_std,act_walking_sum_10_17_std,step_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,act_in_vehicle_sum_10_17_skew,act_on_bike_sum_10_17_skew,act_on_foot_sum_10_17_skew,act_running_sum_10_17_skew,act_still_sum_10_17_skew,act_tilting_sum_10_17_skew,act_unknown_sum_10_17_skew,act_walking_sum_10_17_skew,step_sum_10_17_skew,target
1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2754.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5094.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7127.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4303.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5281.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2967.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,13.0,25674.0,0.0,0.0,3113.0,4835.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,21589.0,0.0,0.0,7196.0,6039.0,3.625,0.25,0.0,3.0,0.0,0.0,0.0,3.5,5907.875,0.0,0.0,1288.625,4800.0,2.2638462845343543,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,6.502746672423452,10993.603990340409,0.0,0.0,2623.7582062758756,1466.8764676783699,0.22624995586066124,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,1.4692336231657994,1.4825110430081323,0.0,0.0,2.102606615491805,-0.012488270604251972,-1.0
4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4303.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5281.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2967.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,13.0,25674.0,0.0,0.0,3113.0,4835.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,21589.0,0.0,0.0,7196.0,6039.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,24815.0,0.0,0.0,3980.0,2224.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,22996.0,0.0,0.0,5799.0,4134.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,19130.0,0.0,0.0,9666.0,7835.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,5.25,14275.5,0.0,0.0,3719.25,4702.25,2.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,5.849297882163783,11984.973544282142,0.0,0.0,3658.863553072183,1756.161459384806,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.9101247570976724,-0.5429497923545954,0.0,0.0,0.4152079722904523,0.4444236055966389,0.0
7.0,1.0,0.0,3.0,0.0,0.0,0.0,13.0,25674.0,0.0,0.0,3113.0,4835.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,21589.0,0.0,0.0,7196.0,6039.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,24815.0,0.0,0.0,3980.0,2224.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,22996.0,0.0,0.0,5799.0,4134.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,19130.0,0.0,0.0,9666.0,7835.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,20135.0,0.0,0.0,8565.0,7851.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,22.0,23375.0,0.0,0.0,5403.0,5161.0,7.0,1.0,0.0,3.0,2799.0,0.0,0.0,8.0,19283.0,0.0,0.0,6710.0,1404.0,4.375,0.375,0.0,3.0,349.875,0.0,0.0,21.5,22124.625,0.0,0.0,6304.0,4935.375,2.2638462845343543,0.5175491695067657,0.0,0.0,989.5959402705732,0.0,0.0,32.31540985792559,2491.328557646072,0.0,0.0,2204.73347919555,2349.8337289202886,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.8284271247461903,0.0,0.0,2.630501854309216,0.11054881084245648,0.0,0.0,0.07876511636968503,-0.20502681886038032,3.0
4.0,0.0,0.0,3.0,0.0,0.0,0.0,33.0,24723.0,0.0,0.0,4044.0,4451.0,5.0,0.0,0.0,3.0,46.0,0.0,0.0,0.0,19858.0,0.0,0.0,8896.0,8280.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,55.0,21503.0,0.0,0.0,7242.0,7485.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,38.0,18126.0,0.0,0.0,10636.0,8189.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18100.0,0.0,0.0,10700.0,8334.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,22066.0,0.0,0.0,6715.0,4666.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,20839.0,0.0,0.0,7899.0,7267.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,47.0,25210.0,0.0,0.0,3543.0,4959.0,4.0,0.25,0.0,3.0,5.75,0.0,0.0,31.75,21303.125,0.0,0.0,7459.375,6703.875,2.0,0.4629100498862757,0.0,0.0,16.263455967290593,0.0,0.0,23.626558905483584,2678.9943975571987,0.0,0.0,2684.7155708619434,1713.2804321784902,0.0,1.4401645996461911,0.0,0.0,2.8284271247461903,0.0,0.0,-0.3183573659452888,0.3173106660212088,0.0,0.0,-0.30706153355208404,-0.49359234385492784,-3.0
5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25924.0,0.0,0.0,2876.0,218.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,26880.0,0.0,0.0,1920.0,494.0,7.0,1.0,0.0,3.0,2171.0,0.0,0.0,2.0,19449.0,0.0,0.0,7178.0,5311.0,1.0,0.0,0.0,3.0,713.0,0.0,0.0,5.0,26754.0,0.0,0.0,1328.0,255.0,2.0,0.0,0.0,3.0,1885.0,125.0,0.0,90.0,25141.0,0.0,0.0,1559.0,1050.0,3.0,0.0,0.0,3.0,1090.0,0.0,0.0,0.0,26132.0,0.0,0.0,1578.0,258.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27126.0,0.0,0.0,1674.0,159.0,5.0,0.0,0.0,3.0,2019.0,0.0,0.0,0.0,18733.0,0.0,0.0,8048.0,2011.0,4.125,0.25,0.0,3.0,984.75,15.625,0.0,12.125,24517.375,0.0,0.0,3270.125,1219.5,2.03100960115899,0.4629100498862757,0.0,0.0,947.2845024444497,44.19417382415922,0.0,31.51615232135511,3412.400660511181,0.0,0.0,2730.474811535271,1768.9516669485347,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.1392556475344693,2.82842712474619,0.0,2.8109107336585764,-1.3152384174178147,0.0,0.0,1.356542387861049,2.22358187421914,-8.0
6.0,1.0,0.0,4.0,0.0,0.0,0.0,219.0,11852.0,0.0,0.0,16729.0,7223.0,7.0,1.0,0.0,4.0,3505.0,12.0,0.0,0.0,20185.0,0.0,0.0,5098.0,3382.0,1.0,0.0,0.0,4.0,822.0,0.0,0.0,8.0,21509.0,0.0,0.0,6461.0,1743.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,27075.0,0.0,0.0,1725.0,187.0,3.0,0.0,0.0,4.0,728.0,0.0,0.0,0.0,22214.0,0.0,0.0,5858.0,663.0,4.0,0.0,0.0,1.0,2149.0,0.0,0.0,43.0,11863.0,0.0,0.0,14745.0,9251.0,5.0,0.0,0.0,1.0,827.0,0.0,0.0,70.0,20785.0,0.0,0.0,7118.0,3484.0,6.0,1.0,0.0,1.0,3810.0,215.0,0.0,11.0,16982.0,0.0,0.0,7782.0,2374.0,4.25,0.375,0.0,2.875,1480.125,28.375,0.0,43.875,19058.125,0.0,0.0,8189.5,3538.375,2.1213203435596424,0.5175491695067657,0.0,1.5526475085202969,1501.5593264051495,75.52471213356026,0.0,75.11407990516824,5244.002300247398,0.0,0.0,5028.242322834378,3169.420674305367,-0.31426968052735443,0.6440611887195306,0.0,-0.6440611887195306,0.7749731506797116,2.8114248417194663,0.0,2.2713227198452874,-0.24786983836865498,0.0,0.0,0.8774118077286903,1.00310434799319,1.0
6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,23404.0,0.0,0.0,5396.0,2853.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,26179.0,0.0,0.0,2618.0,2560.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26070.0,0.0,0.0,2730.0,2819.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,23634.0,0.0,0.0,5158.0,5401.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,20182.0,0.0,0.0,8536.0,4801.0,4.0,0.0,0.0,1.0,152.0,0.0,0.0,0.0,24154.0,0.0,0.0,4494.0,4201.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,23995.0,0.0,0.0,4802.0,3929.0,6.0,1.0,0.0,1.0,257.0,0.0,0.0,18.0,25289.0,0.0,0.0,3236.0,1833.0,4.25,0.375,0.0,1.0,51.125,0.0,0.0,14.25,24113.375,0.0,0.0,4621.25,3549.625,2.1213203435596424,0.5175491695067657,0.0,0.0,98.73693403614041,0.0,0.0,28.044607324760317,1915.4137141694928,0.0,0.0,1918.7504676593196,1225.1531609791255,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.7711481880886384,0.0,0.0,2.584262116902987,-1.1737035416529777,0.0,0.0,1.1636658901393866,0.19477669340989404,-4.0
4.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,25551.0,0.0,0.0,3244.0,2804.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,87.0,23677.0,0.0,0.0,5036.0,5027.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,31.0,19910.0,0.0,0.0,8859.0,4590.0,7.0,1.0,0.0,4.0,2545.0,833.0,0.0,53.0,14204.0,0.0,0.0,11165.0,6464.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,24699.0,0.0,0.0,4090.0,3269.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24785.0,0.0,0.0,4015.0,3262.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,25699.0,0.0,0.0,3096.0,2778.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,144.0,25215.0,0.0,0.0,3441.0,1824.0,4.0,0.25,0.0,4.0,318.125,104.125,0.0,42.0,22967.5,0.0,0.0,5368.25,3752.25,2.0,0.4629100498862757,0.0,0.0,899.7933790598818,294.50997436419703,0.0,50.89765641531473,4002.4786606016314,0.0,0.0,2994.115550303867,1498.6072343536657,0.0,1.4401645996461911,0.0,0.0,2.8284271247461903,2.8284271247461903,0.0,1.368249147012403,-1.904438436392166,0.0,0.0,1.4493649847945054,0.7596692361588295,6.0
6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25084.0,0.0,0.0,3716.0,81.0,7.0,1.0,0.0,1.0,125.0,0.0,0.0,226.0,20702.0,0.0,0.0,7747.0,6706.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,144.0,20834.0,0.0,0.0,7822.0,7589.0,2.0,0.0,0.0,1.0,2145.0,0.0,0.0,39.0,20400.0,0.0,0.0,6216.0,1067.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28411.0,0.0,0.0,389.0,57.0,4.0,0.0,0.0,1.0,2102.0,0.0,0.0,0.0,18481.0,0.0,0.0,8217.0,2549.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,24455.0,0.0,0.0,4297.0,3894.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,25226.0,0.0,0.0,3569.0,431.0,4.25,0.375,0.0,1.0,546.5,0.0,0.0,57.75,22949.125,0.0,0.0,5246.625,2796.75,2.1213203435596424,0.5175491695067657,0.0,0.0,974.3683668334653,0.0,0.0,83.65020707001952,3334.3899179610053,0.0,0.0,2733.464412870336,2999.6087721091703,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4325299124045512,0.0,0.0,1.520460746207074,0.3150167668478065,0.0,0.0,-0.5964481140332759,0.7910988866312662,9.0
5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25099.0,0.0,0.0,3701.0,275.0,6.0,1.0,0.0,4.0,1880.0,0.0,0.0,0.0,19446.0,0.0,0.0,7474.0,974.0,7.0,1.0,0.0,4.0,4362.0,2488.0,0.0,3.0,13788.0,0.0,0.0,8159.0,3100.0,1.0,0.0,0.0,4.0,2732.0,6554.0,0.0,9.0,14783.0,0.0,0.0,4722.0,1935.0,2.0,0.0,0.0,4.0,1939.0,0.0,0.0,15.0,18367.0,0.0,0.0,8479.0,1820.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,27808.0,0.0,0.0,989.0,112.0,4.0,0.0,0.0,4.0,4339.0,0.0,0.0,5.0,17703.0,0.0,0.0,6753.0,1648.0,5.0,0.0,0.0,4.0,3580.0,0.0,0.0,0.0,21449.0,0.0,0.0,3771.0,1676.0,4.125,0.25,0.0,4.0,2354.0,1130.25,0.0,4.375,19805.375,0.0,0.0,5506.0,1442.5,2.03100960115899,0.4629100498862757,0.0,0.0,1736.0785861080303,2358.1269655627716,0.0,5.2898150116183515,4822.819001890906,0.0,0.0,2634.6961331974726,969.675939977593,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.3076739024536557,2.228117397244547,0.0,1.3411523794702511,0.5236676010440078,0.0,0.0,-0.512774404492396,0.14599369975400958,2.0
