iter	MAE
0	8.397254232
1	8.191088348
2	7.990857515
3	7.795146978
4	7.606849529
5	7.425860734
6	7.249911273
7	7.078056793
8	6.910002563
9	6.751412572
10	6.595747922
11	6.44520466
12	6.302375775
13	6.164738035
14	6.030340772
15	5.90097491
16	5.773603832
17	5.651684366
18	5.532999245
19	5.419419571
20	5.310453689
21	5.204403582
22	5.101142743
23	5.000828765
24	4.903576013
25	4.809990379
26	4.718664922
27	4.630307556
28	4.546255059
29	4.464992667
30	4.3865645
31	4.309151401
32	4.234121997
33	4.161435911
34	4.09296802
35	4.025770595
36	3.962469266
37	3.900322337
38	3.838752419
39	3.779590437
40	3.722949204
41	3.668049854
42	3.614757559
43	3.563490424
44	3.516083097
45	3.469559755
46	3.423362447
47	3.380684241
48	3.336679766
49	3.295441457
50	3.256775597
51	3.218466886
52	3.181309582
53	3.145444139
54	3.111266956
55	3.077198443
56	3.045382825
57	3.013647243
58	2.984049782
59	2.956001276
60	2.92803979
61	2.901275814
62	2.877073957
63	2.853610576
64	2.829948416
65	2.807499013
66	2.78656975
67	2.765716087
68	2.745945616
69	2.726446886
70	2.708866801
71	2.691389967
72	2.673972899
73	2.65804789
74	2.641828345
75	2.626643674
76	2.612159492
77	2.59779084
78	2.583909888
79	2.570655231
80	2.55772114
81	2.545634984
82	2.533993965
83	2.522659534
84	2.511788574
85	2.501211893
86	2.490678243
87	2.480982083
88	2.471552338
89	2.462498089
90	2.453754983
91	2.444953704
92	2.436553821
93	2.428943519
94	2.421125236
95	2.413650816
96	2.406642643
97	2.399534052
98	2.392727077
99	2.386354782
100	2.380140895
101	2.374167073
102	2.368471407
103	2.362529061
104	2.356985174
105	2.351391213
106	2.345667621
107	2.340618552
108	2.335675429
109	2.33091799
110	2.326285748
111	2.321645833
112	2.31734293
113	2.313058425
114	2.308696059
115	2.304628172
116	2.300497727
117	2.296804719
118	2.292950918
119	2.289880926
120	2.286437875
121	2.283369768
122	2.280337845
123	2.277121889
124	2.27421319
125	2.271454372
126	2.268518334
127	2.266128594
128	2.263390528
129	2.261309914
130	2.259055944
131	2.256916397
132	2.255041419
133	2.253340411
134	2.251497494
135	2.249504213
136	2.247912868
137	2.246006516
138	2.24429521
139	2.242471709
140	2.240866434
141	2.239407458
142	2.237988616
143	2.236594096
144	2.235197052
145	2.233771414
146	2.232409699
147	2.231178568
148	2.229854745
149	2.228581355
150	2.227382552
151	2.226263138
152	2.225115594
153	2.223856331
154	2.222872835
155	2.221910507
156	2.220722761
157	2.219737514
158	2.218799718
159	2.217798392
160	2.216939475
161	2.215952535
162	2.215149163
163	2.214302871
164	2.213388999
165	2.212504621
166	2.211547989
167	2.210972336
168	2.210150681
169	2.209382726
170	2.208647639
171	2.207937735
172	2.207300182
173	2.206715487
174	2.206168612
175	2.205536537
176	2.205014635
177	2.204458608
178	2.20379501
179	2.203337144
180	2.202779001
181	2.202246157
182	2.201640556
183	2.20117716
184	2.200725482
185	2.200305225
186	2.199939481
187	2.199477881
188	2.199037421
189	2.198701077
190	2.198339894
191	2.198007225
192	2.19763752
193	2.197307963
194	2.196982651
195	2.196659434
196	2.196344848
197	2.195996427
198	2.195661455
199	2.195432408
200	2.195168069
201	2.194894845
202	2.194602627
203	2.19435889
204	2.194144962
205	2.193882221
206	2.19369951
207	2.193437606
208	2.193114435
209	2.192897814
210	2.192670574
211	2.192478699
212	2.192275957
213	2.19205154
214	2.191826819
215	2.191648057
216	2.191504145
217	2.191289542
218	2.191120242
219	2.190926964
220	2.19079283
221	2.190560833
222	2.190405089
223	2.190192962
224	2.19005428
225	2.18992291
226	2.189741603
227	2.189610465
228	2.189470041
229	2.189346198
230	2.18914388
231	2.188985041
232	2.188829255
233	2.188709622
234	2.188587472
235	2.188460053
236	2.188290414
237	2.188160093
238	2.188058631
239	2.187927624
240	2.187773939
241	2.187657229
242	2.187567433
243	2.187449447
244	2.1873694
245	2.187285667
246	2.187133074
247	2.186961523
248	2.186899634
249	2.18677391
250	2.186666084
251	2.186585942
252	2.186462452
253	2.18634987
254	2.186238995
255	2.186163951
256	2.186095698
257	2.185987562
258	2.185881403
259	2.185801445
260	2.185722985
261	2.185653693
262	2.185549459
263	2.185494481
264	2.185418831
265	2.185303358
266	2.185163486
267	2.185068174
268	2.184989458
269	2.184859557
270	2.184811533
271	2.184613642
272	2.184452273
273	2.184256313
274	2.184195464
275	2.18402598
276	2.183912034
277	2.183848442
278	2.183759536
279	2.183730998
280	2.183650649
281	2.183580001
282	2.183499806
283	2.183398344
284	2.183327356
285	2.183173881
286	2.183082349
287	2.183037245
288	2.182935153
289	2.182878998
290	2.182840618
291	2.182731213
292	2.182671358
293	2.182563072
294	2.182497491
295	2.182441872
296	2.182403354
297	2.182363815
298	2.182270807
299	2.182177589
