iter	Passed	Remaining
0	189	56606
1	222	33090
2	251	24921
3	279	20666
4	309	18245
5	339	16627
6	368	15437
7	399	14582
8	428	13867
9	457	13280
10	487	12815
11	516	12407
12	545	12043
13	575	11759
14	605	11505
15	634	11258
16	664	11060
17	693	10864
18	722	10684
19	751	10518
20	780	10366
21	809	10227
22	839	10106
23	868	9990
24	898	9879
25	927	9773
26	957	9681
27	986	9583
28	1015	9490
29	1019	9174
30	1048	9095
31	1077	9027
32	1107	8957
33	1136	8894
34	1166	8829
35	1195	8764
36	1224	8701
37	1253	8639
38	1282	8585
39	1312	8529
40	1341	8474
41	1370	8417
42	1399	8366
43	1428	8313
44	1457	8260
45	1486	8207
46	1515	8156
47	1544	8107
48	1572	8055
49	1602	8011
50	1631	7966
51	1661	7923
52	1689	7874
53	1718	7830
54	1748	7786
55	1777	7743
56	1806	7700
57	1835	7657
58	1864	7615
59	1893	7574
60	1922	7532
61	1952	7496
62	1982	7457
63	2012	7421
64	2041	7382
65	2070	7341
66	2100	7304
67	2129	7266
68	2158	7227
69	2188	7190
70	2217	7153
71	2247	7116
72	2276	7078
73	2304	7038
74	2332	6997
75	2361	6960
76	2390	6922
77	2419	6887
78	2449	6851
79	2478	6815
80	2507	6779
81	2536	6742
82	2565	6707
83	2594	6672
84	2622	6634
85	2651	6598
86	2680	6563
87	2710	6528
88	2739	6493
89	2767	6458
90	2796	6422
91	2825	6388
92	2854	6353
93	2883	6319
94	2911	6283
95	2941	6250
96	2970	6217
97	2999	6183
98	3028	6148
99	3033	6066
100	3062	6033
101	3091	6000
102	3120	5968
103	3149	5935
104	3178	5903
105	3208	5871
106	3236	5838
107	3265	5804
108	3293	5771
109	3323	5740
110	3352	5708
111	3381	5676
112	3410	5643
113	3438	5610
114	3467	5578
115	3496	5546
116	3526	5515
117	3555	5484
118	3584	5452
119	3613	5420
120	3643	5389
121	3672	5357
122	3702	5327
123	3731	5295
124	3759	5263
125	3788	5231
126	3817	5200
127	3846	5169
128	3876	5138
129	3905	5107
130	3934	5075
131	3963	5044
132	3993	5014
133	4022	4983
134	4052	4952
135	4081	4922
136	4110	4890
137	4139	4859
138	4168	4827
139	4197	4796
140	4226	4765
141	4254	4734
142	4283	4703
143	4312	4672
144	4342	4641
145	4370	4610
146	4399	4579
147	4428	4548
148	4457	4517
149	4486	4486
150	4515	4455
151	4544	4424
152	4574	4394
153	4603	4364
154	4631	4333
155	4661	4302
156	4689	4271
157	4718	4240
158	4747	4209
159	4776	4179
160	4805	4148
161	4834	4118
162	4863	4087
163	4892	4057
164	4921	4026
165	4951	3996
166	4979	3965
167	5008	3935
168	5037	3905
169	5067	3874
170	5096	3844
171	5126	3814
172	5155	3784
173	5184	3753
174	5213	3723
175	5242	3693
176	5271	3663
177	5300	3632
178	5328	3602
179	5357	3571
180	5387	3541
181	5416	3511
182	5446	3482
183	5474	3451
184	5504	3421
185	5532	3391
186	5561	3360
187	5590	3330
188	5619	3300
189	5648	3270
190	5677	3239
191	5705	3209
192	5733	3178
193	5762	3148
194	5791	3118
195	5820	3088
196	5848	3058
197	5877	3027
198	5907	2998
199	5937	2968
200	5965	2938
201	5994	2908
202	6023	2878
203	6053	2848
204	6082	2818
205	6111	2788
206	6140	2758
207	6168	2728
208	6197	2698
209	6225	2668
210	6254	2638
211	6283	2608
212	6312	2578
213	6341	2548
214	6371	2518
215	6400	2488
216	6429	2459
217	6458	2429
218	6486	2399
219	6515	2369
220	6544	2339
221	6573	2309
222	6602	2279
223	6631	2249
224	6660	2220
225	6689	2190
226	6718	2160
227	6746	2130
228	6775	2100
229	6805	2071
230	6834	2041
231	6863	2011
232	6893	1982
233	6921	1952
234	6950	1922
235	6978	1892
236	7007	1862
237	7035	1832
238	7064	1802
239	7093	1773
240	7122	1743
241	7151	1713
242	7179	1684
243	7208	1654
244	7237	1624
245	7266	1595
246	7295	1565
247	7324	1535
248	7353	1506
249	7381	1476
250	7410	1446
251	7439	1417
252	7468	1387
253	7496	1357
254	7525	1327
255	7554	1298
256	7582	1268
257	7611	1239
258	7639	1209
259	7668	1179
260	7697	1150
261	7724	1120
262	7753	1090
263	7782	1061
264	7810	1031
265	7839	1002
266	7867	972
267	7897	942
268	7927	913
269	7955	883
270	7984	854
271	8013	824
272	8042	795
273	8070	765
274	8099	736
275	8128	706
276	8157	677
277	8186	647
278	8215	618
279	8244	588
280	8272	559
281	8301	529
282	8330	500
283	8359	470
284	8388	441
285	8417	412
286	8447	382
287	8475	353
288	8504	323
289	8534	294
290	8563	264
291	8592	235
292	8620	205
293	8649	176
294	8678	147
295	8707	117
296	8736	88
297	8764	58
298	8792	29
299	8820	0
