iter	Passed	Remaining
0	169	50829
1	201	29967
2	228	22616
3	255	18902
4	282	16657
5	307	15082
6	337	14123
7	367	13406
8	395	12797
9	425	12327
10	452	11879
11	483	11599
12	513	11333
13	543	11094
14	573	10888
15	606	10762
16	639	10643
17	672	10541
18	702	10395
19	735	10291
20	765	10166
21	797	10074
22	828	9975
23	863	9927
24	899	9890
25	933	9842
26	963	9741
27	994	9660
28	1023	9563
29	1049	9448
30	1076	9341
31	1106	9267
32	1150	9307
33	1178	9219
34	1212	9177
35	1243	9116
36	1274	9061
37	1308	9022
38	1341	8976
39	1373	8926
40	1403	8865
41	1432	8799
42	1463	8746
43	1495	8700
44	1526	8650
45	1556	8595
46	1586	8542
47	1615	8482
48	1647	8438
49	1675	8379
50	1706	8333
51	1739	8294
52	1769	8246
53	1799	8197
54	1830	8154
55	1864	8125
56	1902	8109
57	1934	8073
58	1966	8031
59	1993	7975
60	2026	7938
61	2055	7888
62	2085	7845
63	2115	7801
64	2143	7748
65	2172	7701
66	2202	7659
67	2234	7622
68	2263	7576
69	2294	7540
70	2325	7501
71	2354	7454
72	2382	7409
73	2410	7362
74	2441	7323
75	2472	7287
76	2504	7254
77	2535	7217
78	2568	7185
79	2598	7145
80	2628	7106
81	2659	7070
82	2690	7033
83	2723	7003
84	2755	6969
85	2783	6927
86	2814	6890
87	2845	6854
88	2875	6816
89	2905	6780
90	2938	6748
91	2968	6712
92	3005	6690
93	3043	6670
94	3075	6636
95	3108	6604
96	3137	6567
97	3169	6532
98	3202	6502
99	3239	6478
100	3275	6452
101	3306	6417
102	3339	6386
103	3370	6352
104	3402	6319
105	3432	6282
106	3462	6244
107	3502	6226
108	3537	6199
109	3571	6168
110	3604	6137
111	3637	6106
112	3669	6073
113	3702	6040
114	3734	6007
115	3766	5973
116	3795	5936
117	3825	5900
118	3855	5863
119	3886	5830
120	3916	5793
121	3946	5758
122	3979	5727
123	4010	5691
124	4039	5655
125	4069	5620
126	4099	5584
127	4138	5561
128	4175	5535
129	4211	5506
130	4240	5470
131	4271	5436
132	4298	5396
133	4328	5361
134	4360	5329
135	4388	5291
136	4420	5259
137	4454	5228
138	4482	5192
139	4511	5155
140	4543	5123
141	4573	5088
142	4606	5057
143	4633	5019
144	4661	4982
145	4690	4947
146	4720	4913
147	4750	4879
148	4780	4845
149	4812	4812
150	4845	4781
151	4883	4755
152	4921	4728
153	4958	4700
154	4988	4667
155	5020	4634
156	5053	4602
157	5085	4570
158	5116	4537
159	5149	4505
160	5182	4474
161	5214	4441
162	5244	4408
163	5275	4375
164	5308	4343
165	5343	4313
166	5381	4285
167	5416	4255
168	5449	4223
169	5483	4193
170	5515	4160
171	5549	4129
172	5581	4097
173	5619	4069
174	5654	4038
175	5687	4007
176	5722	3976
177	5754	3944
178	5788	3912
179	5821	3880
180	5853	3848
181	5884	3815
182	5915	3782
183	5946	3749
184	5977	3715
185	6007	3682
186	6038	3648
187	6066	3613
188	6097	3581
189	6126	3547
190	6158	3514
191	6189	3481
192	6219	3448
193	6250	3415
194	6281	3382
195	6312	3349
196	6346	3318
197	6378	3285
198	6411	3254
199	6444	3222
200	6477	3190
201	6507	3157
202	6537	3124
203	6571	3092
204	6608	3062
205	6646	3032
206	6684	3003
207	6718	2971
208	6750	2939
209	6784	2907
210	6818	2876
211	6851	2843
212	6921	2827
213	6964	2799
214	7000	2767
215	7030	2734
216	7058	2699
217	7089	2666
218	7123	2634
219	7155	2601
220	7186	2568
221	7217	2535
222	7248	2502
223	7280	2470
224	7314	2438
225	7345	2405
226	7374	2371
227	7404	2338
228	7437	2305
229	7469	2273
230	7500	2240
231	7533	2208
232	7564	2175
233	7593	2141
234	7626	2109
235	7658	2076
236	7691	2044
237	7723	2011
238	7762	1981
239	7798	1949
240	7835	1918
241	7869	1886
242	7902	1853
243	7933	1820
244	7968	1788
245	8008	1757
246	8039	1725
247	8069	1692
248	8100	1659
249	8131	1626
250	8160	1593
251	8186	1559
252	8216	1526
253	8247	1493
254	8279	1461
255	8312	1428
256	8341	1395
257	8372	1362
258	8404	1330
259	8436	1297
260	8467	1265
261	8499	1232
262	8528	1199
263	8561	1167
264	8591	1134
265	8625	1102
266	8670	1071
267	8708	1039
268	8740	1007
269	8774	974
270	8805	942
271	8839	909
272	8872	877
273	8905	845
274	8939	812
275	8971	780
276	9010	748
277	9045	715
278	9075	683
279	9107	650
280	9138	617
281	9169	585
282	9202	552
283	9237	520
284	9272	488
285	9307	455
286	9341	423
287	9371	390
288	9401	357
289	9430	325
290	9459	292
291	9490	260
292	9518	227
293	9549	194
294	9579	162
295	9610	129
296	9643	97
297	9674	64
298	9702	32
299	9733	0
