week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,106.666,4.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,540.957,5.0,2.0,0.0,0.0,3.0,595.713,12.0,3.0,0.0,0.0,3.0,290.346,13.0,4.0,0.0,0.0,3.0,457.387,12.0,5.0,0.0,0.0,3.0,1317.873,5.0,6.0,1.0,0.0,3.0,34.55,1.0,4.25,0.375,0.0,3.0,417.9365,6.5,2.1213203435596424,0.5175491695067657,0.0,0.0,429.7848896549463,5.154748157905347,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.3791216136158355,0.2002538306227537,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,595.713,12.0,3.0,0.0,0.0,3.0,290.346,13.0,4.0,0.0,0.0,3.0,457.387,12.0,5.0,0.0,0.0,3.0,1317.873,5.0,6.0,1.0,0.0,3.0,34.55,1.0,7.0,1.0,0.0,3.0,1542.571,16.0,1.0,0.0,0.0,3.0,215.751,5.0,2.0,0.0,0.0,3.0,441.044,10.0,3.75,0.25,0.0,3.0,611.904375,9.25,2.1213203435596424,0.4629100498862757,0.0,0.0,536.0621596829812,5.063877678504601,0.3142696805273544,1.4401645996461911,0.0,0.0,1.0651001535362794,-0.458763012191244,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,1280.188,12.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,84.752,5.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.25,0.0,3.0,170.6175,2.125,2.0,0.4629100498862757,0.0,0.0,449.3140114819479,4.356850107261306,0.0,1.4401645996461911,0.0,0.0,2.8045982790592765,2.1399892555740387,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
6.0,1.0,0.0,3.0,1294.292,13.0,7.0,1.0,0.0,3.0,570.518,6.0,1.0,0.0,0.0,3.0,61.609,1.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,1910.268,6.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,3.0,31.807,1.0,6.0,1.0,1.0,3.0,0.0,0.0,4.25,0.375,0.625,3.0,483.56175,3.375,2.1213203435596424,0.5175491695067657,0.5175491695067657,0.0,735.2315502166161,4.657942525560891,-0.3142696805273544,0.6440611887195306,-0.6440611887195306,0.0,1.404724004590368,1.4808989911271293,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
6.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,978.55,6.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,179.853,2.0,4.0,0.0,1.0,3.0,849.06,18.0,5.0,0.0,1.0,4.0,518.079,1.0,6.0,1.0,1.0,4.0,1070.786,10.0,4.25,0.375,1.0,3.25,449.54100000000005,4.625,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,464.3123502708064,6.479362843454815,-0.3142696805273544,0.6440611887195306,0.0,1.4401645996461911,0.3039788508348177,1.532135988285924,0.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
7.0,1.0,1.0,4.0,1692.778,3.0,1.0,0.0,1.0,4.0,445.838,5.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,2083.998,9.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,1302.334,8.0,6.0,1.0,1.0,4.0,227.584,10.0,7.0,1.0,1.0,4.0,1155.001,4.0,4.375,0.375,1.0,4.0,863.4416249999999,4.875,2.2638462845343543,0.5175491695067657,0.0,0.0,804.0043230057797,3.8706773124535783,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.3227766440528766,-0.0120092442907636,-6.0,-1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0
5.0,0.0,1.0,4.0,1302.334,8.0,6.0,1.0,1.0,4.0,227.584,10.0,7.0,1.0,1.0,4.0,1155.001,4.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,2184.886,7.0,3.0,0.0,1.0,4.0,115.623,5.0,4.0,0.0,1.0,4.0,486.871,5.0,5.0,0.0,1.0,4.0,51.528,2.0,4.125,0.25,1.0,4.0,690.4783749999999,5.125,2.03100960115899,0.4629100498862757,0.0,0.0,783.2721257120099,3.226563851175781,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.101535036055107,-0.1153588492698736,-7.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,4.0,51.528,2.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,824.105,3.0,1.0,0.0,0.0,4.0,262.888,4.0,2.0,0.0,0.0,4.0,439.372,5.0,3.0,0.0,0.0,4.0,252.208,6.0,4.0,0.0,0.0,4.0,471.972,10.0,5.0,0.0,0.0,4.0,0.0,0.0,4.125,0.25,0.125,4.0,287.75912500000004,3.75,2.03100960115899,0.4629100498862757,0.3535533905932738,0.0,284.82725908343485,3.3273756282434617,-0.2238027108715141,1.4401645996461911,2.8284271247461903,0.0,0.8500882341924052,0.7561902572407617,-4.0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
3.0,0.0,0.0,1.0,172.795,4.0,4.0,0.0,0.0,1.0,191.482,2.0,5.0,0.0,0.0,1.0,742.302,8.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,442.224,10.0,2.0,0.0,0.0,1.0,685.572,5.0,3.0,0.0,0.0,1.0,664.342,9.0,3.875,0.25,0.0,1.0,362.339625,4.75,2.03100960115899,0.4629100498862757,0.0,0.0,310.3309346754744,3.955105199973465,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0620768604773099,0.0623435610429294,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,1347.181,11.0,7.0,1.0,0.0,1.0,34.191,2.0,1.0,0.0,0.0,1.0,496.073,4.0,2.0,0.0,0.0,1.0,981.969,8.0,3.0,0.0,0.0,1.0,1150.429,22.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,60.857,2.0,6.0,1.0,0.0,2.0,0.0,0.0,4.25,0.375,0.0,1.25,508.8375,6.125,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,570.9994817075456,7.491662031885848,-0.3142696805273544,0.6440611887195306,0.0,1.4401645996461911,0.5104331469132863,1.5917154679252563,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
