week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
3.0,0.0,0.0,3.0,-1.0,-1.0,4.0,0.0,0.0,3.0,-1.0,-1.0,5.0,0.0,0.0,3.0,-1.0,-1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,694.667,20.0,2.0,0.0,0.0,3.0,433.3,13.0,3.0,0.0,0.0,3.0,339.102,8.0,3.875,0.25,0.0,3.0,293.4138,8.2,2.03100960115899,0.4629100498862757,0.0,0.0,297.84350217051906,8.613942186943213,0.2238027108715141,1.4401645996461911,0.0,0.0,0.2667473471629377,0.4243105472023234,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,2502.257,23.0,4.0,0.0,0.0,3.0,1614.522,3.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,9.829,1.0,2.0,0.0,0.0,3.0,173.217,8.0,3.0,0.0,0.0,3.0,0.0,0.0,3.875,0.25,0.0,3.0,537.4781250000001,4.375,2.03100960115899,0.4629100498862757,0.0,0.0,970.0522991817704,8.016723591521485,0.2238027108715141,1.4401645996461911,0.0,0.0,1.6730627374530127,2.2671763934582887,-9.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,989.827,9.0,6.0,1.0,0.0,4.0,680.079,5.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,14.411,1.0,2.0,0.0,0.0,4.0,340.018,17.0,3.0,0.0,0.0,4.0,298.524,6.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,248.233,4.0,4.125,0.25,0.0,4.0,321.3865,5.25,2.03100960115899,0.4629100498862757,0.0,0.0,355.06675332594654,5.70087712549569,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.0599525269993877,1.3439227495843094,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,4.003,1.0,6.0,1.0,0.0,1.0,1334.196,7.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1239.447,30.0,3.0,0.0,0.0,1.0,13.286,1.0,4.0,0.0,0.0,1.0,1001.75,5.0,5.0,0.0,0.0,1.0,1442.346,14.0,4.125,0.25,0.0,1.0,629.3784999999999,7.25,2.03100960115899,0.4629100498862757,0.0,0.0,679.4353801027943,10.361329203202786,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.1148252496785646,1.852812936827159,-6.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0
6.0,1.0,0.0,2.0,371.043,1.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,155.944,3.0,2.0,0.0,0.0,2.0,210.224,8.0,3.0,0.0,0.0,2.0,1849.919,9.0,4.0,0.0,0.0,2.0,1021.031,14.0,5.0,0.0,0.0,2.0,2116.009,10.0,6.0,1.0,0.0,2.0,1472.04,2.0,4.25,0.375,0.0,2.0,899.52625,5.875,2.1213203435596424,0.5175491695067657,0.0,0.0,831.7027484840534,5.055054048036621,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.4085465484561513,0.36288069997494,2.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
3.0,0.0,0.0,3.0,9.168,1.0,4.0,0.0,0.0,3.0,60.664,1.0,5.0,0.0,0.0,3.0,79.12,8.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,576.202,6.0,1.0,0.0,0.0,3.0,20.795,1.0,2.0,0.0,0.0,3.0,904.016,9.0,3.0,0.0,0.0,3.0,89.7,9.0,3.875,0.25,0.0,3.0,217.458125,4.375,2.03100960115899,0.4629100498862757,0.0,0.0,335.8256464248918,3.9977672339873487,0.2238027108715141,1.4401645996461911,0.0,0.0,1.68112658915845,0.1512017179499774,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,74.644,3.0,3.0,0.0,0.0,3.0,35.882,3.0,4.0,0.0,0.0,3.0,1.089,1.0,5.0,0.0,0.0,3.0,146.219,5.0,6.0,1.0,0.0,3.0,2489.037,14.0,4.25,0.375,0.0,3.0,343.358875,3.25,2.1213203435596424,0.5175491695067657,0.0,0.0,868.5277425934134,4.713203338949606,-0.3142696805273544,0.6440611887195306,0.0,0.0,2.808708922964516,2.061664032260625,5.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
3.0,0.0,0.0,4.0,102.0,1.0,4.0,0.0,0.0,4.0,0.05,1.0,5.0,0.0,0.0,4.0,570.224,4.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,1201.538,17.0,3.0,0.0,0.0,4.0,1147.519,6.0,3.875,0.25,0.0,4.0,377.666375,3.625,2.03100960115899,0.4629100498862757,0.0,0.0,528.4745847431177,5.829420456369815,0.2238027108715141,1.4401645996461911,0.0,0.0,1.0146531556858276,2.141365817752051,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,1201.538,17.0,3.0,0.0,0.0,4.0,1147.519,6.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.05,1.0,6.0,1.0,0.0,4.0,1274.066,7.0,4.25,0.375,0.0,4.0,452.896625,3.875,2.1213203435596424,0.5175491695067657,0.0,0.0,625.9638022590073,6.0341291240504855,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.6554614440376448,1.77257217359079,10.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,1224.922,8.0,4.0,0.0,0.0,4.0,2334.371,9.0,5.0,0.0,0.0,4.0,116.934,4.0,6.0,1.0,0.0,4.0,1466.345,8.0,7.0,1.0,0.0,4.0,141.017,2.0,1.0,0.0,0.0,4.0,885.032,5.0,2.0,0.0,0.0,4.0,0.05,1.0,3.75,0.25,0.0,4.0,771.083875,4.625,2.1213203435596424,0.4629100498862757,0.0,0.0,858.5841992688457,3.461523198989552,0.3142696805273544,1.4401645996461911,0.0,0.0,0.8440455655234721,-0.019374153978544,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
