week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
5.0,0.0,1.0,4.0,21.398,1.0,6.0,1.0,1.0,4.0,522.575,2.0,7.0,1.0,1.0,4.0,23.332,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,143.534,1.0,5.0,0.0,1.0,4.0,275.879,2.0,4.125,0.25,1.0,4.0,123.33975,0.875,2.03100960115899,0.4629100498862757,0.0,0.0,188.6404621077204,0.8345229603962802,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.688386221950204,0.2765283182378207,9.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,4.0,211.11,4.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,436.594,4.0,7.0,1.0,1.0,1.0,752.186,4.0,1.0,0.0,1.0,1.0,148.706,2.0,2.0,0.0,1.0,1.0,0.1,2.0,3.75,0.25,0.375,1.375,193.587,2.0,2.1213203435596424,0.4629100498862757,0.5175491695067657,1.0606601717798212,273.4101062548452,1.8516401995451028,0.3142696805273544,1.4401645996461911,0.6440611887195306,2.8284271247461903,1.487017553347357,0.0,3.0,-1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,0,1,2,1,1,1,0,1,2,1,1,1,0,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,0
3.0,0.0,0.0,2.0,199.027,4.0,4.0,0.0,0.0,2.0,552.746,7.0,5.0,0.0,0.0,2.0,281.764,7.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,42.879,4.0,2.0,0.0,0.0,2.0,394.95,7.0,3.0,0.0,0.0,2.0,1610.005,2.0,3.875,0.25,0.0,2.0,385.171375,3.875,2.03100960115899,0.4629100498862757,0.0,0.0,532.8649179069515,2.997022331772464,0.2238027108715141,1.4401645996461911,0.0,0.0,2.115292198325564,-0.2222218930712007,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,226.955,2.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,344.397,6.0,7.0,1.0,0.0,3.0,370.568,5.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,180.188,2.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,543.773,8.0,4.0,0.25,0.0,3.0,208.235125,2.875,2.0,0.4629100498862757,0.0,0.0,203.0835017779896,3.090885217631258,0.0,1.4401645996461911,0.0,0.0,0.3974078243112033,0.6585537395825823,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,486.958,7.0,5.0,0.0,0.0,3.0,1422.788,14.0,6.0,1.0,0.0,3.0,1178.915,3.0,7.0,1.0,0.0,3.0,512.778,4.0,1.0,0.0,0.0,3.0,1013.598,12.0,2.0,0.0,0.0,3.0,1571.636,13.0,3.0,0.0,0.0,3.0,843.765,5.0,4.0,0.0,0.0,3.0,929.869,13.0,4.0,0.25,0.0,3.0,995.038375,8.875,2.0,0.4629100498862757,0.0,0.0,390.5017018294496,4.580626906564522,0.0,1.4401645996461911,0.0,0.0,0.093171675322939,-0.1543967795193384,1.0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,4.0,1384.391,1.0,6.0,1.0,1.0,4.0,405.665,6.0,7.0,1.0,0.0,4.0,256.243,5.0,1.0,0.0,0.0,4.0,1794.377,11.0,2.0,0.0,0.0,4.0,125.907,1.0,3.0,0.0,0.0,4.0,16.904,4.0,4.0,0.0,0.0,4.0,521.626,2.0,5.0,0.0,0.0,4.0,2829.843,10.0,4.125,0.25,0.25,4.0,916.8695,5.0,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,995.5327211693532,3.854496446637726,-0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,1.1720064158679873,0.618658083520996,0.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,3.68,2.0,5.0,0.0,0.0,1.0,0.0,0.0,4.125,0.25,0.0,1.0,0.46,0.25,2.03100960115899,0.4629100498862757,0.0,0.0,1.3010764773832475,0.7071067811865476,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,2.8284271247461903,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,689.568,3.0,5.0,0.0,0.0,2.0,180.873,2.0,6.0,1.0,0.0,2.0,433.245,8.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,600.369,1.0,3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,3.925,1.0,4.0,0.25,0.0,2.0,238.50375000000005,2.0,2.0,0.4629100498862757,0.0,0.0,293.08856120182713,2.6186146828319083,0.0,1.4401645996461911,0.0,0.0,0.7017194432984923,2.100347193521426,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,3.925,1.0,5.0,0.0,0.0,2.0,1316.941,1.0,6.0,1.0,0.0,2.0,0.05,1.0,7.0,1.0,0.0,2.0,1272.117,2.0,1.0,0.0,0.0,2.0,2034.251,2.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,134.646,4.0,4.0,0.0,0.0,2.0,2479.05,2.0,4.0,0.25,0.0,2.0,905.1225,1.625,2.0,0.4629100498862757,0.0,0.0,1007.163791904347,1.1877349391654208,0.0,1.4401645996461911,0.0,0.0,0.5193545843426486,0.9698281124798884,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,2865.102,1.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,180.518,3.0,2.0,0.0,0.0,4.0,159.766,2.0,3.0,0.0,0.0,4.0,151.658,2.0,4.0,0.0,0.0,4.0,205.503,2.0,5.0,0.0,0.0,4.0,42.271,2.0,6.0,1.0,0.0,4.0,742.329,15.0,4.25,0.375,0.0,4.0,543.393375,3.375,2.1213203435596424,0.5175491695067657,0.0,0.0,965.3112989517848,4.779046527738113,-0.3142696805273544,0.6440611887195306,0.0,0.0,2.548166026182592,2.6328444898800125,1.0,1,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1
