week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
6.0,1.0,0.0,2.0,-1.0,-1.0,7.0,1.0,0.0,2.0,-1.0,-1.0,1.0,0.0,0.0,2.0,-1.0,-1.0,2.0,0.0,0.0,2.0,-1.0,-1.0,3.0,0.0,0.0,2.0,-1.0,-1.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,544.133,3.0,4.25,0.375,0.0,2.375,181.37766666666667,1.0,2.1213203435596424,0.5175491695067657,0.0,0.5175491695067657,314.1553340249587,1.7320508075688772,-0.3142696805273544,0.6440611887195306,0.0,0.6440611887195306,1.732050807568878,1.7320508075688774,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1
6.0,1.0,0.0,3.0,593.975,6.0,7.0,1.0,0.0,3.0,246.155,5.0,1.0,0.0,0.0,3.0,371.671,8.0,2.0,0.0,0.0,3.0,93.096,2.0,3.0,0.0,0.0,3.0,1215.43,3.0,4.0,0.0,0.0,3.0,214.938,5.0,5.0,0.0,0.0,3.0,263.685,3.0,6.0,1.0,0.0,3.0,175.483,5.0,4.25,0.375,0.0,3.0,396.804125,4.625,2.1213203435596424,0.5175491695067657,0.0,0.0,363.39061321882485,1.9226098333849675,-0.3142696805273544,0.6440611887195306,0.0,0.0,2.006913435929681,0.3894665769045139,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,449.713,8.0,6.0,1.0,0.0,1.0,695.665,6.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,88.724,8.0,2.0,0.0,1.0,1.0,169.087,4.0,3.0,0.0,1.0,1.0,0.05,1.0,4.0,0.0,1.0,1.0,48.503,6.0,5.0,0.0,1.0,1.0,0.05,1.0,4.125,0.25,0.75,1.0,181.474,4.25,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,256.7778308577281,3.24037034920393,-0.2238027108715141,1.4401645996461911,-1.4401645996461911,0.0,1.5095589951274242,-0.163750493837322,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
4.0,0.0,0.0,1.0,809.239,2.0,5.0,0.0,0.0,1.0,144.701,3.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,182.782,3.0,1.0,0.0,0.0,1.0,0.05,1.0,2.0,0.0,0.0,1.0,217.711,3.0,3.0,0.0,0.0,1.0,232.217,5.0,4.0,0.0,0.0,1.0,177.658,2.0,4.0,0.25,0.0,1.0,220.54475,2.375,2.0,0.4629100498862757,0.0,0.0,254.38460367255493,1.5059406173077154,0.0,1.4401645996461911,0.0,0.0,2.1059517761278874,0.1516304521363835,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,210.881,5.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,167.673,4.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,0.15,3.0,5.0,0.0,0.0,2.0,360.462,4.0,4.125,0.25,0.0,2.0,92.402,2.125,2.03100960115899,0.4629100498862757,0.0,0.0,138.4675685092258,2.100170061141308,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.24922103321736,0.1522915037205846,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,635.711,15.0,7.0,1.0,0.0,3.0,82.053,2.0,1.0,0.0,0.0,3.0,58.738,2.0,2.0,0.0,0.0,3.0,238.098,6.0,3.0,0.0,0.0,3.0,442.662,9.0,4.0,0.0,0.0,3.0,7.627,1.0,5.0,0.0,0.0,3.0,685.912,8.0,6.0,1.0,0.0,3.0,136.615,1.0,4.25,0.375,0.0,3.0,285.927,5.5,2.1213203435596424,0.5175491695067657,0.0,0.0,267.82583180865885,4.9856938190329,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.6488806776390199,0.9959531053478324,4.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,2.0,371.402,6.0,7.0,1.0,1.0,2.0,527.966,7.0,1.0,0.0,1.0,2.0,860.03,7.0,2.0,0.0,1.0,2.0,21.312,1.0,3.0,0.0,1.0,2.0,1370.706,12.0,4.0,0.0,1.0,2.0,1244.174,11.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,170.265,2.0,4.25,0.375,1.0,2.0,570.731875,5.75,2.1213203435596424,0.5175491695067657,0.0,0.0,535.4181824668686,4.464142854857069,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.5182368893304881,0.0915298107212379,2.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,750.61,10.0,7.0,1.0,0.0,3.0,2403.387,12.0,1.0,0.0,0.0,3.0,541.479,9.0,2.0,0.0,0.0,3.0,2035.446,9.0,3.0,0.0,0.0,3.0,0.05,1.0,4.0,0.0,0.0,3.0,345.91,7.0,5.0,0.0,0.0,3.0,181.147,8.0,6.0,1.0,0.0,3.0,31.993,6.0,4.25,0.375,0.0,3.0,786.2527500000001,7.75,2.1213203435596424,0.5175491695067657,0.0,0.0,924.574712535715,3.284161123592185,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.1909258504409386,-1.1897360151252774,0.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
4.0,0.0,1.0,4.0,180.205,2.0,5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,1.0,4.0,33.304,2.0,7.0,1.0,1.0,4.0,753.002,4.0,1.0,0.0,1.0,4.0,0.15,3.0,2.0,0.0,1.0,4.0,21.011,3.0,3.0,0.0,1.0,4.0,1113.12,5.0,4.0,0.0,1.0,4.0,1261.701,4.0,4.0,0.25,1.0,4.0,420.311625,2.875,2.0,0.4629100498862757,0.0,0.0,537.0111924858969,1.5526475085202969,0.0,1.4401645996461911,0.0,0.0,0.8377394740298885,-0.6440611887195306,0.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
7.0,1.0,0.0,4.0,2617.628,8.0,1.0,0.0,0.0,4.0,1180.487,10.0,2.0,0.0,0.0,4.0,322.184,5.0,3.0,0.0,0.0,4.0,526.806,5.0,4.0,0.0,0.0,4.0,1151.519,6.0,5.0,0.0,0.0,4.0,569.757,5.0,6.0,1.0,0.0,4.0,41.599,2.0,7.0,1.0,0.0,4.0,0.05,1.0,4.375,0.375,0.0,4.0,801.2537500000001,5.25,2.2638462845343543,0.5175491695067657,0.0,0.0,857.1665903798148,2.9154759474226504,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.5105270148801655,0.1325871414547127,-6.0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
