week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,638.069,4.0,6.0,1.0,0.0,3.0,841.445,7.0,7.0,1.0,0.0,3.0,266.002,4.0,1.0,0.0,0.0,3.0,691.865,7.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,2574.61,2.0,4.0,0.0,0.0,3.0,190.732,1.0,5.0,0.0,0.0,3.0,1565.397,7.0,4.125,0.25,0.0,3.0,846.015,4.0,2.03100960115899,0.4629100498862757,0.0,0.0,849.716595842234,2.8284271247461903,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.37932610623565,-0.1515228816828316,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,7.127,3.0,5.0,0.0,0.0,3.0,979.945,4.0,6.0,1.0,0.0,3.0,55.838,3.0,7.0,1.0,0.0,3.0,1315.744,4.0,1.0,0.0,0.0,3.0,476.979,4.0,2.0,0.0,0.0,3.0,1028.387,11.0,3.0,0.0,0.0,3.0,4.083,2.0,4.0,0.0,0.0,3.0,0.15,3.0,4.0,0.25,0.0,3.0,483.531625,4.25,2.0,0.4629100498862757,0.0,0.0,548.9374119322159,2.815771906346718,0.0,1.4401645996461911,0.0,0.0,0.5192593908080514,2.4763983749024456,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
6.0,1.0,0.0,3.0,492.979,3.0,7.0,1.0,0.0,3.0,1548.464,4.0,1.0,0.0,1.0,3.0,1648.737,8.0,2.0,0.0,1.0,3.0,1569.964,8.0,3.0,0.0,1.0,3.0,2115.981,4.0,4.0,0.0,1.0,3.0,882.91,5.0,5.0,0.0,1.0,3.0,960.403,3.0,6.0,1.0,1.0,3.0,623.186,11.0,4.25,0.375,0.75,3.0,1230.328,5.75,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,570.9483568084645,2.9154759474226504,-0.3142696805273544,0.6440611887195306,-1.4401645996461911,0.0,0.1566082045705641,0.8819927235900454,0.0,-1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,0,0,1,1,1,0
6.0,1.0,0.0,4.0,921.209,8.0,7.0,1.0,0.0,4.0,0.15,3.0,1.0,0.0,0.0,4.0,432.902,5.0,2.0,0.0,0.0,4.0,5.119,1.0,3.0,0.0,0.0,4.0,398.462,6.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,214.532,8.0,6.0,1.0,0.0,4.0,674.655,5.0,4.25,0.375,0.0,4.0,330.87862499999994,4.5,2.1213203435596424,0.5175491695067657,0.0,0.0,342.2961098196946,2.97609523657138,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.6610077622608387,-0.3468498090489017,-1.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
6.0,1.0,0.0,1.0,154.127,10.0,7.0,1.0,0.0,1.0,614.505,6.0,1.0,0.0,0.0,1.0,9.246,4.0,2.0,0.0,0.0,1.0,52.381,2.0,3.0,0.0,0.0,1.0,10.792,5.0,4.0,0.0,0.0,1.0,71.698,1.0,5.0,0.0,0.0,1.0,112.745,6.0,6.0,1.0,0.0,1.0,430.663,10.0,4.25,0.375,0.0,1.0,182.019625,5.5,2.1213203435596424,0.5175491695067657,0.0,0.0,221.2273422819273,3.295017884191656,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.4463111562875082,0.2395961757895594,-3.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0,1,1,0,1,1,1,1,1
4.0,0.0,0.0,1.0,71.766,4.0,5.0,0.0,0.0,1.0,864.97,13.0,6.0,1.0,0.0,1.0,1222.894,7.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,602.145,2.0,2.0,0.0,0.0,1.0,147.083,3.0,3.0,0.0,0.0,1.0,306.96,5.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.25,0.0,1.0,401.97725,4.25,2.0,0.4629100498862757,0.0,0.0,452.6973082480958,4.267819784654187,0.0,1.4401645996461911,0.0,0.0,0.9796633291508736,1.2845792975817265,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,940.662,10.0,6.0,1.0,0.0,1.0,147.3,2.0,7.0,1.0,0.0,1.0,584.818,11.0,1.0,0.0,0.0,1.0,66.379,1.0,2.0,0.0,0.0,1.0,441.963,3.0,3.0,0.0,0.0,1.0,2241.126,6.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,628.648,4.0,4.125,0.25,0.0,1.25,631.3620000000001,4.625,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,724.7849042308051,4.0686080455816125,-0.2238027108715141,1.4401645996461911,0.0,1.4401645996461911,1.825371799531771,0.7007636651508833,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
5.0,0.0,0.0,2.0,0.05,1.0,6.0,1.0,0.0,2.0,950.614,10.0,7.0,1.0,0.0,2.0,1649.862,6.0,1.0,0.0,0.0,2.0,1256.15,4.0,2.0,0.0,0.0,2.0,1528.68,10.0,3.0,0.0,0.0,2.0,1566.297,4.0,4.0,0.0,0.0,2.0,913.804,4.0,5.0,0.0,0.0,2.0,344.696,6.0,4.125,0.25,0.0,2.0,1026.269125,5.625,2.03100960115899,0.4629100498862757,0.0,0.0,600.2142240251601,3.113908889391045,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.757798078819016,0.3518934919043633,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1.0,0.0,0.0,2.0,1621.597,3.0,2.0,0.0,0.0,2.0,1506.218,5.0,3.0,0.0,0.0,2.0,0.1,2.0,4.0,0.0,0.0,2.0,1815.217,7.0,5.0,0.0,0.0,2.0,632.397,6.0,6.0,1.0,0.0,2.0,0.25,5.0,7.0,1.0,0.0,2.0,1160.691,5.0,1.0,0.0,0.0,2.0,148.174,2.0,3.625,0.25,0.0,2.0,860.5805,4.375,2.2638462845343543,0.4629100498862757,0.0,0.0,759.4713429227314,1.8468119248354136,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.0175945102081974,-0.1899410197632321,0.0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,1815.217,7.0,5.0,0.0,0.0,2.0,632.397,6.0,6.0,1.0,0.0,2.0,0.25,5.0,7.0,1.0,0.0,2.0,1160.691,5.0,1.0,0.0,0.0,2.0,148.174,2.0,2.0,0.0,0.0,2.0,0.05,1.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,837.87,9.0,4.0,0.25,0.0,2.0,574.331125,4.375,2.0,0.4629100498862757,0.0,0.0,668.3961749917138,3.113908889391045,0.0,1.4401645996461911,0.0,0.0,0.9474912185769546,-0.0869383921175486,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
