week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,-1.0,-1.0,6.0,1.0,0.0,3.0,-1.0,-1.0,7.0,1.0,0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,252.018,4.0,4.0,0.0,0.0,3.0,960.018,15.0,5.0,0.0,0.0,3.0,107.361,4.0,4.125,0.25,0.0,3.0,263.87940000000003,4.6,2.03100960115899,0.4629100498862757,0.0,0.0,402.6513157333526,6.148170459575759,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.894179714430939,1.6669474791016836,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,301.146,3.0,5.0,0.0,0.0,3.0,108.911,4.0,6.0,1.0,0.0,3.0,462.124,9.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,155.944,2.0,2.0,0.0,0.0,3.0,107.579,2.0,3.0,0.0,0.0,3.0,205.398,5.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.25,0.0,3.0,167.63774999999998,3.125,2.0,0.4629100498862757,0.0,0.0,155.54967033693313,2.948970764763288,0.0,1.4401645996461911,0.0,0.0,0.9175130601424962,1.0855421393474447,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,200.064,3.0,2.0,0.0,0.0,3.0,693.978,9.0,3.0,0.0,0.0,3.0,114.598,6.0,4.0,0.0,0.0,3.0,566.974,8.0,5.0,0.0,0.0,3.0,100.358,3.0,4.125,0.25,0.0,3.0,209.4965,3.625,2.03100960115899,0.4629100498862757,0.0,0.0,271.2891833255218,3.6620642110310255,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.2369575890033522,0.4228767642894757,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,95.962,6.0,1.0,0.0,0.0,3.0,95.181,2.0,2.0,0.0,0.0,3.0,684.917,9.0,3.0,0.0,0.0,3.0,791.033,6.0,4.0,0.0,0.0,3.0,42.0,1.0,5.0,0.0,0.0,3.0,229.038,8.0,6.0,1.0,0.0,3.0,90.474,2.0,7.0,1.0,0.0,3.0,8.0,2.0,4.375,0.375,0.0,3.0,254.575625,4.5,2.2638462845343543,0.5175491695067657,0.0,0.0,306.38784747204573,3.116774889895918,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.304698797776551,0.320844473959874,-14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,791.033,6.0,4.0,0.0,0.0,3.0,42.0,1.0,5.0,0.0,0.0,3.0,229.038,8.0,6.0,1.0,0.0,3.0,90.474,2.0,7.0,1.0,0.0,3.0,8.0,2.0,1.0,0.0,0.0,3.0,46.177,4.0,2.0,0.0,0.0,3.0,64.835,5.0,3.0,0.0,0.0,3.0,46.503,7.0,3.875,0.25,0.0,3.0,164.7575,4.375,2.03100960115899,0.4629100498862757,0.0,0.0,261.7368657700761,2.559994419636775,0.2238027108715141,1.4401645996461911,0.0,0.0,2.50142796454669,0.0564119077094784,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,46.177,4.0,2.0,0.0,0.0,3.0,64.835,5.0,3.0,0.0,0.0,3.0,46.503,7.0,4.0,0.0,0.0,3.0,579.913,16.0,5.0,0.0,0.0,3.0,844.01,4.0,6.0,1.0,0.0,3.0,652.389,4.0,7.0,1.0,0.0,3.0,518.096,3.0,1.0,0.0,0.0,3.0,744.326,1.0,3.625,0.25,0.0,3.0,437.031125,5.5,2.2638462845343543,0.4629100498862757,0.0,0.0,333.2173941384374,4.566962103755937,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.3138662998019902,2.087656161521761,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,579.913,16.0,5.0,0.0,0.0,3.0,844.01,4.0,6.0,1.0,0.0,3.0,652.389,4.0,7.0,1.0,0.0,3.0,518.096,3.0,1.0,0.0,0.0,3.0,744.326,1.0,2.0,0.0,0.0,3.0,479.289,13.0,3.0,0.0,0.0,3.0,1242.339,15.0,4.0,0.0,0.0,3.0,885.213,5.0,4.0,0.25,0.0,3.0,743.196875,7.625,2.0,0.4629100498862757,0.0,0.0,249.199136152732,5.998511720180503,0.0,1.4401645996461911,0.0,0.0,1.1490849551678035,0.5654835251781095,10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,3.0,929.078,9.0,5.0,0.0,1.0,3.0,608.0,1.0,6.0,1.0,1.0,3.0,299.81,5.0,7.0,1.0,1.0,3.0,665.683,8.0,1.0,0.0,1.0,3.0,804.256,3.0,2.0,0.0,1.0,3.0,356.462,4.0,3.0,0.0,1.0,3.0,342.135,8.0,4.0,0.0,1.0,3.0,272.945,9.0,4.0,0.25,1.0,3.0,534.796125,5.875,2.0,0.4629100498862757,0.0,0.0,251.64114539299095,3.044315545875155,0.0,1.4401645996461911,0.0,0.0,0.4750510655305178,-0.4500000659878942,7.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,4.0,1274.125,8.0,5.0,0.0,1.0,4.0,849.909,10.0,6.0,1.0,1.0,4.0,1000.934,8.0,7.0,1.0,1.0,4.0,802.534,7.0,1.0,0.0,1.0,4.0,336.477,9.0,2.0,0.0,1.0,4.0,70.391,5.0,3.0,0.0,1.0,4.0,141.95,5.0,4.0,0.0,1.0,4.0,693.234,6.0,4.0,0.25,1.0,4.0,646.19425,7.25,2.0,0.4629100498862757,0.0,0.0,425.9490736192197,1.8322507626258089,0.0,1.4401645996461911,0.0,0.0,-0.1089796124018149,0.0696736369672104,-10.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,605.188,1.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,265.898,1.0,2.0,0.0,1.0,1.0,268.881,8.0,3.0,0.0,1.0,1.0,202.946,4.0,4.0,0.0,1.0,1.0,31.792,2.0,5.0,0.0,1.0,1.0,42.141,1.0,6.0,1.0,1.0,1.0,218.182,1.0,4.25,0.375,0.75,1.0,204.3785,2.25,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,195.1789446328676,2.6049403612586386,-0.3142696805273544,0.6440611887195306,-1.4401645996461911,0.0,1.2026334632682072,1.899225216297157,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
