week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,387.697,25.0,6.0,1.0,0.0,3.0,1143.073,39.0,7.0,1.0,0.0,3.0,767.583,9.0,1.0,0.0,0.0,3.0,269.595,25.0,2.0,0.0,0.0,3.0,747.106,39.0,3.0,0.0,0.0,3.0,78.733,8.0,4.0,0.0,0.0,3.0,1131.355,24.0,5.0,0.0,0.0,3.0,88.577,5.0,4.125,0.25,0.0,3.0,576.714875,21.75,2.03100960115899,0.4629100498862757,0.0,0.0,432.6275003082701,13.381757305056334,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.2085600344723401,0.0774411268232767,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,303.005,14.0,6.0,1.0,0.0,3.0,307.146,26.0,7.0,1.0,0.0,3.0,291.369,30.0,1.0,0.0,0.0,3.0,15.249,3.0,2.0,0.0,0.0,3.0,476.976,14.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,350.924,21.0,5.0,0.0,0.0,3.0,257.514,24.0,4.125,0.25,0.0,3.0,250.272875,16.5,2.03100960115899,0.4629100498862757,0.0,0.0,163.51244791621698,10.796824930109247,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.6791163180176258,-0.477173689271036,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,489.706,16.0,1.0,0.0,0.0,3.0,316.078,28.0,2.0,0.0,0.0,3.0,208.768,6.0,3.0,0.0,0.0,3.0,1661.613,33.0,4.0,0.0,0.0,3.0,899.16,31.0,5.0,0.0,0.0,3.0,792.948,24.0,6.0,1.0,0.0,3.0,2119.436,41.0,4.25,0.375,0.0,3.0,810.963625,22.375,2.1213203435596424,0.5175491695067657,0.0,0.0,737.9728308905103,14.029942470098932,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.9243503836609545,-0.5081536069413128,-1.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
2.0,0.0,0.0,3.0,208.768,6.0,3.0,0.0,0.0,3.0,1661.613,33.0,4.0,0.0,0.0,3.0,899.16,31.0,5.0,0.0,0.0,3.0,792.948,24.0,6.0,1.0,0.0,3.0,2119.436,41.0,7.0,1.0,0.0,3.0,893.349,41.0,1.0,0.0,0.0,3.0,1258.839,18.0,2.0,0.0,0.0,3.0,1033.569,44.0,3.75,0.25,0.0,3.0,1108.46025,29.75,2.1213203435596424,0.4629100498862757,0.0,0.0,580.0672336444532,13.112153577066255,0.3142696805273544,1.4401645996461911,0.0,0.0,0.4164554796905513,-0.7968707242162977,7.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,1.0,3.0,1408.658,48.0,4.0,0.0,1.0,3.0,935.169,33.0,5.0,0.0,1.0,3.0,2061.19,22.0,6.0,1.0,1.0,3.0,1408.863,31.0,7.0,1.0,1.0,3.0,913.606,18.0,1.0,0.0,1.0,3.0,2098.779,40.0,2.0,0.0,1.0,3.0,1585.557,36.0,3.0,0.0,1.0,3.0,589.125,8.0,3.875,0.25,1.0,3.0,1375.118375,29.5,2.03100960115899,0.4629100498862757,0.0,0.0,543.173440630401,12.873006086935783,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0502362537622742,-0.3634978740184393,0.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,3.0,1408.863,31.0,7.0,1.0,1.0,3.0,913.606,18.0,1.0,0.0,1.0,3.0,2098.779,40.0,2.0,0.0,1.0,3.0,1585.557,36.0,3.0,0.0,1.0,3.0,589.125,8.0,4.0,0.0,1.0,3.0,1441.491,23.0,5.0,0.0,1.0,4.0,432.098,10.0,6.0,1.0,1.0,4.0,1089.939,26.0,4.25,0.375,1.0,3.25,1194.93225,24.0,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,549.6974212374216,11.600492600378166,-0.3142696805273544,0.6440611887195306,0.0,1.4401645996461911,0.1526447771134262,-0.1076167785557145,0.0,-1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,0,1,2,1,1,0
2.0,0.0,1.0,3.0,1585.557,36.0,3.0,0.0,1.0,3.0,589.125,8.0,4.0,0.0,1.0,3.0,1441.491,23.0,5.0,0.0,1.0,4.0,432.098,10.0,6.0,1.0,1.0,4.0,1089.939,26.0,7.0,1.0,1.0,4.0,883.203,8.0,1.0,0.0,1.0,4.0,1485.733,25.0,2.0,0.0,1.0,4.0,610.614,19.0,3.75,0.25,1.0,3.625,1014.72,19.375,2.1213203435596424,0.4629100498862757,0.0,0.5175491695067657,453.0338036227066,10.0844647141744,0.3142696805273544,1.4401645996461911,0.0,-0.6440611887195306,0.0523121913189111,0.249568932712957,0.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
5.0,0.0,0.0,4.0,799.434,45.0,6.0,1.0,0.0,4.0,190.636,7.0,7.0,1.0,0.0,4.0,173.108,13.0,1.0,0.0,0.0,4.0,661.133,25.0,2.0,0.0,0.0,4.0,248.808,13.0,3.0,0.0,0.0,4.0,347.846,17.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,982.953,38.0,4.125,0.25,0.0,4.0,425.48975,19.75,2.03100960115899,0.4629100498862757,0.0,0.0,347.08308395078217,15.350663084793997,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.576599518590077,0.6271099461883679,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,532.305,31.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,277.882,23.0,6.0,1.0,0.0,4.0,1234.401,16.0,7.0,1.0,0.0,4.0,474.766,13.0,1.0,0.0,0.0,4.0,974.228,40.0,2.0,0.0,0.0,4.0,375.17,22.0,3.0,0.0,0.0,4.0,844.757,49.0,3.875,0.25,0.0,4.0,589.188625,24.25,2.03100960115899,0.4629100498862757,0.0,0.0,402.8570873512405,15.563235065830169,0.2238027108715141,1.4401645996461911,0.0,0.0,0.280234024594019,0.1574611275269899,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,2671.521,22.0,4.0,0.0,0.0,4.0,901.067,14.0,5.0,0.0,0.0,4.0,1606.316,17.0,6.0,1.0,0.0,4.0,719.185,19.0,7.0,1.0,0.0,4.0,782.755,18.0,1.0,0.0,0.0,4.0,2103.298,37.0,2.0,0.0,0.0,4.0,1097.015,25.0,3.0,0.0,0.0,4.0,743.849,29.0,3.875,0.25,0.0,4.0,1328.12575,22.625,2.03100960115899,0.4629100498862757,0.0,0.0,729.8142031035316,7.501190381723233,0.2238027108715141,1.4401645996461911,0.0,0.0,1.094710356643641,1.02736259274464,0.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
