week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
7.0,1.0,0.0,3.0,746.388,15.0,1.0,0.0,0.0,3.0,161.508,4.0,2.0,0.0,0.0,3.0,938.563,3.0,3.0,0.0,0.0,3.0,1173.616,8.0,4.0,0.0,0.0,3.0,2813.22,1.0,5.0,0.0,0.0,3.0,20.282,1.0,6.0,1.0,0.0,3.0,821.436,2.0,7.0,1.0,0.0,3.0,589.549,2.0,4.375,0.375,0.0,3.0,908.07025,4.5,2.2638462845343543,0.5175491695067657,0.0,0.0,860.3708106702348,4.810702354423639,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.7288642647044188,1.8477320428513293,12.0,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
4.0,0.0,0.0,3.0,2813.22,1.0,5.0,0.0,0.0,3.0,20.282,1.0,6.0,1.0,0.0,3.0,821.436,2.0,7.0,1.0,0.0,3.0,589.549,2.0,1.0,0.0,0.0,3.0,53.036,4.0,2.0,0.0,0.0,3.0,278.962,4.0,3.0,0.0,0.0,3.0,1553.043,22.0,4.0,0.0,0.0,3.0,305.842,3.0,4.0,0.25,0.0,3.0,804.42125,4.875,2.0,0.4629100498862757,0.0,0.0,952.1636547029912,7.019106577254483,0.0,1.4401645996461911,0.0,0.0,1.6196452311974976,2.6715770564311194,-13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,305.842,3.0,5.0,0.0,0.0,3.0,20.394,1.0,6.0,1.0,0.0,3.0,17.327,2.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,141.347,4.0,2.0,0.0,0.0,3.0,1332.329,4.0,3.0,0.0,0.0,3.0,762.121,5.0,4.0,0.0,0.0,3.0,827.698,2.0,4.0,0.25,0.0,3.0,425.88225,2.625,2.0,0.4629100498862757,0.0,0.0,493.4198268503926,1.685018016012207,0.0,1.4401645996461911,0.0,0.0,0.9684648283815016,-0.1679619239884008,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,141.347,4.0,2.0,0.0,0.0,3.0,1332.329,4.0,3.0,0.0,0.0,3.0,762.121,5.0,4.0,0.0,0.0,3.0,827.698,2.0,5.0,0.0,0.0,3.0,2619.8,4.0,6.0,1.0,0.0,3.0,552.988,5.0,7.0,1.0,0.0,3.0,0.0,0.0,4.375,0.375,0.0,3.0,779.5353749999999,3.0,2.2638462845343543,0.5175491695067657,0.0,0.0,875.7638704605154,2.070196678027062,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.469599284221125,-0.7728734264634367,-5.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
3.0,0.0,0.0,3.0,762.121,5.0,4.0,0.0,0.0,3.0,827.698,2.0,5.0,0.0,0.0,3.0,2619.8,4.0,6.0,1.0,0.0,3.0,552.988,5.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1219.153,3.0,2.0,0.0,0.0,3.0,10.24,1.0,3.0,0.0,0.0,3.0,2579.223,3.0,3.875,0.25,0.0,3.0,1071.402875,2.875,2.03100960115899,0.4629100498862757,0.0,0.0,1027.52527812221,1.807721533549109,0.2238027108715141,1.4401645996461911,0.0,0.0,0.7963087478132161,-0.3355369540010529,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,1.0,4.0,3087.615,2.0,7.0,1.0,1.0,4.0,2892.806,1.0,1.0,0.0,1.0,4.0,3600.0,1.0,2.0,0.0,1.0,4.0,2424.241,7.0,3.0,0.0,1.0,4.0,65.885,2.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,3589.499,2.0,4.125,0.25,1.0,4.0,1957.50575,1.875,2.03100960115899,0.4629100498862757,0.0,0.0,1646.331470786032,2.2320714274285347,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.4537289927055666,2.057012061998348,-1.0,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,3600.0,1.0,2.0,0.0,1.0,4.0,2424.241,7.0,3.0,0.0,1.0,4.0,65.885,2.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,3589.499,2.0,6.0,1.0,1.0,4.0,1253.622,8.0,7.0,1.0,1.0,4.0,3564.062,2.0,1.0,0.0,1.0,4.0,3216.565,1.0,3.625,0.25,1.0,4.0,2214.23425,2.875,2.2638462845343543,0.4629100498862757,0.0,0.0,1564.0386493797532,2.948970764763288,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.643221135643966,1.231766545545625,-5.0,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,3589.499,2.0,6.0,1.0,1.0,4.0,1253.622,8.0,7.0,1.0,1.0,4.0,3564.062,2.0,1.0,0.0,1.0,4.0,3216.565,1.0,2.0,0.0,1.0,4.0,3600.0,1.0,3.0,0.0,1.0,4.0,374.679,5.0,4.0,0.0,1.0,4.0,3600.0,1.0,4.0,0.25,1.0,4.0,2399.8033750000004,2.5,2.0,0.4629100498862757,0.0,0.0,1580.8150688220426,2.672612419124244,0.0,1.4401645996461911,0.0,0.0,-0.789167385226625,1.5565294728979595,1.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,3600.0,1.0,6.0,1.0,0.0,4.0,3164.168,2.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,3402.26,1.0,2.0,0.0,0.0,4.0,835.55,5.0,3.0,0.0,0.0,4.0,2533.048,3.0,4.0,0.0,0.0,4.0,3321.43,3.0,5.0,0.0,0.0,4.0,3065.873,21.0,4.125,0.25,0.0,4.0,2490.291125,4.5,2.03100960115899,0.4629100498862757,0.0,0.0,1335.2840046557712,6.8452277432633934,-0.2238027108715141,1.4401645996461911,0.0,0.0,-1.3423858235065074,2.549399401556715,11.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,3200.235,1.0,6.0,1.0,0.0,1.0,3455.54,1.0,7.0,1.0,0.0,1.0,3600.0,1.0,1.0,0.0,0.0,1.0,17.811,1.0,2.0,0.0,0.0,1.0,3523.838,2.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,3347.756,1.0,5.0,0.0,0.0,1.0,2489.167,3.0,4.125,0.25,0.0,1.0,2454.293375,1.25,2.03100960115899,0.4629100498862757,0.0,0.0,1548.0396383658858,0.8864052604279183,-0.2238027108715141,1.4401645996461911,0.0,0.0,-1.2521992543982006,1.0255928633050295,0.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
