week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
1.0,0.0,0.0,3.0,-1.0,-1.0,2.0,0.0,0.0,3.0,-1.0,-1.0,3.0,0.0,0.0,3.0,-1.0,-1.0,4.0,0.0,0.0,3.0,-1.0,-1.0,5.0,0.0,0.0,3.0,-1.0,-1.0,6.0,1.0,0.0,3.0,-1.0,-1.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.625,0.25,0.0,3.0,0.0,0.0,2.2638462845343543,0.4629100498862757,0.0,0.0,0.0,0.0,0.2262499558606612,1.4401645996461911,0.0,0.0,-1.0,-1.0,-3.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
3.0,0.0,0.0,3.0,1006.603,9.0,4.0,0.0,0.0,3.0,261.912,8.0,5.0,0.0,0.0,3.0,197.466,11.0,6.0,1.0,0.0,3.0,602.228,6.0,7.0,1.0,0.0,3.0,972.763,13.0,1.0,0.0,0.0,3.0,705.815,6.0,2.0,0.0,0.0,3.0,1621.971,6.0,3.0,0.0,0.0,3.0,1182.541,6.0,3.875,0.25,0.0,3.0,818.912375,8.125,2.03100960115899,0.4629100498862757,0.0,0.0,476.9268987087876,2.6958963523950885,0.2238027108715141,1.4401645996461911,0.0,0.0,0.2665373508211522,0.9906766884375628,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,1.0,99.789,4.0,5.0,0.0,0.0,1.0,595.949,3.0,6.0,1.0,0.0,1.0,1732.768,4.0,7.0,1.0,0.0,1.0,105.285,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,211.998,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,991.92,5.0,4.0,0.25,0.0,1.0,467.213625,3.125,2.0,0.4629100498862757,0.0,0.0,616.5830723187122,2.167124493754009,0.0,1.4401645996461911,0.0,0.0,1.5080911163959103,-0.5491673744960932,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
6.0,1.0,0.0,1.0,223.144,2.0,7.0,1.0,0.0,1.0,847.193,4.0,1.0,0.0,0.0,1.0,183.786,1.0,2.0,0.0,0.0,1.0,577.195,7.0,3.0,0.0,0.0,1.0,2.576,5.0,4.0,0.0,0.0,1.0,240.053,12.0,5.0,0.0,0.0,1.0,618.343,2.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.0,1.0,336.53625,4.125,2.1213203435596424,0.5175491695067657,0.0,0.0,309.0047502010053,3.9074105418879577,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.5693977132788183,1.2544764194643632,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,2.0,1656.203,16.0,7.0,1.0,0.0,2.0,1745.814,11.0,1.0,0.0,0.0,2.0,266.23,11.0,2.0,0.0,0.0,2.0,361.888,6.0,3.0,0.0,0.0,2.0,417.82,14.0,4.0,0.0,0.0,2.0,558.801,6.0,5.0,0.0,0.0,3.0,1077.062,11.0,6.0,1.0,0.0,3.0,668.414,8.0,4.25,0.375,0.125,2.25,844.029,10.375,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.4629100498862757,583.9897934237745,3.583194903195431,-0.3142696805273544,0.6440611887195306,2.8284271247461903,1.4401645996461911,0.8327202986711651,0.1882532213663852,-4.0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1
4.0,0.0,0.0,1.0,659.857,14.0,5.0,0.0,0.0,1.0,1099.451,7.0,6.0,1.0,0.0,1.0,1948.036,14.0,7.0,1.0,0.0,1.0,1409.296,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,234.761,8.0,3.0,0.0,0.0,1.0,235.783,1.0,4.0,0.0,0.0,1.0,1589.905,8.0,4.0,0.25,0.0,1.0,897.136125,7.625,2.0,0.4629100498862757,0.0,0.0,719.607202353863,5.153015760559192,0.0,1.4401645996461911,0.0,0.0,0.1637783062240662,-0.2971601653516414,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,916.875,8.0,5.0,0.0,0.0,2.0,1260.531,14.0,6.0,1.0,0.0,2.0,1160.026,4.0,7.0,1.0,0.0,2.0,303.309,2.0,1.0,0.0,0.0,2.0,519.385,6.0,2.0,0.0,0.0,2.0,822.312,31.0,3.0,0.0,0.0,2.0,497.023,1.0,4.0,0.0,0.0,2.0,599.051,4.0,4.0,0.25,0.0,2.0,759.8140000000001,8.75,2.0,0.4629100498862757,0.0,0.0,338.18171101896434,9.86697232473786,0.0,1.4401645996461911,0.0,0.0,0.3074240736064533,2.0128364568625887,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,496.091,9.0,5.0,0.0,0.0,2.0,0.05,1.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,207.078,4.0,1.0,0.0,0.0,2.0,357.272,3.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,762.688,8.0,4.0,0.0,0.0,2.0,625.518,5.0,4.0,0.25,0.0,2.0,306.087125,3.75,2.0,0.4629100498862757,0.0,0.0,302.3909465270969,3.453776401067595,0.0,1.4401645996461911,0.0,0.0,0.3292316741427745,0.4473104220537184,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,4.0,1654.923,12.0,6.0,1.0,1.0,4.0,949.306,14.0,7.0,1.0,1.0,4.0,1720.291,18.0,1.0,0.0,1.0,4.0,2405.081,25.0,2.0,0.0,1.0,4.0,737.839,11.0,3.0,0.0,1.0,4.0,1259.387,20.0,4.0,0.0,1.0,4.0,2293.981,4.0,5.0,0.0,1.0,4.0,2126.257,13.0,4.125,0.25,1.0,4.0,1643.383125,14.625,2.03100960115899,0.4629100498862757,0.0,0.0,620.1247177128249,6.368168608679534,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.2421678850759973,0.0300785965961478,-10.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,1.0,348.074,10.0,6.0,1.0,1.0,1.0,2346.885,12.0,7.0,1.0,1.0,1.0,1178.085,16.0,1.0,0.0,1.0,1.0,2144.857,13.0,2.0,0.0,1.0,1.0,1962.704,20.0,3.0,0.0,0.0,1.0,1582.84,12.0,4.0,0.0,0.0,1.0,1168.073,7.0,5.0,0.0,0.0,1.0,2099.508,13.0,4.125,0.25,0.625,1.0,1603.87825,12.875,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,672.7167559763598,3.8706773124535783,-0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,-0.8784242743057606,0.5398001344027851,-9.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,0,1,1
