week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
6.0,1.0,1.0,1.0,1171.966,2.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,160.348,3.0,2.0,0.0,0.0,1.0,358.122,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.1,2.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.125,1.0,211.317,1.25,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.0,408.8709484198092,1.3887301496588271,-0.3142696805273544,0.6440611887195306,2.8284271247461903,0.0,2.3474567598411658,0.266697148082628,10.0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
2.0,0.0,0.0,1.0,358.122,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.1,2.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17.96,1.0,2.0,0.0,0.0,1.0,179.701,2.0,3.75,0.25,0.0,1.0,69.485375,1.0,2.1213203435596424,0.4629100498862757,0.0,0.0,132.14745507190875,1.1952286093343936,0.3142696805273544,1.4401645996461911,0.0,0.0,1.945688095190873,0.6693280212272605,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,220.901,6.0,7.0,1.0,0.0,2.0,1992.459,2.0,1.0,0.0,0.0,2.0,19.593,1.0,2.0,0.0,0.0,2.0,56.577,2.0,3.0,0.0,0.0,2.0,90.782,2.0,4.0,0.0,0.0,2.0,156.714,2.0,5.0,0.0,0.0,2.0,779.695,3.0,6.0,1.0,0.0,2.0,1088.273,2.0,4.25,0.375,0.0,2.0,550.6242500000001,2.5,2.1213203435596424,0.5175491695067657,0.0,0.0,699.1670052313784,1.5118578920369088,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.5049126892736395,2.14967294023998,4.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,2.0,13.908,1.0,4.0,0.0,0.0,2.0,58.711,1.0,5.0,0.0,0.0,2.0,12.768,3.0,6.0,1.0,0.0,2.0,801.204,5.0,7.0,1.0,0.0,2.0,1644.614,4.0,1.0,0.0,0.0,2.0,356.704,1.0,2.0,0.0,0.0,2.0,226.761,4.0,3.0,0.0,0.0,2.0,1052.192,4.0,3.875,0.25,0.0,2.0,520.85775,2.875,2.03100960115899,0.4629100498862757,0.0,0.0,593.5258362581435,1.6420805617960927,0.2238027108715141,1.4401645996461911,0.0,0.0,1.094239768735875,-0.254079216789466,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,1233.153,4.0,7.0,1.0,0.0,2.0,11.31,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,315.37,2.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,44.851,5.0,6.0,1.0,0.0,2.0,0.05,1.0,4.25,0.375,0.0,2.0,200.59175,1.625,2.1213203435596424,0.5175491695067657,0.0,0.0,431.0067430306962,1.9226098333849675,-0.3142696805273544,0.6440611887195306,0.0,0.0,2.5206901622868783,1.0327146006951948,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,2.0,-1.0,-1.0,7.0,1.0,1.0,2.0,-1.0,-1.0,1.0,0.0,1.0,2.0,-1.0,-1.0,2.0,0.0,1.0,2.0,-1.0,-1.0,3.0,0.0,1.0,2.0,-1.0,-1.0,4.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,4.25,0.375,1.0,2.0,0.0,0.0,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0,0.0,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.0,0.0,2.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,918.531,8.0,7.0,1.0,0.0,3.0,1182.772,4.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,9.638,1.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,91.78,1.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,298.104,12.0,4.25,0.375,0.0,3.0,312.603125,3.25,2.1213203435596424,0.5175491695067657,0.0,0.0,471.8149676858616,4.496029994816062,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.3621978167035491,1.3659479058780155,-10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,1347.698,17.0,6.0,1.0,0.0,4.0,47.069,2.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.05,1.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,342.908,4.0,4.0,0.0,0.0,4.0,1418.056,8.0,4.0,0.25,0.0,4.0,394.472625,4.0,2.0,0.4629100498862757,0.0,0.0,621.3010419468712,5.9281411203561225,0.0,1.4401645996461911,0.0,0.0,1.3112332897755772,1.8596706826102287,-11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,390.765,4.0,1.0,0.0,0.0,4.0,22.274,2.0,2.0,0.0,0.0,4.0,531.602,4.0,3.0,0.0,0.0,4.0,1903.479,7.0,4.0,0.0,0.0,4.0,598.695,6.0,5.0,0.0,0.0,4.0,621.325,4.0,6.0,1.0,0.0,4.0,23.207,1.0,4.25,0.375,0.0,4.0,511.418375,3.5,2.1213203435596424,0.5175491695067657,0.0,0.0,622.3980576704769,2.390457218668787,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.8412631786452984,-0.0418330013267037,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,1.0,259.765,9.0,2.0,0.0,0.0,1.0,276.093,8.0,3.0,0.0,0.0,1.0,432.816,5.0,4.0,0.0,0.0,1.0,236.285,4.0,5.0,0.0,0.0,1.0,80.421,3.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,2208.377,11.0,1.0,0.0,0.0,1.0,685.787,4.0,3.625,0.25,0.0,1.0,522.443,5.5,2.2638462845343543,0.4629100498862757,0.0,0.0,712.8406259167813,3.585685828003181,0.2262499558606612,1.4401645996461911,0.0,0.0,2.3717082147887907,0.1487395602727245,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
