week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,-1.0,-1.0,7.0,1.0,0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,389.135,5.0,4.0,0.0,0.0,3.0,371.278,4.0,5.0,0.0,0.0,3.0,273.6,3.0,6.0,1.0,0.0,3.0,0.05,1.0,4.25,0.375,0.0,3.0,172.34383333333335,2.1666666666666665,2.1213203435596424,0.5175491695067657,0.0,0.0,192.8294493488136,2.136976056643281,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.1567846079166232,0.2322676304306195,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,389.135,5.0,4.0,0.0,0.0,3.0,371.278,4.0,5.0,0.0,0.0,3.0,273.6,3.0,6.0,1.0,0.0,3.0,0.05,1.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,244.242,2.0,3.75,0.25,0.0,3.0,159.78812499999998,1.875,2.1213203435596424,0.4629100498862757,0.0,0.0,177.09019471318442,1.9594095320493148,0.3142696805273544,1.4401645996461911,0.0,0.0,0.2498395135779716,0.534095405166498,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,227.633,3.0,4.0,0.0,0.0,3.0,111.752,2.0,5.0,0.0,0.0,3.0,1167.582,7.0,6.0,1.0,0.0,3.0,806.312,1.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,294.105,3.0,2.0,0.0,0.0,3.0,118.568,1.0,3.0,0.0,0.0,3.0,125.42,3.0,3.875,0.25,0.0,3.0,356.42150000000004,2.5,2.03100960115899,0.4629100498862757,0.0,0.0,410.1721020345346,2.138089935299395,0.2238027108715141,1.4401645996461911,0.0,0.0,1.481407266635155,1.344658123371885,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,806.312,1.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,294.105,3.0,2.0,0.0,0.0,3.0,118.568,1.0,3.0,0.0,0.0,3.0,125.42,3.0,4.0,0.0,0.0,3.0,579.488,3.0,5.0,0.0,0.0,3.0,0.05,1.0,6.0,1.0,0.0,3.0,0.0,0.0,4.25,0.375,0.0,3.0,240.49287500000003,1.5,2.1213203435596424,0.5175491695067657,0.0,0.0,302.2622089300412,1.3093073414159542,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.2084536868034907,0.2545875386086577,-15.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,118.568,1.0,3.0,0.0,0.0,3.0,125.42,3.0,4.0,0.0,0.0,3.0,579.488,3.0,5.0,0.0,0.0,3.0,0.05,1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1111.193,3.0,3.75,0.25,0.0,3.0,241.839875,1.375,2.1213203435596424,0.4629100498862757,0.0,0.0,402.2175271091991,1.407885953173359,0.3142696805273544,1.4401645996461911,0.0,0.0,1.860285827518144,0.3391449970796631,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,0.05,1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1111.193,3.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,530.271,4.0,5.0,0.0,0.0,3.0,0.0,0.0,4.125,0.25,0.0,3.0,205.18925,1.0,2.03100960115899,0.4629100498862757,0.0,0.0,410.4207236248989,1.6035674514745464,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.000860664516294,1.3857990321384968,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,0.05,1.0,7.0,1.0,0.0,3.0,763.286,7.0,1.0,0.0,1.0,3.0,738.239,2.0,2.0,0.0,1.0,3.0,207.367,1.0,3.0,0.0,1.0,3.0,845.353,2.0,4.0,0.0,1.0,3.0,734.231,3.0,5.0,0.0,1.0,3.0,14.897,1.0,6.0,1.0,1.0,3.0,0.0,0.0,4.25,0.375,0.75,3.0,412.927875,2.125,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,389.22390747832594,2.167124493754009,-0.3142696805273544,0.6440611887195306,-1.4401645996461911,0.0,-0.0680713357619016,1.9212085465598152,11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,18.49,2.0,3.0,0.0,1.0,3.0,1228.0,1.0,4.0,0.0,1.0,4.0,1031.785,4.0,5.0,0.0,1.0,4.0,105.379,1.0,6.0,1.0,1.0,4.0,1457.165,4.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,51.048,1.0,3.625,0.25,1.0,3.625,486.4833749999999,1.625,2.2638462845343543,0.4629100498862757,0.0,0.5175491695067657,634.3295720999878,1.5979898086569353,0.2262499558606612,1.4401645996461911,0.0,-0.6440611887195306,0.7565588107456084,0.8183358245515882,3.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,0,1,1,0
1.0,0.0,1.0,4.0,905.59,2.0,2.0,0.0,1.0,4.0,62.763,1.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,232.325,3.0,5.0,0.0,0.0,4.0,0.05,1.0,6.0,1.0,0.0,4.0,0.05,1.0,7.0,1.0,0.0,4.0,0.05,1.0,1.0,0.0,0.0,4.0,151.26,1.0,3.625,0.25,0.5,4.0,169.01100000000002,1.25,2.2638462845343543,0.4629100498862757,0.5345224838248488,0.0,309.92376897415085,0.8864052604279183,0.2262499558606612,1.4401645996461911,0.0,0.0,2.4274547383585823,1.0255928633050295,0.0,-1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0
3.0,0.0,0.0,4.0,360.72,2.0,4.0,0.0,0.0,4.0,2186.935,3.0,5.0,0.0,0.0,4.0,660.747,2.0,6.0,1.0,0.0,4.0,2009.935,3.0,7.0,1.0,0.0,4.0,159.557,5.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,158.88,7.0,3.0,0.0,0.0,4.0,470.71,5.0,3.875,0.25,0.0,4.0,750.9354999999999,3.375,2.03100960115899,0.4629100498862757,0.0,0.0,857.7599654520404,2.1998376563477846,0.2238027108715141,1.4401645996461911,0.0,0.0,1.2183784089701226,0.2230959663468402,-4.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,1152.347,3.0,4.0,0.0,0.0,1.0,110.094,1.0,5.0,0.0,0.0,1.0,825.928,1.0,6.0,1.0,0.0,1.0,0.05,1.0,7.0,1.0,0.0,1.0,0.05,1.0,1.0,0.0,0.0,1.0,0.1,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,862.457,6.0,3.875,0.25,0.0,1.0,368.87825,1.875,2.03100960115899,0.4629100498862757,0.0,0.0,489.5251552989897,1.8850918886280923,0.2238027108715141,1.4401645996461911,0.0,0.0,0.7771341620230937,1.772703263364818,1.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,210.603,4.0,6.0,1.0,0.0,1.0,228.13,3.0,7.0,1.0,0.0,1.0,0.1,2.0,1.0,0.0,0.0,1.0,210.025,2.0,2.0,0.0,0.0,1.0,600.0,1.0,3.0,0.0,0.0,1.0,411.851,5.0,4.0,0.0,0.0,1.0,763.398,4.0,5.0,0.0,0.0,1.0,253.053,3.0,4.125,0.25,0.0,1.0,334.645,3.0,2.03100960115899,0.4629100498862757,0.0,0.0,245.25287135293064,1.3093073414159542,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7091873190135197,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,1.0,210.025,2.0,2.0,0.0,0.0,1.0,600.0,1.0,3.0,0.0,0.0,1.0,411.851,5.0,4.0,0.0,0.0,1.0,763.398,4.0,5.0,0.0,0.0,1.0,253.053,3.0,6.0,1.0,0.0,1.0,228.426,3.0,7.0,1.0,0.0,1.0,43.856,4.0,1.0,0.0,0.0,1.0,44.163,1.0,3.625,0.25,0.0,1.0,319.3465,2.875,2.2638462845343543,0.4629100498862757,0.0,0.0,256.5537354802248,1.4577379737113252,0.2262499558606612,1.4401645996461911,0.0,0.0,0.7485362122390978,-0.0864698748617691,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
