week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,395.432,6.0,6.0,1.0,0.0,3.0,34.393,2.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,231.004,6.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,220.836,3.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,19.158,1.0,4.125,0.25,0.0,3.0,112.602875,2.25,2.03100960115899,0.4629100498862757,0.0,0.0,150.52883031066315,2.549509756796392,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.1154594312970656,0.801705519465983,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,1470.692,4.0,7.0,1.0,0.0,3.0,1613.475,5.0,1.0,0.0,0.0,3.0,786.427,2.0,2.0,0.0,1.0,3.0,841.244,8.0,3.0,0.0,1.0,3.0,890.169,11.0,4.0,0.0,1.0,3.0,3136.855,4.0,5.0,0.0,1.0,3.0,276.638,4.0,6.0,1.0,1.0,3.0,0.0,0.0,4.25,0.375,0.625,3.0,1126.9375,4.75,2.1213203435596424,0.5175491695067657,0.5175491695067657,0.0,974.0401223573904,3.4121631178560534,-0.3142696805273544,0.6440611887195306,-0.6440611887195306,0.0,1.268299281998782,0.7155923404228209,7.0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,452.398,10.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,406.793,8.0,4.0,0.0,0.0,1.0,45.486,2.0,5.0,0.0,0.0,1.0,24.048,2.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.0,1.0,116.090625,2.75,2.1213203435596424,0.5175491695067657,0.0,0.0,194.5601310098078,3.991061441342569,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.427998672261895,1.323585539436177,11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,8.527,1.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,816.238,7.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,260.546,5.0,4.125,0.25,0.0,1.0,135.66387500000002,1.625,2.03100960115899,0.4629100498862757,0.0,0.0,289.57207458318686,2.774243783705493,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.374068857132064,1.534667078738683,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,70.292,1.0,7.0,1.0,0.0,3.0,0.05,1.0,1.0,0.0,0.0,3.0,1401.805,3.0,2.0,0.0,0.0,3.0,597.99,6.0,3.0,0.0,0.0,3.0,600.139,6.0,4.0,0.0,0.0,3.0,1087.452,11.0,5.0,0.0,0.0,3.0,1130.439,8.0,6.0,1.0,0.0,3.0,926.202,2.0,4.25,0.375,0.0,3.0,726.7961250000001,4.75,2.1213203435596424,0.5175491695067657,0.0,0.0,504.29449396712,3.615443067098218,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.360601458906254,0.6075939437316364,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,57.237,1.0,3.0,0.0,0.0,4.0,1216.069,2.0,4.0,0.0,0.0,4.0,1171.176,2.0,4.0,0.25,0.0,4.0,305.56025,0.625,2.0,0.4629100498862757,0.0,0.0,548.6107882468095,0.9161253813129044,0.0,1.4401645996461911,0.0,0.0,1.4367541028515034,0.9986554631966832,6.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
4.0,0.0,0.0,1.0,1731.304,6.0,5.0,0.0,0.0,1.0,1791.333,5.0,6.0,1.0,0.0,1.0,813.099,6.0,7.0,1.0,0.0,1.0,1973.618,11.0,1.0,0.0,0.0,1.0,966.568,4.0,2.0,0.0,0.0,1.0,1373.388,3.0,3.0,0.0,0.0,1.0,383.54,7.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.25,0.0,1.0,1129.10625,5.25,2.0,0.4629100498862757,0.0,0.0,710.240330500428,3.1959796173138706,0.0,1.4401645996461911,0.0,0.0,-0.4062236227054056,0.2231824976049786,-7.0,-1,1,1,1,1,2,1,1,0,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.05,1.0,4.0,0.0,0.0,3.0,0.05,1.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,4.25,0.375,0.0,3.0,0.0125,0.25,2.1213203435596424,0.5175491695067657,0.0,0.0,0.0231455024943137,0.4629100498862757,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.440164599646191,1.4401645996461911,-10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,3180.0,1.0,1.0,0.0,0.0,4.0,0.05,1.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,4.125,0.25,0.0,4.0,397.50625,0.25,2.03100960115899,0.4629100498862757,0.0,0.0,1124.2972568413888,0.4629100498862757,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.82842712337624,1.4401645996461911,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,4.125,0.25,0.0,4.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
