week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,143.318,3.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,666.753,10.0,1.0,0.0,0.0,3.0,269.71,5.0,2.0,0.0,0.0,3.0,28.434,1.0,3.0,0.0,0.0,3.0,1096.634,15.0,4.0,0.0,0.0,3.0,204.182,3.0,4.0,0.25,0.0,3.0,301.128875,4.625,2.0,0.4629100498862757,0.0,0.0,388.6826124963428,5.31675249968034,0.0,1.4401645996461911,0.0,0.0,1.5328061909333195,1.2902161516593964,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,762.04,10.0,7.0,1.0,0.0,3.0,786.519,12.0,1.0,0.0,0.0,3.0,678.01,9.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,36.637,2.0,4.0,0.0,0.0,3.0,286.871,2.0,5.0,0.0,0.0,3.0,1175.002,12.0,6.0,1.0,0.0,3.0,1162.729,9.0,4.25,0.375,0.0,3.0,610.9759999999999,7.0,2.1213203435596424,0.5175491695067657,0.0,0.0,461.1920805769079,4.869731585445518,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.1844907375667535,-0.4948195833665063,-4.0,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,36.637,2.0,4.0,0.0,0.0,3.0,286.871,2.0,5.0,0.0,0.0,3.0,1175.002,12.0,6.0,1.0,0.0,3.0,1162.729,9.0,7.0,1.0,0.0,3.0,457.246,6.0,1.0,0.0,0.0,3.0,1045.942,8.0,2.0,0.0,0.0,3.0,35.741,2.0,3.75,0.25,0.0,3.0,525.021,5.125,2.1213203435596424,0.4629100498862757,0.0,0.0,523.0918050110462,4.257346591481601,0.3142696805273544,1.4401645996461911,0.0,0.0,0.3767929271357276,0.4477915762604734,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,4.0,1203.877,10.0,5.0,0.0,1.0,4.0,17.205,2.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,556.036,5.0,1.0,0.0,0.0,4.0,24.717,1.0,2.0,0.0,0.0,4.0,412.825,3.0,3.0,0.0,0.0,4.0,196.464,4.0,4.0,0.0,0.0,4.0,225.44,2.0,4.0,0.25,0.25,4.0,329.5705,3.375,2.0,0.4629100498862757,0.4629100498862757,0.0,405.3772261377578,3.113908889391045,0.0,1.4401645996461911,1.4401645996461911,0.0,1.665346924919128,1.50279220660334,-3.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
7.0,1.0,0.0,4.0,556.036,5.0,1.0,0.0,0.0,4.0,24.717,1.0,2.0,0.0,0.0,4.0,412.825,3.0,3.0,0.0,0.0,4.0,196.464,4.0,4.0,0.0,0.0,4.0,225.44,2.0,5.0,0.0,0.0,4.0,521.798,4.0,6.0,1.0,0.0,4.0,58.968,1.0,7.0,1.0,0.0,4.0,1205.075,10.0,4.375,0.375,0.0,4.0,400.165375,3.75,2.2638462845343543,0.5175491695067657,0.0,0.0,381.0755934696787,2.9154759474226504,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.4478373595727243,1.5276344558912551,-2.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,26.837,2.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,321.648,1.0,6.0,1.0,0.0,4.0,953.145,7.0,7.0,1.0,0.0,4.0,358.317,4.0,1.0,0.0,0.0,4.0,1127.965,8.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,60.236,1.0,3.875,0.25,0.0,4.0,356.0185,2.875,2.03100960115899,0.4629100498862757,0.0,0.0,447.6915650901378,3.1367635732209265,0.2238027108715141,1.4401645996461911,0.0,0.0,1.1061298554112184,0.8939126826165743,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,142.512,5.0,4.0,0.0,0.0,4.0,204.089,7.0,5.0,0.0,0.0,4.0,325.379,6.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,521.274,4.0,1.0,0.0,0.0,4.0,448.989,4.0,2.0,0.0,0.0,4.0,8.612,1.0,3.0,0.0,0.0,4.0,265.021,5.0,3.875,0.25,0.0,4.0,239.4845,4.0,2.03100960115899,0.4629100498862757,0.0,0.0,189.97702115406327,2.390457218668787,0.2238027108715141,1.4401645996461911,0.0,0.0,0.1451303110079032,-0.752994023880668,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,265.021,5.0,4.0,0.0,0.0,4.0,75.729,2.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,193.188,2.0,7.0,1.0,0.0,4.0,136.806,4.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,297.526,7.0,3.0,0.0,0.0,4.0,289.756,1.0,3.875,0.25,0.0,4.0,157.25324999999998,2.625,2.03100960115899,0.4629100498862757,0.0,0.0,123.43886861201491,2.5035688811888406,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.1967951718873546,0.713511339650673,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,995.852,8.0,7.0,1.0,0.0,4.0,701.886,2.0,1.0,0.0,0.0,4.0,267.965,4.0,2.0,0.0,0.0,4.0,352.172,3.0,3.0,0.0,0.0,4.0,398.361,3.0,4.0,0.0,0.0,4.0,248.078,7.0,5.0,0.0,0.0,4.0,334.954,5.0,6.0,1.0,0.0,4.0,797.398,2.0,4.25,0.375,0.0,4.0,512.08325,4.25,2.1213203435596424,0.5175491695067657,0.0,0.0,280.46731798133425,2.2519832529192065,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.8565861805744921,0.7880377818189804,-5.0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,559.646,8.0,4.0,0.0,0.0,4.0,447.459,4.0,5.0,0.0,0.0,4.0,1378.567,10.0,6.0,1.0,0.0,4.0,930.135,15.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,731.647,9.0,2.0,0.0,0.0,4.0,485.051,3.0,3.0,0.0,0.0,4.0,973.957,6.0,3.875,0.25,0.0,4.0,688.30775,6.875,2.03100960115899,0.4629100498862757,0.0,0.0,415.42660811155497,4.67325215607779,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0420160153185328,0.3179137085563142,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
