week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,240.565,5.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,10.477,1.0,2.0,0.0,0.0,3.0,156.222,5.0,3.0,0.0,0.0,3.0,1899.919,9.0,4.0,0.0,0.0,3.0,152.226,3.0,5.0,0.0,0.0,3.0,3310.474,1.0,4.125,0.25,0.0,3.0,721.2353750000001,3.0,2.03100960115899,0.4629100498862757,0.0,0.0,1225.5054897085108,3.1622776601683795,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.8018641002092213,0.9757885351376716,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,468.705,7.0,7.0,1.0,0.0,3.0,753.325,3.0,1.0,0.0,0.0,3.0,0.05,1.0,2.0,0.0,0.0,3.0,297.915,9.0,3.0,0.0,0.0,3.0,61.458,1.0,4.0,0.0,0.0,3.0,574.919,2.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,1214.995,6.0,4.25,0.375,0.0,3.0,421.420875,3.625,2.1213203435596424,0.5175491695067657,0.0,0.0,425.2215630264961,3.2923070504261465,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.8469274699892786,0.6339975677552008,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,1.0,439.993,10.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,1287.189,6.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,2.0,0.0,0.0,1.0,400.272,7.0,3.0,0.0,0.0,1.0,28.27,2.0,4.0,0.0,0.0,1.0,108.904,8.0,4.0,0.25,0.375,1.0,283.08475,4.25,2.0,0.4629100498862757,0.5175491695067657,0.0,444.3664039810744,3.955105199973465,0.0,1.4401645996461911,0.6440611887195306,0.0,2.014405794727629,0.2147389324812014,0.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0
3.0,0.0,0.0,1.0,176.05,3.0,4.0,0.0,0.0,1.0,7.497,5.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,810.406,2.0,7.0,1.0,0.0,1.0,1248.801,7.0,1.0,0.0,0.0,1.0,136.814,3.0,2.0,0.0,0.0,1.0,411.751,6.0,3.0,0.0,0.0,1.0,491.754,1.0,3.875,0.25,0.0,1.0,410.384125,3.375,2.03100960115899,0.4629100498862757,0.0,0.0,435.9012900454274,2.445841952609133,0.2238027108715141,1.4401645996461911,0.0,0.0,1.1177951575711946,0.2013774082611574,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,1346.619,5.0,6.0,1.0,0.0,2.0,441.327,13.0,7.0,1.0,0.0,2.0,5.271,2.0,1.0,0.0,0.0,2.0,100.066,5.0,2.0,0.0,0.0,2.0,327.593,8.0,3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,177.754,6.0,5.0,0.0,0.0,2.0,723.477,7.0,4.125,0.25,0.0,2.0,390.269625,5.875,2.03100960115899,0.4629100498862757,0.0,0.0,457.01560281271344,3.720119045714225,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.518639961850595,0.7301188480479381,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,950.589,7.0,1.0,0.0,0.0,2.0,834.578,4.0,2.0,0.0,0.0,2.0,368.461,7.0,3.0,0.0,0.0,2.0,49.325,2.0,4.0,0.0,0.0,2.0,125.631,1.0,5.0,0.0,0.0,2.0,1372.286,18.0,6.0,1.0,0.0,2.0,292.384,8.0,4.25,0.375,0.0,2.0,499.1567500000001,5.875,2.1213203435596424,0.5175491695067657,0.0,0.0,497.065255560719,5.743008171432708,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.8015204990562507,1.4194892919865922,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,725.218,11.0,1.0,0.0,0.0,3.0,65.687,7.0,2.0,0.0,0.0,3.0,1078.605,15.0,3.0,0.0,0.0,3.0,670.732,5.0,4.0,0.0,0.0,3.0,588.104,5.0,5.0,0.0,0.0,3.0,1024.922,15.0,6.0,1.0,0.0,3.0,1179.621,11.0,7.0,1.0,0.0,3.0,35.948,4.0,4.375,0.375,0.0,3.0,671.104625,9.125,2.2638462845343543,0.5175491695067657,0.0,0.0,435.8250194443826,4.4860896112315904,-0.2262499558606612,0.6440611887195306,0.0,0.0,-0.5409420928993094,0.2830399723852103,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,1117.336,17.0,7.0,1.0,0.0,3.0,2557.912,16.0,1.0,0.0,0.0,3.0,445.92,3.0,3.0,0.0,0.0,3.0,-1.0,-1.0,4.0,0.0,0.0,3.0,-1.0,-1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.75,0.25,0.0,3.0,686.8613333333333,6.0,1.9820624179302295,0.4629100498862757,0.0,0.0,1015.827469176664,8.221921916437786,0.4586590719177391,1.4401645996461911,0.0,0.0,1.6152465502060125,0.8938436171891506,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,329.812,7.0,6.0,1.0,0.0,3.0,1210.204,14.0,7.0,1.0,0.0,3.0,2223.008,12.0,1.0,0.0,0.0,3.0,878.866,5.0,2.0,0.0,0.0,3.0,371.221,4.0,3.0,0.0,0.0,3.0,231.477,6.0,4.0,0.0,0.0,3.0,176.237,2.0,5.0,0.0,0.0,3.0,1208.444,10.0,4.125,0.25,0.0,3.0,828.6586249999999,7.5,2.03100960115899,0.4629100498862757,0.0,0.0,704.771672282173,4.140393356054125,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.148544664430636,0.4105890078087008,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,100.23,2.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,1319.989,24.0,7.0,1.0,0.0,3.0,2005.255,16.0,1.0,0.0,0.0,3.0,903.196,9.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,202.917,12.0,4.0,0.25,0.375,3.0,566.448375,7.875,2.0,0.4629100498862757,0.5175491695067657,0.0,761.9048364864282,8.9831190892378,0.0,1.4401645996461911,0.6440611887195306,0.0,1.1843230174941282,0.8231859705082015,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1
