week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,57.358,2.0,5.0,0.0,0.0,3.0,640.438,11.0,6.0,1.0,0.0,3.0,493.556,5.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,412.16,7.0,2.0,0.0,0.0,3.0,2756.672,14.0,3.0,0.0,0.0,3.0,2148.103,9.0,3.875,0.25,0.0,3.0,813.5358749999999,6.0,2.03100960115899,0.4629100498862757,0.0,0.0,1051.922472539878,5.18238775634773,0.2238027108715141,1.4401645996461911,0.0,0.0,1.3258028253656182,0.2299112721240731,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,340.818,2.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.75,0.25,0.0,3.0,42.60225,0.25,2.1213203435596424,0.4629100498862757,0.0,0.0,120.49735947521836,0.7071067811865476,0.3142696805273544,1.4401645996461911,0.0,0.0,2.8284271247461903,2.8284271247461903,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,1120.619,10.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,171.79,1.0,2.0,0.0,1.0,3.0,616.777,3.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,1343.902,1.0,5.0,0.0,1.0,3.0,0.0,0.0,6.0,1.0,1.0,3.0,1516.454,3.0,4.25,0.375,0.625,3.0,596.1927499999999,2.25,2.1213203435596424,0.5175491695067657,0.5175491695067657,0.0,646.73372457179,3.370036032024414,-0.3142696805273544,0.6440611887195306,-0.6440611887195306,0.0,0.4432089975016363,2.1312501910528194,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
2.0,0.0,1.0,3.0,616.777,3.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,1343.902,1.0,5.0,0.0,1.0,3.0,0.0,0.0,6.0,1.0,1.0,3.0,1516.454,3.0,7.0,1.0,1.0,3.0,600.05,2.0,1.0,0.0,1.0,3.0,0.05,1.0,2.0,0.0,1.0,3.0,2846.579,2.0,3.75,0.25,1.0,3.0,865.4765,1.5,2.1213203435596424,0.4629100498862757,0.0,0.0,996.909124621268,1.1952286093343936,0.3142696805273544,1.4401645996461911,0.0,0.0,1.188494044861739,0.0,-1.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,4.0,2103.108,3.0,7.0,1.0,1.0,4.0,2347.767,1.0,1.0,0.0,1.0,4.0,270.796,10.0,2.0,0.0,1.0,4.0,806.0,1.0,3.0,0.0,1.0,4.0,611.494,2.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,148.139,6.0,6.0,1.0,1.0,4.0,1052.648,24.0,4.25,0.375,1.0,4.0,917.494,5.875,2.1213203435596424,0.5175491695067657,0.0,0.0,880.5530394134618,8.025628591313847,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.8555548450252736,2.029573796494333,-7.0,-1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2.0,0.0,1.0,4.0,806.0,1.0,3.0,0.0,1.0,4.0,611.494,2.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,148.139,6.0,6.0,1.0,1.0,4.0,1052.648,24.0,7.0,1.0,1.0,4.0,157.363,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,3.75,0.25,1.0,4.0,346.95550000000003,4.25,2.1213203435596424,0.4629100498862757,0.0,0.0,416.6725417241423,8.224527776283399,0.3142696805273544,1.4401645996461911,0.0,0.0,0.8602328478850824,2.5331804903440984,0.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,1.0,4.0,626.965,5.0,4.0,0.0,1.0,4.0,52.314,3.0,5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,310.449,9.0,7.0,1.0,0.0,4.0,41.605,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,529.898,16.0,3.0,0.0,0.0,4.0,0.916,1.0,3.875,0.25,0.375,4.0,195.268375,4.375,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,259.03288448321854,5.604526232048012,0.2238027108715141,1.4401645996461911,0.6440611887195306,0.0,0.993649038605142,1.5399110471924842,0.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
5.0,0.0,0.0,4.0,16.463,1.0,6.0,1.0,0.0,4.0,1.336,1.0,7.0,1.0,0.0,4.0,297.774,6.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,242.384,14.0,3.0,0.0,0.0,4.0,14.452,2.0,4.0,0.0,0.0,4.0,421.872,16.0,5.0,0.0,0.0,4.0,233.997,10.0,4.125,0.25,0.0,4.0,153.53475,6.25,2.03100960115899,0.4629100498862757,0.0,0.0,165.63654653379749,6.341473465550866,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.4666897893675553,0.6234858269434146,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,14.452,2.0,4.0,0.0,0.0,4.0,421.872,16.0,5.0,0.0,0.0,4.0,233.997,10.0,6.0,1.0,0.0,4.0,111.662,5.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,144.43,15.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,59.79,5.0,3.875,0.25,0.0,4.0,123.275375,6.625,2.03100960115899,0.4629100498862757,0.0,0.0,145.53750978938876,6.368168608679534,0.2238027108715141,1.4401645996461911,0.0,0.0,1.4024231436517882,0.5611214054660688,0.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,1070.637,6.0,7.0,1.0,0.0,4.0,1093.281,6.0,1.0,0.0,0.0,4.0,27.698,1.0,2.0,0.0,0.0,4.0,441.661,13.0,3.0,0.0,0.0,4.0,103.839,3.0,4.0,0.0,0.0,4.0,778.49,1.0,5.0,0.0,0.0,4.0,51.273,1.0,6.0,1.0,0.0,4.0,680.797,13.0,4.25,0.375,0.0,4.0,530.9594999999999,5.5,2.1213203435596424,0.5175491695067657,0.0,0.0,441.58113920191056,5.0709255283711,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.0819628600640221,0.8107220443506881,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
