week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,628.853,3.0,1.0,0.0,1.0,4.0,48.536,4.0,2.0,0.0,1.0,4.0,500.297,6.0,3.0,0.0,1.0,4.0,12.754,2.0,4.0,0.0,1.0,4.0,484.556,8.0,5.0,0.0,1.0,4.0,0.0,0.0,4.125,0.25,1.0,4.0,209.3745,2.875,2.03100960115899,0.4629100498862757,0.0,0.0,275.77544145398963,2.997022331772464,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7263243460435892,0.6693190749517658,7.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
7.0,1.0,0.0,1.0,209.826,2.0,1.0,0.0,0.0,1.0,184.143,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,328.885,6.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,811.055,5.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,150.1,3.0,4.375,0.375,0.0,1.0,210.501125,2.375,2.2638462845343543,0.5175491695067657,0.0,0.0,270.4375745144669,2.326094212561969,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.830110593936464,0.3930156458000987,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,737.179,4.0,5.0,0.0,0.0,2.0,75.23,3.0,6.0,1.0,0.0,2.0,785.001,7.0,7.0,1.0,0.0,2.0,0.05,1.0,1.0,0.0,0.0,2.0,176.845,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.875,0.25,0.0,2.0,221.788125,2.0,2.03100960115899,0.4629100498862757,0.0,0.0,338.7104491067924,2.5071326821120348,0.2238027108715141,1.4401645996461911,0.0,0.0,1.317051785575132,1.3053666030831257,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
6.0,1.0,0.0,2.0,785.001,7.0,7.0,1.0,0.0,2.0,0.05,1.0,1.0,0.0,0.0,2.0,176.845,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,798.747,1.0,5.0,0.0,1.0,2.0,390.142,3.0,6.0,1.0,1.0,2.0,178.352,6.0,4.25,0.375,0.25,2.0,291.142125,2.375,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,336.2413710006707,2.7222627143085005,-0.3142696805273544,0.6440611887195306,1.4401645996461911,0.0,0.8781599320668856,1.0595367354653935,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
5.0,0.0,0.0,4.0,731.675,9.0,6.0,1.0,0.0,4.0,592.738,8.0,7.0,1.0,0.0,4.0,465.922,7.0,1.0,0.0,0.0,4.0,468.028,12.0,2.0,0.0,0.0,4.0,276.785,8.0,3.0,0.0,0.0,4.0,1025.635,18.0,4.0,0.0,0.0,4.0,890.015,8.0,5.0,0.0,0.0,4.0,1271.779,21.0,4.125,0.25,0.0,4.0,715.322125,11.375,2.03100960115899,0.4629100498862757,0.0,0.0,331.1063349993419,5.289815011618352,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.4759609734920765,1.2485010322153125,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,1.0,36.116,4.0,1.0,0.0,0.0,1.0,491.727,7.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,46.265,2.0,4.0,0.0,0.0,1.0,766.935,7.0,5.0,0.0,0.0,1.0,149.062,5.0,6.0,1.0,0.0,1.0,38.7,3.0,7.0,1.0,0.0,1.0,0.0,0.0,4.375,0.375,0.0,1.0,191.100625,3.5,2.2638462845343543,0.5175491695067657,0.0,0.0,284.10036739451147,2.7774602993176543,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.609617961947691,0.0,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,4.0,-1.0,-1.0,1.0,0.0,0.0,4.0,-1.0,-1.0,2.0,0.0,0.0,4.0,-1.0,-1.0,3.0,0.0,0.0,4.0,-1.0,-1.0,4.0,0.0,0.0,4.0,-1.0,-1.0,5.0,0.0,0.0,4.0,-1.0,-1.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,4.375,0.375,0.0,4.0,0.0,0.0,2.2638462845343543,0.5175491695067657,0.0,0.0,0.0,0.0,-0.2262499558606612,0.6440611887195306,0.0,0.0,-1.0,-1.0,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1
1.0,0.0,0.0,1.0,574.818,6.0,2.0,0.0,0.0,1.0,1082.5,6.0,3.0,0.0,0.0,1.0,1109.116,7.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,720.544,3.0,6.0,1.0,0.0,1.0,782.858,2.0,7.0,1.0,0.0,1.0,152.182,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.625,0.25,0.0,1.0,552.75225,3.125,2.2638462845343543,0.4629100498862757,0.0,0.0,454.0751276359925,2.850438562747845,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.1307048168730464,0.2768033660933833,-1.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
5.0,0.0,0.0,2.0,747.038,12.0,6.0,1.0,0.0,2.0,3000.03,2.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1676.9,8.0,3.0,0.0,0.0,2.0,2212.509,7.0,4.0,0.0,0.0,2.0,727.079,2.0,5.0,0.0,0.0,2.0,1798.404,8.0,4.125,0.25,0.0,2.0,1270.245,4.875,2.03100960115899,0.4629100498862757,0.0,0.0,1077.0434000197022,4.454131308603925,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.2781313008199275,0.3299963298924767,0.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,295.016,3.0,7.0,1.0,0.0,2.0,669.074,5.0,1.0,0.0,0.0,2.0,815.695,8.0,2.0,0.0,0.0,2.0,673.477,5.0,3.0,0.0,0.0,2.0,1050.981,10.0,4.0,0.0,0.0,2.0,1253.998,9.0,5.0,0.0,0.0,2.0,775.203,10.0,6.0,1.0,0.0,2.0,0.0,0.0,4.25,0.375,0.0,2.0,691.6804999999999,6.25,2.1213203435596424,0.5175491695067657,0.0,0.0,397.1794278261221,3.615443067098218,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.5066699830610386,-0.6075939437316364,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
