week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,363.284,4.0,2.0,0.0,0.0,3.0,79.887,4.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,1046.011,3.0,5.0,0.0,0.0,3.0,387.887,3.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,4.375,0.375,0.0,3.0,234.633625,1.75,2.2638462845343543,0.5175491695067657,0.0,0.0,366.9427807613052,1.9086270308410556,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.8678800677396927,0.1438257970183955,0.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,1046.011,3.0,5.0,0.0,0.0,3.0,387.887,3.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,193.49,4.0,2.0,0.0,0.0,3.0,157.005,3.0,3.0,0.0,0.0,3.0,143.388,4.0,3.875,0.25,0.0,3.0,240.972625,2.125,2.03100960115899,0.4629100498862757,0.0,0.0,351.0600187928544,1.807721533549109,0.2238027108715141,1.4401645996461911,0.0,0.0,2.1189057293793336,-0.4383140390103844,-6.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,193.49,4.0,2.0,0.0,0.0,3.0,157.005,3.0,3.0,0.0,0.0,3.0,143.388,4.0,4.0,0.0,0.0,3.0,43.153,6.0,5.0,0.0,0.0,3.0,9.185,1.0,6.0,1.0,0.0,3.0,135.922,5.0,7.0,1.0,0.0,3.0,12.714,2.0,1.0,0.0,0.0,3.0,114.701,4.0,3.625,0.25,0.0,3.0,101.19475,3.625,2.2638462845343543,0.4629100498862757,0.0,0.0,70.16852180236214,1.5979898086569353,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.3239992259736649,-0.301952790877324,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,43.153,6.0,5.0,0.0,0.0,3.0,9.185,1.0,6.0,1.0,0.0,3.0,135.922,5.0,7.0,1.0,0.0,3.0,12.714,2.0,1.0,0.0,0.0,3.0,114.701,4.0,2.0,0.0,0.0,3.0,591.788,14.0,3.0,0.0,0.0,3.0,210.843,6.0,4.0,0.0,0.0,3.0,116.235,7.0,4.0,0.25,0.0,3.0,154.317625,5.625,2.0,0.4629100498862757,0.0,0.0,189.51300319046143,3.9618718519695424,0.0,1.4401645996461911,0.0,0.0,2.141126870733577,1.3447292719844126,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,768.773,9.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,303.858,1.0,2.0,0.0,1.0,3.0,9.98,1.0,3.0,0.0,1.0,3.0,56.134,6.0,4.0,0.0,1.0,3.0,27.036,4.0,5.0,0.0,1.0,3.0,60.15,3.0,4.125,0.25,0.5,3.0,153.241375,3.0,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,268.0825703690869,3.2071349029490928,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.202267471262623,1.0047042983004102,-11.0,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,3.0,240.78,4.0,5.0,0.0,1.0,4.0,228.056,13.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,64.954,5.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,78.403,1.0,4.0,0.25,1.0,3.875,76.524125,2.875,2.0,0.4629100498862757,0.0,0.3535533905932738,102.47164514068898,4.54933276112317,0.0,1.4401645996461911,0.0,-2.8284271247461903,1.0828596305451952,1.9164839098181092,-1.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
4.0,0.0,1.0,4.0,78.403,1.0,5.0,0.0,1.0,4.0,121.27,3.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,55.375,2.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,90.992,8.0,4.0,0.0,1.0,4.0,634.977,12.0,4.0,0.25,1.0,4.0,122.627125,3.25,2.0,0.4629100498862757,0.0,0.0,212.16431443606396,4.432026302139591,0.0,1.4401645996461911,0.0,0.0,2.563644405388916,1.4456757001147695,-2.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,4.0,1.652,1.0,2.0,0.0,0.0,4.0,451.595,10.0,3.0,0.0,0.0,4.0,140.061,6.0,4.0,0.0,0.0,4.0,43.429,3.0,5.0,0.0,0.0,4.0,13.423,2.0,6.0,1.0,0.0,4.0,9.858,1.0,7.0,1.0,0.0,4.0,405.479,19.0,1.0,0.0,0.0,4.0,5.333,1.0,3.625,0.25,0.0,4.0,133.85375000000002,5.375,2.2638462845343543,0.4629100498862757,0.0,0.0,187.779635744173,6.345695954176906,0.2262499558606612,1.4401645996461911,0.0,0.0,1.2454394287094732,1.7334584069946668,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,43.429,3.0,5.0,0.0,0.0,4.0,13.423,2.0,6.0,1.0,0.0,4.0,9.858,1.0,7.0,1.0,0.0,4.0,405.479,19.0,1.0,0.0,0.0,4.0,5.333,1.0,2.0,0.0,0.0,4.0,2095.119,3.0,3.0,0.0,0.0,4.0,12.553,2.0,4.0,0.0,0.0,4.0,316.257,2.0,4.0,0.25,0.0,4.0,362.681375,4.125,2.0,0.4629100498862757,0.0,0.0,717.5357183053553,6.057757718118856,0.0,1.4401645996461911,0.0,0.0,2.5738562093486674,2.740769849274358,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,4.0,405.479,19.0,1.0,0.0,0.0,4.0,5.333,1.0,2.0,0.0,0.0,4.0,2095.119,3.0,3.0,0.0,0.0,4.0,12.553,2.0,4.0,0.0,0.0,4.0,316.257,2.0,5.0,0.0,0.0,4.0,6.8,2.0,6.0,1.0,0.0,4.0,440.749,6.0,7.0,1.0,0.0,4.0,10.185,1.0,4.375,0.375,0.0,4.0,411.559375,4.5,2.2638462845343543,0.5175491695067657,0.0,0.0,706.4500846154136,6.07100838882165,-0.2262499558606612,0.6440611887195306,0.0,0.0,2.4362449102628907,2.4822511313948987,-8.0,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
