week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
3.0,0.0,0.0,3.0,-1.0,-1.0,4.0,0.0,0.0,3.0,-1.0,-1.0,5.0,0.0,0.0,3.0,-1.0,-1.0,6.0,1.0,0.0,3.0,-1.0,-1.0,7.0,1.0,0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,3.0,-1.0,-1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.875,0.25,0.0,3.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,-1.0,-1.0,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
6.0,1.0,0.0,3.0,626.932,2.0,7.0,1.0,0.0,3.0,19.224,1.0,1.0,0.0,0.0,3.0,2877.298,4.0,2.0,0.0,0.0,3.0,2181.685,5.0,3.0,0.0,0.0,3.0,706.856,2.0,4.0,0.0,0.0,3.0,2171.338,5.0,5.0,0.0,0.0,3.0,710.792,3.0,6.0,1.0,0.0,3.0,0.0,0.0,4.25,0.375,0.0,3.0,1161.765625,2.75,2.1213203435596424,0.5175491695067657,0.0,0.0,1092.4409730781715,1.8322507626258089,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.5464817905264784,-0.0696736369672104,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,456.705,1.0,7.0,1.0,0.0,3.0,3030.983,2.0,1.0,0.0,0.0,3.0,2847.524,2.0,2.0,0.0,0.0,3.0,600.05,2.0,3.0,0.0,0.0,3.0,3569.0,1.0,4.0,0.0,0.0,3.0,488.407,1.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,4.25,0.375,0.0,3.0,1374.083625,1.125,2.1213203435596424,0.5175491695067657,0.0,0.0,1499.3020407649626,0.8345229603962802,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.6331274301774802,-0.2765283182378207,6.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,641.325,9.0,3.0,0.0,1.0,4.0,282.564,6.0,4.0,0.0,1.0,4.0,116.492,1.0,5.0,0.0,1.0,4.0,95.578,2.0,6.0,1.0,0.0,4.0,54.712,3.0,7.0,1.0,0.0,4.0,3095.55,1.0,1.0,0.0,0.0,4.0,0.0,0.0,3.625,0.25,0.625,4.0,535.7776250000001,2.75,2.2638462845343543,0.4629100498862757,0.5175491695067657,0.0,1055.7872897042876,3.1959796173138706,0.2262499558606612,1.4401645996461911,-0.6440611887195306,0.0,2.618683540601157,1.3172143486097756,0.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,0,1,1,2,0
5.0,0.0,0.0,4.0,170.949,6.0,6.0,1.0,0.0,4.0,390.299,5.0,7.0,1.0,0.0,4.0,600.0,1.0,1.0,0.0,0.0,4.0,441.036,2.0,2.0,0.0,0.0,4.0,302.314,2.0,3.0,0.0,0.0,4.0,10.244,1.0,4.0,0.0,0.0,4.0,4.81,2.0,5.0,0.0,0.0,4.0,308.516,2.0,4.125,0.25,0.0,4.0,278.521,2.625,2.03100960115899,0.4629100498862757,0.0,0.0,207.77116404420929,1.8468119248354136,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.0447130930016482,1.2785582076599658,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,10.244,1.0,4.0,0.0,0.0,4.0,4.81,2.0,5.0,0.0,0.0,4.0,308.516,2.0,6.0,1.0,0.0,4.0,206.922,1.0,7.0,1.0,0.0,4.0,1650.026,3.0,1.0,0.0,0.0,4.0,326.57,2.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.875,0.25,0.0,4.0,313.386,1.375,2.03100960115899,0.4629100498862757,0.0,0.0,558.2721299540472,1.0606601717798212,0.2238027108715141,1.4401645996461911,0.0,0.0,2.482878319306585,-0.0448956686467649,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,1455.646,3.0,7.0,1.0,0.0,4.0,198.175,2.0,1.0,0.0,0.0,4.0,1196.488,4.0,2.0,0.0,0.0,4.0,1804.684,7.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,645.491,2.0,5.0,0.0,0.0,1.0,907.05,5.0,6.0,1.0,0.0,1.0,834.684,6.0,4.25,0.375,0.0,2.875,880.2772500000001,3.625,2.1213203435596424,0.5175491695067657,0.0,1.5526475085202969,607.528706016373,2.326094212561969,-0.3142696805273544,0.6440611887195306,0.0,-0.6440611887195306,-0.0003969660441705,-0.0297954099704045,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,59.837,3.0,6.0,1.0,0.0,1.0,697.568,2.0,7.0,1.0,0.0,1.0,509.165,2.0,1.0,0.0,0.0,1.0,15.388,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1753.197,4.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.25,0.0,1.0,379.394375,1.5,2.0,0.4629100498862757,0.0,0.0,617.812541554923,1.5118578920369088,0.0,1.4401645996461911,0.0,0.0,1.9244568608253665,0.4960783708246107,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,2091.749,6.0,6.0,1.0,0.0,2.0,352.051,2.0,7.0,1.0,0.0,2.0,1150.938,3.0,1.0,0.0,0.0,2.0,966.202,5.0,2.0,0.0,0.0,2.0,528.935,2.0,3.0,0.0,0.0,2.0,2878.27,1.0,4.0,0.0,0.0,2.0,1136.809,3.0,5.0,0.0,0.0,2.0,150.01,2.0,4.125,0.25,0.0,2.0,1156.8705,3.0,2.03100960115899,0.4629100498862757,0.0,0.0,920.3890225484624,1.6903085094570331,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.0068627839077595,0.9465727652959384,-11.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,636.097,3.0,7.0,1.0,0.0,2.0,58.703,5.0,1.0,0.0,0.0,2.0,603.201,7.0,2.0,0.0,0.0,2.0,258.457,1.0,3.0,0.0,0.0,2.0,150.075,3.0,4.0,0.0,0.0,2.0,1679.921,6.0,5.0,0.0,0.0,2.0,492.049,3.0,6.0,1.0,0.0,2.0,1574.487,8.0,4.25,0.375,0.0,2.0,681.62375,4.5,2.1213203435596424,0.5175491695067657,0.0,0.0,619.6321505298239,2.390457218668787,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.9860966468429668,0.1254990039801113,10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
