week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_10_t-7_encoded,unlock_num_hr_10_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_10_t-6_encoded,unlock_num_hr_10_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_10_t-5_encoded,unlock_num_hr_10_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_10_t-4_encoded,unlock_num_hr_10_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_10_t-3_encoded,unlock_num_hr_10_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_10_t-2_encoded,unlock_num_hr_10_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_10_t-1_encoded,unlock_num_hr_10_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_10_t-0_encoded,unlock_num_hr_10_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_10_mean_encoded,unlock_num_hr_10_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_10_std_encoded,unlock_num_hr_10_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_10_skew_encoded,unlock_num_hr_10_skew_encoded,anomaly_encoded
1.0,0.0,0.0,3.0,2010.241,3.0,2.0,0.0,0.0,3.0,1331.793,4.0,3.0,0.0,0.0,3.0,340.878,2.0,4.0,0.0,0.0,3.0,767.545,5.0,5.0,0.0,0.0,3.0,1720.797,2.0,6.0,1.0,0.0,3.0,0.05,1.0,7.0,1.0,0.0,3.0,1410.361,3.0,1.0,0.0,1.0,3.0,0.0,0.0,3.625,0.25,0.125,3.0,947.708125,2.5,2.2638462845343543,0.4629100498862757,0.3535533905932738,0.0,782.406503528046,1.6035674514745464,0.2262499558606612,1.4401645996461911,2.8284271247461903,0.0,-0.0454277806476818,0.0,0.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1
6.0,1.0,0.0,4.0,211.965,2.0,7.0,1.0,0.0,4.0,389.283,3.0,1.0,0.0,0.0,4.0,811.287,2.0,2.0,0.0,0.0,4.0,209.649,1.0,3.0,0.0,0.0,4.0,60.175,3.0,4.0,0.0,0.0,4.0,210.0,1.0,5.0,0.0,0.0,4.0,2068.524,2.0,6.0,1.0,0.0,4.0,971.626,3.0,4.25,0.375,0.0,4.0,616.563625,2.125,2.1213203435596424,0.5175491695067657,0.0,0.0,668.4709352134355,0.8345229603962802,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.7397816438407865,-0.2765283182378207,-6.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1990.887,4.0,7.0,1.0,0.0,1.0,211.905,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,619.532,1.0,3.0,0.0,0.0,1.0,208.375,4.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.05,1.0,4.125,0.25,0.0,1.0,378.843625,1.5,2.03100960115899,0.4629100498862757,0.0,0.0,685.3148265388559,1.6903085094570331,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.3530068289810298,0.8282511696339462,5.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,0.05,1.0,5.0,0.0,0.0,2.0,0.05,1.0,6.0,1.0,0.0,2.0,1453.507,3.0,7.0,1.0,0.0,2.0,810.275,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,1410.836,3.0,3.875,0.25,0.0,2.0,459.346,1.375,2.03100960115899,0.4629100498862757,0.0,0.0,662.4302032604751,1.1877349391654208,0.2238027108715141,1.4401645996461911,0.0,0.0,0.919151028502102,0.3943257160632513,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,573.022,5.0,5.0,0.0,1.0,2.0,148.285,4.0,6.0,1.0,1.0,2.0,1830.184,4.0,7.0,1.0,1.0,2.0,228.07,4.0,1.0,0.0,1.0,2.0,408.968,7.0,2.0,0.0,1.0,2.0,291.047,4.0,3.0,0.0,1.0,2.0,0.0,0.0,3.875,0.25,0.75,2.0,434.947,3.5,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,596.4734566272477,2.390457218668787,0.2238027108715141,1.4401645996461911,-1.4401645996461911,0.0,2.260747255845121,-0.543829017247149,0.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0
7.0,1.0,0.0,4.0,1968.671,4.0,1.0,0.0,0.0,4.0,0.05,1.0,2.0,0.0,0.0,4.0,344.681,3.0,3.0,0.0,0.0,4.0,174.843,3.0,4.0,0.0,0.0,4.0,562.083,6.0,5.0,0.0,0.0,4.0,377.894,3.0,6.0,1.0,0.0,4.0,646.764,4.0,7.0,1.0,0.0,4.0,992.082,3.0,4.375,0.375,0.0,4.0,633.3834999999999,3.375,2.2638462845343543,0.5175491695067657,0.0,0.0,618.3982594595262,1.407885953173359,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.639410736056712,0.3391449970796631,-14.0,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1
3.0,0.0,0.0,1.0,681.889,2.0,4.0,0.0,0.0,1.0,276.714,3.0,5.0,0.0,0.0,1.0,1321.737,5.0,6.0,1.0,0.0,1.0,1936.382,3.0,7.0,1.0,0.0,1.0,1261.707,4.0,1.0,0.0,0.0,1.0,394.876,1.0,2.0,0.0,0.0,1.0,300.0,2.0,3.0,0.0,0.0,1.0,738.333,4.0,3.875,0.25,0.0,1.0,863.95475,3.0,2.03100960115899,0.4629100498862757,0.0,0.0,591.5756129600607,1.3093073414159542,0.2238027108715141,1.4401645996461911,0.0,0.0,0.8272653461808511,0.0,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,655.548,3.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,33.027,2.0,1.0,0.0,0.0,1.0,2715.658,2.0,2.0,0.0,0.0,1.0,272.899,3.0,3.0,0.0,0.0,1.0,64.28,1.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,266.747,3.0,4.125,0.25,0.0,1.0,501.019875,1.75,2.03100960115899,0.4629100498862757,0.0,0.0,921.7394084359414,1.2817398889233114,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.530459377279753,-0.4748979550642137,10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,401.253,2.0,7.0,1.0,0.0,2.0,1715.404,4.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,44.318,2.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.125,0.25,0.0,2.0,270.12187500000005,1.0,2.03100960115899,0.4629100498862757,0.0,0.0,600.2204737214574,1.5118578920369088,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.5643300518609817,1.3228756555322954,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,4.0,-1.0,-1.0,3.0,0.0,0.0,4.0,-1.0,-1.0,4.0,0.0,0.0,4.0,-1.0,-1.0,5.0,0.0,0.0,4.0,-1.0,-1.0,6.0,1.0,0.0,4.0,-1.0,-1.0,7.0,1.0,0.0,4.0,-1.0,-1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.75,0.25,0.0,4.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,0.0,0.0,0.3142696805273544,1.4401645996461911,0.0,0.0,-1.0,-1.0,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
