week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
3.0,0.0,1.0,2.0,,,4.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,59.554,5.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,20.579,2.0,2.0,0.0,0.0,2.0,213.341,2.0,3.0,0.0,0.0,2.0,213.103,1.0,3.875,0.25,0.5,2.0,72.36814285714286,1.4285714285714286,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,98.52022494802539,1.8126539343499313,0.2238027108715141,1.4401645996461911,0.0,0.0,1.0519156171843875,1.4535497144635934,1.0
6.0,1.0,1.0,2.0,59.554,5.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,20.579,2.0,2.0,0.0,0.0,2.0,213.341,2.0,3.0,0.0,0.0,2.0,213.103,1.0,4.0,0.0,0.0,2.0,219.77,5.0,5.0,0.0,0.0,3.0,292.299,4.0,6.0,1.0,0.0,3.0,1904.002,6.0,4.25,0.375,0.125,2.25,365.331,3.125,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.4629100498862757,630.8865307603714,2.1671244937540095,-0.31426968052735443,0.6440611887195306,2.8284271247461903,1.4401645996461911,2.665545807971661,-0.10000811612229174,3.0
5.0,0.0,0.0,3.0,188.759,3.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,18.837,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,202.222,2.0,3.0,0.0,0.0,3.0,16.19,1.0,4.0,0.0,0.0,3.0,73.493,1.0,5.0,0.0,0.0,3.0,196.556,2.0,4.125,0.25,0.0,3.0,87.007125,1.375,2.03100960115899,0.4629100498862757,0.0,0.0,93.05467656389288,1.0606601717798212,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.4505187653859011,-0.04489566864676492,0.0
5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,358.953,6.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,733.573,7.0,2.0,0.0,0.0,3.0,834.597,9.0,3.0,0.0,0.0,3.0,996.074,6.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.125,0.25,0.0,3.0,365.39962499999996,3.5,2.03100960115899,0.4629100498862757,0.0,0.0,428.87845111604344,3.854496446637726,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.5044040209110763,0.22950219227391788,4.0
1.0,0.0,0.0,3.0,733.573,7.0,2.0,0.0,0.0,3.0,834.597,9.0,3.0,0.0,0.0,3.0,996.074,6.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,833.692,5.0,7.0,1.0,0.0,3.0,69.934,3.0,1.0,0.0,0.0,3.0,0.0,0.0,3.625,0.25,0.0,3.0,433.48375,3.75,2.2638462845343543,0.4629100498862757,0.0,0.0,450.95339247951745,3.5355339059327378,0.22624995586066124,1.4401645996461911,0.0,0.0,0.08580053614328749,0.14546196641551834,-8.0
3.0,0.0,0.0,3.0,231.145,1.0,4.0,0.0,0.0,3.0,1165.695,15.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,227.01,2.0,1.0,0.0,0.0,3.0,729.385,7.0,2.0,0.0,1.0,3.0,110.211,4.0,3.0,0.0,1.0,3.0,1186.007,7.0,3.875,0.25,0.25,3.0,456.18162500000005,4.5,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,499.9649317764875,5.0990195135927845,0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,0.779741489416152,1.3620373341465088,-13.0
3.0,0.0,0.0,4.0,54.289,2.0,4.0,0.0,0.0,4.0,314.762,3.0,5.0,0.0,0.0,4.0,246.023,5.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,767.369,13.0,1.0,0.0,0.0,4.0,109.982,5.0,2.0,0.0,0.0,4.0,369.912,4.0,3.0,0.0,0.0,4.0,358.117,5.0,3.875,0.25,0.0,4.0,277.55675,4.625,2.03100960115899,0.4629100498862757,0.0,0.0,242.68781500034746,3.814914340921881,0.2238027108715141,1.4401645996461911,0.0,0.0,1.0877526462592757,1.59882659425416,-3.0
3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,551.982,5.0,5.0,0.0,0.0,4.0,217.77,2.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,796.816,5.0,1.0,0.0,0.0,4.0,362.687,4.0,2.0,0.0,0.0,4.0,293.529,2.0,3.0,0.0,0.0,4.0,133.962,4.0,3.875,0.25,0.0,4.0,294.59325,2.75,2.03100960115899,0.4629100498862757,0.0,0.0,274.7438096974551,2.052872551885702,0.2238027108715141,1.4401645996461911,0.0,0.0,0.8110971685703653,-0.3467650274371712,4.0
6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,796.816,5.0,1.0,0.0,0.0,4.0,362.687,4.0,2.0,0.0,0.0,4.0,293.529,2.0,3.0,0.0,0.0,4.0,133.962,4.0,4.0,0.0,0.0,4.0,1098.792,15.0,5.0,0.0,0.0,4.0,189.013,3.0,6.0,1.0,0.0,4.0,692.519,16.0,4.25,0.375,0.0,4.0,445.91475,6.125,2.1213203435596424,0.5175491695067657,0.0,0.0,378.4357491727342,5.986592162013855,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.6902439413067836,1.163786492984724,-5.0
2.0,0.0,0.0,4.0,151.92,2.0,3.0,0.0,0.0,4.0,1349.202,7.0,4.0,0.0,0.0,4.0,232.704,9.0,5.0,0.0,0.0,4.0,128.454,6.0,6.0,1.0,0.0,4.0,362.716,6.0,7.0,1.0,0.0,4.0,74.715,6.0,1.0,0.0,0.0,4.0,825.091,14.0,2.0,0.0,0.0,4.0,242.226,3.0,3.75,0.25,0.0,4.0,420.87850000000003,6.625,2.1213203435596424,0.4629100498862757,0.0,0.0,442.9707233273355,3.7008686239082538,0.31426968052735443,1.4401645996461911,0.0,0.0,1.6819940917432505,1.0043802978105933,1.0
3.0,0.0,0.0,1.0,3038.308,7.0,4.0,0.0,0.0,1.0,410.592,8.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,852.373,5.0,7.0,1.0,0.0,1.0,849.3,3.0,1.0,0.0,0.0,1.0,494.817,5.0,2.0,0.0,0.0,1.0,198.656,3.0,3.0,0.0,0.0,1.0,289.5,5.0,3.875,0.25,0.0,1.0,766.69325,4.5,2.03100960115899,0.4629100498862757,0.0,0.0,964.6110628136606,2.5071326821120348,0.2238027108715141,1.4401645996461911,0.0,0.0,2.316448750533958,-0.4713823844466842,-1.0
